"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-5,72883846170299;-5,7637245241488;-5,7986105865946;-5,83349664904041;-5,86838271148622;-5,90326877393203;-5,93815483637784;-5,97304089882365;-6,00792696126946
"2";-8,30799606661933;-8,34882320155563;-8,38965033649192;-8,43047747142821;-8,47130460636451;-8,5121317413008;-8,55295887623709;-8,59378601117339;-8,63461314610968
"3";-8,75083313393675;-8,78875338590917;-8,82667363788158;-8,86459388985399;-8,9025141418264;-8,94043439379882;-8,97835464577123;-9,01627489774365;-9,05419514971606
"4";-8,96533347671813;-9,00003693655419;-9,03474039639025;-9,0694438562263;-9,10414731606236;-9,13885077589842;-9,17355423573448;-9,20825769557053;-9,24296115540659
"5";-9,10119011529099;-9,13535526629604;-9,1695204173011;-9,20368556830615;-9,23785071931121;-9,27201587031627;-9,30618102132132;-9,34034617232638;-9,37451132333143
"6";-9,39666984959296;-9,43332709973584;-9,46998434987873;-9,50664160002161;-9,54329885016449;-9,57995610030737;-9,61661335045026;-9,65327060059314;-9,68992785073602
"7";-9,45517983777153;-9,49086449514465;-9,52654915251778;-9,5622338098909;-9,59791846726402;-9,63360312463714;-9,66928778201026;-9,70497243938339;-9,74065709675651
"8";-9,46784369781179;-9,5013168820958;-9,53479006637981;-9,56826325066382;-9,60173643494783;-9,63520961923183;-9,66868280351584;-9,70215598779985;-9,73562917208386
"9";-9,59033760751203;-9,62290275805251;-9,65546790859299;-9,68803305913347;-9,72059820967395;-9,75316336021443;-9,7857285107549;-9,81829366129538;-9,85085881183586
"10";-9,47450306947182;-9,50310912710392;-9,53171518473602;-9,56032124236813;-9,58892730000023;-9,61753335763233;-9,64613941526444;-9,67474547289654;-9,70335153052864
"11";-9,64479369143383;-9,67654931493846;-9,70830493844309;-9,74006056194772;-9,77181618545236;-9,80357180895699;-9,83532743246162;-9,86708305596625;-9,89883867947088
"12";-9,59664925685886;-9,62815717604319;-9,65966509522752;-9,69117301441185;-9,72268093359618;-9,75418885278051;-9,78569677196484;-9,81720469114917;-9,8487126103335
"13";-9,46611406183104;-9,49419807697758;-9,52228209212412;-9,55036610727067;-9,57845012241721;-9,60653413756376;-9,6346181527103;-9,66270216785684;-9,69078618300339
"14";-9,1875787011194;-9,21159682892429;-9,23561495672918;-9,25963308453408;-9,28365121233897;-9,30766934014386;-9,33168746794876;-9,35570559575365;-9,37972372355854
"15";-8,95079178437077;-8,97230721928311;-8,99382265419544;-9,01533808910778;-9,03685352402012;-9,05836895893246;-9,0798843938448;-9,10139982875714;-9,12291526366948
"16";-8,6774253573667;-8,69656642720176;-8,71570749703683;-8,73484856687189;-8,75398963670696;-8,77313070654202;-8,79227177637709;-8,81141284621216;-8,83055391604722
"17";-8,35799677623515;-8,37356628797691;-8,38913579971866;-8,40470531146042;-8,42027482320218;-8,43584433494394;-8,45141384668569;-8,46698335842745;-8,48255287016921
"18";-8,19240422626715;-8,20846550401351;-8,22452678175988;-8,24058805950624;-8,2566493372526;-8,27271061499896;-8,28877189274532;-8,30483317049168;-8,32089444823804
"19";-7,96518831057493;-7,97783950747966;-7,99049070438438;-8,0031419012891;-8,01579309819383;-8,02844429509856;-8,04109549200328;-8,05374668890801;-8,06639788581273
"20";-8,06413576270023;-8,07880128224194;-8,09346680178364;-8,10813232132534;-8,12279784086704;-8,13746336040875;-8,15212887995045;-8,16679439949215;-8,18145991903386
"21";-7,87389791466731;-7,88407706937655;-7,89425622408579;-7,90443537879503;-7,91461453350427;-7,9247936882135;-7,93497284292274;-7,94515199763198;-7,95533115234122
