"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-5,6223781598184;-5,61572619138539;-5,63830731639875;-5,67960642337567;-5,70783113330595;-5,71588278818669;-5,72392638181602;-5,76692259509952;-5,74945399843918
"1";-8,0771712905909;-8,06782665184589;-8,09952918991954;-8,15753386162101;-8,19726416877713;-8,20859242426225;-8,21991013208404;-8,2805264612657;-8,25586451730711
"2";-8,66551705804458;-8,65543610920631;-8,68963944965057;-8,75218567392873;-8,7949946120746;-8,80720663496924;-8,81940513821587;-8,88460894775975;-8,85811780251627
"3";-8,90872210859145;-8,89850665024351;-8,93317215245593;-8,99657003415699;-9,03997165750636;-9,05234732860817;-9,06470897646521;-9,13086887636699;-9,10396251649428
"4";-9,09715934686102;-9,0867781867529;-9,12200261287197;-9,18640381968467;-9,23049160487854;-9,24306406313855;-9,2556219717283;-9,3228770367774;-9,29550943838706
"5";-9,26730797477495;-9,25670912023091;-9,29267140845134;-9,35842457732938;-9,40343959212151;-9,41627906978131;-9,4291031211752;-9,49778710618012;-9,46984412890402
"6";-9,41037500689942;-9,39955957250172;-9,43625768525559;-9,50337734794571;-9,54932824366015;-9,56243459018898;-9,5755250601864;-9,64563026131006;-9,61711070556166
"7";-9,53457979744296;-9,52357650517372;-9,56091428762388;-9,62922160387235;-9,67597940007113;-9,68931378657619;-9,702632336445;-9,77395940740963;-9,74493779738484
"8";-9,65601943460694;-9,64486953976641;-9,68270468543044;-9,75189990848159;-9,79925692262031;-9,81276270366106;-9,82625167400914;-9,89848777735555;-9,86909577673162
"9";-9,71138775852558;-9,70019552528604;-9,73817315057175;-9,80761417342166;-9,8551372174275;-9,86869090508451;-9,8822269421075;-9,95471609686205;-9,92522320034878
"10";-9,67943347643315;-9,66832369578594;-9,70601813862807;-9,77493308930795;-9,82209924252211;-9,83555082521853;-9,84898527726989;-9,92091087699374;-9,89165325967952
"11";-9,55446846219106;-9,54357027694958;-9,58054277024844;-9,64814401105945;-9,69442510361826;-9,70762315865129;-9,72080543350462;-9,79136028787121;-9,76266218077804
"12";-9,3639619933567;-9,35335813533987;-9,3893273143252;-9,45510771407762;-9,5001615106122;-9,51300804032334;-9,52583990836905;-9,59451451362827;-9,56657872175538
"13";-9,16091050101042;-9,15059030038355;-9,18559236888701;-9,24959408386981;-9,2934388496688;-9,30594122734768;-9,31842940113523;-9,38525188198325;-9,35807260430241
"14";-8,95522501498524;-8,94516467652433;-8,97928297347106;-9,04164721123095;-9,08436987604018;-9,09655420194816;-9,10872442042339;-9,17383873968154;-9,14735715799781
"15";-8,73794347126885;-8,72813455553824;-8,76140291718785;-8,82220757834457;-8,86385784431987;-8,87573695158051;-8,88760222474289;-8,95109671210814;-8,92527175215963
"16";-8,51702950910366;-8,50747646180901;-8,53988324028653;-8,59913413272714;-8,63971990173889;-8,65129323861989;-8,66285340808282;-8,72473566686607;-8,6995602645639
"17";-8,32958720440127;-8,32023642730135;-8,35196354331339;-8,40999624038389;-8,44974546904793;-8,46107721792979;-8,47239619535876;-8,53299450185869;-8,50833910658844
"18";-8,20692265488508;-8,19768469780705;-8,22903271424631;-8,28637578478932;-8,32564530777887;-8,33683949413044;-8,34802079476925;-8,40786991710113;-8,38352500863049
"19";-8,14106209653446;-8,13187300917513;-8,16305535923131;-8,22008715244824;-8,25913699195237;-8,27026990776193;-8,28138975440526;-8,34089447901621;-8,31669846782632
"20";-8,11344065043864;-8,10427022029133;-8,13538743863111;-8,19229092067189;-8,2312502808608;-8,24235965689838;-8,25345568066705;-8,31282055465291;-8,28868771980324
"21";-8,11100014236619;-8,10182968561079;-8,13294457927741;-8,18983095027141;-8,22877649353848;-8,23988466310995;-8,25097932577475;-8,31032105739258;-8,28620131383171
"22";-8,119248862363;-8,11006971076542;-8,14121221159216;-8,19813721505074;-8,23710722361034;-8,24822474273948;-8,25932876465899;-8,31870602765869;-8,29457359543314
"23";-8,13366652908795;-8,12447459961628;-8,15565830267789;-8,21264402940611;-8,25165441933291;-8,26278570483248;-8,27390366607398;-8,33334322955004;-8,30918704382211
"24";-8,13879276432866;-8,12960415423882;-8,16077571968525;-8,21773359094776;-8,25672514567552;-8,26785212100423;-8,27896617910246;-8,33838132298216;-8,31423446133888
"25";-8,12200755084411;-8,11286340234572;-8,1438855423941;-8,20058189808752;-8,23939854172298;-8,25047448858962;-8,2615381302765;-8,32069397465243;-8,29664743726554
"26";-8,0895171498648;-8,08044261109952;-8,11123073893375;-8,16751856148734;-8,20606267319585;-8,21705875085423;-8,22804294602316;-8,28679331281609;-8,26290421235081
"27";-8,05171983110026;-8,04271188003754;-8,07327555076843;-8,12916774637751;-8,16744728680288;-8,17836575577819;-8,18927232653177;-8,24762739834182;-8,22389237940766
"28";-8,01808692595525;-8,00911890602015;-8,03954681935402;-8,09519121339699;-8,13330244912913;-8,1441719477424;-8,15502924971193;-8,21312865618271;-8,18949589932871
"29";-7,98193558422165;-7,97299331133586;-8,00333336712345;-8,05881124589569;-8,09680628678378;-8,10764228451249;-8,1184657698633;-8,17638453480841;-8,15282624981282
"30";-7,93790853743656;-7,92899302058193;-7,95924226700209;-8,01454912523879;-8,05242303291004;-8,06322423217465;-8,07401270489636;-8,13174030217638;-8,1082620540236
"31";-7,88731417618193;-7,87843265251112;-7,90856686370703;-7,96365934397264;-8,00138213428982;-8,01214019013802;-8,02288535890747;-8,08037302290209;-8,05699602110467
"32";-7,82590851302696;-7,81708280122166;-7,84702854188508;-7,90177847983099;-7,93926495277586;-7,94995532177126;-7,96063287753753;-8,01775191407067;-7,99452729387243
"33";-7,75651477277524;-7,7477652423076;-7,77745368643998;-7,83173985109773;-7,86890958390334;-7,87950919148009;-7,89009619662922;-7,94672708469008;-7,92370189063173
"34";-7,68682871935745;-7,67816260751462;-7,70756840306971;-7,76134252404651;-7,7981631129796;-7,80866304808151;-7,81915054301539;-7,8752486891181;-7,85243982871137
"35";-7,61847592952541;-7,60989628514713;-7,6390082576398;-7,69224721078659;-7,72870350219738;-7,73909989782175;-7,74948398673858;-7,80503125851395;-7,78244514629203
"36";-7,54951194304884;-7,54102160198852;-7,56982992036927;-7,62251585711366;-7,6585957209725;-7,66888508831086;-7,67916235940468;-7,73414180771209;-7,71178449384994
"37";-7,4796209573661;-7,47122035932795;-7,49972364698047;-7,55185298659894;-7,58755353033173;-7,59773508926184;-7,60790497713733;-7,66231212446779;-7,64018555207023
"38";-7,41193520515762;-7,40361273496473;-7,43185023442376;-7,48349062096129;-7,51885656460732;-7,52894356114802;-7,53901944497405;-7,59292197466926;-7,57100020298653
"39";-7,34728560212499;-7,3390282788105;-7,36704388214982;-7,41827091949082;-7,45335191482657;-7,46335889182833;-7,47335526101365;-7,52682708797615;-7,50508167761094
"40";-7,28197958232017;-7,27378416385843;-7,30158884719377;-7,35242103507161;-7,38722818423779;-7,39715810188778;-7,4070778154956;-7,46013262483689;-7,43855878760137
"41";-7,21399065750192;-7,20585903827727;-7,23344631971051;-7,28387168437154;-7,31839578335527;-7,32824544927837;-7,33808514459243;-7,39070663029474;-7,36931083809658
"42";-7,14158270065942;-7,13352108628698;-7,16087024372326;-7,21085361002713;-7,24507082492672;-7,25483283164863;-7,26458494767239;-7,31673690164835;-7,29553293222458
"43";-7,06299868279754;-7,05501811810655;-7,08209246612259;-7,13157215199614;-7,16544228277456;-7,17510479053177;-7,18475741632745;-7,23638046059824;-7,21539139576648
"44";-6,97806567310198;-6,97017847744177;-6,99693708419594;-7,04584376107942;-7,07932225867263;-7,0888724409053;-7,09841269660512;-7,14944144130841;-7,12869288271257
"45";-6,88675426592787;-6,87897002187;-6,90538123191139;-6,95366260142586;-6,98671569358557;-6,99614378589309;-7,00556192227151;-7,05594558876742;-7,03545737189817
"46";-6,79129430537468;-6,78361665943684;-6,80966853981383;-6,85730561149206;-6,88992074724032;-6,8992231002872;-6,90851554015366;-6,9582332559797;-6,93801399986275
"47";-6,69737499956864;-6,68979911137875;-6,71550752081934;-6,76252624578906;-6,79472004003064;-6,80390167356624;-6,81307344189385;-6,86214773752598;-6,84218969923584
"48";-6,60892845455623;-6,60144266613129;-6,62684616227648;-6,67331052217316;-6,70512405056806;-6,71419713500873;-6,72326031771792;-6,77175182892816;-6,75203184751794
"49";-6,52447206464917;-6,51706579808438;-6,54219976036873;-6,58816955744199;-6,61964076314518;-6,62861626031966;-6,63758171056063;-6,68554824338827;-6,66604321757771
