"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-5,46555328592395;-5,53657455567229;-5,57803126935064;-5,64929428937213;-5,67811472790762;-5,68104298768671;-5,75718325138332;-5,66360068502337;-5,7138328105097
"1";-7,84936381884058;-8,2170885989659;-8,29404964010203;-8,01641790350375;-8,14562963498375;-8,25482892694875;-8,33487163462228;-8,25482892694875;-8,62255370707406
"2";-8,51719319141624;-8,67971212091401;-8,56848648580379;-8,87386813535497;-8,56848648580379;-8,74033674273045;-8,74033674273045;-8,62255370707406;-8,80487526386802
"3";-9,02801881518223;-8,80487526386802;-9,11503019217186;-8,80487526386802;-9,31570088763401;-8,74033674273045;-9,21034037197618;-9,56701531591492;-9,21034037197618
"4";-9,11503019217186;-9,56701531591492;-9,21034037197618;-8,94797610750869;-9,21034037197618;-9,11503019217186;-9,21034037197618;-9,31570088763401;-9,11503019217186
"5";-9,11503019217186;-9,02801881518223;-9,31570088763401;-9,11503019217186;-9,21034037197618;-9,11503019217186;-9,21034037197618;-9,90348755253613;-9,31570088763401
"6";-9,02801881518223;-9,31570088763401;-9,21034037197618;-9,43348392329039;-9,43348392329039;-9,43348392329039;-10,1266311038503;-8,94797610750869;-9,31570088763401
"7";-9,31570088763401;-9,31570088763401;-9,31570088763401;-9,90348755253613;-9,43348392329039;-9,90348755253613;-9,31570088763401;-9,31570088763401;-9,21034037197618
"8";-9,31570088763401;-9,43348392329039;-10,1266311038503;-9,43348392329039;-9,90348755253613;-8,87386813535497;-9,11503019217186;-11,5129254649702;-9,11503019217186
"9";-9,56701531591492;-9,21034037197618;-9,11503019217186;-9,11503019217186;-9,11503019217186;-9,21034037197618;-9,56701531591492;-9,43348392329039;-9,43348392329039
"10";-9,90348755253613;-9,90348755253613;-9,72116599574217;-9,02801881518223;-9,31570088763401;-9,21034037197618;-10,4143131763021;-10,4143131763021;-10,1266311038503
"11";-9,56701531591492;-9,90348755253613;-10,1266311038503;-9,11503019217186;-9,90348755253613;-10,4143131763021;-9,72116599574217;-9,56701531591492;-9,21034037197618
"12";-9,31570088763401;-9,31570088763401;-9,21034037197618;-9,21034037197618;-9,56701531591492;-9,21034037197618;-9,43348392329039;-11,5129254649702;-10,1266311038503
"13";-9,21034037197618;-9,02801881518223;-9,31570088763401;-9,43348392329039;-9,43348392329039;-9,31570088763401;-9,31570088763401;-8,87386813535497;-9,21034037197618
"14";-9,31570088763401;-8,56848648580379;-9,56701531591492;-9,02801881518223;-9,21034037197618;-9,02801881518223;-8,80487526386802;-9,02801881518223;-9,02801881518223
"15";-8,74033674273045;-8,56848648580379;-8,94797610750869;-8,87386813535497;-8,80487526386802;-8,56848648580379;-8,74033674273045;-8,37743124904108;-8,87386813535497
"16";-8,25482892694875;-8,62255370707406;-8,42188301161191;-8,74033674273045;-8,46840302724681;-8,33487163462228;-8,42188301161191;-8,56848648580379;-8,62255370707406
"17";-8,07893826048508;-8,2170885989659;-8,14562963498375;-8,25482892694875;-8,14562963498375;-8,46840302724681;-8,29404964010203;-8,42188301161191;-8,62255370707406
"18";-8,14562963498375;-8,18072095479502;-8,29404964010203;-8,25482892694875;-8,46840302724681;-8,33487163462228;-8,01641790350375;-8,62255370707406;-8,33487163462228
"19";-8,01641790350375;-8,11172808330807;-8,18072095479502;-8,25482892694875;-8,46840302724681;-8,14562963498375;-8,2170885989659;-8,33487163462228;-8,25482892694875
"20";-8,2170885989659;-8,14562963498375;-8,33487163462228;-8,11172808330807;-8,01641790350375;-8,2170885989659;-8,07893826048508;-8,37743124904108;-8,67971212091401
"21";-8,2170885989659;-8,25482892694875;-8,42188301161191;-8,46840302724681;-8,33487163462228;-8,2170885989659;-8,46840302724681;-8,33487163462228;-8,29404964010203
"22";-7,98656494035407;-8,29404964010203;-8,25482892694875;-8,62255370707406;-8,2170885989659;-8,29404964010203;-8,25482892694875;-8,33487163462228;-8,33487163462228
"23";-8,07893826048508;-8,14562963498375;-8,37743124904108;-8,25482892694875;-8,42188301161191;-8,07893826048508;-8,33487163462228;-8,2170885989659;-8,2170885989659
"24";-7,87533930524384;-7,98656494035407;-8,0471895621705;-8,0471895621705;-8,01641790350375;-8,2170885989659;-8,18072095479502;-8,62255370707406;-8,42188301161191
"25";-7,98656494035407;-8,2170885989659;-7,92940652651412;-8,11172808330807;-8,11172808330807;-8,18072095479502;-8,29404964010203;-8,56848648580379;-8,07893826048508
"26";-8,29404964010203;-8,01641790350375;-7,95757740348081;-7,902007552326;-8,11172808330807;-8,25482892694875;-8,14562963498375;-8,14562963498375;-8,07893826048508
"27";-8,01641790350375;-8,29404964010203;-8,0471895621705;-7,75172534927667;-8,33487163462228;-8,0471895621705;-8,42188301161191;-8,2170885989659;-8,11172808330807
"28";-8,07893826048508;-7,87533930524384;-8,29404964010203;-8,33487163462228;-7,98656494035407;-8,46840302724681;-8,25482892694875;-8,25482892694875;-8,11172808330807
"29";-7,79935339826592;-7,5616817463888;-8,0471895621705;-7,70626297519991;-7,95757740348081;-7,92940652651412;-8,07893826048508;-8,0471895621705;-8,01641790350375
"30";-7,98656494035407;-7,77525584668686;-7,70626297519991;-7,77525584668686;-7,87533930524384;-8,11172808330807;-7,95757740348081;-7,84936381884058;-8,07893826048508
"31";-7,75172534927667;-7,5616817463888;-7,95757740348081;-7,98656494035407;-8,01641790350375;-7,79935339826592;-7,84936381884058;-7,75172534927667;-7,79935339826592
"32";-7,75172534927667;-7,75172534927667;-7,75172534927667;-7,82404601085629;-7,92940652651412;-7,75172534927667;-7,70626297519991;-7,70626297519991;-7,64172445406234
"33";-7,84936381884058;-7,68428406848113;-7,70626297519991;-8,07893826048508;-7,77525584668686;-7,60090245954208;-7,77525584668686;-7,66277786326017;-7,79935339826592
"34";-7,77525584668686;-7,52394141840595;-7,5810998322459;-7,66277786326017;-7,75172534927667;-7,64172445406234;-7,79935339826592;-7,79935339826592;-7,64172445406234
"35";-7,5616817463888;-7,52394141840595;-7,52394141840595;-7,66277786326017;-7,50559227973776;-7,48757377423508;-7,66277786326017;-7,64172445406234;-7,66277786326017
"36";-7,50559227973776;-7,46987419713568;-7,3697907385787;-7,40205160079692;-7,5810998322459;-7,6211051668596;-7,68428406848113;-7,5616817463888;-7,45248245442381
"37";-7,46987419713568;-7,40205160079692;-7,50559227973776;-7,40205160079692;-7,45248245442381;-7,38579107992514;-7,50559227973776;-7,54263355141811;-7,5616817463888
"38";-7,15621663828064;-7,22246602382184;-7,27881896037297;-7,30823284557926;-7,3697907385787;-7,3232707229438;-7,22246602382184;-7,3232707229438;-7,25024558792891
"39";-7,20886037176606;-7,19543735143392;-7,26443022292087;-7,11847631029779;-7,13089883029635;-7,13089883029635;-7,3232707229438;-7,1821921246839;-7,25024558792891
"40";-7,08210866612691;-7,07027420847991;-7,16912004311654;-7,3697907385787;-7,16912004311654;-7,20886037176606;-6,98032597181697;-7,29341775979412;-7,1821921246839
