"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,70011847763318;-4,6991390980036;-4,70246858687769;-4,70853759172047;-4,71264771059759;-4,71382194272568;-4,71499615622725;-4,72125881042479;-4,71871451315771
"2";-6,5573156702571;-6,55597684464681;-6,56052819928975;-6,56882365007902;-6,57444098899677;-6,5760457307352;-6,57765040493519;-6,58620818251157;-6,58273160861019
"3";-7,22740167186345;-7,22584582894933;-7,23113524297723;-7,24077821024402;-7,24730981055245;-7,24917601047272;-7,25104225694343;-7,26099718891159;-7,25695257388709
"4";-7,7744671191884;-7,77270670086951;-7,77869192629807;-7,78960577171469;-7,79700001816266;-7,79911297449094;-7,80122611184716;-7,81250024665931;-7,80791918684818
"5";-8,18261579034423;-8,18068234081709;-8,18725613060087;-8,19924529070764;-8,20736968520182;-8,20969153543137;-8,21201369779824;-8,22440500904399;-8,21936959501292
"6";-8,47370838993282;-8,47162149277244;-8,47871728878351;-8,49166057654799;-8,50043315191145;-8,50294049475458;-8,50544828856105;-8,51883213498102;-8,51339297763599
"7";-8,67862942238731;-8,67636994541995;-8,68405292798662;-8,69807019864739;-8,70757293032925;-8,71028931025507;-8,71300633626039;-8,72750958028046;-8,72161493561373
"8";-8,82491985853263;-8,82243444904338;-8,83088624087453;-8,84631040324207;-8,85677017197572;-8,8597606276078;-8,86275202358226;-8,87872382356968;-8,87223147966241
"9";-8,92718966200458;-8,92442898292486;-8,93381752876026;-8,95095636060322;-8,96258287421785;-8,96590751427188;-8,96923347736977;-8,98699645289116;-8,97977501848975
"10";-8,99477211613504;-8,99169962564244;-9,002149316476;-9,02123079059428;-9,03417939027783;-9,03788274175799;-9,04158786514922;-9,06138101941586;-9,05333315483928
"11";-9,02950768652927;-9,02608963455652;-9,03771535867804;-9,05895003690071;-9,07336420360618;-9,07748739445823;-9,08161286745697;-9,10365696466404;-9,09469275759141
"12";-9,03392449548571;-9,03010160146206;-9,04310513396426;-9,06686265974321;-9,08299415266342;-9,08760932920778;-9,09222739721185;-9,1169095049334;-9,1068713421051
"13";-9,01030334666454;-9,00599357080652;-9,02065414215598;-9,04744597234101;-9,06564307524163;-9,0708500350917;-9,07606062839901;-9,1039160649633;-9,09258598130834
"14";-8,95849481013109;-8,95363668848515;-8,97016350288873;-9,00037287172141;-9,02089658568698;-9,0267701213527;-9,0326481341659;-9,0640781408521;-9,05129275525234
"15";-8,88258174564356;-8,87716287535177;-8,89559816264596;-8,92930253748515;-8,95220570439944;-8,95876097100632;-8,9653215848336;-9,00040759626955;-8,9861337287227
"16";-8,78936768166097;-8,7834252280224;-8,80364251585378;-8,84061041745975;-8,86573554327061;-8,87292743307195;-8,88012548960833;-8,91862576042904;-8,90296180843363
"17";-8,69137631681466;-8,68498021325872;-8,7067414986884;-8,74653715331675;-8,77358762078208;-8,78133116060202;-8,78908158269517;-8,83054051833785;-8,81367195366331
"18";-8,6025922708275;-8,59583621074729;-8,61882261689185;-8,66086208240623;-8,68944035053617;-8,69762164433691;-8,70581039167844;-8,74961721230959;-8,73179269996394
"19";-8,53448463998031;-8,52746718653255;-8,55134325414407;-8,59501215760207;-8,62469991899997;-8,63319911352635;-8,64170617759365;-8,68721807857716;-8,66869933410372
"20";-8,48799724855867;-8,4808183962642;-8,50524379395172;-8,54991883560964;-8,58029170200165;-8,58898720126246;-8,59769082833724;-8,64425565368404;-8,62530820071919
"21";-8,45965905510506;-8,45242224873548;-8,47704490546656;-8,52208130973433;-8,5527002894906;-8,56146631625255;-8,57024056727437;-8,61718376587299;-8,59808224142512
"22";-8,44015183103488;-8,43296100466542;-8,45742719141103;-8,50217720139054;-8,5326013154;-8,54131152950193;-8,55002990471042;-8,59667397365461;-8,5776942059449
"23";-8,42340602086253;-8,4163286073867;-8,44040882548289;-8,48445219523086;-8,51439536235882;-8,52296780384158;-8,53154824067368;-8,57745368844486;-8,55877460201966
"24";-8,40514746951107;-8,398209195152;-8,42181589090515;-8,46499231171965;-8,49434541386145;-8,5027488230379;-8,51116002347901;-8,55615924551175;-8,53784907217935
"25";-8,38325912233218;-8,37646185161951;-8,39958868224695;-8,44188656127681;-8,4706417233174;-8,47887384659768;-8,48711355540061;-8,53119449383736;-8,51325813838608
"26";-8,35582435532351;-8,34915755794097;-8,37184036592777;-8,4133253660345;-8,44152731079051;-8,4496009644481;-8,45768201553713;-8,5009134312887;-8,48332289421164
"27";-8,32016918595649;-8,31363436480717;-8,33586804168544;-8,37653085704783;-8,40417328689021;-8,41208667244254;-8,42000726768448;-8,46237957602306;-8,44513875010324
"28";-8,27567286451517;-8,26927618393283;-8,29103975732342;-8,33084203771289;-8,35789888677498;-8,36564454285968;-8,37339721440722;-8,41487047051233;-8,39799560773419
"29";-8,2224819357142;-8,21622892669106;-8,23750357957197;-8,27641092052631;-8,30285880823342;-8,31043004268333;-8,31800809279308;-8,35854647524398;-8,34205214907929
"30";-8,16142004471693;-8,15530880320666;-8,17610102181676;-8,2141253462694;-8,23997242420096;-8,24737157777753;-8,25477735258862;-8,29439346890954;-8,27827453784482
"31";-8,09290564957655;-8,08693070987178;-8,10725910163794;-8,14443452490018;-8,16970404948855;-8,17693778998195;-8,1841779679019;-8,22290762428261;-8,20714950286447
"32";-8,01587274279046;-8,0100419346151;-8,02987985903133;-8,06615765020613;-8,09081648783116;-8,09787532884783;-8,10494041438314;-8,14273280541754;-8,12735616744785
"33";-7,93193438796843;-7,92625265782089;-7,94558328569647;-7,98093266970829;-8,00495990232767;-8,01183785594015;-8,01872185589941;-8,05554492352581;-8,04056281238951
"34";-7,84325750496472;-7,83772226705941;-7,85655440237558;-7,89099152776456;-7,91439816930061;-7,9210983941192;-7,92780447252173;-7,96367518719219;-7,94908068871106
"35";-7,75097926824871;-7,74558342733483;-7,76394122039244;-7,79751032932922;-7,8203265124068;-7,82685764348151;-7,83339444722708;-7,86835913609568;-7,85413338596202
"36";-7,65601077708824;-7,65074298388242;-7,66866506215616;-7,70143690029382;-7,7237107948167;-7,73008663398191;-7,736467982882;-7,77060067104032;-7,75671352986223
"37";-7,55909932500638;-7,55394576236578;-7,57147915169229;-7,60353983835291;-7,62533007598403;-7,63156742169677;-7,63781013567053;-7,67120091084666;-7,65761570081214
"38";-7,46030353065967;-7,45525559189773;-7,47242958515637;-7,50383276890562;-7,52517587763683;-7,53128519593621;-7,53739975460604;-7,57010474949319;-7,55679861629394
"39";-7,36013648940456;-7,35518922683207;-7,3720206637201;-7,40279718737934;-7,42371416862701;-7,42970147706063;-7,43569390587439;-7,46774539655089;-7,45470519872529
"40";-7,26093034709418;-7,25607118882642;-7,27260285488961;-7,30283105646248;-7,32337523193908;-7,32925580572912;-7,33514139856824;-7,36662128436338;-7,35381368094916
"41";-7,16289377031988;-7,15810945307353;-7,17438648675371;-7,20414901135506;-7,22437663375908;-7,23016658766757;-7,23596147892997;-7,26695615931886;-7,25434597753389
"42";-7,06560314026083;-7,0608809209204;-7,0769466906861;-7,10632294495584;-7,12628806440667;-7,13200288248259;-7,13772257520326;-7,16831507078814;-7,15586851294655
"43";-6,96888197924249;-6,96420569909638;-6,98011519796052;-7,00920587501051;-7,02897703249267;-7,03463635032743;-7,04030050429251;-7,07059609763332;-7,05827030278266
"44";-6,87271368781404;-6,86806887038407;-6,88387136617406;-6,91276667595703;-6,9324052764615;-6,9380266853006;-6,94365291341793;-6,97374592534902;-6,96150249514737
"45";-6,77662156931236;-6,77199971864594;-6,78772412584798;-6,81647701257247;-6,83601909579756;-6,84161292043278;-6,84721156028632;-6,87715735210746;-6,8649737484962
"46";-6,67818390575892;-6,67359321237593;-6,68921165776224;-6,71777109714439;-6,7371819405336;-6,74273823508735;-6,74829932919042;-6,77804458758101;-6,76594251231034
"47";-6,57598107019988;-6,57144131356775;-6,58688648398379;-6,61512924251116;-6,63432497582401;-6,63981971531229;-6,6453192100413;-6,67473513924079;-6,66276702212617
"48";-6,47406042679484;-6,46957351371591;-6,48483891946066;-6,51275311233616;-6,53172564411476;-6,53715651025814;-6,54259208436736;-6,57166625167344;-6,55983715451133
"49";-6,37601210885454;-6,37156083718984;-6,38670501983031;-6,4143978184849;-6,4332200847499;-6,43860796996464;-6,44400054058782;-6,47284494407215;-6,4611092756766
"50";-6,28428830392769;-6,27984164956808;-6,29497018950978;-6,3226348827451;-6,34143843006654;-6,34682101613194;-6,35220830983626;-6,38102495510351;-6,36930048407388
