"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-5,6885343496006;-5,6777281813821;-5,71460460962404;-5,78285388818031;-5,82984365481172;-5,84338405162716;-5,85697610602781;-5,93035486083155;-5,90036258247446
"2";-7,53215670022215;-7,52110354115502;-7,55881910112629;-7,62859392525828;-7,67661373739419;-7,69044793186788;-7,7043335616443;-7,77927430671786;-7,74864822950298
"3";-8,17837421902072;-8,16728994147546;-8,20511032220083;-8,27506904270765;-8,3232080081601;-8,33707542871863;-8,35099391766681;-8,42610363342384;-8,39541019683471
"4";-8,69658743009014;-8,68553250183971;-8,72325156444231;-8,79301421093814;-8,84101185839012;-8,85483761787751;-8,86871386852321;-8,94358841631167;-8,91299254467206
"5";-9,07541413975275;-9,06442797890466;-9,1019114661671;-9,17123146395537;-9,21891943134232;-9,23265522400449;-9,24644083929213;-9,32082052715496;-9,29042804394857
"6";-9,33554315442595;-9,32466287846698;-9,36178434168711;-9,43042925534642;-9,47764868483145;-9,4912489093309;-9,50489819167217;-9,57853764060486;-9,54844857185672
"7";-9,50223464035329;-9,4915104231761;-9,52809878820395;-9,59575307613642;-9,6422875105289;-9,65568991134828;-9,66914042025172;-9,74170343235767;-9,71205501167847
"8";-9,59823918108507;-9,58773128028107;-9,62358100086267;-9,6898648720041;-9,73545328590032;-9,74858271551983;-9,76175904731479;-9,83283906571375;-9,80379736064521
"9";-9,63994517894271;-9,62970066389056;-9,66465117843207;-9,729267945864;-9,77370641935663;-9,78650416893687;-9,79934741394403;-9,8686268007087;-9,8403215602929
"10";-9,63962447874601;-9,62967561086749;-9,66361688069471;-9,7263632913087;-9,76951218083638;-9,78193805529106;-9,79440788470659;-9,86166925368811;-9,83418926292659
"11";-9,59844909687629;-9,58883863401256;-9,6216247864609;-9,68223115975423;-9,72390500703557;-9,73590559768915;-9,74794841345962;-9,81290265288087;-9,7863660314914
"12";-9,51108191887698;-9,50190135928751;-9,53322014903463;-9,5911085633742;-9,6309094448099;-9,642370083999;-9,65387077944819;-9,71589644215645;-9,69055720110015
"13";-9,37296358145534;-9,36434605819693;-9,39374312189824;-9,44807235145459;-9,48542085238811;-9,49617454410486;-9,50696547097037;-9,56515722396556;-9,54138545453476
"14";-9,18890147871774;-9,1809546676831;-9,20806253418174;-9,25815230720595;-9,29257993197369;-9,302491657343;-9,31243727322612;-9,36606322679948;-9,34415810512916
"15";-8,97456707199625;-8,96733908000277;-8,99199359387615;-9,03754017805843;-9,06883786495452;-9,077847390241;-9,08688723548871;-9,13562105527338;-9,11571595141904
"16";-8,74872682629456;-8,74220303425584;-8,76445412548125;-8,80555023699079;-8,8337820487067;-8,8419078677781;-8,85006052186397;-8,89400276878352;-8,87605652827016
"17";-8,53343668490178;-8,5275456153627;-8,54763726225262;-8,58473487972173;-8,61021232515582;-8,61754424892339;-8,62489988661681;-8,66453774492902;-8,64835116646697
"18";-8,35055568991108;-8,34517594796873;-8,36352248350335;-8,3973889413836;-8,42064070488458;-8,42733113250904;-8,43404275907061;-8,47020267200998;-8,45543787619974
"19";-8,21492822972663;-8,20991337049611;-8,22701460798682;-8,25857541739755;-8,28023906863705;-8,28647177235177;-8,29272388450597;-8,32640228454951;-8,31265191635767
"20";-8,12862913950625;-8,12382502742585;-8,14020702918825;-8,17043631340975;-8,19118291500652;-8,19715132172247;-8,20313810925162;-8,2353837847095;-8,22221908423361
"21";-8,08885294747908;-8,08410338340873;-8,10029926227047;-8,13018425577807;-8,15069394352892;-8,15659410150103;-8,16251238858243;-8,19438840199856;-8,18137476446192
"22";-8,08438834481363;-8,07955376385017;-8,09603987306978;-8,1264628015836;-8,14734344161877;-8,15335057846409;-8,15937629112907;-8,19183291609019;-8,17858183058007
"23";-8,0995417190701;-8,09453414508643;-8,11161076443961;-8,14312780073665;-8,16476263530147;-8,17098723167271;-8,17723129298866;-8,21086772144822;-8,19713420653056
"24";-8,1197457994135;-8,11453026823319;-8,13231674329371;-8,16514898112225;-8,18769039188544;-8,19417638102751;-8,20068290231559;-8,23573745452347;-8,22142406483776
"25";-8,13747824872754;-8,13204620206532;-8,1505717534816;-8,1847733850325;-8,2082587660603;-8,21501693558982;-8,22179675109075;-8,25832801064903;-8,24341078229561
"26";-8,14785420498993;-8,14221231741011;-8,16145417636926;-8,19698312375295;-8,22138354984795;-8,22840557155197;-8,23545032429216;-8,27341322622057;-8,25791056831987
"27";-8,14954419690053;-8,14369794412271;-8,16363743718267;-8,20045923348591;-8,22575104284404;-8,23303010864064;-8,24033296911367;-8,27969072091762;-8,26361765605117
"28";-8,14229669108344;-8,1362524461053;-8,15686783735012;-8,19494234422588;-8,22109796763415;-8,22862614310827;-8,23617915100447;-8,27688885242409;-8,26026290021283
"29";-8,12576246202295;-8,11953055235179;-8,14078660718824;-8,18004867574306;-8,20702330365716;-8,21478768343416;-8,22257788716176;-8,26456966857497;-8,24741937658172
"30";-8,09899981938391;-8,0926001383137;-8,11442896964706;-8,15475295350996;-8,18246007526214;-8,19043573031994;-8,19843810555981;-8,24157686614722;-8,22395745512069
"31";-8,06169410897226;-8,05515036694275;-8,07747105784225;-8,118707168412;-8,1470436312876;-8,15520083411037;-8,16338553841469;-8,2075101432942;-8,1894874795356
"32";-8,01613746400167;-8,00945522492563;-8,03224879993809;-8,07436200363095;-8,10330374996978;-8,11163557755968;-8,11999566569032;-8,16506869113242;-8,14665805653236
"33";-7,96342188212753;-7,956607980602;-7,97985112418332;-8,02279832672401;-8,05231572820744;-8,06081364924666;-8,06934056012944;-8,11531583551681;-8,09653609186806
"34";-7,90409063164234;-7,89715899031908;-7,92080418937732;-7,96449744417394;-7,99452994094539;-8,00317650347448;-8,0118527180103;-8,05863565430259;-8,03952546514617
"35";-7,83849816480438;-7,83146598985858;-7,85545452162497;-7,89978510230035;-7,93025780290871;-7,93903142156255;-7,94783526984473;-7,99530884138022;-7,97591604646916
"36";-7,76706728053701;-7,75995221550321;-7,78422386328219;-7,82908026809156;-7,85991636250508;-7,86879489791794;-7,87770415341379;-7,92574832076655;-7,90612199344433
"37";-7,6904075488012;-7,68322606333258;-7,70772461635824;-7,7530027576904;-7,78413054062257;-7,79309332440792;-7,80208723718241;-7,85058993267365;-7,83077588794932
"38";-7,60975236965638;-7,60251533592852;-7,62720368875598;-7,67283486576749;-7,70420701608405;-7,71324040931792;-7,72230528705931;-7,7711925675689;-7,751221033071
"39";-7,52626927119477;-7,51898515153016;-7,54383442264288;-7,58976515659745;-7,62134483481271;-7,63043821910198;-7,63956340163212;-7,68877769482193;-7,66867220663567
"40";-7,44021252047699;-7,43290105846425;-7,45784385513754;-7,5039492931198;-7,53565044513302;-7,54477900968242;-7,55393958542194;-7,60334629778119;-7,5831618898034
"41";-7,35151078281524;-7,3441933649323;-7,36915668629525;-7,41530158335217;-7,44703099072544;-7,45616785889406;-7,46533684191461;-7,51479017063333;-7,49458646051251
