"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-5,83630976058704;-5,87415981573358;-5,91200987088012;-5,94985992602666;-5,9877099811732;-6,02556003631975;-6,06341009146629;-6,10126014661283;-6,13911020175937
"2";-8,43735511556314;-8,47848223026027;-8,51960934495741;-8,56073645965454;-8,60186357435168;-8,64299068904881;-8,68411780374594;-8,72524491844308;-8,76637203314021
"3";-8,62551726567625;-8,66130021627704;-8,69708316687782;-8,7328661174786;-8,76864906807939;-8,80443201868017;-8,84021496928095;-8,87599791988174;-8,91178087048252
"4";-8,78422220210374;-8,81775559539981;-8,85128898869588;-8,88482238199195;-8,91835577528801;-8,95188916858408;-8,98542256188015;-9,01895595517622;-9,05248934847229
"5";-9,10661346501585;-9,14182771318797;-9,17704196136008;-9,2122562095322;-9,24747045770432;-9,28268470587643;-9,31789895404854;-9,35311320222066;-9,38832745039277
"6";-9,22719952092476;-9,26084795924538;-9,29449639756601;-9,32814483588663;-9,36179327420725;-9,39544171252787;-9,42909015084849;-9,46273858916911;-9,49638702748973
"7";-9,45919717395174;-9,49733802430098;-9,53547887465023;-9,57361972499947;-9,61176057534871;-9,64990142569795;-9,68804227604719;-9,72618312639643;-9,76432397674567
"8";-9,34593932918034;-9,37946830753956;-9,41299728589879;-9,44652626425801;-9,48005524261724;-9,51358422097646;-9,54711319933568;-9,58064217769491;-9,61417115605413
"9";-9,44540475256518;-9,47930416548569;-9,5132035784062;-9,54710299132671;-9,58100240424722;-9,61490181716773;-9,64880123008823;-9,68270064300874;-9,71660005592925
"10";-9,5121848536582;-9,54611401624134;-9,58004317882449;-9,61397234140764;-9,64790150399079;-9,68183066657394;-9,71575982915709;-9,74968899174024;-9,78361815432338
"11";-9,34929921106204;-9,38008915049617;-9,41087908993029;-9,44166902936441;-9,47245896879853;-9,50324890823266;-9,53403884766678;-9,5648287871009;-9,59561872653502
