"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-5,40217201877612;-5,40280387183008;-5,41735258634944;-5,43697318675956;-5,45955067848301;-5,46705260561849;-5,48905578408326;-5,50232911783066;-5,5061339665731
"1";-7,90376305280015;-7,90463264804786;-7,92479574085075;-7,9520504124645;-7,98352043921291;-7,99401185925531;-8,02477185481148;-8,04332713845126;-8,04864798567357
"2";-8,33758318964606;-8,33852195813429;-8,3602001228119;-8,38947088073647;-8,42324040734271;-8,43448942957305;-8,46747620476882;-8,48737187753579;-8,4930758734899
"3";-8,53249722858159;-8,53344759845045;-8,5554652945134;-8,58521998153541;-8,61957275896346;-8,63102436049241;-8,66460010767306;-8,68485258367093;-8,69065857671631
"4";-8,7409068603549;-8,74187913501239;-8,76437924835928;-8,7947736679726;-8,82984531608276;-8,84153010376946;-8,875799276738;-8,89647020653448;-8,90239529547625
"5";-9,01640423985041;-9,01739596929793;-9,04038201888161;-9,07144351237534;-9,10732236696997;-9,11928816236474;-9,1543755017555;-9,17554339152512;-9,1816129200593
"6";-9,19839927815255;-9,19942578377433;-9,22324640469576;-9,25544765999181;-9,29263779955769;-9,30503900950407;-9,34140337106583;-9,36333724481838;-9,36962498660108
"7";-9,24561190352644;-9,24665520656561;-9,27078893709823;-9,30338321831625;-9,34095740940766;-9,35346427029801;-9,39014096431854;-9,41226328447517;-9,4186046387336
"8";-9,35295421755251;-9,35399230995747;-9,37806681323975;-9,41060533423261;-9,44817025031078;-9,4606955636856;-9,49742217785779;-9,51957816368565;-9,52592847838122
"9";-9,26904218355442;-9,27007152361146;-9,29393947906932;-9,3261866274489;-9,36338591500696;-9,37577737085477;-9,41212127756734;-9,43404362369829;-9,4403275221564
"10";-9,20396232842886;-9,20498531724009;-9,2286900862588;-9,26071300600162;-9,29763977215947;-9,30993150762607;-9,3459850126541;-9,36773018184241;-9,37396379879419
"11";-9,27447137262347;-9,27548874515243;-9,29912887374067;-9,33110288051602;-9,36803666713267;-9,38035565774713;-9,41648285045396;-9,43827500757458;-9,44452243751369
"12";-9,17784748992402;-9,17886059827735;-9,20236181966856;-9,23413207594152;-9,2708202988121;-9,28305434385614;-9,31893783447044;-9,34058311346898;-9,34678890797855
"13";-8,93798838784825;-8,9389773586238;-8,96189040227962;-8,99286086923978;-9,02860493256698;-9,04051539400765;-9,075449295577;-9,09652095374769;-9,10256194491269
"14";-8,62680279870515;-8,62775039844897;-8,64971026563463;-8,67939771284785;-8,7136628943261;-8,72508011858792;-8,75856463791451;-8,77876237957722;-8,78455235094899
"15";-8,28638677001543;-8,28728901563262;-8,30823638454969;-8,3365673242181;-8,3692883890764;-8,38020012037501;-8,41220245545649;-8,4315066219199;-8,43704027710246
"16";-7,89957518785712;-7,90043922218935;-7,92048255468357;-7,94758360113042;-7,97887485893593;-7,9893069297753;-8,01990150992364;-8,0383576466706;-8,04364792772948
"17";-7,51244002726433;-7,51326663954887;-7,53241595229422;-7,55829844982599;-7,58816654114172;-7,59811770950441;-7,62730415676774;-7,64491023494913;-7,64995737536448
"18";-7,21083510927846;-7,21162965383778;-7,23001115203083;-7,2548548591719;-7,28351970949127;-7,29306598553249;-7,32107051024968;-7,33796180367908;-7,3428041158098
"19";-7,08985565358435;-7,09062621930792;-7,10849560625064;-7,13266497081184;-7,16057468174192;-7,16987816397707;-7,19716730735604;-7,21362764346491;-7,21834610773677
"20";-7,07249831777282;-7,0732610787532;-7,09097764373741;-7,11494753012568;-7,14263119320187;-7,1518621703386;-7,17893534912453;-7,19526691660126;-7,19994774324707
"21";-7,08264627270347;-7,08341230923675;-7,10119835824426;-7,12525833916222;-7,15304825722503;-7,16231511102494;-7,18949052773791;-7,20588427875439;-7,21058259193267
"22";-7,07825723233621;-7,07902502297801;-7,09684466463924;-7,12095083776142;-7,14880190872324;-7,15809192273997;-7,18533777982278;-7,20177318911708;-7,20648436496694
"23";-7,05461969070349;-7,05538225928512;-7,07308903835197;-7,09704486347415;-7,12473051480833;-7,13396869978541;-7,16106508844613;-7,17740906327661;-7,18209484042769
"24";-7,02374187892161;-7,02449797159046;-7,04205242906511;-7,06579628200694;-7,09323803754166;-7,10239570090868;-7,12925512355995;-7,14545594191616;-7,15010082609577
"25";-6,98234660518719;-6,98309629226055;-7,00048842658118;-7,02400472114241;-7,05118609710739;-7,06025845736348;-7,08686783599723;-7,10291795487425;-7,10751932894676
"26";-6,94856545424033;-6,94931060292478;-6,96658465507198;-6,98993503586887;-7,01692532062777;-7,025933903776;-7,05235830459128;-7,0682967192711;-7,07286579854825
"27";-6,94029722399606;-6,94103853665363;-6,95823198842963;-6,98148027205378;-7,00835416350857;-7,01732509656933;-7,04363831740273;-7,05951002701515;-7,0640601700566
"28";-6,94272741879241;-6,94346525014215;-6,96059916035372;-6,98377954860759;-7,01058061978899;-7,01952994234561;-7,04577922577723;-7,06161287778575;-7,06615237693755
"29";-6,94217407483493;-6,94290991640049;-6,96001986441605;-6,9831786098009;-7,00996192899309;-7,01890812704139;-7,04514722200664;-7,06097486938645;-7,06551236354217
"30";-6,92060737812655;-6,92134043473772;-6,93839106665962;-6,96147081022387;-6,98815528071951;-6,99706608646963;-7,02320061829988;-7,03896493045514;-7,0434841259778
"31";-6,89637115084726;-6,89709910127523;-6,91402744508264;-6,93694113218265;-6,96342960438097;-6,97227393429005;-6,99821289563605;-7,01385926196578;-7,01834486982745
"32";-6,88804430226431;-6,8887732873175;-6,90571274548041;-6,92864025302558;-6,95514297334102;-6,96399176331945;-6,98994272339189;-7,00559657368541;-7,01008427896518
"33";-6,88246593490073;-6,88319980427943;-6,9002376869478;-6,92329235557711;-6,94994370229114;-6,95884207676661;-6,98493804121839;-7,00067945266637;-7,00519207340893
"34";-6,86151856848108;-6,86225606827715;-6,87936284774212;-6,90250092406891;-6,92924423793792;-6,93817075713149;-6,96434909366528;-6,98013959985203;-6,98466615849071
"35";-6,84396719072666;-6,84470484125825;-6,86181537153651;-6,88495342231519;-6,91169609668653;-6,92062143793814;-6,94679519110834;-6,96258285429195;-6,96710854059747
"36";-6,83973998981904;-6,84047746169187;-6,85759206407644;-6,88073618390823;-6,90748620972431;-6,91641393535008;-6,94259444923061;-6,95838644512561;-6,96291316080078
"37";-6,83654184156989;-6,837279582622;-6,85440420340858;-6,87756378986518;-6,90433081601429;-6,91326371168659;-6,93946177741519;-6,95526455370058;-6,95979467712673
"38";-6,83424776596761;-6,83498520300175;-6,85210701748229;-6,87526684555736;-6,90204022638646;-6,91097738320929;-6,93719035552736;-6,95300237668407;-6,95753578310192
"39";-6,80701702107813;-6,80775326828261;-6,82483893474709;-6,84794973201488;-6,87466787513624;-6,88358718672685;-6,9097493331446;-6,9255302156492;-6,93005509827277
"40";-6,74994454018124;-6,75067680941294;-6,76766052864531;-6,79063001672929;-6,81717890651252;-6,82603951735909;-6,85202955048807;-6,86770606066371;-6,87220089001947
"41";-6,67776406375052;-6,67848956835485;-6,69531397164609;-6,71806694852079;-6,74435992577083;-6,75313245405424;-6,77886350168601;-6,79438397446114;-6,79883366212179
"42";-6,6002227820965;-6,60094183995152;-6,61761224910169;-6,64015510873534;-6,66619659272659;-6,67488180676454;-6,70035621896413;-6,71572196654056;-6,72012683530176
"43";-6,51952402649029;-6,52023839388347;-6,53678455936282;-6,55915093967097;-6,58497270580676;-6,59357951034637;-6,61882367500329;-6,63405002187462;-6,63841431153691
"44";-6,44425957860656;-6,44496905000065;-6,46138692630026;-6,48357244319466;-6,5091727929711;-6,51770195299815;-6,54271807229365;-6,55780637700198;-6,56213049101376
"45";-6,37982937060457;-6,38053211764816;-6,39679540189953;-6,41877305450085;-6,44413561852527;-6,45258663280914;-6,47737387527453;-6,4923238755426;-6,49660806903477
"46";-6,31967962703337;-6,32037511987668;-6,33648330246986;-6,35825642215932;-6,38339519903617;-6,39177583967144;-6,41635731552104;-6,43118330087284;-6,43543223258697
"47";-6,255368911773;-6,25605780155542;-6,27202847792966;-6,29362060114393;-6,31855888211471;-6,32687503144651;-6,35126648409037;-6,36597861445386;-6,37019571077659
"48";-6,17434922431314;-6,17503070710011;-6,19083575544879;-6,21220569301708;-6,23688345981439;-6,24511043171523;-6,26923920683879;-6,28379384102241;-6,2879667197301
"49";-6,07725833024995;-6,07793093219355;-6,09352043048431;-6,11459603016024;-6,13892236825006;-6,14702739719009;-6,17079865097307;-6,18513807403978;-6,18924976771886
"50";-5,97812118446878;-5,97878470127009;-5,99414742936713;-6,01491201955822;-6,03887130832045;-6,04685106323179;-6,07025541455264;-6,08437324191956;-6,08842118573443
"51";-5,88181374437243;-5,88246776124718;-5,89759991731363;-5,91804994036345;-5,94164582293368;-5,94950475938739;-5,97255497875863;-5,98645833256438;-5,99044416479503
"52";-5,78843820581088;-5,78908150849077;-5,8039666482327;-5,8240829377532;-5,84729716504875;-5,85503062245346;-5,87771267326001;-5,89139310277285;-5,89531446419007
"53";-5,69454018447713;-5,69517259867124;-5,70981251769479;-5,72959950230877;-5,75243660196554;-5,76004526909313;-5,78236164862198;-5,79582103369698;-5,7996785542533
"54";-5,59247740574579;-5,59309966556486;-5,60750575518154;-5,62697635624736;-5,649447703269;-5,6569335869378;-5,67889103943716;-5,69213370409627;-5,69592873940035
"55";-5,48104857427372;-5,48166059976834;-5,49582275929527;-5,51495899906053;-5,53703859010356;-5,54439140864101;-5,56595945947523;-5,57896741362628;-5,58269514868559
"56";-5,36274187814133;-5,36334241438559;-5,37722999749694;-5,39599051555026;-5,41762847031908;-5,42483121202152;-5,44595961357854;-5,45870294112256;-5,46235505341729
"57";-5,24225315241994;-5,24284117053908;-5,25643665367271;-5,27480261982804;-5,29598129221886;-5,30302971251323;-5,32370625636768;-5,33617742486743;-5,33975166756642
"58";-5,1263696193859;-5,12694575192489;-5,1402678497236;-5,15826760376982;-5,17902403863812;-5,18593222161997;-5,20619778573834;-5,21842108144702;-5,22192433188883
"59";-5,01373615837526;-5,01430173363904;-5,02737409392277;-5,04503726782375;-5,06540464011889;-5,07218309549882;-5,09206792444735;-5,10406162001757;-5,10749926990037
"60";-4,89987660143269;-4,90043167387696;-4,91324930198844;-4,93056663345243;-4,95053161517197;-4,9571745879286;-4,97666162744166;-4,98841551146382;-4,99178472049332
"61";-4,78842503428296;-4,7889687962454;-4,80152016623605;-4,8184777699161;-4,83802567865636;-4,84452877145062;-4,86360469172162;-4,87511035685933;-4,87840855136612
"62";-4,68403834106622;-4,68457038888926;-4,69685764242504;-4,71346127744343;-4,73260432951584;-4,73897363207121;-4,75765596049426;-4,76892357217002;-4,77215348528296
"63";-4,58448831614574;-4,58500820381605;-4,59702512620749;-4,61326655548135;-4,63199960851251;-4,63823480552245;-4,65652272583652;-4,66755195790774;-4,67071344123746
"64";-4,48307303790891;-4,48357983980093;-4,49530057973402;-4,5111422949664;-4,52941890029168;-4,53550350779159;-4,55334905715419;-4,56411152676756;-4,56719644407454
"65";-4,37544445492224;-4,37593767211835;-4,38734205675618;-4,40275404727504;-4,42053214028698;-4,4264497582975;-4,44380590855351;-4,45427353354235;-4,45727386284035
"66";-4,2660094184493;-4,26648959742429;-4,27758606034879;-4,2925794002491;-4,30987016248521;-4,31562401484625;-4,33250139759563;-4,34268044408872;-4,34559801369768
"67";-4,16138261434629;-4,16185059073432;-4,17266122435037;-4,18726705168317;-4,2041108986307;-4,20971616452797;-4,22615925330948;-4,2360763365288;-4,23891877106922
"68";-4,05941424339857;-4,05986993389734;-4,07039432133657;-4,08461230676849;-4,10101093066744;-4,1064691487512;-4,12248159864782;-4,1321389664689;-4,13490693030919
"69";-3,95553149379224;-3,95597394550142;-3,96618826538142;-3,97998571755661;-3,99589943501524;-4,00119680568779;-4,0167374032706;-4,02611040826003;-4,02879690877113
"70";-3,85147225011192;-3,85190109810447;-3,86179834651056;-3,87516592048174;-3,89058265658311;-3,89571479785098;-3,91076984824441;-3,91985029805835;-3,92245301177812
"71";-3,74905086881388;-3,74946693886837;-3,75907071101827;-3,77204067885513;-3,78699849098477;-3,79197856238939;-3,8065858910195;-3,81539647820161;-3,81792186689544
"72";-3,64653458469897;-3,64693875087862;-3,65627230796721;-3,66887727841873;-3,68341533616734;-3,68825689476273;-3,70245643375187;-3,71102121102813;-3,71347615902662
"73";-3,54349809580549;-3,54389062495858;-3,55296118479431;-3,56521318980049;-3,57934618788944;-3,58405383743763;-3,59786025414982;-3,60618815548286;-3,60857526675912
"74";-3,43965040882629;-3,44003164998379;-3,44884498017907;-3,46075227990028;-3,4744883826264;-3,47906339786855;-3,49248195372002;-3,50057601262149;-3,5028961741435
"75";-3,33237359961717;-3,33274416451075;-3,34130725681862;-3,35287646902629;-3,36622065659564;-3,37066299684893;-3,3836948158038;-3,39155527601072;-3,3938084953109
"76";-3,22109711529821;-3,22145716396097;-3,22976682901514;-3,24099114380434;-3,25393439639251;-3,2582406036235;-3,27087590792582;-3,27849654746037;-3,28068090620991
"77";-3,10853464560897;-3,10888366621182;-3,11692780340627;-3,12779163990349;-3,14031686220788;-3,14448209932421;-3,15670610171465;-3,16407806234248;-3,16619088523995
"78";-2,99648073595262;-2,99681786465767;-3,00458234038331;-3,01506884186445;-3,02715827549497;-3,03117779522269;-3,04297550043803;-3,05009004996361;-3,05212880534715
"79";-2,88497381013101;-2,8852979679034;-2,89276498790779;-2,90285132657171;-2,91448046610556;-2,91834714529296;-2,92969644621389;-2,93654057021486;-2,93850164886258
"80";-2,77348525988199;-2,77379536111044;-2,78094438991946;-2,79060290189899;-2,80174047328541;-2,80544453556742;-2,81631566253654;-2,82287158783187;-2,82475010220666
"81";-2,66070072588865;-2,66099619531723;-2,66781488415352;-2,67702870752403;-2,68765334911272;-2,69118742993048;-2,70155836261564;-2,70781281491755;-2,7096051544055
"82";-2,54613317693501;-2,5464143478644;-2,55290968636353;-2,56168836831736;-2,57180813806028;-2,57517402877121;-2,58505036580343;-2,59100660728674;-2,59271380642293
"83";-2,43144608802522;-2,43171414326765;-2,43791262598085;-2,44629222116647;-2,45594717559687;-2,45915743547238;-2,4685764247799;-2,47425675466121;-2,475885173327
"84";-2,31805361920097;-2,31830988818959;-2,32424050744879;-2,33225999476459;-2,34149524422038;-2,34456450079203;-2,3535690548498;-2,35899921528192;-2,36055612501294
"85";-2,20614847412491;-2,20639335487252;-2,21206325456692;-2,21973168262582;-2,22855920816983;-2,23149164177714;-2,24009387696201;-2,24528121649159;-2,24676863612601
"86";-2,09638949628395;-2,09662218665511;-2,10201213147893;-2,10930289335466;-2,11769494209307;-2,12048228724702;-2,12865808374524;-2,13358832411827;-2,13500209670864
"87";-1,98824830932115;-1,98846784486132;-1,9935538682201;-2,00043312940563;-2,00835282383113;-2,01098370098872;-2,01870032941125;-2,02335394919672;-2,02468837512586
"88";-1,8782595876874;-1,87846578773315;-1,88323797312709;-1,88968942060276;-1,89711688381517;-1,89958435306396;-1,90682248912545;-1,91118771595414;-1,91243929815951
"89";-1,76529675387357;-1,76549002716195;-1,76995210190395;-1,77597857674233;-1,7829149966494;-1,7852185825796;-1,7919774598304;-1,79605355673305;-1,79722204605205
"90";-1,65520874109897;-1,65538967564321;-1,65955620195964;-1,66517863303684;-1,6716493860437;-1,67379786078685;-1,68010276458398;-1,68390495093049;-1,68499478704869
"91";-1,55481863361742;-1,55498806627488;-1,55888478322556;-1,5641417272643;-1,57019566040848;-1,57220690307469;-1,57810929717712;-1,58166884337518;-1,58268910112219
"92";-1,46371744738194;-1,46387621924143;-1,46752786643641;-1,4724558401573;-1,47813821341726;-1,4800285699549;-1,48557601932314;-1,48892176729657;-1,48988078349075
"93";-1,37629311208161;-1,37644141276568;-1,37985449545886;-1,38446351362324;-1,38978498079087;-1,39155779205272;-1,39676046803434;-1,39989845195211;-1,40079797359531
"94";-1,28907838118111;-1,28921584107655;-1,29238269023745;-1,29666261620367;-1,3016072415937;-1,30325570522812;-1,30809397338176;-1,31101212931975;-1,31184867666843
"95";-1,20238475535582;-1,20251124144647;-1,20542873200439;-1,209374818426;-1,21393200851017;-1,21545068660593;-1,21990842033064;-1,22259685747719;-1,22336755593763
"96";-1,11735165745004;-1,1174673836953;-1,12013953841972;-1,12375590130999;-1,12792770354137;-1,12931612830123;-1,13339155873935;-1,13584919982379;-1,13655374029165
"97";-1,0350063778721;-1,03511126202535;-1,03753698584283;-1,04082136148151;-1,04460742846462;-1,04586604121401;-1,04956006344527;-1,05178766040958;-1,05242635935727
"98";-0,956871830049271;-0,956965400804188;-0,959138029511422;-0,962082660802877;-0,965480331458711;-0,966610235242305;-0,96992557261884;-0,971925190757856;-0,972498833193673
"99";-0,8837439343239;-0,883825908559769;-0,885744196106893;-0,888350072909311;-0,891366789859133;-0,892372508488293;-0,895321826747215;-0,897101563163658;-0,897612665415978
"100";-0,814080696868514;-0,814151138595594;-0,815819610887138;-0,818094809265363;-0,820743120504372;-0,821629878849205;-0,82422810535547;-0,825797232166811;-0,826248559883757
