"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-5,22692737046136;-5,37736057388849;-5,3538300764783;-5,35171814327515;-5,34750761073881;-5,47983924317143;-5,65213924150436;-5,57803126935064;-5,67519501780429
"1";-7,98656494035407;-7,902007552326;-7,84936381884058;-7,98656494035407;-7,95757740348081;-7,98656494035407;-8,07893826048508;-8,01641790350375;-8,37743124904108
"2";-8,29404964010203;-8,18072095479502;-8,37743124904108;-8,33487163462228;-8,42188301161191;-8,67971212091401;-8,42188301161191;-8,56848648580379;-8,87386813535497
"3";-8,80487526386802;-8,42188301161191;-8,62255370707406;-8,94797610750869;-8,80487526386802;-9,02801881518223;-9,02801881518223;-8,67971212091401;-8,87386813535497
"4";-8,87386813535497;-8,67971212091401;-8,80487526386802;-8,87386813535497;-9,21034037197618;-9,31570088763401;-8,94797610750869;-9,31570088763401;-9,21034037197618
"5";-8,94797610750869;-9,56701531591492;-9,43348392329039;-8,67971212091401;-8,94797610750869;-8,87386813535497;-9,02801881518223;-8,74033674273045;-9,21034037197618
"6";-9,02801881518223;-8,80487526386802;-8,87386813535497;-9,11503019217186;-8,62255370707406;-9,11503019217186;-9,90348755253613;-9,21034037197618;-9,11503019217186
"7";-9,21034037197618;-9,56701531591492;-9,56701531591492;-9,21034037197618;-9,56701531591492;-9,11503019217186;-9,31570088763401;-9,31570088763401;-9,21034037197618
"8";-9,43348392329039;-9,21034037197618;-9,02801881518223;-9,43348392329039;-8,67971212091401;-9,31570088763401;-9,31570088763401;-9,31570088763401;-9,21034037197618
"9";-9,02801881518223;-9,31570088763401;-9,02801881518223;-9,21034037197618;-9,56701531591492;-9,56701531591492;-9,11503019217186;-9,43348392329039;-9,72116599574217
"10";-9,72116599574217;-9,21034037197618;-8,87386813535497;-9,11503019217186;-9,21034037197618;-9,31570088763401;-9,11503019217186;-9,56701531591492;-9,31570088763401
"11";-9,02801881518223;-9,31570088763401;-9,31570088763401;-9,72116599574217;-9,72116599574217;-9,72116599574217;-9,43348392329039;-9,31570088763401;-9,43348392329039
"12";-8,80487526386802;-8,94797610750869;-9,43348392329039;-9,21034037197618;-9,31570088763401;-9,31570088763401;-9,21034037197618;-9,90348755253613;-9,43348392329039
"13";-8,56848648580379;-8,80487526386802;-9,02801881518223;-8,80487526386802;-9,21034037197618;-9,31570088763401;-8,94797610750869;-8,67971212091401;-9,02801881518223
"14";-8,80487526386802;-9,02801881518223;-8,80487526386802;-8,87386813535497;-8,29404964010203;-8,67971212091401;-8,94797610750869;-8,56848648580379;-9,43348392329039
"15";-8,33487163462228;-8,29404964010203;-8,0471895621705;-8,14562963498375;-8,56848648580379;-8,33487163462228;-8,29404964010203;-8,56848648580379;-8,46840302724681
"16";-8,25482892694875;-8,01641790350375;-8,07893826048508;-7,87533930524384;-7,82404601085629;-8,01641790350375;-8,2170885989659;-8,33487163462228;-8,46840302724681
"17";-7,50559227973776;-7,52394141840595;-7,60090245954208;-7,60090245954208;-7,50559227973776;-7,72873583105197;-7,77525584668686;-7,92940652651412;-8,0471895621705
"18";-7,08210866612691;-7,26443022292087;-7,40205160079692;-7,48757377423508;-7,3232707229438;-7,5616817463888;-7,45248245442381;-7,5810998322459;-7,79935339826592
"19";-7,26443022292087;-7,25024558792891;-7,29341775979412;-7,3232707229438;-7,46987419713568;-7,52394141840595;-7,30823284557926;-7,46987419713568;-7,46987419713568
"20";-7,09408485717363;-7,25024558792891;-7,22246602382184;-7,3697907385787;-7,40205160079692;-7,25024558792891;-7,43538802106451;-7,38579107992514;-7,38579107992514
