"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,46990212529854;-4,47006279910809;-4,4737541304937;-4,47871704560376;-4,48446328376268;-4,48637474377674;-4,49193898557977;-4,49527004085108;-4,49622077278852
"2";-6,36103968319428;-6,36128523324762;-6,36692714916525;-6,37451458792877;-6,38330269621454;-6,38622680946353;-6,39474127511901;-6,39984030029568;-6,40129589725174
"3";-7,02024982782308;-7,02054138909278;-7,02724120421;-7,03625361332852;-7,04669570178776;-7,05017104592478;-7,06029330883044;-7,06635723419125;-7,06808857183611
"4";-7,5517508377194;-7,5520786518977;-7,55961198496665;-7,56974707554774;-7,58149219415546;-7,585401785971;-7,59679057516517;-7,60361454495888;-7,60556307478839
"5";-7,94226328679787;-7,94261550689198;-7,9507099308272;-7,96160062619934;-7,97422251535834;-7,97842424502276;-7,99066491733721;-7,99799997896251;-8,00009454174286
"6";-8,21160001921336;-8,21196815982892;-8,2204285761936;-8,23181208073906;-8,24500570781822;-8,24939791480127;-8,26219395088104;-8,26986215030504;-8,27205189168083
"7";-8,38975530075768;-8,39013719854659;-8,39891394808624;-8,41072362821978;-8,42441204718326;-8,42896918775884;-8,442246388314;-8,45020342497648;-8,45247571809815
"8";-8,50447583684926;-8,50487513954444;-8,51405224715289;-8,52640177589165;-8,54071769030157;-8,54548418447973;-8,55937269766631;-8,56769711910502;-8,57007447398447
"9";-8,5724825137309;-8,57290493188317;-8,58261386842712;-8,59568088231495;-8,61083132348138;-8,61587638430938;-8,63057873818992;-8,63939257875556;-8,64190993971479
"10";-8,60507215191619;-8,60552422874022;-8,61591561071299;-8,62990353779042;-8,64612547769076;-8,6515282977602;-8,6672761313431;-8,67671889838112;-8,67941620336766
"11";-8,6028826008788;-8,60337103633119;-8,61459908622866;-8,62971621860598;-8,64725228559012;-8,65309394530692;-8,67012441201533;-8,68033892840504;-8,68325706373139
"12";-8,56392998996288;-8,56446333337804;-8,57672483323856;-8,59323691130456;-8,61239660218672;-8,61878051512383;-8,63739605280753;-8,64856442957274;-8,65175552457548
"13";-8,48640407083466;-8,48699336358387;-8,50054244327571;-8,51879261374269;-8,53997551883679;-8,54703518715077;-8,56762618441863;-8,57998345806441;-8,58351478721176
"14";-8,37002868675078;-8,37068680592624;-8,38581983830065;-8,40620826164809;-8,42988032285499;-8,43777140642883;-8,46079301495248;-8,47461318998818;-8,47856317824275
"15";-8,21823180302007;-8,21896864275085;-8,23591335372645;-8,25874752756197;-8,28526682785047;-8,29410896275704;-8,31991102807738;-8,33540473496079;-8,33983367151314
"16";-8,03773087034699;-8,03855146204564;-8,05742367032629;-8,08286002980506;-8,11240880909558;-8,12226289970465;-8,1510235750018;-8,16829811412979;-8,17323671756411
"17";-7,84485930858691;-7,84576126684826;-7,86650609741156;-7,8944706339807;-7,926962846057;-7,93780017887365;-7,96943560380062;-7,98844056433756;-7,99387441674189
"18";-7,66068361191948;-7,66165765511512;-7,68406151249016;-7,71426591328442;-7,7493659769332;-7,76107447444205;-7,79525702978061;-7,81579525535227;-7,82166793749133
"19";-7,51201887732997;-7,51305438660614;-7,53687286778314;-7,56898712683484;-7,60631076439502;-7,61876204299057;-7,65511631582839;-7,67696179213598;-7,68320861282265
"20";-7,41373838247739;-7,41482825094862;-7,43989774843488;-7,47370084086896;-7,51299050375472;-7,52609847469321;-7,56437259492016;-7,58737358539514;-7,59395109929735
"21";-7,373880250869;-7,37502239425441;-7,40129486719985;-7,4367217066529;-7,47790126693899;-7,49164041124809;-7,5317594990912;-7,55587072926426;-7,5627659498735
"22";-7,38623374417063;-7,38743207273881;-7,41499743195283;-7,45216914283976;-7,49537921618706;-7,50979640397001;-7,55189718666237;-7,57720072625585;-7,5844371088238
"23";-7,43660410884837;-7,43786359343016;-7,46683617387886;-7,50590690474461;-7,55132663186531;-7,56648162174872;-7,61073856798926;-7,63733924875718;-7,64494676937063
"24";-7,50960560254864;-7,51092992260773;-7,5413943636954;-7,58247825044183;-7,63024030837371;-7,64617736858238;-7,69271974979725;-7,72069526702558;-7,728696145243
