"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-5,63417926872764;-5,63624887723892;-5,68418007369432;-5,74980380466761;-5,82752909286694;-5,8538098928438;-5,93155735661963;-5,97900808316757;-5,99267845203693
"2";-7,48523390379115;-7,48733786902314;-7,53605399389215;-7,6027195013458;-7,68163088979919;-7,70830130667853;-7,78716845008182;-7,8352788701071;-7,84913603146151
"3";-8,10684781521886;-8,10894785309192;-8,15756915180475;-8,22409299857041;-8,30281941007264;-8,32942316877067;-8,40808126450853;-8,45605558384056;-8,46987236131954
"4";-8,6067237523859;-8,6088180102152;-8,65730228970834;-8,72362889190073;-8,80210766544663;-8,82862433783127;-8,90701513962086;-8,95481938094337;-8,96858620244361
"5";-8,97571284154718;-8,97780363254237;-9,02620530539965;-9,0924117276173;-9,17073786929461;-9,19720047157331;-9,27542422350946;-9,32312141506703;-9,3368566934451
"6";-9,22995765928047;-9,23204545049576;-9,28037604360603;-9,34648023851888;-9,42467816617373;-9,4510957092663;-9,52918124298591;-9,57679054360185;-9,59050001380886
"7";-9,39146062552054;-9,39354040104514;-9,44168423227016;-9,50752929664124;-9,58541532321637;-9,61172621252707;-9,68949279265575;-9,7369049611925;-9,75055729809867
"8";-9,48074363943753;-9,48280539436159;-9,53053102985648;-9,5958009438969;-9,67300199607454;-9,69908037909573;-9,77615653454812;-9,82314546104765;-9,83667560676353
"9";-9,51290040431504;-9,51493339664356;-9,56199222733474;-9,62634713625725;-9,70246144538096;-9,72817165578347;-9,80415656239864;-9,85047799189081;-9,86381562927524
"10";-9,49886069950451;-9,50085414958853;-9,54699662682615;-9,61009518300679;-9,68471891231581;-9,70992451273191;-9,78441485859646;-9,82982286922199;-9,8428971804295
"11";-9,4380139958023;-9,43995566401192;-9,4848984060574;-9,5463528772436;-9,61902716016983;-9,64357308444058;-9,71611038435144;-9,76032533566169;-9,77305578240806
"12";-9,32569165419283;-9,32756760481811;-9,37098794980057;-9,43035682534523;-9,50055910114225;-9,5242687469003;-9,59433080525349;-9,63703417384566;-9,64932901591486
"13";-9,15631519742211;-9,15810882912787;-9,19962237023048;-9,25637957162107;-9,323487071032;-9,34614994207199;-9,41311426241456;-9,45392628680739;-9,4656761384168
"14";-8,92518348412919;-8,92687374463661;-8,96599294780938;-9,01947106383909;-9,08269342035591;-9,1040423035497;-9,16711846267224;-9,20555679268823;-9,21662269888619
"15";-8,64006015940937;-8,64162942532983;-8,67794617768443;-8,72758656392761;-8,78626227803055;-8,80607354351453;-8,8646000816351;-8,90026109703627;-8,9105267875753
"16";-8,31567025942486;-8,3171078680805;-8,3503752894965;-8,39584012815933;-8,44956936407705;-8,46770788430879;-8,52128524051056;-8,55392521970689;-8,56332049835713
"17";-7,98152256862374;-7,98283006408843;-8,01308400007395;-8,05442262933596;-8,10326420323309;-8,11974995619541;-8,16843749373902;-8,1980928552462;-8,20662823995711
