"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-6,09013011305012;-6,14140403076183;-6,19267794847354;-6,24395186618525;-6,29522578389697;-6,34649970160868;-6,39777361932039;-6,4490475370321;-6,50032145474381
"2";-8,69121775070058;-8,7485044306511;-8,80579111060161;-8,86307779055213;-8,92036447050264;-8,97765115045316;-9,03493783040367;-9,09222451035419;-9,1495111903047
"3";-8,84716980942832;-8,88962133618977;-8,93207286295123;-8,97452438971269;-9,01697591647415;-9,05942744323561;-9,10187896999707;-9,14433049675853;-9,18678202351999
"4";-8,94546212473572;-8,98174286315772;-9,01802360157972;-9,05430434000172;-9,09058507842372;-9,12686581684572;-9,16314655526772;-9,19942729368972;-9,23570803211172
"5";-9,06749312919554;-9,10108874827938;-9,13468436736322;-9,16827998644706;-9,2018756055309;-9,23547122461473;-9,26906684369857;-9,30266246278241;-9,33625808186625
"6";-9,1210077859976;-9,15266020748839;-9,18431262897918;-9,21596505046998;-9,24761747196077;-9,27926989345156;-9,31092231494235;-9,34257473643314;-9,37422715792394
"7";-9,1451317028884;-9,17422417025789;-9,20331663762738;-9,23240910499687;-9,26150157236636;-9,29059403973585;-9,31968650710534;-9,34877897447483;-9,37787144184432
"8";-9,20817953395896;-9,23530688666479;-9,26243423937062;-9,28956159207645;-9,31668894478227;-9,3438162974881;-9,37094365019393;-9,39807100289976;-9,42519835560559
"9";-9,13246572232915;-9,15582830806911;-9,17919089380907;-9,20255347954904;-9,225916065289;-9,24927865102897;-9,27264123676893;-9,29600382250889;-9,31936640824886
"10";-9,23237054049323;-9,2557782435286;-9,27918594656397;-9,30259364959934;-9,32600135263471;-9,34940905567008;-9,37281675870545;-9,39622446174083;-9,4196321647762
"11";-9,2532151099944;-9,27722779535116;-9,30124048070792;-9,32525316606468;-9,34926585142144;-9,3732785367782;-9,39729122213496;-9,42130390749172;-9,44531659284849
"12";-9,27481552792606;-9,29906980936717;-9,32332409080828;-9,34757837224938;-9,37183265369049;-9,3960869351316;-9,4203412165727;-9,44459549801381;-9,46884977945492
"13";-9,15512499094996;-9,17832092634583;-9,20151686174169;-9,22471279713756;-9,24790873253342;-9,27110466792928;-9,29430060332515;-9,31749653872101;-9,34069247411688
"14";-9,09816239539265;-9,12052363127403;-9,14288486715542;-9,16524610303681;-9,18760733891819;-9,20996857479958;-9,23232981068097;-9,25469104656235;-9,27705228244374
"15";-8,87346175729525;-8,89411459907006;-8,91476744084486;-8,93542028261966;-8,95607312439446;-8,97672596616927;-8,99737880794407;-9,01803164971887;-9,03868449149367
"16";-8,64071895756679;-8,66086104302326;-8,68100312847972;-8,70114521393619;-8,72128729939265;-8,74142938484911;-8,76157147030558;-8,78171355576204;-8,80185564121851
"17";-8,40944781491435;-8,42685912874325;-8,44427044257216;-8,46168175640107;-8,47909307022997;-8,49650438405888;-8,51391569788779;-8,53132701171669;-8,5487383255456
"18";-8,25560782274982;-8,27322100223627;-8,29083418172272;-8,30844736120917;-8,32606054069562;-8,34367372018207;-8,36128689966852;-8,37890007915497;-8,39651325864142
"19";-7,99603696358712;-8,0098273944446;-8,02361782530208;-8,03740825615956;-8,05119868701704;-8,06498911787452;-8,07877954873199;-8,09256997958947;-8,10636041044695
"20";-8,01818512786316;-8,03422493401323;-8,05026474016331;-8,06630454631338;-8,08234435246345;-8,09838415861352;-8,11442396476359;-8,13046377091366;-8,14650357706373
"21";-8,00922875944099;-8,02576378592808;-8,04229881241517;-8,05883383890226;-8,07536886538935;-8,09190389187644;-8,10843891836353;-8,12497394485062;-8,14150897133771
"22";-8,05216691485689;-8,07024043669808;-8,08831395853928;-8,10638748038048;-8,12446100222168;-8,14253452406287;-8,16060804590407;-8,17868156774527;-8,19675508958646
"23";-8,07686569993614;-8,09691503296948;-8,11696436600282;-8,13701369903615;-8,15706303206949;-8,17711236510283;-8,19716169813617;-8,21721103116951;-8,23726036420285
"24";-8,10246494135981;-8,12346649505391;-8,14446804874801;-8,16546960244212;-8,18647115613622;-8,20747270983032;-8,22847426352442;-8,24947581721853;-8,27047737091263
"25";-8,10874363855504;-8,13018051264993;-8,15161738674482;-8,17305426083971;-8,19449113493461;-8,2159280090295;-8,23736488312439;-8,25880175721928;-8,28023863131418
"26";-8,06881238788897;-8,09038153393575;-8,11195067998253;-8,13351982602931;-8,15508897207609;-8,17665811812287;-8,19822726416965;-8,21979641021643;-8,24136555626321
"27";-8,03218541016286;-8,0540515254739;-8,07591764078495;-8,09778375609599;-8,11964987140704;-8,14151598671808;-8,16338210202913;-8,18524821734017;-8,20711433265122
"28";-7,99870626728665;-8,02037691043938;-8,04204755359211;-8,06371819674484;-8,08538883989758;-8,10705948305031;-8,12873012620304;-8,15040076935577;-8,1720714125085
"29";-8,02173812372526;-8,04524919454064;-8,06876026535602;-8,09227133617139;-8,11578240698677;-8,13929347780214;-8,16280454861752;-8,1863156194329;-8,20982669024827
"30";-7,93693444032578;-7,95967502813799;-7,9824156159502;-8,00515620376241;-8,02789679157463;-8,05063737938684;-8,07337796719905;-8,09611855501126;-8,11885914282348
"31";-7,83634295744818;-7,85801740526357;-7,87969185307895;-7,90136630089434;-7,92304074870972;-7,94471519652511;-7,96638964434049;-7,98806409215588;-8,00973853997127
"32";-7,80873496385772;-7,83109124068528;-7,85344751751284;-7,87580379434039;-7,89816007116795;-7,92051634799551;-7,94287262482307;-7,96522890165063;-7,98758517847818
