"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-5,78209143386513;-5,81070464191406;-5,80384006195739;-5,81619926312814;-5,84914936354031;-5,89432283207654;-5,87512618409462;-5,9011860061249;-5,9544001361109
"1";-8,17817768987541;-8,21496758646249;-8,20623797930769;-8,22194790117292;-8,26381553207796;-8,32120666030152;-8,29681749356577;-8,329928209533;-8,39715059083033
"2";-8,82280126635818;-8,86290187725751;-8,85337159557184;-8,87052649734938;-8,91623871491965;-8,97900253841067;-8,95232639837879;-8,9885379982786;-9,06198082622191
"3";-9,11755224461641;-9,15908969505197;-9,1492150398076;-9,16698705257905;-9,21434876884676;-9,27945394692067;-9,2517747838816;-9,28935393924446;-9,3667961164343
"4";-9,29560451993026;-9,34019045739742;-9,32955581417355;-9,34869322799518;-9,39967207385168;-9,46958768098732;-9,43987020683337;-9,48021307995831;-9,56217653809358
"5";-9,3872546721882;-9,42816293040859;-9,41840464274599;-9,43596795767986;-9,48275577368751;-9,5470926333693;-9,51974086948189;-9,55687496741353;-9,63189116834902
"6";-9,39807163687273;-9,4422586125025;-9,43170740711487;-9,45069817445124;-9,50131535995019;-9,57077552121207;-9,54123880820615;-9,58134620636938;-9,66764285345875
"7";-9,51849183359469;-9,56041039609066;-9,5504419854671;-9,56837738465097;-9,61612701132778;-9,68163756399682;-9,65380349355663;-9,69158009609421;-9,76314349845025
"8";-9,45613079420906;-9,49898769462372;-9,48876706752069;-9,50716295540141;-9,55618429963712;-9,62343129462798;-9,59483620769583;-9,63366318781149;-9,71583090905149
"9";-9,45580683110749;-9,49794964154989;-9,48794957212961;-9,50594798789122;-9,55391989550455;-9,62003948038259;-9,59192039256928;-9,63010294163193;-9,71029073737536
"10";-9,50242716082269;-9,54587600076069;-9,53551832243265;-9,55415810231239;-9,60382168089575;-9,67183104459353;-9,64291744837075;-9,68217172297257;-9,76338169422305
"11";-9,52830956318188;-9,56862772387665;-9,55909976667373;-9,57624025391685;-9,62181084963557;-9,68395627497934;-9,65758065515585;-9,69335755691455;-9,75560808978596
"12";-9,35021372789217;-9,38923030653299;-9,37994134916729;-9,39666368860801;-9,44132110051838;-9,50311591498575;-9,47678958210162;-9,51255780946378;-9,59700523655013
"13";-9,28388450622064;-9,32579662764012;-9,31580838718055;-9,33378095015141;-9,381631582752;-9,44727985889388;-9,41937815390486;-9,45725588716175;-9,53561608213413
"14";-9,23722195639628;-9,27711496071195;-9,26767991285903;-9,28464847018061;-9,32975714538045;-9,39144756050919;-9,36526233011958;-9,40078601131391;-9,46057978475078
"15";-8,98461816683231;-9,02568955373345;-9,01587654026555;-9,03354061327352;-9,08071041199277;-9,14600282499186;-9,11819172083034;-9,15598313759105;-9,24486721444184
"16";-8,8411761171662;-8,88059087794908;-8,87124954599969;-8,88805434021957;-8,93273181120161;-8,99370876445846;-8,96782521742589;-9,0029424401495;-9,06702775034293
"17";-8,6416778760095;-8,67820220808971;-8,66955170307383;-8,68511489163543;-8,72656678019918;-8,78336911696151;-8,75922490992772;-8,79199779189092;-8,8552409812347
"18";-8,42502578400138;-8,46347555522631;-8,4542908468227;-8,47082308132444;-8,51495802445718;-8,57587233753629;-8,5499279386941;-8,58518616007697;-8,67224110169852
"19";-8,42856396260862;-8,46442373882873;-8,45594829670241;-8,47119236274928;-8,51172608203759;-8,5672060603698;-8,54364997258318;-8,57560571115215;-8,63027482727619
"20";-8,3383877068929;-8,37708145565207;-8,36783589410541;-8,38447591270701;-8,42881686123131;-8,48966074897556;-8,46379475154611;-8,49891760304459;-8,57266227062705
"21";-8,30353115763315;-8,34094688223826;-8,33202575753508;-8,34807985666445;-8,39083956639779;-8,44946902057674;-8,42455120844763;-8,4583763624901;-8,52616622898948
"22";-8,26409186627874;-8,30067405464033;-8,29196924228193;-8,30763366829368;-8,34938438728734;-8,40665152043399;-8,3822934019905;-8,41536999359479;-8,48615463975176
"23";-8,26041286440804;-8,29589586862804;-8,28747403140332;-8,30262977522448;-8,34299711594176;-8,39836337135143;-8,37482427712038;-8,40677682640035;-8,47162263107528
"24";-8,2359352671017;-8,27194804823305;-8,26337088463872;-8,27880724510997;-8,3199667903108;-8,37662929362976;-8,35253210133808;-8,38525672118328;-8,45446655337239
"25";-8,24196502926013;-8,27566981576995;-8,26770193410459;-8,28202873986089;-8,32005677622202;-8,37193101753046;-8,34993861341311;-8,37975226775021;-8,4250853208239
"26";-8,10157494213077;-8,13747102588171;-8,12891895024458;-8,14431449773417;-8,18540720214232;-8,24202696496421;-8,21792030648528;-8,25067671704426;-8,3310707190877
"27";-8,08414721733194;-8,11841889738372;-8,11027675406077;-8,12493615695742;-8,16414570114189;-8,21840353348406;-8,1952688889371;-8,22671341357184;-8,30168475269018
"28";-8,12521253262433;-8,16005967879591;-8,15182741604467;-8,16663005661712;-8,20584387624164;-8,25905652049377;-8,23653345272645;-8,26705344852689;-8,3110685750345
"29";-8,02270010933147;-8,05780061746642;-8,0494651779028;-8,06446569592447;-8,10444698690982;-8,15927533243185;-8,13596535474179;-8,16761053682193;-8,23004072209354
"30";-7,89211660431079;-7,92708872459621;-7,91875605539896;-7,93375504839164;-7,97380187629231;-8,02906255070307;-8,00553265869835;-8,037507212295;-8,11431038844044
"31";-7,85402402826597;-7,88518211325568;-7,87780618845451;-7,89107113527006;-7,92631376794064;-7,97458000191808;-7,95409021905881;-7,98188569053375;-8,03318091323728
"32";-7,75484199345567;-7,78553402954012;-7,77824327728006;-7,79136522860792;-7,82638347672514;-7,8748442978351;-7,8542118234373;-7,88223784343024;-7,94344977806732
"33";-7,67705676173253;-7,7089245956948;-7,70132711343199;-7,71499938973359;-7,75143877713886;-7,80182379294896;-7,78039876135927;-7,80949110208501;-7,87069701003061
"34";-7,62863531449753;-7,66012423542149;-7,65269342899178;-7,66605507282338;-7,70149407458082;-7,74989864940456;-7,72938078605215;-7,75719495901892;-7,80187949982054
"35";-7,48599194487787;-7,51864106210618;-7,51086511156524;-7,52486676932892;-7,56229357570073;-7,61402968588877;-7,59198493721067;-7,62194390975353;-7,69398593448349
"36";-7,41881413589106;-7,45099575921288;-7,44335918215847;-7,45710364695442;-7,49374949789097;-7,54418865607539;-7,52273147140687;-7,55187184932774;-7,61642219382384
"37";-7,37860769140238;-7,4088925413108;-7,40174613838525;-7,41460107254008;-7,44876251304116;-7,49547693924333;-7,47565661352453;-7,5025367184479;-7,5466873803104
"38";-7,2571015216814;-7,28748210259836;-7,28026886702122;-7,29324752196236;-7,32776938321183;-7,37503794409095;-7,35496955479793;-7,38219993178351;-7,4326069302523
"39";-7,10262115378899;-7,13280938095788;-7,12556533614654;-7,13860780730486;-7,17344239195425;-7,22148589381171;-7,201027437682;-7,22882610764298;-7,29483943196633
"40";-7,02133711507074;-7,04898189228965;-7,04240412582493;-7,05423824686643;-7,08576007907765;-7,12905031293805;-7,11064611218617;-7,13562740870599;-7,18570737811394
