"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-5,70478297498978;-5,76992227716075;-5,68104298768671;-5,68987956948721;-5,72910028264049;-5,77958418807248;-5,76992227716075;-5,71686771420486;-5,75718325138332
"1";-8,18072095479502;-8,18072095479502;-8,2170885989659;-8,25482892694875;-8,0471895621705;-8,14562963498375;-8,37743124904108;-8,37743124904108;-8,2170885989659
"2";-8,62255370707406;-8,74033674273045;-8,56848648580379;-8,56848648580379;-8,80487526386802;-8,80487526386802;-8,94797610750869;-8,62255370707406;-8,67971212091401
"3";-8,87386813535497;-9,02801881518223;-8,74033674273045;-9,02801881518223;-9,11503019217186;-9,21034037197618;-8,87386813535497;-9,02801881518223;-9,31570088763401
"4";-8,94797610750869;-9,11503019217186;-9,21034037197618;-9,11503019217186;-9,43348392329039;-9,56701531591492;-9,31570088763401;-9,21034037197618;-9,72116599574217
"5";-9,11503019217186;-9,21034037197618;-9,31570088763401;-9,31570088763401;-9,90348755253613;-9,21034037197618;-9,72116599574217;-8,94797610750869;-9,56701531591492
"6";-9,43348392329039;-9,31570088763401;-9,21034037197618;-9,43348392329039;-9,43348392329039;-9,56701531591492;-9,21034037197618;-9,72116599574217;-9,56701531591492
"7";-9,72116599574217;-9,31570088763401;-9,56701531591492;-9,72116599574217;-9,43348392329039;-9,56701531591492;-9,72116599574217;-9,21034037197618;-9,56701531591492
"8";-9,43348392329039;-9,21034037197618;-9,56701531591492;-9,21034037197618;-9,43348392329039;-9,72116599574217;-9,72116599574217;-9,56701531591492;-9,43348392329039
"9";-9,31570088763401;-9,43348392329039;-9,43348392329039;-9,43348392329039;-9,56701531591492;-9,72116599574217;-9,43348392329039;-9,72116599574217;-9,56701531591492
"10";-9,90348755253613;-9,72116599574217;-9,31570088763401;-9,56701531591492;-9,56701531591492;-9,72116599574217;-9,72116599574217;-9,72116599574217;-9,72116599574217
"11";-9,43348392329039;-9,56701531591492;-9,43348392329039;-9,56701531591492;-9,43348392329039;-9,56701531591492;-9,43348392329039;-9,56701531591492;-9,43348392329039
"12";-9,31570088763401;-9,31570088763401;-9,43348392329039;-9,72116599574217;-9,31570088763401;-9,31570088763401;-9,56701531591492;-9,90348755253613;-9,90348755253613
"13";-9,02801881518223;-9,43348392329039;-9,31570088763401;-9,11503019217186;-9,21034037197618;-9,43348392329039;-9,21034037197618;-9,31570088763401;-9,31570088763401
"14";-9,21034037197618;-9,02801881518223;-9,31570088763401;-8,87386813535497;-9,31570088763401;-9,21034037197618;-9,02801881518223;-9,02801881518223;-9,43348392329039
"15";-8,87386813535497;-9,11503019217186;-8,94797610750869;-8,87386813535497;-8,94797610750869;-9,11503019217186;-9,02801881518223;-9,31570088763401;-9,02801881518223
"16";-8,62255370707406;-8,62255370707406;-8,94797610750869;-8,56848648580379;-8,87386813535497;-8,62255370707406;-9,21034037197618;-8,94797610750869;-9,11503019217186
"17";-8,42188301161191;-8,62255370707406;-8,74033674273045;-8,42188301161191;-8,94797610750869;-8,67971212091401;-8,87386813535497;-8,67971212091401;-8,87386813535497
"18";-8,37743124904108;-8,37743124904108;-8,37743124904108;-8,74033674273045;-8,42188301161191;-8,42188301161191;-8,42188301161191;-8,87386813535497;-8,56848648580379
"19";-8,25482892694875;-8,37743124904108;-8,33487163462228;-8,37743124904108;-8,42188301161191;-8,46840302724681;-8,29404964010203;-8,42188301161191;-8,67971212091401
"20";-8,14562963498375;-8,29404964010203;-8,56848648580379;-8,29404964010203;-8,37743124904108;-8,29404964010203;-8,25482892694875;-8,37743124904108;-8,42188301161191
"21";-8,14562963498375;-8,25482892694875;-8,33487163462228;-8,2170885989659;-8,29404964010203;-8,33487163462228;-8,42188301161191;-8,67971212091401;-8,62255370707406
"22";-8,18072095479502;-8,62255370707406;-8,18072095479502;-8,33487163462228;-8,37743124904108;-8,2170885989659;-8,29404964010203;-8,46840302724681;-8,62255370707406
"23";-8,25482892694875;-8,11172808330807;-8,37743124904108;-8,29404964010203;-8,37743124904108;-8,37743124904108;-8,33487163462228;-8,51719319141624;-8,56848648580379
"24";-8,14562963498375;-8,2170885989659;-8,25482892694875;-8,25482892694875;-8,25482892694875;-8,42188301161191;-8,46840302724681;-8,37743124904108;-8,51719319141624
"25";-8,33487163462228;-8,33487163462228;-8,2170885989659;-8,2170885989659;-8,2170885989659;-8,2170885989659;-8,29404964010203;-8,46840302724681;-8,37743124904108
"26";-8,07893826048508;-8,07893826048508;-8,33487163462228;-8,01641790350375;-8,29404964010203;-8,29404964010203;-8,18072095479502;-8,29404964010203;-8,14562963498375
"27";-8,18072095479502;-8,01641790350375;-8,2170885989659;-8,07893826048508;-8,01641790350375;-8,11172808330807;-8,29404964010203;-8,42188301161191;-8,25482892694875
"28";-8,01641790350375;-8,01641790350375;-8,14562963498375;-8,07893826048508;-7,98656494035407;-7,98656494035407;-8,2170885989659;-8,11172808330807;-8,2170885989659
"29";-8,18072095479502;-8,01641790350375;-7,98656494035407;-8,07893826048508;-8,07893826048508;-8,37743124904108;-8,01641790350375;-8,11172808330807;-8,11172808330807
"30";-8,01641790350375;-7,95757740348081;-7,902007552326;-7,92940652651412;-8,0471895621705;-7,92940652651412;-8,01641790350375;-8,11172808330807;-8,18072095479502
"31";-7,84936381884058;-7,95757740348081;-7,87533930524384;-7,95757740348081;-8,0471895621705;-7,98656494035407;-8,11172808330807;-7,95757740348081;-8,11172808330807
"32";-7,72873583105197;-7,92940652651412;-7,72873583105197;-7,87533930524384;-7,92940652651412;-7,92940652651412;-7,84936381884058;-7,98656494035407;-7,98656494035407
"33";-7,70626297519991;-7,77525584668686;-7,72873583105197;-7,68428406848113;-7,77525584668686;-7,84936381884058;-7,77525584668686;-7,902007552326;-7,84936381884058
"34";-7,60090245954208;-7,60090245954208;-7,48757377423508;-7,45248245442381;-7,77525584668686;-7,70626297519991;-7,87533930524384;-7,75172534927667;-7,902007552326
"35";-7,40205160079692;-7,5616817463888;-7,43538802106451;-7,46987419713568;-7,6211051668596;-7,64172445406234;-7,70626297519991;-7,82404601085629;-7,70626297519991
"36";-7,3697907385787;-7,46987419713568;-7,46987419713568;-7,52394141840595;-7,48757377423508;-7,5810998322459;-7,60090245954208;-7,48757377423508;-7,5810998322459
"37";-7,30823284557926;-7,25024558792891;-7,35404238161056;-7,35404238161056;-7,35404238161056;-7,3697907385787;-7,40205160079692;-7,38579107992514;-7,40205160079692
"38";-7,09408485717363;-7,19543735143392;-7,15621663828064;-7,23625934595417;-7,25024558792891;-7,25024558792891;-7,26443022292087;-7,3232707229438;-7,3697907385787
"39";-6,95904857336969;-7,07027420847991;-7,01311579463996;-7,11847631029779;-7,19543735143392;-7,25024558792891;-7,25024558792891;-7,30823284557926;-7,23625934595417
"40";-6,96963068270022;-7,02428909523809;-6,98032597181697;-7,00206595845338;-7,09408485717363;-7,07027420847991;-7,20886037176606;-7,14347761250321;-7,22246602382184
"41";-6,85896511481271;-6,88795265168596;-6,87819647674059;-6,93821448646685;-6,87819647674059;-7,03558865049202;-7,03558865049202;-7,10620621770598;-6,99113688792119
"42";-6,71713491937349;-6,77672701657573;-6,84948637085816;-6,74224084050456;-6,84009663050832;-6,85896511481271;-6,95904857336969;-6,92795798629966;-7,03558865049202
"43";-6,63012354238386;-6,70890442023697;-6,64539101451465;-6,70074110959781;-6,81244509917781;-6,75075153017247;-6,84009663050832;-6,82157758274108;-6,82157758274108
"44";-6,63012354238386;-6,55008083471032;-6,56416557459206;-6,54311216539423;-6,61508566501932;-6,70074110959781;-6,69264389936519;-6,72543372218818;-6,72543372218818
"45";-6,4956456281553;-6,4759728625566;-6,42532912973784;-6,45667965962192;-6,57845153183954;-6,54311216539423;-6,6076506865318;-6,69264389936519;-6,63772814176908
"46";-6,28717879125703;-6,41305903714603;-6,4377516497364;-6,45033043194326;-6,41917526416347;-6,46950034805098;-6,46950034805098;-6,45033043194326;-6,55709840736897
"47";-6,29798970736124;-6,30343931212881;-6,29798970736124;-6,28717879125703;-6,35963387047245;-6,38896148556697;-6,38896148556697;-6,4377516497364;-6,46306945772069
"48";-6,15633919029822;-6,16581793425276;-6,22465843427569;-6,23481080573971;-6,21460809842219;-6,3144284337044;-6,26590139280974;-6,32553965912947;-6,30891877789343
"49";-6,07050775444843;-6,11929791861787;-6,10575369351011;-6,12385373515373;-6,1516332992608;-6,17538738526891;-6,25023527606534;-6,25543009294245;-6,29798970736124
