"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,60282095726302;-4,60529717036941;-4,60470823328774;-4,60576803321008;-4,60858785810559;-4,61245014085493;-4,61081371432108;-4,61303382261791;-4,61757287498915
"2";-6,57872499666595;-6,58518880058332;-6,58364931861213;-6,58642061540523;-6,59381607126698;-6,60399921264029;-6,59967689153464;-6,60554373780595;-6,61760777322026
"3";-7,33051999314743;-7,3402506289188;-7,33793207141655;-7,34210628291761;-7,3532558564209;-7,36863349707167;-7,3621026788281;-7,3709685268437;-7,38923176536229
"4";-7,94708872619721;-7,95982741742082;-7,9567914676407;-7,96225753176253;-7,97686433006785;-7,99702640547893;-7,98846132714264;-8,00008961243282;-8,0240639945093
"5";-8,40812877431688;-8,4234618111931;-8,4198071070325;-8,42638741311852;-8,44397640187851;-8,46826620641716;-8,45794598871458;-8,47195771346335;-8,50086056641799
"6";-8,73528829041131;-8,75280961279838;-8,74863297570819;-8,75615318048306;-8,77625798909188;-8,80403061041682;-8,79222938796287;-8,80825231503909;-8,8413146940278
"7";-8,95962567948719;-8,97899086720075;-8,9743744253649;-8,9826866413185;-9,0049116257324;-9,03561984939732;-9,022570243197;-9,04028849976295;-9,0768577602988
"8";-9,10936964653462;-9,13028864312961;-9,12530156624506;-9,13428123794735;-9,15829312650871;-9,19147588775347;-9,1773739134242;-9,19652132646413;-9,23604736271608
"9";-9,2025793140762;-9,22477308780324;-9,21948192251725;-9,22900921518844;-9,25448730631307;-9,28970078149343;-9,27473514620831;-9,29505545920175;-9,33700847075819
"10";-9,25261102302578;-9,27580697540916;-9,27027673884498;-9,28023456985182;-9,30686547901816;-9,34367585278698;-9,32803102526417;-9,34927373119116;-9,39313565481407
"11";-9,26429562853992;-9,28826528877889;-9,28255047237113;-9,29284071409537;-9,32036180059703;-9,35840552291952;-9,34223609034717;-9,36419126216265;-9,40952798318061
"12";-9,24076783262479;-9,26538398511458;-9,25951492495557;-9,2700829509614;-9,29834806140738;-9,33742296076419;-9,32081487019659;-9,34336580017478;-9,38993614710505
"13";-9,18478607224222;-9,21002235198711;-9,20400532520125;-9,21483983674075;-9,2438188419272;-9,28388348726305;-9,26685431649731;-9,28997714854244;-9,3377321365627
"14";-9,09839917857665;-9,12427110438859;-9,11810239663613;-9,12921008838234;-9,15892103881702;-9,20000073865336;-9,18253967977875;-9,20624910769216;-9,25521953234559
"15";-8,98820240852364;-9,01472840030318;-9,00840360773041;-9,01979241492914;-9,05025665710094;-9,0923812225549;-9,07447556165937;-9,09878886445005;-9,14901079148433
"16";-8,86290904749342;-8,89009552729438;-8,88361311182703;-8,89528580713137;-8,92651082681938;-8,96969077796294;-8,9513360190455;-8,97625931045751;-9,02774558345933
"17";-8,73466574598897;-8,76247339936371;-8,75584273913489;-8,76778243384335;-8,79972301347232;-8,84389572397883;-8,82511850185874;-8,850615610354;-8,90329138377995
"18";-8,61548500789749;-8,64380600114852;-8,6370528257547;-8,64921318139532;-8,68174518636481;-8,72673856218564;-8,70761209207857;-8,73358357866746;-8,78724288235933
"19";-8,51238634276605;-8,54100257497993;-8,53417892337543;-8,54646621926938;-8,57933859333941;-8,62480460451387;-8,60547694817766;-8,63172172039748;-8,68594805493099
"20";-8,42730460111577;-8,45593593356876;-8,4491086459096;-8,461402505308;-8,49429279728565;-8,5397844674554;-8,5204457775409;-8,54670557784504;-8,6009640770622
"21";-8,36015750588778;-8,38850230448996;-8,38174334907621;-8,39391415988769;-8,42647518587953;-8,47151126894331;-8,45236627508278;-8,47836304880931;-8,5320778637159
"22";-8,30711597560465;-8,33495431996153;-8,32831616904348;-8,34026943061437;-8,37224805344668;-8,41647765533608;-8,39767563480554;-8,42320663968828;-8,47595787992485
"23";-8,2642749830513;-8,29150803163683;-8,28501426998634;-8,29670750628955;-8,32798993076524;-8,37125527297376;-8,35286335327426;-8,37783741753648;-8,42943621358077
"24";-8,22793818089955;-8,25458005554106;-8,24822731666249;-8,25966658930654;-8,29026902291322;-8,33259249958833;-8,31460116417848;-8,33903120903147;-8,38950422974103
"25";-8,19432580231057;-8,22045665902711;-8,21422582107341;-8,22544556641174;-8,25546022172547;-8,2969695794125;-8,27932449339514;-8,30328431026906;-8,35278428442785
"26";-8,1599048895931;-8,18564321941975;-8,17950601351694;-8,19055714156544;-8,22012036315646;-8,26100453384613;-8,24362533132208;-8,26722406643074;-8,3159769578102
"27";-8,12245305569852;-8,14789908700328;-8,14183160034788;-8,15275717660392;-8,18198430964556;-8,22240314949924;-8,20522182925188;-8,22855183732913;-8,27674887561348
"28";-8,08097523577043;-8,10622404680223;-8,10020359486849;-8,11104447298288;-8,14004494311585;-8,18015011569318;-8,16310215994552;-8,18625106533386;-8,23407369970576
"29";-8,03491799559317;-8,06006786352942;-8,05407099840084;-8,06486940692649;-8,09375632410922;-8,13370460350436;-8,11672331986949;-8,13978170055423;-8,18741750166147
"30";-7,98453476534722;-8,00969148305075;-8,00369296388432;-8,01449436023887;-8,04338948058958;-8,08334961886006;-8,06636322031805;-8,08942857323224;-8,13707943214332
"31";-7,93014200781136;-7,95540819990072;-7,94938354183031;-7,96023202192363;-7,98925345406164;-8,02938914606338;-8,0123279971864;-8,03549489700149;-8,08335665121956
"32";-7,87158806907309;-7,89702231254739;-7,89095753914288;-7,90187827410029;-7,93109344507487;-7,97149816088315;-7,95432249708709;-7,97764495063357;-8,02582945626794
"33";-7,80892908096577;-7,83455883448828;-7,82844739328215;-7,83945218428503;-7,86889271507812;-7,90961031000554;-7,8923014710924;-7,91580482307564;-7,96436459940168
"34";-7,74233240584442;-7,76816264369068;-7,76200334641002;-7,77309433414513;-7,80276597344616;-7,84380445156248;-7,82635902737764;-7,85004791116795;-7,8989925989217
"35";-7,67227777399013;-7,69830455353946;-7,6920983394158;-7,70327383302678;-7,73317206640931;-7,77452520614333;-7,75694583827212;-7,78081666806197;-7,83013888675181
"36";-7,60012518923822;-7,62635300822705;-7,62009880340196;-7,63136073719442;-7,66149075328363;-7,70316576468449;-7,68544938329668;-7,70950632932268;-7,75921473812525
"37";-7,52730275258497;-7,55374777604192;-7,54744172373991;-7,55879704356323;-7,58917744661137;-7,63120011496538;-7,61333575100388;-7,63759371080249;-7,68771915879307
"38";-7,45465529332631;-7,48134336490646;-7,47497929964335;-7,48643910898595;-7,51709963437606;-7,55951116042269;-7,54148128884323;-7,56596406327893;-7,6165558206804
"39";-7,38246534220325;-7,40942178878009;-7,40299366847241;-7,41456884853765;-7,44553863522455;-7,48837939050982;-7,47016683937246;-7,49489774961121;-7,54600409007892
"40";-7,30953872368242;-7,33675437660865;-7,33026438834142;-7,3419510005049;-7,37321950346502;-7,41647488361085;-7,3980858640526;-7,42305647505618;-7,47465994555351
"41";-7,23502164658072;-7,26246240035623;-7,25591868009386;-7,26770207245171;-7,29923005900602;-7,34284571729727;-7,32430334419744;-7,34948226420528;-7,40151789741642
"42";-7,15837810887071;-7,18599362627072;-7,17940818218902;-7,19126672940562;-7,22299629357776;-7,26689201412311;-7,2482304054127;-7,27357129957248;-7,32594319973138
"43";-7,07952900352554;-7,10726548732048;-7,10065115302175;-7,11256174325187;-7,14443099838308;-7,18852105028313;-7,16977666966526;-7,19523001734619;-7,24783569448919
