"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-6,03233991587173;-6,09348872419288;-6,07885292394388;-6,10523215173439;-6,17634873803466;-6,27601087096369;-6,23346048365978;-6,29130503646185;-6,41240089292125
"2";-7,80292922001495;-7,86004376182092;-7,84637545967533;-7,87101003063826;-7,9374041000545;-8,03040254602475;-7,990703601224;-8,04466949945248;-8,15759010970377
"3";-8,34128892892677;-8,39356918862453;-8,38105885170216;-8,40360593001341;-8,46436334774313;-8,54944129535936;-8,51312697754056;-8,56249061356949;-8,66575058866161
"4";-8,75502427000442;-8,80261234088978;-8,79122583760171;-8,8117469962696;-8,86703497630886;-8,94442967273393;-8,91139828056295;-8,95629805790815;-9,05019068321517
"5";-9,03758884393829;-9,08098957170571;-9,07060590943279;-9,08931929457707;-9,13972753298738;-9,21026917792902;-9,18016572608786;-9,22108441666154;-9,30662498399032
"6";-9,21405003706271;-9,25390065601376;-9,24436716584671;-9,26154801143452;-9,30782000375921;-9,37255407765421;-9,34493170296256;-9,38247696807215;-9,46094191474191
"7";-9,31371836942274;-9,35065081033127;-9,3418161189868;-9,35773731193899;-9,40060996428017;-9,46057208591729;-9,43498822371161;-9,46976184947082;-9,54241455113108
"8";-9,36267266379453;-9,39729294606339;-9,38901190726087;-9,40393509972856;-9,44411477858113;-9,50029716676151;-9,4763278664271;-9,50890630396907;-9,57695636673533
"9";-9,37796928742573;-9,41086052897977;-9,40299349483441;-9,41717042112159;-9,45533658553828;-9,5086933451019;-9,48593098569576;-9,51686846652028;-9,58147848693203
"10";-9,37134427100828;-9,40303884354523;-9,39545832686916;-9,40911879647666;-9,44589165073623;-9,49729349541511;-9,47536610897866;-9,50516837886269;-9,56739902234447
"11";-9,34185883803299;-9,37271574550768;-9,36533576842627;-9,37863476901407;-9,41443266091782;-9,46446708477054;-9,44312367070536;-9,47213201083331;-9,53269922813923
"12";-9,2838458232898;-9,31398917418625;-9,30677999581156;-9,3197711478486;-9,35473899250142;-9,40360993545333;-9,38276330191797;-9,41109628729773;-9,47024935321651
"13";-9,19163392133029;-9,22096653012425;-9,21395138989823;-9,22659281691936;-9,26061793435768;-9,30816800520623;-9,28788527710884;-9,31545168178078;-9,37300024619111
"14";-9,06330128584727;-9,09161812112211;-9,08484607877395;-9,09704936296611;-9,12989352440479;-9,1757892056965;-9,15621273015974;-9,18281905909175;-9,23835845191389
"15";-8,90574726307093;-8,93286172864821;-8,92637743595208;-8,93806210228201;-8,96950844751179;-9,01344606069595;-8,99470546023807;-9,02017551130358;-9,07333713485226
"16";-8,72970589731457;-8,75549971368532;-8,74933147452072;-8,76044651143701;-8,79035757669606;-8,83214462468859;-8,81432206510173;-8,83854414634791;-8,88909435102903
"17";-8,55284060895524;-8,57735889196304;-8,57149590333659;-8,5820607839979;-8,61048911390004;-8,65019934314235;-8,63326332307004;-8,65628026418573;-8,70430884742722
"18";-8,39418568631428;-8,41767085681579;-8,41205509094004;-8,42217440555199;-8,44940201819823;-8,48743076621418;-8,4712124808803;-8,49325376730077;-8,53924129578389
"19";-8,26902987841139;-8,29193039448092;-8,28645450469284;-8,29632173666043;-8,32287034433976;-8,35994895979559;-8,34413613080401;-8,36562629659178;-8,41046179418707
"20";-8,18310191813364;-8,20595510403606;-8,2004904711205;-8,21033744621016;-8,2368321562601;-8,27383694857008;-8,2580553980841;-8,27950312888632;-8,32425186591844
