"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-6,22474839541566;-6,28238388457635;-6,34001937373704;-6,39765486289773;-6,45529035205842;-6,51292584121911;-6,5705613303798;-6,62819681954049;-6,68583230870118
"2";-8,91220877640473;-8,97466787880483;-9,03712698120492;-9,09958608360502;-9,16204518600512;-9,22450428840522;-9,28696339080532;-9,34942249320541;-9,41188159560551
"3";-8,73320377890186;-8,77526932669247;-8,81733487448308;-8,8594004222737;-8,90146597006431;-8,94353151785493;-8,98559706564554;-9,02766261343615;-9,06972816122677
"4";-8,78388593613307;-8,81971731707029;-8,85554869800751;-8,89138007894473;-8,92721145988195;-8,96304284081917;-8,99887422175639;-9,03470560269361;-9,07053698363083
"5";-8,97669860376392;-9,01276840279017;-9,04883820181642;-9,08490800084267;-9,12097779986892;-9,15704759889517;-9,19311739792142;-9,22918719694767;-9,26525699597392
"6";-9,01024919320113;-9,04380034788081;-9,07735150256049;-9,11090265724018;-9,14445381191986;-9,17800496659954;-9,21155612127922;-9,2451072759589;-9,27865843063858
"7";-9,01977482609092;-9,05059771030224;-9,08142059451357;-9,11224347872489;-9,14306636293622;-9,17388924714754;-9,20471213135887;-9,23553501557019;-9,26635789978151
"8";-9,07122086702457;-9,10105978338005;-9,13089869973554;-9,16073761609102;-9,1905765324465;-9,22041544880199;-9,25025436515747;-9,28009328151296;-9,30993219786844
"9";-9,13085825587357;-9,16115896389213;-9,19145967191069;-9,22176037992924;-9,2520610879478;-9,28236179596636;-9,31266250398492;-9,34296321200348;-9,37326392002203
"10";-9,14767938731501;-9,17699863238396;-9,20631787745292;-9,23563712252187;-9,26495636759082;-9,29427561265977;-9,32359485772873;-9,35291410279768;-9,38223334786663
"11";-9,1573001073005;-9,1858057858208;-9,21431146434109;-9,24281714286139;-9,27132282138169;-9,29982849990199;-9,32833417842229;-9,35683985694259;-9,38534553546289
"12";-9,07640806223354;-9,10345494306479;-9,13050182389605;-9,15754870472731;-9,18459558555857;-9,21164246638983;-9,23868934722109;-9,26573622805235;-9,2927831088836
"13";-8,9034001922393;-8,92748633222711;-8,95157247221491;-8,97565861220272;-8,99974475219053;-9,02383089217834;-9,04791703216615;-9,07200317215395;-9,09608931214176
"14";-8,74978199271937;-8,77267797146845;-8,79557395021752;-8,81846992896659;-8,84136590771566;-8,86426188646473;-8,8871578652138;-8,91005384396288;-8,93294982271195
"15";-8,44208901654218;-8,4643212740019;-8,48655353146162;-8,50878578892134;-8,53101804638107;-8,55325030384079;-8,57548256130051;-8,59771481876023;-8,61994707621995
"16";-8,09147411165395;-8,11068359991246;-8,12989308817098;-8,14910257642949;-8,16831206468801;-8,18752155294652;-8,20673104120504;-8,22594052946356;-8,24515001772207
"17";-7,70373894108751;-7,71925818980487;-7,73477743852224;-7,75029668723961;-7,76581593595697;-7,78133518467434;-7,79685443339171;-7,81237368210908;-7,82789293082644
"18";-7,40592280795798;-7,42015785514785;-7,43439290233773;-7,44862794952761;-7,46286299671749;-7,47709804390736;-7,49133309109724;-7,50556813828712;-7,519803185477
"19";-6,99337468849461;-7,00340530449397;-7,01343592049334;-7,0234665364927;-7,03349715249207;-7,04352776849143;-7,0535583844908;-7,06358900049017;-7,07361961648953
"20";-6,86936727744642;-6,87835660183623;-6,88734592622604;-6,89633525061584;-6,90532457500565;-6,91431389939546;-6,92330322378527;-6,93229254817507;-6,94128187256488
"21";-6,77104257358657;-6,7776283218174;-6,78421407004822;-6,79079981827904;-6,79738556650986;-6,80397131474069;-6,81055706297151;-6,81714281120233;-6,82372855943315
"22";-6,71249236078068;-6,71813223714071;-6,72377211350073;-6,72941198986075;-6,73505186622078;-6,7406917425808;-6,74633161894082;-6,75197149530085;-6,75761137166087
"23";-6,72818713550606;-6,7351341174486;-6,74208109939114;-6,74902808133368;-6,75597506327621;-6,76292204521875;-6,76986902716129;-6,77681600910383;-6,78376299104637
"24";-6,78418118468739;-6,79274589093166;-6,80131059717592;-6,80987530342019;-6,81844000966446;-6,82700471590872;-6,83556942215299;-6,84413412839725;-6,85269883464152
"25";-6,82913943373274;-6,8390635004769;-6,84898756722107;-6,85891163396523;-6,8688357007094;-6,87875976745357;-6,88868383419773;-6,8986079009419;-6,90853196768606
"26";-6,82683243287764;-6,83673298485958;-6,84663353684152;-6,85653408882346;-6,8664346408054;-6,87633519278734;-6,88623574476928;-6,89613629675123;-6,90603684873317
"27";-6,8083037616613;-6,81770408811905;-6,8271044145768;-6,83650474103454;-6,84590506749229;-6,85530539395003;-6,86470572040778;-6,87410604686553;-6,88350637332327
"28";-6,81679839418809;-6,82685472868908;-6,83691106319008;-6,84696739769107;-6,85702373219207;-6,86708006669306;-6,87713640119405;-6,88719273569505;-6,89724907019604
