"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-5,47409214183223;-5,5024618209602;-5,52661008667406;-5,54519835794041;-5,57542493507035;-5,62445919683446;-5,63146832326134;-5,66305110873097;-5,72278423734692
"1";-7,93984811121724;-7,97662166555139;-8,0080926729078;-8,03345104429406;-8,07467546238439;-8,14141408050443;-8,15095000637093;-8,19359464343518;-8,27343305416834
"2";-8,30190906302695;-8,33500935301277;-8,36328811328151;-8,38751154276554;-8,42693350987206;-8,49056586065416;-8,49963236771658;-8,54016238122556;-8,61651131238309
"3";-8,6035026676967;-8,63921598627856;-8,66989042472655;-8,69550661716696;-8,73714585461531;-8,80445570539564;-8,81405729964558;-8,8570212159417;-8,93765828490847
"4";-8,81298954050743;-8,84990899611656;-8,88160606148775;-8,90792441096636;-8,95068543251585;-9,01987332017558;-9,02974950321618;-9,07387003818106;-9,15673835548414
"5";-9,0061340944647;-9,0456791997447;-9,07978014596371;-9,10772253514596;-9,15320948885883;-9,22674572452943;-9,2372361457493;-9,2842918556399;-9,37264133254636
"6";-9,02862876656623;-9,06778335075106;-9,10136656883954;-9,12894782198863;-9,17378014276326;-9,24628253655211;-9,2566334620285;-9,30300236286806;-9,39002106987242
"7";-9,12073948337094;-9,16008334976818;-9,1938238357391;-9,22170977636062;-9,26702355933782;-9,34025866241202;-9,35071344340634;-9,39755322744893;-9,4857844177173
"8";-9,19684375360976;-9,23660771900545;-9,2709099579081;-9,29924598608622;-9,34530116108622;-9,41970130598107;-9,43031986285073;-9,47790290584452;-9,56728833377614
"9";-9,14642482349317;-9,18350065758953;-9,21553491957919;-9,24247754083736;-9,28635311935279;-9,35744588220205;-9,36759356609048;-9,41305850296159;-9,49860553400366
"10";-9,25239607478483;-9,29371176923867;-9,32926132521439;-9,35824198997695;-9,40535977510709;-9,48158091955848;-9,49246322475195;-9,54124911039515;-9,6330518628063
"11";-9,20800948088207;-9,24839244234977;-9,28321218432065;-9,31167938299105;-9,3580195327391;-9,43301100870971;-9,44372090174694;-9,49172333669581;-9,58167586347752
"12";-8,98274946145718;-9,01966736748058;-9,05146935780837;-9,07835929291982;-9,12212355008381;-9,19285383173378;-9,20294360164487;-9,24823729199629;-9,33383948879406
"13";-8,72062733092105;-8,75442374904529;-8,783503205415;-8,80858634472761;-8,84938613876214;-8,91532430587709;-8,9247273358418;-8,96674178725306;-9,04555007995
"14";-8,4700841495893;-8,50446168830626;-8,53398130766551;-8,55888568507308;-8,59938408593262;-8,6648429412639;-8,67418459947295;-8,7160221972905;-8,79487471549209
"15";-8,20639078088014;-8,24072571670693;-8,27010894287584;-8,29455269746717;-8,33434080940802;-8,39876326224305;-8,40796077382895;-8,44928790015274;-8,52729549113739
"16";-7,80561324591889;-7,83514293212582;-7,86061513943595;-7,88254452994238;-7,91816873580504;-7,97578663024867;-7,98401041217072;-8,02081613658142;-8,0898936391014
"17";-7,56465160452508;-7,59362076581723;-7,61846939749065;-7,63971198889323;-7,67414487059072;-7,72970666028723;-7,73762092220658;-7,77301907642267;-7,83972821172044
"18";-7,14630050457382;-7,17386713098566;-7,19754893693887;-7,21797433153015;-7,2511416179658;-7,30469925501821;-7,31234072032886;-7,3464863406674;-7,41061601807724
"19";-7,0042383007436;-7,03138038270473;-7,05483863975304;-7,07477766478495;-7,10708127773814;-7,15918818439039;-7,16661174614596;-7,19978013671064;-7,26204989843127
"20";-6,975078134343;-7,00241992847665;-7,02612492458789;-7,04654529337688;-7,07973884357794;-7,13335256265306;-7,14100475657583;-7,17517950857722;-7,23901796675566
"21";-7,15314173886834;-7,18289962640786;-7,20836391618976;-7,22955381398423;-7,26397869027024;-7,31952279281741;-7,32743945806981;-7,36293123084787;-7,42980910299415
"22";-7,067162455557;-7,09495359591006;-7,11877589622877;-7,13882353475959;-7,17155449780011;-7,22468071945329;-7,23227731641081;-7,26628362007002;-7,33029054387184
"23";-6,99411051120658;-7,02497079320007;-7,05165467711707;-7,07330054747925;-7,10856212778755;-7,1656287162312;-7,17378052779705;-7,21021868896277;-7,27846224758327
"24";-7,02578925376644;-7,05594222572986;-7,08168991794013;-7,10252317620745;-7,13647662443745;-7,1914597427421;-7,19932254945635;-7,23449721021114;-7,30079601991447
