"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-5,45146854604221;-5,46792015093422;-5,51151058700908;-5,47983924317143;-5,53911585310097;-5,61577159733349;-5,5753892598878;-5,53657455567229;-5,5727542122498
"1";-7,902007552326;-7,95757740348081;-7,95757740348081;-8,0471895621705;-8,25482892694875;-8,14562963498375;-8,07893826048508;-8,18072095479502;-8,14562963498375
"2";-8,37743124904108;-8,33487163462228;-8,62255370707406;-8,37743124904108;-8,51719319141624;-8,62255370707406;-8,51719319141624;-8,62255370707406;-8,80487526386802
"3";-8,74033674273045;-8,74033674273045;-8,62255370707406;-8,67971212091401;-8,80487526386802;-9,02801881518223;-8,87386813535497;-8,80487526386802;-8,94797610750869
"4";-9,02801881518223;-8,94797610750869;-8,80487526386802;-9,21034037197618;-9,31570088763401;-9,11503019217186;-8,94797610750869;-8,94797610750869;-9,02801881518223
"5";-9,11503019217186;-9,43348392329039;-9,02801881518223;-8,94797610750869;-8,94797610750869;-9,21034037197618;-9,21034037197618;-8,94797610750869;-9,21034037197618
"6";-9,11503019217186;-9,31570088763401;-9,21034037197618;-9,11503019217186;-8,94797610750869;-9,11503019217186;-9,56701531591492;-9,21034037197618;-9,31570088763401
"7";-9,21034037197618;-9,21034037197618;-9,56701531591492;-9,21034037197618;-9,56701531591492;-9,43348392329039;-9,31570088763401;-9,31570088763401;-9,21034037197618
"8";-9,43348392329039;-9,21034037197618;-9,31570088763401;-9,56701531591492;-9,43348392329039;-9,31570088763401;-9,56701531591492;-9,43348392329039;-9,56701531591492
"9";-9,31570088763401;-9,31570088763401;-9,56701531591492;-9,56701531591492;-9,43348392329039;-9,31570088763401;-9,56701531591492;-9,31570088763401;-9,31570088763401
"10";-9,21034037197618;-9,56701531591492;-9,31570088763401;-9,21034037197618;-9,21034037197618;-9,56701531591492;-9,43348392329039;-9,43348392329039;-9,72116599574217
"11";-9,11503019217186;-9,31570088763401;-9,11503019217186;-9,11503019217186;-9,31570088763401;-9,56701531591492;-9,43348392329039;-9,31570088763401;-9,56701531591492
"12";-8,87386813535497;-9,02801881518223;-9,21034037197618;-9,11503019217186;-9,02801881518223;-9,21034037197618;-9,21034037197618;-9,56701531591492;-9,21034037197618
"13";-8,74033674273045;-8,87386813535497;-9,11503019217186;-9,21034037197618;-9,43348392329039;-9,11503019217186;-9,56701531591492;-9,31570088763401;-9,21034037197618
"14";-8,42188301161191;-8,62255370707406;-8,62255370707406;-8,51719319141624;-8,80487526386802;-8,51719319141624;-8,67971212091401;-8,74033674273045;-8,94797610750869
"15";-8,18072095479502;-8,25482892694875;-8,42188301161191;-8,11172808330807;-8,2170885989659;-8,46840302724681;-8,62255370707406;-8,80487526386802;-8,67971212091401
"16";-8,01641790350375;-8,11172808330807;-7,98656494035407;-8,14562963498375;-7,84936381884058;-8,11172808330807;-8,29404964010203;-8,37743124904108;-8,42188301161191
"17";-7,5616817463888;-7,6211051668596;-7,87533930524384;-7,72873583105197;-7,84936381884058;-7,92940652651412;-7,92940652651412;-8,07893826048508;-8,11172808330807
"18";-7,41858090274813;-7,3697907385787;-7,40205160079692;-7,40205160079692;-7,60090245954208;-7,5810998322459;-7,60090245954208;-7,72873583105197;-7,87533930524384
"19";-7,22246602382184;-7,3697907385787;-7,38579107992514;-7,35404238161056;-7,33853819507459;-7,3697907385787;-7,40205160079692;-7,5616817463888;-7,6211051668596
"20";-7,22246602382184;-7,10620621770598;-7,23625934595417;-7,3232707229438;-7,30823284557926;-7,29341775979412;-7,3697907385787;-7,43538802106451;-7,46987419713568
"21";-7,23625934595417;-7,11847631029779;-7,14347761250321;-7,13089883029635;-7,41858090274813;-7,19543735143392;-7,30823284557926;-7,41858090274813;-7,5616817463888
"22";-7,22246602382184;-7,13089883029635;-7,13089883029635;-7,23625934595417;-7,16912004311654;-7,26443022292087;-7,26443022292087;-7,29341775979412;-7,40205160079692
"23";-7,07027420847991;-7,07027420847991;-7,05857816871672;-7,09408485717363;-7,10620621770598;-7,20886037176606;-7,35404238161056;-7,33853819507459;-7,41858090274813
"24";-7,03558865049202;-7,15621663828064;-7,04701734631564;-7,08210866612691;-7,15621663828064;-7,14347761250321;-7,25024558792891;-7,30823284557926;-7,3697907385787
"25";-7,14347761250321;-7,00206595845338;-7,04701734631564;-7,08210866612691;-7,20886037176606;-7,11847631029779;-7,1821921246839;-7,20886037176606;-7,25024558792891
"26";-7,03558865049202;-6,99113688792119;-7,03558865049202;-7,04701734631564;-7,11847631029779;-7,08210866612691;-7,15621663828064;-7,16912004311654;-7,30823284557926
"27";-7,05857816871672;-7,02428909523809;-6,99113688792119;-7,13089883029635;-7,13089883029635;-7,09408485717363;-7,16912004311654;-7,29341775979412;-7,25024558792891
"28";-7,04701734631564;-7,04701734631564;-7,02428909523809;-6,92795798629966;-6,98032597181697;-7,01311579463996;-7,10620621770598;-7,16912004311654;-7,16912004311654
"29";-7,01311579463996;-7,05857816871672;-7,01311579463996;-7,10620621770598;-7,01311579463996;-7,05857816871672;-7,20886037176606;-7,23625934595417;-7,09408485717363
"30";-7,01311579463996;-7,03558865049202;-7,07027420847991;-7,02428909523809;-6,99113688792119;-7,03558865049202;-7,10620621770598;-7,09408485717363;-7,00206595845338
"31";-6,86853456582886;-7,01311579463996;-7,03558865049202;-7,05857816871672;-6,99113688792119;-7,01311579463996;-7,07027420847991;-7,13089883029635;-7,19543735143392
"32";-6,87819647674059;-6,85896511481271;-6,94857727350239;-6,86853456582886;-6,93821448646685;-6,99113688792119;-7,00206595845338;-7,05857816871672;-6,93821448646685
"33";-6,82157758274108;-6,89780494812897;-6,90775527898214;-6,86853456582886;-6,83079423784601;-6,94857727350239;-7,00206595845338;-6,98032597181697;-7,07027420847991
"34";-6,70890442023697;-6,81244509917781;-6,82157758274108;-6,84009663050832;-6,81244509917781;-6,90775527898214;-6,94857727350239;-6,89780494812897;-6,91780561483564
"35";-6,69264389936519;-6,70890442023697;-6,82157758274108;-6,66873837851164;-6,78553764625789;-6,75075153017247;-6,98032597181697;-6,85896511481271;-6,99113688792119
"36";-6,4956456281553;-6,58567177981302;-6,5929445391421;-6,61508566501932;-6,5929445391421;-6,72543372218818;-6,87819647674059;-6,75933527386386;-6,89780494812897
"37";-6,52931884326189;-6,52249287819149;-6,60027057923418;-6,52931884326189;-6,58567177981302;-6,57845153183954;-6,72543372218818;-6,71713491937349;-6,75075153017247
"38";-6,41917526416347;-6,45667965962192;-6,51571319120611;-6,51571319120611;-6,4956456281553;-6,54311216539423;-6,62257633674847;-6,65311306060856;-6,66873837851164
"39";-6,40697999106965;-6,46950034805098;-6,41305903714603;-6,36543098815677;-6,39493165255347;-6,45667965962192;-6,4759728625566;-6,60027057923418;-6,48248754357779
"40";-6,22465843427569;-6,30343931212881;-6,33114191467814;-6,27648350214028;-6,39493165255347;-6,41305903714603;-6,43152109998577;-6,40093767661368;-6,52249287819149
"41";-6,16581793425276;-6,18020667170486;-6,19971948592844;-6,18504929618065;-6,20465776756902;-6,28717879125703;-6,27648350214028;-6,33114191467814;-6,50897915902477
"42";-6,06618809330392;-6,07920346141599;-6,12385373515373;-6,11024808309795;-6,17538738526891;-6,12385373515373;-6,19971948592844;-6,2450673059069;-6,3538701657557
"43";-5,99547256850552;-6,04065479129875;-6,05760434961253;-6,01986402162968;-6,07050775444843;-6,11024808309795;-6,17059121300542;-6,18991548583182;-6,27648350214028
"44";-5,82256601064617;-5,91821408536839;-5,89979735858216;-5,92942915618853;-5,96384938007501;-5,99547256850552;-6,04065479129875;-6,11024808309795;-6,11476276345248
"45";-5,72910028264049;-5,7321819491779;-5,92193848445937;-5,85693365415038;-5,87457079563648;-5,92567680656998;-5,92942915618853;-5,97953597624271;-6,00353712834225
"46";-5,59134704532641;-5,68987956948721;-5,67519501780429;-5,75718325138332;-5,78934036301785;-5,81583197846482;-5,84996498483428;-5,86043628470158;-5,88530435127959
"47";-5,49921030892743;-5,57803126935064;-5,61302811138774;-5,61302811138774;-5,64362855183645;-5,7321819491779;-5,74460446917646;-5,75718325138332;-5,81248189157954
"48";-5,43528322162119;-5,5065723053685;-5,47744403244547;-5,54934612135178;-5,57803126935064;-5,60756361691566;-5,64645740803693;-5,66360068502337;-5,71686771420486
"49";-5,3308405582536;-5,30031936921871;-5,36232269652395;-5,45146854604221;-5,47267075369281;-5,48464694473953;-5,52647345968579;-5,56489047578958;-5,61852263070538
"50";-5,19756746344789;-5,28047744841971;-5,27264961979946;-5,31038994778231;-5,36445716905258;-5,417100902538;-5,399243285138;-5,47267075369281;-5,56750485636365
"51";-5,07837894618278;-5,15855542417288;-5,16029606865066;-5,23628197562858;-5,24762425223252;-5,24193703311193;-5,32671684106973;-5,37304091274397;-5,46083629604581
"52";-5,07357509387013;-5,05458718162544;-5,10275058300406;-5,12941883008622;-5,13449928131864;-5,16553625531422;-5,24762425223252;-5,28244401739175;-5,29034919689886
"53";-4,98496754734768;-4,99969535405792;-5,02372053364491;-5,03595310208055;-5,01163579442984;-5,09130319716371;-5,1243640594246;-5,18856650258892;-5,25143378064919
"54";-4,93506410724918;-4,92951624281146;-4,98204783724434;-4,92813407258451;-4,983506626708;-4,98496754734768;-5,01464331549379;-5,05615580939807;-5,11100826824304
"55";-4,8665349501225;-4,84724174718782;-4,85877294478701;-4,8613535913805;-4,87697890928358;-4,89954124659067;-4,91033757278089;-4,99083266680008;-5,02829022933498
"56";-4,77952357313287;-4,82581685710371;-4,78190736448814;-4,77004482917833;-4,79754207863555;-4,83710224333538;-4,85619894079184;-4,90898164036976;-4,92951624281146
"57";-4,74558233970484;-4,71053070164592;-4,77004482917833;-4,71386960291143;-4,74904055640779;-4,78549374011937;-4,77595850696837;-4,79391231058497;-4,86264641638281
"58";-4,68097189940437;-4,67989373218403;-4,6929091002961;-4,67452026412288;-4,67989373218403;-4,70278301485509;-4,70609610457805;-4,73641847259805;-4,77833380499728
"59";-4,61421093064024;-4,6345989966789;-4,65016755191883;-4,61724276722236;-4,63872696951693;-4,62435300540487;-4,62435300540487;-4,63976163075771;-4,70278301485509
"60";-4,54407508662828;-4,54595832635625;-4,56019682034536;-4,55447707167257;-4,56211069652764;-4,5892968368318;-4,55162941906006;-4,5912672808191;-4,62333415661576
"61";-4,49094904189807;-4,50895132824755;-4,4927347566583;-4,50442028288795;-4,48295255326384;-4,53284952440847;-4,50623023813319;-4,50713644571673;-4,5421953868267
"62";-4,41620408647547;-4,42035174899555;-4,44220135770995;-4,46453905624835;-4,47326511510815;-4,46453905624835;-4,46714888809072;-4,47589785028395;-4,46976554898189
"63";-4,34511628065378;-4,35363356017266;-4,34897878062768;-4,37088889026343;-4,39328982695259;-4,43374107036056;-4,3949092605049;-4,39571996180588;-4,42118334987508
"64";-4,28744399218793;-4,28962978540791;-4,28817205920226;-4,33743575134601;-4,32753844938981;-4,34588758805801;-4,34665949083659;-4,35909166339139;-4,36772932997306
"65";-4,20572315020549;-4,23636906225152;-4,22263258252363;-4,23844590619636;-4,24052707240018;-4,26228995307155;-4,27442862407586;-4,26513288320238;-4,33361749546619
"66";-4,16112559591245;-4,16112559591245;-4,17208991084695;-4,17598855126261;-4,19173690823075;-4,25521778781019;-4,26158048159801;-4,2253648246605;-4,25170037299831
"67";-4,04956241945021;-4,09114967132558;-4,12583522931347;-4,14837845071459;-4,10682208373321;-4,14584840508922;-4,11843235775119;-4,16498164182154;-4,20371309927747
"68";-3,96912259746872;-3,95754352072996;-4,04498313268438;-4,03419063940235;-4,07454193492592;-4,10136917715907;-4,0710187369186;-4,08044165705311;-4,11843235775119
"69";-3,90207267457498;-3,9276443863311;-3,97230393631308;-3,99323306085369;-3,98674655162408;-4,04498313268438;-4,00853390580899;-4,01294892401811;-4,02687284710709
"70";-3,82126864215968;-3,84529937338524;-3,88489433803989;-3,89467436709353;-3,91955127184894;-3,92156841827168;-3,94145181611896;-3,94093701559279;-3,9733666356692
"71";-3,72512858678906;-3,75459199747932;-3,77095756514954;-3,82722240373568;-3,82998229509194;-3,86992182940951;-3,86275676412523;-3,89467436709353;-3,92612192980765
"72";-3,61488577420561;-3,67300610495765;-3,66790104772874;-3,69449519289957;-3,74270226081144;-3,76059030166794;-3,7955741927849;-3,78936299269226;-3,83598831915215
"73";-3,52574071673676;-3,57912859015482;-3,59466077887495;-3,63212112029533;-3,66516292749662;-3,69248594970805;-3,66165346786034;-3,71399215492901;-3,74354685545624
"74";-3,44577642506012;-3,47280080052185;-3,48937307256588;-3,53119217827834;-3,56524689366866;-3,59575347612445;-3,63249912067783;-3,61935339146533;-3,68011794844536
"75";-3,35069439948905;-3,37523727999262;-3,36303492056781;-3,42374978613267;-3,45238541843159;-3,47538227985153;-3,51964313686864;-3,53770462631682;-3,56136613381498
"76";-3,21538193561394;-3,27756482121688;-3,29629697183679;-3,29656713258407;-3,31952523301813;-3,42805483583204;-3,40822199659912;-3,41854701999727;-3,49660756646681
"77";-3,14469642669395;-3,15543165231167;-3,18519929850882;-3,21612959920018;-3,26282771239738;-3,28021945510925;-3,29171537104516;-3,34387231504289;-3,37963160374759
"78";-3,03177404490126;-3,0294959037068;-3,07347762217884;-3,11361531421071;-3,12424769578942;-3,16865810870758;-3,19247735101367;-3,22388836669175;-3,2871546656215
"79";-2,92099592743997;-2,94484906323942;-2,95555048392116;-2,98123782740354;-3,02351465456644;-3,05082223987195;-3,04072963948473;-3,10131503612906;-3,16557205284589
"80";-2,76700434394588;-2,80693175066233;-2,83924147679456;-2,88151112946397;-2,89806124638055;-2,95997910384817;-2,96539707375792;-2,99593229355666;-3,0380136658106
"81";-2,68854173471417;-2,69222606575532;-2,71281151820392;-2,75703038332393;-2,77659674363732;-2,84181019128173;-2,84181019128173;-2,85928015041849;-2,91673626732749
"82";-2,58044885650849;-2,58920106726383;-2,56837521902973;-2,63233994186773;-2,66959901472796;-2,70470579985182;-2,71235947269031;-2,73845786352364;-2,78741813648578
"83";-2,45912195081427;-2,48159214882017;-2,48987899141456;-2,51392359885849;-2,54096919372454;-2,58627514417629;-2,56772320101093;-2,61688496335012;-2,68165172724768
"84";-2,36403505531027;-2,36233509739982;-2,36851124311021;-2,38999655000502;-2,41017030367398;-2,47266192337156;-2,46345831858213;-2,50103603171788;-2,53451715034133
"85";-2,23764040435366;-2,26712142871848;-2,26500033266677;-2,26307595989933;-2,29620548603001;-2,34538821531936;-2,31425289786173;-2,37408109469912;-2,40141144730094
"86";-2,10981827833855;-2,13580027534922;-2,13732492412839;-2,14447084990035;-2,15874452301837;-2,20645706589983;-2,19687463857193;-2,22368149539858;-2,306392331337
