"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,37280717026727;-4,37670534843368;-4,38009074621618;-4,38279621853231;-4,38718731985631;-4,39426718874742;-4,39527727881268;-4,39981872153963;-4,40837995465692
"2";-6,3695496392588;-6,37681802136325;-6,38313716245145;-6,3881917922031;-6,39640452033573;-6,40966945635488;-6,4115643585616;-6,42009144999633;-6,43619998582888
"3";-7,08553892857217;-7,09519203259273;-7,10358974369866;-7,1103105660122;-7,12123730740831;-7,13890377781146;-7,14142926850914;-7,15279973309019;-7,17430555077967
"4";-7,66202120114497;-7,67370793507932;-7,68387832885818;-7,69202023099998;-7,70526189640358;-7,72668310813501;-7,72974656896453;-7,74354292304127;-7,76965418800097
"5";-8,08160353620108;-8,09485162165972;-8,10638310922941;-8,11561619845635;-8,13063550939163;-8,15494031046028;-8,15841695516633;-8,1740765896266;-8,20372563878624
"6";-8,36862766106192;-8,38304071653919;-8,39558785623312;-8,40563525973574;-8,42198129272353;-8,44843855984635;-8,45222366142703;-8,46927440953675;-8,50156522846714
"7";-8,55450467929567;-8,56977868394418;-8,58307652327074;-8,59372587926488;-8,61105277286489;-8,63910172260978;-8,64311495306447;-8,66119465001268;-8,69543996140624
"8";-8,66762011301873;-8,6835402963061;-8,69740166896653;-8,70850296537726;-8,72656640997949;-8,75581093310588;-8,75999555449205;-8,77884839838042;-8,81456279323857
"9";-8,72784573003663;-8,7443091245515;-8,75864436675578;-8,77012578543998;-8,78880890670969;-8,81905974368351;-8,82338867051945;-8,8428926208961;-8,87984484946623
"10";-8,75012916253342;-8,76714498100523;-8,7819622794849;-8,79383048822471;-8,81314434752005;-8,8444199654143;-8,8488958969336;-8,86906329179688;-8,90727752807452
"11";-8,73745802694633;-8,75511300799985;-8,7704882006822;-8,78280414926974;-8,80284832623553;-8,83531101251434;-8,83995727914876;-8,86089356739644;-8,90057110400301
"12";-8,68691533238119;-8,70531404128095;-8,72133853597814;-8,73417567648748;-8,75507015608504;-8,78891539841172;-8,79376009791494;-8,8155922585864;-8,85697540976274
"13";-8,59447156749499;-8,61370945490284;-8,63046671994016;-8,64389214345436;-8,66574655577412;-8,70115306525117;-8,70622189357313;-8,72906608108782;-8,77237663776516
"14";-8,45764255457667;-8,47776825657937;-8,49530091123461;-8,5093489341081;-8,53221946646124;-8,56927913164342;-8,57458533083103;-8,59850149652559;-8,64385435078216
"15";-8,28515484359657;-8,30621935767637;-8,32457204859585;-8,33927859160196;-8,36322400522258;-8,40203278501737;-8,40759016971483;-8,43264081393269;-8,48015554785239
