"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-5,98720202764665;-6,05639079926484;-6,11711038927515;-6,16605857985661;-6,24630698954637;-6,37779718226188;-6,3967697085381;-6,48273144298041;-6,64773779886445
"2";-7,77474403251311;-7,83900622942158;-7,89538546701937;-7,94082358364007;-8,01529637264493;-8,13726844408672;-8,15486218225637;-8,23456014793521;-8,38746869792881
"3";-8,27778203439876;-8,33629213016686;-8,38761575780406;-8,42897332333443;-8,4967467309;-8,60771694643565;-8,62372078725828;-8,69620761995779;-8,83524057812659
"4";-8,66248801821225;-8,71571876832523;-8,76240288312796;-8,8000161310489;-8,86164290833654;-8,96252089551538;-8,97706647856012;-9,04293981779327;-9,16924971685041
"5";-8,92740355422024;-8,97631271104675;-9,0191993700975;-9,05374813413471;-9,11034476192864;-9,2029649114103;-9,21631741551626;-9,27678027488276;-9,3926831402883
"6";-9,0960551471316;-9,14163201298492;-9,18159080333766;-9,21377700522373;-9,26649597927791;-9,35275118135651;-9,36518417515849;-9,42147742448587;-9,52936125003859
"7";-9,19499124738787;-9,23812155976595;-9,2759309108424;-9,3063828078803;-9,35625551737315;-9,43783934963271;-9,44959755609219;-9,50283110211183;-9,60483130194215
"8";-9,24674504547898;-9,28817208233377;-9,32448513711147;-9,35372981301801;-9,4016214466615;-9,47995430185363;-9,49124294095286;-9,54234744550405;-9,64025419738868
"9";-9,2612279324914;-9,30142013653326;-9,3366485884126;-9,36501831602731;-9,41147435891085;-9,48745195270626;-9,49840045686507;-9,54796294556127;-9,64290567554733
"10";-9,24251757104427;-9,28163593071688;-9,31592142017182;-9,34353061847784;-9,38873910268918;-9,46267069400475;-9,47332380137114;-9,52154733129478;-9,61391739557456
"11";-9,18426099096013;-9,22218932806481;-9,25543012203955;-9,28219692917502;-9,32602392565859;-9,39769079299548;-9,40801701693641;-9,45475914900686;-9,5442841208949
