"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-5,98780851786457;-6,04455724957072;-6,10130598127686;-6,15805471298301;-6,21480344468916;-6,27155217639531;-6,32830090810145;-6,3850496398076;-6,44179837151375
"2";-9,7649497820949;-9,85355446457447;-9,94215914705403;-10,0307638295336;-10,1193685120132;-10,2079731944927;-10,2965778769723;-10,3851825594519;-10,4737872419314
"3";-9,50997523440493;-9,57453299178884;-9,63909074917276;-9,70364850655667;-9,76820626394059;-9,83276402132451;-9,89732177870842;-9,96187953609234;-10,0264372934763
"4";-9,43284542934648;-9,48709538322463;-9,54134533710278;-9,59559529098093;-9,64984524485909;-9,70409519873724;-9,75834515261539;-9,81259510649354;-9,86684506037169
"5";-9,65724392936249;-9,71061289158729;-9,76398185381208;-9,81735081603687;-9,87071977826166;-9,92408874048646;-9,97745770271125;-10,030826664936;-10,0841956271608
"6";-9,61572991672737;-9,66351826627858;-9,7113066158298;-9,75909496538101;-9,80688331493223;-9,85467166448344;-9,90246001403466;-9,95024836358587;-9,99803671313708
"7";-9,50232052772451;-9,54483960233851;-9,58735867695252;-9,62987775156653;-9,67239682618053;-9,71491590079454;-9,75743497540854;-9,79995405002255;-9,84247312463656
"8";-9,7033268636441;-9,74729128507957;-9,79125570651503;-9,83522012795049;-9,87918454938595;-9,92314897082142;-9,96711339225688;-10,0110778136923;-10,0550422351278
"9";-9,70196767507912;-9,74282257756641;-9,7836774800537;-9,824532382541;-9,86538728502829;-9,90624218751558;-9,94709709000287;-9,98795199249016;-10,0288068949774
"10";-9,67330544618514;-9,71180023200504;-9,75029501782495;-9,78878980364486;-9,82728458946477;-9,86577937528468;-9,90427416110459;-9,9427689469245;-9,98126373274441
"11";-9,72246833390656;-9,76134960803368;-9,8002308821608;-9,83911215628792;-9,87799343041504;-9,91687470454217;-9,95575597866928;-9,99463725279641;-10,0335185269235
"12";-9,54970592313376;-9,58494335498894;-9,62018078684411;-9,65541821869928;-9,69065565055446;-9,72589308240963;-9,7611305142648;-9,79636794611998;-9,83160537797515
"13";-9,44192031323004;-9,47566877935884;-9,50941724548763;-9,54316571161643;-9,57691417774522;-9,61066264387402;-9,64441111000281;-9,6781595761316;-9,7119080422604
"14";-9,41797930752315;-9,4520065536332;-9,48603379974325;-9,52006104585329;-9,55408829196334;-9,58811553807339;-9,62214278418343;-9,65617003029348;-9,69019727640353
"15";-9,13011427888346;-9,16019461874133;-9,19027495859921;-9,22035529845708;-9,25043563831496;-9,28051597817283;-9,3105963180307;-9,34067665788858;-9,37075699774645
"16";-8,96462074479632;-8,99252897177478;-9,02043719875324;-9,04834542573171;-9,07625365271017;-9,10416187968863;-9,13207010666709;-9,15997833364555;-9,18788656062401
"17";-8,88904001722417;-8,91652216218664;-8,94400430714911;-8,97148645211158;-8,99896859707405;-9,02645074203652;-9,05393288699899;-9,08141503196146;-9,10889717692394
"18";-8,79416429058183;-8,82145975137643;-8,84875521217103;-8,87605067296563;-8,90334613376023;-8,93064159455484;-8,95793705534943;-8,98523251614403;-9,01252797693864
"19";-8,61290049957218;-8,63738404205825;-8,66186758454432;-8,6863511270304;-8,71083466951647;-8,73531821200255;-8,75980175448862;-8,78428529697469;-8,80876883946077
"20";-8,63552432396813;-8,66156133189454;-8,68759833982094;-8,71363534774735;-8,73967235567376;-8,76570936360017;-8,79174637152658;-8,81778337945299;-8,8438203873794
"21";-8,62748980766631;-8,65467259864345;-8,68185538962059;-8,70903818059773;-8,73622097157487;-8,76340376255201;-8,79058655352915;-8,8177693445063;-8,84495213548344
"22";-8,66733638608723;-8,69635566754534;-8,72537494900345;-8,75439423046157;-8,78341351191968;-8,81243279337779;-8,8414520748359;-8,87047135629401;-8,89949063775212
"23";-8,69666692978999;-8,72693594297023;-8,75720495615047;-8,78747396933071;-8,81774298251094;-8,84801199569118;-8,87828100887142;-8,90855002205166;-8,9388190352319
"24";-8,69346395336631;-8,7250661926059;-8,7566684318455;-8,7882706710851;-8,81987291032469;-8,85147514956429;-8,88307738880389;-8,91467962804348;-8,94628186728308
"25";-8,62938906396885;-8,65966527793872;-8,68994149190858;-8,72021770587844;-8,75049391984831;-8,78077013381817;-8,81104634778803;-8,8413225617579;-8,87159877572776
"26";-8,61191873566183;-8,64333155752792;-8,67474437939402;-8,70615720126011;-8,7375700231262;-8,7689828449923;-8,80039566685839;-8,83180848872449;-8,86322131059058
"27";-8,60624389793931;-8,63826324624617;-8,67028259455303;-8,7023019428599;-8,73432129116676;-8,76634063947362;-8,79835998778048;-8,83037933608735;-8,86239868439421
"28";-8,48582983583434;-8,51580548327921;-8,54578113072409;-8,57575677816897;-8,60573242561384;-8,63570807305872;-8,66568372050359;-8,69565936794847;-8,72563501539334
"29";-8,40508089149715;-8,434411907285;-8,46374292307284;-8,49307393886069;-8,52240495464854;-8,55173597043638;-8,58106698622423;-8,61039800201207;-8,63972901779992
"30";-8,33207568080132;-8,36073357088223;-8,38939146096314;-8,41804935104405;-8,44670724112496;-8,47536513120587;-8,50402302128678;-8,53268091136769;-8,5613388014486
"31";-8,30137808083698;-8,33038115918429;-8,35938423753159;-8,3883873158789;-8,4173903942262;-8,4463934725735;-8,47539655092081;-8,50439962926811;-8,53340270761541
"32";-8,18554933947613;-8,21342647642371;-8,24130361337129;-8,26918075031886;-8,29705788726644;-8,32493502421402;-8,35281216116159;-8,38068929810917;-8,40856643505675
"33";-8,13026955407599;-8,15782898074118;-8,18538840740637;-8,21294783407156;-8,24050726073676;-8,26806668740195;-8,29562611406714;-8,32318554073234;-8,35074496739753
"34";-8,04848200441675;-8,07559279335602;-8,1027035822953;-8,12981437123457;-8,15692516017384;-8,18403594911311;-8,21114673805238;-8,23825752699166;-8,26536831593093
