"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-5,78768063409126;-5,78613846833513;-5,80302352109833;-5,80872609533137;-5,85720493820582;-5,86285364730063;-5,85578679940385;-5,9131259135127;-5,94222586939888
"1";-8,66136561100227;-8,65924240316838;-8,68255335904651;-8,69071207847514;-8,76040550560965;-8,76865099978276;-8,75834294077239;-8,8436682966155;-8,88729883871408
"2";-8,9623508590641;-8,9603705195083;-8,98218917363988;-8,9900868162319;-9,057889071616;-9,06598949003115;-9,05586182610532;-9,14028914448946;-9,18425661925476
"3";-9,20897280172559;-9,20695158430507;-9,22925794494005;-9,23725075658706;-9,30591741429378;-9,31415457839435;-9,3038600491494;-9,39033644738109;-9,43541560758586
"4";-9,45339083192496;-9,4514235668341;-9,47314661279249;-9,48101196103894;-9,54871517746176;-9,55689785944497;-9,54667460741163;-9,63356664716965;-9,67923885821794
"5";-9,58428946980628;-9,58228019153729;-9,60452097642929;-9,6126503511238;-9,68260322810624;-9,69104603469638;-9,68049797041744;-9,76966120421189;-9,81635894161813
"6";-9,45671639418002;-9,45480111049782;-9,47595866190325;-9,4836727234285;-9,55019028113892;-9,55827229488016;-9,54817709386752;-9,63462425625545;-9,68026281129288
"7";-9,77070820374861;-9,76868982600232;-9,79099508877651;-9,79910177919059;-9,86878422933944;-9,87719126749255;-9,8666867021183;-9,95535618516499;-10,0021887248233
"8";-9,75752512857969;-9,75559097253025;-9,77695580259991;-9,78478891324508;-9,8522834435986;-9,86048133144544;-9,85024140118541;-9,93781811833641;-9,98425633125964
"9";-9,71867213747852;-9,71667371084321;-9,73874585637465;-9,74676415796576;-9,81577443433325;-9,82412251655889;-9,81369321708428;-9,90213208295515;-9,94875326599592
"10";-9,73314521050591;-9,73119744628403;-9,75274254348462;-9,76053661964329;-9,82761780201905;-9,83577238909207;-9,82558733836673;-9,91268675363538;-9,9589063360707
"11";-9,56716121718658;-9,56530714532115;-9,58582035463614;-9,59327876352433;-9,65766638884095;-9,66555660428323;-9,65570203074202;-9,74063105464507;-9,78588873258716
"12";-9,5709075123747;-9,56902966980342;-9,58985157876643;-9,59743145252618;-9,66271530479534;-9,67068195909513;-9,66073311054638;-9,74579987976397;-9,79108548724601
"13";-9,41685167679026;-9,41500442701537;-9,43545783907914;-9,44290894331897;-9,50713156201516;-9,51496461904355;-9,5051839523342;-9,58927449158542;-9,63391110097492
"14";-9,20688470099805;-9,20511964291375;-9,22466359199614;-9,23176805794717;-9,29312366213249;-9,30066365761319;-9,29124896679476;-9,37266154535331;-9,41609835910974
"15";-9,0978951723899;-9,0962211380229;-9,11480309654647;-9,12171900821118;-9,18159493485678;-9,18896937575548;-9,17976062421698;-9,25950760988933;-9,30212151700765
"16";-8,99550816721457;-8,99385436581758;-9,0122297876318;-9,01923282814308;-9,07984924648222;-9,08726756862144;-9,07800396535706;-9,15768274936398;-9,20009122029463
"17";-8,80101609853138;-8,79941889492237;-8,81717874075091;-8,82394939882624;-8,88261618118018;-8,88984394640248;-8,88082124359458;-8,95927318630481;-9,00112137260979
"18";-8,64797206975697;-8,64641282680715;-8,66372976273377;-8,67026746791612;-8,72692854010048;-8,7339264908789;-8,72519004181657;-8,80117470110587;-8,84188553163076
"19";-8,70027769879671;-8,69866310511521;-8,71658390429223;-8,72332994330969;-8,78161858844298;-8,78875306628985;-8,7798455665809;-8,85635568640775;-8,89729394940512
"20";-8,68981137483379;-8,6881713945235;-8,70637629604664;-8,71312446964703;-8,77138467221722;-8,77852819805502;-8,76961117529886;-8,84684754942518;-8,88797355786922
"21";-8,64448173618202;-8,64285888776622;-8,66087271809028;-8,66757007002541;-8,72541334919312;-8,73250392945628;-8,7236511148862;-8,80027877109382;-8,84121119390841
"22";-8,6127778682258;-8,61115178228477;-8,62919415777867;-8,63594190737454;-8,69427057710405;-8,7014111487192;-8,69249527585567;-8,76930808845131;-8,81021735787557
"23";-8,60068761371686;-8,59905619774527;-8,61712043650729;-8,62380199691629;-8,6815767278138;-8,68868256834145;-8,67981022337869;-8,75635480196083;-8,7972318787819
"24";-8,66226841618265;-8,66063500905077;-8,67875054541142;-8,68542356358502;-8,74306282193471;-8,75017271503953;-8,74129742980951;-8,81826906420462;-8,85928866707633
"25";-8,61861770236992;-8,61697927372661;-8,63514668606505;-8,64180183889561;-8,6993085023927;-8,70639154205563;-8,69754869143325;-8,77411206216435;-8,81482381437836
"26";-8,52734974197696;-8,52573694776518;-8,54363250422636;-8,55025839891327;-8,60754001853042;-8,61456992467031;-8,60579183560971;-8,68140441883562;-8,72171107637145
"27";-8,44633642936956;-8,44471502539956;-8,4626860854196;-8,46933732065416;-8,52676257319329;-8,53378005064102;-8,52501634415792;-8,60007076331244;-8,64006794061615
"28";-8,36049150929381;-8,35889488831321;-8,37660836159627;-8,38321695787561;-8,44030119819354;-8,44727190406881;-8,43856720009669;-8,51328957510478;-8,55293084104683
"29";-8,28495218774031;-8,28338637467296;-8,30075872712334;-8,30724774867936;-8,36335047730832;-8,3702287674125;-8,36164068765669;-8,43592124853866;-8,47533088144795
"30";-8,24629714888357;-8,24473134494032;-8,26212121646024;-8,26861489383399;-8,32473634847871;-8,33161059587379;-8,3230278597126;-8,39700616444249;-8,4362885208857
"31";-8,1531410272342;-8,15156471371722;-8,16902899249189;-8,17546279198031;-8,23101482707319;-8,23779726357214;-8,2293276218823;-8,30211854070263;-8,34074743424184
"32";-8,10447550033591;-8,10292041504928;-8,12015548069387;-8,12660354416308;-8,18228161482822;-8,18904886189846;-8,1805980220079;-8,25288858155721;-8,2912376587426
"33";-8,03708847538214;-8,03553690617259;-8,05272633947786;-8,05913024950246;-8,11444104432711;-8,12117747723953;-8,11276580406626;-8,18483350687975;-8,22303812266839
"34";-7,96175459962167;-7,96023431211268;-7,97709037567168;-7,98338454176997;-8,03776629208451;-8,04440576315351;-8,03611435069142;-8,10741658468378;-8,14526909913417
"35";-7,87567815730263;-7,87419222320913;-7,89067234723775;-7,89686740793933;-7,9504464779543;-7,95700460795527;-7,94881540540349;-8,01954537244908;-8,057073207439
"36";-7,80026503471928;-7,79882173327535;-7,81485552326839;-7,82089601829156;-7,87314492104568;-7,87956257847827;-7,87155082709508;-7,94106699396261;-7,97804252585463
"37";-7,69344790042969;-7,6920341122815;-7,70773195495258;-7,71358799456831;-7,7642668113034;-7,77051722039771;-7,76271496869559;-7,83065320120419;-7,86687807441784
"38";-7,59972333279234;-7,59829796928699;-7,61410713244424;-7,61992652887759;-7,67025762663768;-7,67646229681252;-7,66871740163221;-7,73611405756797;-7,77198221458546
"39";-7,51841141273034;-7,51701382174232;-7,53252835783499;-7,53827763710472;-7,5880248445398;-7,59415641804559;-7,58650265724296;-7,65295222543482;-7,68840424251638
"40";-7,42309118811858;-7,42175358779898;-7,43662233189586;-7,44219647398059;-7,49050440688275;-7,49648108012185;-7,48902175204627;-7,55403343431785;-7,58886950427597
"41";-7,33245103778793;-7,33112788164344;-7,34584562156796;-7,35133306527252;-7,39882601978654;-7,40469339614097;-7,39737116923143;-7,46129724216681;-7,49556802404669
"42";-7,24518514387593;-7,24385147239683;-7,25867734654148;-7,26410568535888;-7,31099174291153;-7,31677362359297;-7,30955732210646;-7,37240310800697;-7,40614958544903
"43";-7,145252829572;-7,14394716623356;-7,15845572981665;-7,16377783323234;-7,20976843567358;-7,2154413182372;-7,20835897094981;-7,26972437113272;-7,30278219809404
"44";-7,03563521732039;-7,03435989049462;-7,04852637843907;-7,05380619195599;-7,09949167381045;-7,10511449488906;-7,09809322338743;-7,15865711195704;-7,19119964516673
"45";-6,93760439189454;-6,93634188030797;-6,95035691016224;-6,95561354961261;-7,00114001070718;-7,00674026928291;-6,99974833984174;-7,06008567520952;-7,09237925318394
"46";-6,85539010474211;-6,85415335317317;-6,86789141701518;-6,87307872060226;-6,91803365716869;-6,92357044672644;-6,91665941061379;-6,97651134770092;-7,00852744224029
"47";-6,76863533298581;-6,76741146381326;-6,78101596581002;-6,78614923735628;-6,83061179450015;-6,83608534059412;-6,82925341059589;-6,88857920728383;-6,92024291961115
"48";-6,66582182793411;-6,66459675501608;-6,6782014474831;-6,68326527132997;-6,72704896371418;-6,7324290500584;-6,72571221065922;-6,78379323371536;-6,81478388324689
"49";-6,55859738120959;-6,55738890787142;-6,57079718796504;-6,57576138049799;-6,61862243928055;-6,62387631403767;-6,61731487432846;-6,67357981934674;-6,70376961175978
"50";-6,45915877726184;-6,4579669275387;-6,47118435304278;-6,47609632881923;-6,51849391783857;-6,52367920523436;-6,51720198055893;-6,57246879106772;-6,60221171389715
"51";-6,37190797110707;-6,3707154405562;-6,38392736391928;-6,38882667833623;-6,43111625950703;-6,43628275767515;-6,42982857387069;-6,48485285243887;-6,5143509576351
"52";-6,29892602432695;-6,29773539152309;-6,31092532227211;-6,31579199528081;-6,35781294335959;-6,36295250902401;-6,35653308770453;-6,41147193666028;-6,44078394504069
