"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-5,79919265946086;-5,78607771738303;-5,79261368836282;-5,76353247906197;-5,84996498483428;-5,85693365415038;-5,86747856732699;-5,99146454710798;-5,97559119795169
"1";-8,51719319141624;-8,51719319141624;-8,74033674273045;-8,42188301161191;-8,46840302724681;-8,87386813535497;-8,42188301161191;-8,67971212091401;-8,74033674273045
"2";-8,94797610750869;-8,87386813535497;-8,67971212091401;-9,11503019217186;-8,94797610750869;-8,94797610750869;-8,87386813535497;-8,94797610750869;-8,94797610750869
"3";-9,31570088763401;-9,11503019217186;-8,80487526386802;-9,43348392329039;-8,94797610750869;-9,11503019217186;-9,56701531591492;-9,56701531591492;-9,31570088763401
"4";-8,74033674273045;-9,31570088763401;-9,31570088763401;-9,31570088763401;-9,31570088763401;-9,31570088763401;-9,43348392329039;-9,43348392329039;-9,43348392329039
"5";-9,43348392329039;-9,43348392329039;-9,72116599574217;-9,43348392329039;-9,43348392329039;-9,21034037197618;-9,43348392329039;-10,1266311038503;-9,90348755253613
"6";-9,31570088763401;-9,21034037197618;-9,43348392329039;-9,43348392329039;-10,1266311038503;-9,43348392329039;-9,90348755253613;-9,72116599574217;-9,21034037197618
"7";-9,72116599574217;-9,31570088763401;-9,43348392329039;-9,31570088763401;-9,56701531591492;-9,72116599574217;-9,90348755253613;-9,72116599574217;-9,90348755253613
"8";-9,56701531591492;-9,90348755253613;-9,72116599574217;-9,31570088763401;-9,90348755253613;-9,31570088763401;-9,56701531591492;-10,4143131763021;-9,90348755253613
"9";-9,56701531591492;-9,56701531591492;-9,56701531591492;-9,31570088763401;-9,43348392329039;-9,43348392329039;-9,56701531591492;-9,56701531591492;-10,1266311038503
"10";-9,56701531591492;-9,02801881518223;-9,72116599574217;-9,90348755253613;-9,31570088763401;-9,72116599574217;-9,72116599574217;-9,56701531591492;-10,1266311038503
"11";-9,43348392329039;-9,43348392329039;-9,56701531591492;-9,43348392329039;-9,43348392329039;-10,1266311038503;-9,90348755253613;-9,90348755253613;-9,56701531591492
"12";-9,56701531591492;-9,56701531591492;-9,72116599574217;-9,72116599574217;-9,31570088763401;-9,56701531591492;-9,31570088763401;-10,1266311038503;-9,43348392329039
"13";-9,43348392329039;-9,21034037197618;-9,31570088763401;-9,31570088763401;-9,31570088763401;-9,56701531591492;-9,21034037197618;-9,21034037197618;-9,31570088763401
"14";-8,87386813535497;-8,94797610750869;-9,11503019217186;-9,31570088763401;-9,43348392329039;-9,31570088763401;-9,21034037197618;-9,43348392329039;-9,31570088763401
"15";-8,87386813535497;-8,56848648580379;-8,94797610750869;-9,31570088763401;-9,11503019217186;-8,80487526386802;-9,21034037197618;-9,31570088763401;-9,21034037197618
"16";-8,62255370707406;-8,62255370707406;-8,62255370707406;-8,74033674273045;-8,87386813535497;-8,94797610750869;-8,94797610750869;-9,02801881518223;-9,21034037197618
"17";-8,46840302724681;-8,67971212091401;-8,74033674273045;-8,80487526386802;-8,87386813535497;-9,02801881518223;-8,94797610750869;-8,94797610750869;-9,02801881518223
"18";-8,42188301161191;-8,51719319141624;-8,46840302724681;-8,62255370707406;-8,67971212091401;-8,87386813535497;-8,87386813535497;-8,80487526386802;-8,74033674273045
"19";-8,51719319141624;-8,42188301161191;-8,56848648580379;-8,56848648580379;-8,37743124904108;-8,87386813535497;-8,74033674273045;-8,94797610750869;-8,80487526386802
"20";-8,67971212091401;-8,51719319141624;-8,56848648580379;-8,37743124904108;-8,87386813535497;-8,37743124904108;-9,11503019217186;-8,74033674273045;-8,87386813535497
"21";-8,51719319141624;-8,56848648580379;-8,87386813535497;-8,46840302724681;-8,67971212091401;-8,62255370707406;-8,74033674273045;-8,80487526386802;-9,11503019217186
