"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,36551019337407;-4,36525919248449;-4,36802111289834;-4,36902594823764;-4,3775786896825;-4,37858635002615;-4,37732682487871;-4,38792335690318;-4,39323683352253
"2";-6,44533549935958;-6,44495690731339;-6,4491228646862;-6,45063855240481;-6,46354031819898;-6,46506047188477;-6,463160359088;-6,47914732627198;-6,48716471927776
"3";-7,20549914159477;-7,20502206161093;-7,21027223156547;-7,21218264156754;-7,22845000817416;-7,23036739436944;-7,22797078439038;-7,24814234067134;-7,25826460966706
"4";-7,82887294553931;-7,82829955745768;-7,83461000448584;-7,83690645628193;-7,85646615007465;-7,85877220922617;-7,8558898035318;-7,88015669459039;-7,89233976660966
"5";-8,29527910375086;-8,29461888579989;-8,3018853109655;-8,30452985655821;-8,32705883121884;-8,3297154970566;-8,32639487638944;-8,35435673784263;-8,36839980161023
"6";-8,62492686612405;-8,62419187392717;-8,63228158429064;-8,63522592724336;-8,66031265288438;-8,66327138600781;-8,6595732203878;-8,69071905426161;-8,70636537410985
"7";-8,84825212434448;-8,84745501340604;-8,85622869423075;-8,85942211754326;-8,88663420885683;-8,88984398242239;-8,88583205003534;-8,91962438726658;-8,93660367196327
"8";-8,99365222120884;-8,9928052872944;-9,0021275709365;-9,00552078743456;-9,03443789236095;-9,03784908082619;-9,03358540775231;-9,06950134565341;-9,08755045527964
"9";-9,08123176800411;-9,08034395907839;-9,09011633537255;-9,0936734779506;-9,12398970609237;-9,12756619774834;-9,12309591939587;-9,16075495857136;-9,1796824223273
"10";-9,12691957442414;-9,12599600030557;-9,1361622186502;-9,13986280920041;-9,17140356904555;-9,1751247591552;-9,17047362925197;-9,20965873075099;-9,22935539342406
"11";-9,13833487501791;-9,13737799830249;-9,14791095682453;-9,15174513281277;-9,18442642567172;-9,18828241139383;-9,18346280778494;-9,22406976798315;-9,24448331912878
"12";-9,12139788449113;-9,12040843419706;-9,13130011907819;-9,13526496932207;-9,16906211328282;-9,17304999828826;-9,16806554162935;-9,21006402290707;-9,23117935832029
"13";-9,08188381422913;-9,08086123987925;-9,09211772483112;-9,09621546805141;-9,13114754665087;-9,13526960315752;-9,1301174540871;-9,17353159742153;-9,19536104410627
"14";-9,02492202552666;-9,02386599203637;-9,03549097612571;-9,03972296462171;-9,07580163192247;-9,08005925024462;-9,07473767151653;-9,11958227579045;-9,14213341504684
"15";-8,956747024894;-8,95565904454071;-8,9676358795018;-8,97199605211834;-9,00916962482757;-9,01355670459028;-9,00807332099453;-9,05428411917837;-9,07752462111794
"16";-8,88352496238367;-8,88240876185618;-8,89469640998176;-8,89916981975131;-8,93731070608879;-8,94181217044734;-8,93618582580499;-8,98360381212554;-9,00745353317739
"17";-8,80979751396322;-8,80865916042852;-8,8211908070868;-8,82575311627969;-8,86465351454379;-8,86924480297917;-8,86350619410856;-8,91187228594495;-8,93620058822086
"18";-8,73942768170882;-8,73827533218407;-8,75096114621604;-8,75557963203146;-8,79496012175831;-8,79960820600061;-8,79379861298879;-8,8427643729042;-8,86739553536838
"19";-8,67481035240161;-8,67365296547827;-8,68639428713315;-8,69103301020132;-8,73058669186304;-8,73525529401754;-8,72942005841522;-8,77860275080517;-8,80334374137572
"20";-8,61655628219482;-8,6154026971056;-8,62810218076203;-8,63272568022664;-8,67214973625881;-8,67680306044326;-8,67098692134595;-8,72000889066564;-8,74466923469321
