"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-6,23134416948165;-6,22746238815089;-6,27032603127643;-6,28600256809858;-6,4212054173763;-6,43734342179012;-6,41717862472739;-6,58897248056452;-6,67694898755226
"2";-8,2108532341879;-8,20708355873485;-8,24870634252256;-8,26392744860526;-8,39516764938496;-8,41082860476101;-8,39125975823433;-8,5579349100842;-8,64325486810296
"3";-8,80303496853512;-8,79945863150255;-8,83894528611094;-8,85338447162309;-8,97786643866891;-8,99271902408797;-8,97416019833985;-9,13221313696017;-9,21310288954212
"4";-9,24119855714893;-9,23784767882271;-9,27484366396058;-9,28837133916713;-9,40497907085902;-9,41889027148654;-9,40150767782971;-9,54952433635123;-9,6252614043712
"5";-9,52670327262478;-9,52358088217494;-9,55805295133301;-9,57065706721804;-9,67928902607418;-9,69224700023689;-9,6760554442021;-9,81391252780349;-9,88443618284851
"6";-9,692792924528;-9,68988220271912;-9,72201627877244;-9,73376494219344;-9,83501087566768;-9,84708629184701;-9,83199748059827;-9,96045001375971;-10,0261492966544
"7";-9,77617807989759;-9,77345150673367;-9,80355164640372;-9,81455615478584;-9,90937799441806;-9,92068590877868;-9,90655608487606;-10,0268312469637;-10,0883366727458
"8";-9,80808206346731;-9,80550639650694;-9,83393981507609;-9,8443345484117;-9,93389294733965;-9,94457209428982;-9,93122791244285;-10,0448045327422;-10,1028751280862
"9";-9,80258389930337;-9,80013279415541;-9,82719050239276;-9,8370819516066;-9,92229662773229;-9,9324569359996;-9,91976104271146;-10,0278108352045;-10,083047941083
"10";-9,76775395989604;-9,76541078736777;-9,79127648587848;-9,80073187765474;-9,88218353199226;-9,89189442025377;-9,87976007878445;-9,98302307344156;-10,035806577108
"11";-9,70530886752494;-9,70306474337574;-9,72783659160669;-9,73689185707434;-9,81489105318725;-9,82418966951643;-9,81257046509529;-9,91144289716691;-9,961976395984
"12";-9,61738888976375;-9,61523986335572;-9,63896152884886;-9,64763266228743;-9,72231785569378;-9,73122078618132;-9,72009599607551;-9,81475502429981;-9,86312976129091
"13";-9,50685643414799;-9,50480237769422;-9,5274753027502;-9,53576284867277;-9,6071391029341;-9,6156469948908;-9,60501581167521;-9,6954687534838;-9,74168884824255
"14";-9,3784593318046;-9,3765008291862;-9,39811858961589;-9,40602021112756;-9,4740676441602;-9,48217815627037;-9,47204350651298;-9,55826575439099;-9,60231888147624
"15";-9,24170334018512;-9,23983662834461;-9,26044079652879;-9,26797170865338;-9,33282177482159;-9,34055062474897;-9,33089286976394;-9,41305201214261;-9,45502422939146
"16";-9,10704860159711;-9,10526415412618;-9,12495994121593;-9,13215863270804;-9,19414349203932;-9,20153035168834;-9,19229992135655;-9,27081852409028;-9,31092644485867
"17";-8,98420045598352;-8,98248188367237;-9,00145028346066;-9,0083829600681;-9,06807383989775;-9,07518691905331;-9,06629858461712;-9,14190303230236;-9,18051887846551
"18";-8,88195015382303;-8,88027448988266;-8,89876912992995;-8,90552856309493;-8,96372583599491;-8,97066069886795;-8,96199505171202;-9,03570295799295;-9,07334812014282
"19";-8,80527174989846;-8,80361244753778;-8,82192648778067;-8,82861990771312;-8,88624865885553;-8,89311575698394;-8,88453478649286;-8,95752225948607;-8,99479930664985
"20";-8,75475134930643;-8,75308187076627;-8,77150837058633;-8,77824297027219;-8,83622795411888;-8,84313769843687;-8,83450344469347;-8,90794614904778;-8,94545741335086
"21";-8,72832084486757;-8,72661749253134;-8,74541814630273;-8,75228964573343;-8,81145662738757;-8,81850760863323;-8,80969688116619;-8,88464460545198;-8,92292791659419
"22";-8,71704227483197;-8,71529223072319;-8,73460858531731;-8,74166875653122;-8,80246433311923;-8,8097098679636;-8,80065604673509;-8,87767646419079;-8,91702261903156
"23";-8,71057684025902;-8,70877921592932;-8,72862107718736;-8,73587350395225;-8,79832852927329;-8,80577229409938;-8,79647078517826;-8,87560296866949;-8,91603192135974
"24";-8,69978218116009;-8,69794628786078;-8,71821082397497;-8,72561788965386;-8,78940776672403;-8,79701099720318;-8,78751023683074;-8,8683413300307;-8,9096414815007
"25";-8,67996395847252;-8,67810341182638;-8,69864025796198;-8,70614695999303;-8,77079711063118;-8,77850313629883;-8,76887393469687;-8,85080042371716;-8,8926625020437
"26";-8,64792804586646;-8,64605902206566;-8,66668953765715;-8,67423053150107;-8,73917716802014;-8,74691866851479;-8,73724514313289;-8,81955012563309;-8,86160677713949
"27";-8,60269506121815;-8,60083419201016;-8,62137470647125;-8,62888280814236;-8,69354628247895;-8,70125404478862;-8,69162267800067;-8,77356910845185;-8,81544266808008
"28";-8,54632148670908;-8,5444814888896;-8,56479156734324;-8,57221540862234;-8,63615254443089;-8,6437736529545;-8,63425056341559;-8,71527496612594;-8,75667672380124
"29";-8,48160635132779;-8,47979501795334;-8,49978860172649;-8,50709670523242;-8,5700359576026;-8,57753799251304;-8,56816368926492;-8,64792086759741;-8,68867397835275
"30";-8,41167121448725;-8,40989148026257;-8,42953616427607;-8,4367166788663;-8,49855584539319;-8,50592660862335;-8,49671633345472;-8,57507644487398;-8,61511442399157
"31";-8,3390580556064;-8,33730897707595;-8,35661518495312;-8,36367192599072;-8,42444397991315;-8,43168741508132;-8,42263624061104;-8,49964134449322;-8,53898579920016
"32";-8,26383156283405;-8,2621119775803;-8,28109255117245;-8,28803021865386;-8,34777576738069;-8,35489672986998;-8,34599858946402;-8,42170045655547;-8,46037797200054
"33";-8,1860504482407;-8,18435915400786;-8,2030273750783;-8,20985082989306;-8,26861186854574;-8,27561537938849;-8,26686399943076;-8,34131616396085;-8,37935422846694
"34";-8,10585512939227;-8,10419087545661;-8,12256056087839;-8,12927485957523;-8,18709506973669;-8,1939863511459;-8,18537520663671;-8,25863334329221;-8,29606054029974
"35";-8,02311497032412;-8,02147718593469;-8,03955464282783;-8,04616209469384;-8,10306144861955;-8,10984289102183;-8,10136899528271;-8,17345861557624;-8,21028806613224
"36";-7,93784292547504;-7,93623182035748;-7,95401473588284;-7,9605144966799;-8,01648574855366;-8,02315649120699;-8,01482091988943;-8,08573290200975;-8,12195997060621
"37";-7,8500179678915;-7,84843449740904;-7,86591232359203;-7,87230053636561;-7,92731043815754;-7,93386651444692;-7,92567422398771;-7,99536636119603;-8,03096945017846
"38";-7,75925770101188;-7,75770351385649;-7,77485804580502;-7,78112805268822;-7,83511918803682;-7,84155374520667;-7,83351329829477;-7,90191264636791;-7,93685440533926
"39";-7,66534599393025;-7,66382301380975;-7,68063300952656;-7,68677704172273;-7,73968240938512;-7,74598745019094;-7,73810883956592;-7,80513026664252;-7,83936710017742
"40";-7,56890789092229;-7,56741702753341;-7,58387244336952;-7,58988682840623;-7,6416747721784;-7,6478465200958;-7,64013446467487;-7,70573778846202;-7,73924913639848
"41";-7,4700840161239;-7,46862608758013;-7,48471789118112;-7,49059932645185;-7,54124138015438;-7,54727643943687;-7,53973518234713;-7,6038842741654;-7,63665165232178
"42";-7,36910592543305;-7,36768148587201;-7,38340356003739;-7,38914980923936;-7,43862670616208;-7,4445227794864;-7,43715519136243;-7,49982561916784;-7,531836536405
"43";-7,26697926829731;-7,26558707224506;-7,28095317413367;-7,28656927102597;-7,33492447568784;-7,34068675696159;-7,33348634809352;-7,39473346143245;-7,42601631389668
"44";-7,16366323619072;-7,16230166064785;-7,17732971703917;-7,18282222082037;-7,23011236436219;-7,23574762029629;-7,22870593576117;-7,28860183923308;-7,3191936139726
"45";-7,05901254416858;-7,05767991549898;-7,07238841262635;-7,07776408727326;-7,12404757060135;-7,12956277957461;-7,12267109997969;-7,18129015568767;-7,21122899952665
"46";-6,95378664839632;-6,9524806234877;-6,96689544054693;-6,97216375410255;-7,01752230451384;-7,02292722976915;-7,01617335599119;-7,07361957763868;-7,1029588272801
"47";-6,84903279528174;-6,84775020103531;-6,86190638254031;-6,86708015529567;-6,91162441625994;-6,91693227305199;-6,91029969261941;-6,96671384693255;-6,9955256651412
"48";-6,74589714877865;-6,74463421405614;-6,75857340797406;-6,76366787516484;-6,80752931493093;-6,81275580383956;-6,80622489880006;-6,86177420604982;-6,89014429954813
"49";-6,64499746855212;-6,64375083897058;-6,65751008958548;-6,66253880178073;-6,70583433841187;-6,7109934208658;-6,70454674629604;-6,75937988891448;-6,78738445010795
