"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-6,64421210319076;-6,71437005626393;-6,7845280093371;-6,85468596241027;-6,92484391548344;-6,99500186855661;-7,06515982162978;-7,13531777470295;-7,20547572777612
"2";-11,1815753091459;-11,2938822075917;-11,4061891060376;-11,5184960044834;-11,6308029029293;-11,7431098013751;-11,855416699821;-11,9677235982669;-12,0800304967127
"3";-10,2408128833396;-10,3182512699108;-10,3956896564819;-10,473128043053;-10,5505664296242;-10,6280048161953;-10,7054432027665;-10,7828815893376;-10,8603199759087
"4";-9,9127122553302;-9,97551132611169;-10,0383103968932;-10,1011094676747;-10,1639085384562;-10,2267076092377;-10,2895066800192;-10,3523057508006;-10,4151048215821
"5";-9,84678981889434;-9,90360540840715;-9,96042099791996;-10,0172365874328;-10,0740521769456;-10,1308677664584;-10,1876833559712;-10,244498945484;-10,3013145349968
"6";-9,85551457364899;-9,90895630866794;-9,96239804368688;-10,0158397787058;-10,0692815137248;-10,1227232487437;-10,1761649837626;-10,2296067187816;-10,2830484538005
"7";-9,76204685384578;-9,81157805636015;-9,86110925887451;-9,91064046138888;-9,96017166390325;-10,0097028664176;-10,059234068932;-10,1087652714463;-10,1582964739607
"8";-9,72540363834945;-9,77221258310511;-9,81902152786076;-9,86583047261641;-9,91263941737207;-9,95944836212772;-10,0062573068834;-10,053066251639;-10,0998751963947
"9";-9,68451094115743;-9,72891931654007;-9,77332769192272;-9,81773606730536;-9,86214444268801;-9,90655281807065;-9,95096119345329;-9,99536956883594;-10,0397779442186
"10";-9,64223091299137;-9,68462712499129;-9,72702333699121;-9,76941954899114;-9,81181576099106;-9,85421197299098;-9,8966081849909;-9,93900439699082;-9,98140060899074
"11";-9,67026703694125;-9,71253832005917;-9,7548096031771;-9,79708088629503;-9,83935216941295;-9,88162345253088;-9,9238947356488;-9,96616601876673;-10,0084373018847
"12";-9,50956673059887;-9,54867639639072;-9,58778606218258;-9,62689572797444;-9,6660053937663;-9,70511505955816;-9,74422472535001;-9,78333439114187;-9,82244405693373
"13";-9,41208101859467;-9,45028477613412;-9,48848853367356;-9,52669229121301;-9,56489604875245;-9,6030998062919;-9,64130356383134;-9,67950732137079;-9,71771107891023
"14";-9,12177249613566;-9,15598982688428;-9,1902071576329;-9,22442448838153;-9,25864181913015;-9,29285914987877;-9,3270764806274;-9,36129381137602;-9,39551114212464
"15";-8,54889225697323;-8,57499896758755;-8,60110567820186;-8,62721238881618;-8,6533190994305;-8,67942581004482;-8,70553252065914;-8,73163923127345;-8,75774594188777
"16";-8,22710409196585;-8,25030454955214;-8,27350500713842;-8,2967054647247;-8,31990592231099;-8,34310637989727;-8,36630683748355;-8,38950729506983;-8,41270775265611
"17";-7,80249865819089;-7,82145449344547;-7,84041032870005;-7,85936616395463;-7,87832199920921;-7,8972778344638;-7,91623366971838;-7,93518950497296;-7,95414534022754
"18";-7,57349393084647;-7,58991304875941;-7,60633216667235;-7,62275128458529;-7,63917040249823;-7,65558952041117;-7,67200863832411;-7,68842775623706;-7,70484687414999
"19";-7,35189291413024;-7,36593595558839;-7,37997899704653;-7,39402203850468;-7,40806507996283;-7,42210812142098;-7,43615116287912;-7,45019420433727;-7,46423724579542
"20";-7,35999527022156;-7,37500565886517;-7,39001604750878;-7,40502643615239;-7,42003682479599;-7,4350472134396;-7,45005760208321;-7,46506799072682;-7,48007837937043
"21";-7,2577115158865;-7,27020058105395;-7,28268964622141;-7,29517871138887;-7,30766777655632;-7,32015684172378;-7,33264590689124;-7,34513497205869;-7,35762403722615
"22";-7,18418537234031;-7,19570125727434;-7,20721714220836;-7,21873302714238;-7,23024891207641;-7,24176479701043;-7,25328068194445;-7,26479656687847;-7,2763124518125
"23";-7,1837643135206;-7,19547834367344;-7,20719237382628;-7,21890640397912;-7,23062043413196;-7,2423344642848;-7,25404849443764;-7,26576252459048;-7,27747655474332
