"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-5,45650124084975;-5,48036988486921;-5,50682299775585;-5,53074983128396;-5,58021093334844;-5,60189427378104;-5,61585948299292;-5,66850215469144;-5,70753534069603
"1";-8,46308524124228;-8,49648918855027;-8,53349128231432;-8,56691426706046;-8,63587271001443;-8,66611530384366;-8,68561583042919;-8,75894870558377;-8,813114852438
"2";-8,88551023489618;-8,91942693733868;-8,95695062593785;-8,99083490396151;-9,06086315731395;-9,09155851591504;-9,11135893998345;-9,18583811836078;-9,24088581676428
"3";-9,00320139574622;-9,03717042644377;-9,07475421410397;-9,10869158113059;-9,17871086494216;-9,20930317515642;-9,22903825210459;-9,3034237178655;-9,35846535986139
"4";-9,1441964003099;-9,17777331834594;-9,21490698135851;-9,24842077332664;-9,31765385847275;-9,34791803964723;-9,36745511505763;-9,44109058831155;-9,49569818301383
"5";-9,3154772326752;-9,35033232945823;-9,38888585093426;-9,42370104683764;-9,49551152936521;-9,52683832798149;-9,54704815480834;-9,62329826543972;-9,67986213397319
"6";-9,34853657000063;-9,382681612383;-9,42042882194028;-9,45449706512295;-9,52489304936442;-9,55562578511291;-9,5754685176001;-9,65036824932373;-9,70593338488739
"7";-9,29638452950075;-9,3302388324163;-9,3676687744797;-9,40144662361768;-9,47123160715583;-9,50175573897988;-9,52145817688766;-9,59578943859135;-9,65088794107447
"8";-9,41528218549959;-9,44948596833298;-9,48729880188236;-9,52141576135899;-9,59198263700226;-9,62278303449359;-9,64265000256062;-9,71760537021607;-9,77329010266103
"9";-9,40855338349504;-9,44352587633539;-9,48221213222871;-9,51713458869974;-9,58925834204197;-9,62076430241513;-9,64109255311466;-9,71786865914822;-9,77490727646559
"10";-9,37512455658493;-9,40899436664786;-9,44644836777575;-9,48024077705063;-9,55006723875309;-9,58056432374325;-9,60024810487624;-9,67444865913967;-9,72945771929348
"11";-9,32809921251556;-9,36129522906728;-9,39796954734695;-9,43104885811422;-9,49945937197103;-9,52929688898414;-9,54856792101521;-9,621426811114;-9,67566074181787
"12";-9,20018298757509;-9,23278744954369;-9,26882700696031;-9,30133535277281;-9,36856065377202;-9,39798134053902;-9,41697569247253;-9,48857068207955;-9,54177981929656
"13";-9,06773319324252;-9,09988475030259;-9,13542803957114;-9,16747779560763;-9,23367520140515;-9,26253344919668;-9,28116619048971;-9,35140668877319;-9,40363341359983
"14";-8,61268204398341;-8,64308198981426;-8,67668388342345;-8,70700781111501;-8,76965545069669;-8,79705776600045;-8,81474304843534;-8,88136364338847;-8,93066489846362
"15";-8,28268001872102;-8,31142695150339;-8,34318916015222;-8,37183532311471;-8,43091031340727;-8,45662990751232;-8,47324941053026;-8,53592708293345;-8,58245163481294
"16";-7,95544945877699;-7,98295892613743;-8,01334414410042;-8,0407616626475;-8,09739182810784;-8,12204550757789;-8,13797837026371;-8,19812223981621;-8,2429112821207
"17";-7,81727527138264;-7,84369788181755;-7,87288771554689;-7,89919182636359;-7,9535057634923;-7,97710735942762;-7,99236631937369;-8,04985494562004;-8,09248326774272
"18";-7,52968282877711;-7,5553953378589;-7,58380161090419;-7,60944367000569;-7,66238341920445;-7,68542683449229;-7,70032075946368;-7,75650082882578;-7,79823109097584
"19";-7,51910814909854;-7,54450972042471;-7,57256356631199;-7,59785255863488;-7,65006922497569;-7,67281530533188;-7,68752276905711;-7,74303806325237;-7,78430143207078
"20";-7,44130371670936;-7,46608531945712;-7,49345801757763;-7,51814293708049;-7,56900641133406;-7,59109377664553;-7,60537838179351;-7,65929283567422;-7,69924410147697
"21";-7,37278435396799;-7,39728383390821;-7,42435455946318;-7,44877333571259;-7,49911125463909;-7,52105533869925;-7,53524009639507;-7,5887296213778;-7,62832207760747
"22";-7,37378117227209;-7,39783014099025;-7,42439020861243;-7,44831750977377;-7,49767295837798;-7,51914594246337;-7,53303470220769;-7,58541377126654;-7,62441500281548
"23";-7,27058406283917;-7,29450224232949;-7,32090356833613;-7,34470608509096;-7,39385730695848;-7,41536926107023;-7,42927858730331;-7,48184702729313;-7,52095176766587
"24";-7,29303663915269;-7,31711218455862;-7,34370241666646;-7,36766639990137;-7,41701659194939;-7,43846311455569;-7,45233766416856;-7,50473851687211;-7,54358225162819
"25";-7,31200415811522;-7,33614266850303;-7,36279842747947;-7,38681796914335;-7,43638259262585;-7,45800355460072;-7,47198743137106;-7,52475745570922;-7,56386754855901
"26";-7,30859103751392;-7,33268397109317;-7,35926881849924;-7,38321155794649;-7,43269952139608;-7,45428426236981;-7,46824056278931;-7,52087904369508;-7,55997911651453
"27";-7,26971895378921;-7,29360308167403;-7,31997073720243;-7,34373398833989;-7,39273281654518;-7,41402885018666;-7,42779813234133;-7,47976292145456;-7,5183803333649
"28";-7,24375104680295;-7,26769027342713;-7,29413299807637;-7,31796746791518;-7,36709038853188;-7,38845000367887;-7,40226081893751;-7,45431149407044;-7,49276313082963
"29";-7,23262057876546;-7,25670143532961;-7,28329633511851;-7,30725814249018;-7,35659969804401;-7,37804697611091;-7,39191740593339;-7,44428721782686;-7,48305105489809
"30";-7,15192491665964;-7,17555050724912;-7,20164312012398;-7,22516564397276;-7,27363428113105;-7,29472783765818;-7,30837521993167;-7,35997652661455;-7,39827571713256
"31";-7,11134748550437;-7,1348729180436;-7,16085910526754;-7,18428551708615;-7,2325643429424;-7,25364841810415;-7,26728326699139;-7,31878152779655;-7,35687590939167
"32";-7,09025644144199;-7,1139969155416;-7,14022585224398;-7,16386236061354;-7,21259256113009;-7,23387442291435;-7,24763388127688;-7,29953149268405;-7,33789212779942
"33";-7,03766948001031;-7,06104003223559;-7,08684902705368;-7,11011143166511;-7,1581306907068;-7,17913472064014;-7,19271188319852;-7,24389565259217;-7,28173093078134
"34";-7,03118094267351;-7,05475264596705;-7,0807900516955;-7,10425900267871;-7,15263692608279;-7,17375125419883;-7,18739753569914;-7,23880373924742;-7,27680811934715
"35";-7,0221434799853;-7,04614641272561;-7,07266863365574;-7,0965938623699;-7,14590722661887;-7,1674762730352;-7,18140816117869;-7,23400924726977;-7,27291665721984
"36";-7,00562715892465;-7,02966494620973;-7,05622573526787;-7,08017917663219;-7,12959367582097;-7,15114117022535;-7,16506353051553;-7,21763675012776;-7,25659470279538
"37";-6,92385993429323;-6,94735987368665;-6,97332195742785;-6,99673332609325;-7,04510490976855;-7,06629966547106;-7,07998938747621;-7,13162359682494;-7,1699061001129
"38";-6,86198763390871;-6,8854338333333;-6,91134501266134;-6,93471769072617;-6,98296237126708;-7,00405220478918;-7,01767009054814;-7,06898150889579;-7,10697363329521
"39";-6,83057807240778;-6,85402950706995;-6,87994397418416;-6,90330577132065;-6,95154946154754;-6,97255089078034;-6,98611552820719;-7,03726054542831;-7,07519558865248
"40";-6,75091356702472;-6,77388903949002;-6,79926531407249;-6,82214294995197;-6,8694255256688;-6,89005710336849;-6,90338498207367;-6,95371586927897;-6,99107182778222
"41";-6,70910969012195;-6,73200112264931;-6,75728719778521;-6,78008184737776;-6,8271476423068;-6,84763732123143;-6,86086471517435;-6,9107787289544;-6,9478452640615
"42";-6,67061876387497;-6,69319495812155;-6,71812343117113;-6,74058974799103;-6,78700895562602;-6,80715704567414;-6,8201675819153;-6,86924710548463;-6,90579477250655
"43";-6,57838962796615;-6,60099187286291;-6,62594796351952;-6,64845674858847;-6,69498215359519;-6,71523064064837;-6,72830660180257;-6,77763202711897;-6,81432052447285
"44";-6,50543415390361;-6,52848280754897;-6,55394942712373;-6,57693616073763;-6,62444967250952;-6,64517044704488;-6,65854023624516;-6,70895881089923;-6,74637533716988
"45";-6,45063195188831;-6,47302729746835;-6,49777242928419;-6,52010257508875;-6,56627325783345;-6,58640440614412;-6,59940200513483;-6,64853483149427;-6,68509466004401
"46";-6,37796331229013;-6,3995679390888;-6,4234267831558;-6,44494277181127;-6,48945133010823;-6,50885971778989;-6,52139998074527;-6,56885309518391;-6,60421612915524
"47";-6,27564131552822;-6,2972007694469;-6,32100671224532;-6,34247017092256;-6,38688529532341;-6,40621750811941;-6,41870494741115;-6,46583411490398;-6,50087951780062
"48";-6,13722274450475;-6,15864874705749;-6,18232013626295;-6,20367094164213;-6,24778728371298;-6,26696870471072;-6,27935577161666;-6,32608749546181;-6,36083732316477
"49";-6,01726311617409;-6,03832319341024;-6,06159583374251;-6,0825931815835;-6,12596758146985;-6,14484340954133;-6,1570295098136;-6,20307032223415;-6,23734751848584
"50";-5,94281092279641;-5,96339683562499;-5,98613151091972;-6,0066345085034;-6,04906807008296;-6,06751527601396;-6,07942531414504;-6,12443147366431;-6,15797570666583
"51";-5,85625725576241;-5,8764207861367;-5,89868548280358;-5,91875969204867;-5,96028094877989;-5,97832232276645;-5,98997046950992;-6,03400886586693;-6,06688819771283
"52";-5,74480949436352;-5,76482186292828;-5,78692708160637;-5,80686450820718;-5,84802565082285;-5,86590850884989;-5,87744853318998;-5,92113138870913;-5,95373810837036
"53";-5,64096787276905;-5,66077050681591;-5,68264100651405;-5,70236947160884;-5,74312169580117;-5,7607958420256;-5,77220667294567;-5,81543037381803;-5,84765678612613
"54";-5,52718036605762;-5,54657877236487;-5,56800625420312;-5,58734288431572;-5,62735497409606;-5,64473540054021;-5,65596660576516;-5,69851877295139;-5,73024008818406
"55";-5,38832349341943;-5,4073376276806;-5,42835419484325;-5,44733333646494;-5,48663430010955;-5,50374833381841;-5,51480053466321;-5,55666073962082;-5,58785350652147
"56";-5,25650089744843;-5,27513026441058;-5,29572281464567;-5,31431263987583;-5,35277220825334;-5,36949079503974;-5,38027575813523;-5,42107817550888;-5,45148324526377
"57";-5,14353204503757;-5,16166568764621;-5,18170421341488;-5,19977782051229;-5,23712647078292;-5,25335791374797;-5,26382844270538;-5,30337279458269;-5,33286530215769
"58";-5,03017107317772;-5,04770443589396;-5,06707899759632;-5,08455034717476;-5,1206669666025;-5,13639737982865;-5,14655056321495;-5,1848333420739;-5,21338074364735
"59";-4,91296538537475;-4,93002785414715;-4,94888136186647;-4,96588390383365;-5,00106774960907;-5,01638010751895;-5,02626742913417;-5,06353417243893;-5,09130212131284
"60";-4,79729206715817;-4,81414043806555;-4,83275412187157;-4,8495419454695;-4,88430166455562;-4,89941962216223;-4,90918212628871;-4,94602903916085;-4,97346753453748
"61";-4,68150204412261;-4,6980415835732;-4,71631289864173;-4,73279886788243;-4,76693006766294;-4,78179450969328;-4,79139186793237;-4,82766663723397;-4,85467328032362
