"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-5,55968213068244;-5,64929428937213;-5,62682143352007;-5,6048425268013;-5,66938104793887;-5,71686771420486;-5,76353247906197;-5,70178447199353;-5,81248189157954
"1";-8,2170885989659;-8,33487163462228;-8,37743124904108;-8,33487163462228;-8,42188301161191;-8,33487163462228;-8,42188301161191;-8,37743124904108;-8,80487526386802
"2";-8,94797610750869;-8,74033674273045;-8,62255370707406;-8,74033674273045;-8,94797610750869;-9,02801881518223;-8,94797610750869;-8,67971212091401;-8,94797610750869
"3";-8,94797610750869;-9,02801881518223;-8,74033674273045;-9,21034037197618;-9,02801881518223;-9,11503019217186;-9,21034037197618;-9,02801881518223;-8,87386813535497
"4";-8,94797610750869;-9,21034037197618;-9,31570088763401;-9,02801881518223;-9,02801881518223;-9,21034037197618;-9,11503019217186;-9,31570088763401;-9,21034037197618
"5";-9,21034037197618;-9,43348392329039;-9,31570088763401;-9,43348392329039;-9,31570088763401;-9,21034037197618;-9,31570088763401;-9,43348392329039;-9,43348392329039
"6";-9,02801881518223;-9,21034037197618;-9,31570088763401;-9,43348392329039;-9,02801881518223;-9,43348392329039;-9,43348392329039;-9,72116599574217;-9,56701531591492
"7";-9,21034037197618;-9,21034037197618;-9,72116599574217;-9,02801881518223;-9,31570088763401;-9,31570088763401;-9,43348392329039;-9,02801881518223;-9,72116599574217
"8";-9,31570088763401;-8,80487526386802;-9,31570088763401;-9,90348755253613;-9,72116599574217;-9,43348392329039;-9,90348755253613;-9,43348392329039;-9,56701531591492
"9";-9,21034037197618;-9,56701531591492;-9,56701531591492;-9,21034037197618;-9,90348755253613;-9,31570088763401;-9,72116599574217;-9,43348392329039;-9,43348392329039
"10";-9,90348755253613;-9,31570088763401;-9,21034037197618;-9,31570088763401;-9,90348755253613;-9,31570088763401;-9,31570088763401;-9,72116599574217;-9,90348755253613
"11";-9,43348392329039;-9,31570088763401;-9,21034037197618;-8,94797610750869;-9,11503019217186;-9,11503019217186;-9,56701531591492;-9,31570088763401;-9,43348392329039
"12";-9,31570088763401;-9,11503019217186;-9,02801881518223;-8,80487526386802;-9,11503019217186;-9,02801881518223;-9,11503019217186;-9,56701531591492;-9,72116599574217
"13";-9,02801881518223;-8,94797610750869;-8,87386813535497;-9,21034037197618;-9,21034037197618;-9,11503019217186;-9,11503019217186;-9,21034037197618;-9,31570088763401
"14";-8,74033674273045;-8,37743124904108;-8,56848648580379;-8,51719319141624;-8,80487526386802;-8,74033674273045;-9,21034037197618;-8,74033674273045;-8,62255370707406
"15";-8,25482892694875;-8,07893826048508;-8,2170885989659;-8,2170885989659;-8,51719319141624;-8,42188301161191;-8,56848648580379;-8,56848648580379;-8,62255370707406
"16";-7,902007552326;-7,70626297519991;-7,98656494035407;-7,82404601085629;-7,98656494035407;-8,0471895621705;-8,37743124904108;-8,46840302724681;-8,42188301161191
"17";-7,5616817463888;-7,75172534927667;-7,68428406848113;-7,87533930524384;-7,98656494035407;-8,0471895621705;-8,29404964010203;-8,07893826048508;-8,18072095479502
"18";-7,48757377423508;-7,43538802106451;-7,48757377423508;-7,64172445406234;-7,6211051668596;-7,72873583105197;-7,75172534927667;-8,0471895621705;-7,92940652651412
"19";-7,50559227973776;-7,43538802106451;-7,40205160079692;-7,54263355141811;-7,72873583105197;-7,77525584668686;-7,82404601085629;-7,87533930524384;-8,0471895621705
