"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,14002501438428;-4,14368055087052;-4,14771906285422;-4,1513714640461;-4,15886470968742;-4,16212967076582;-4,16424194534074;-4,17211317667681;-4,17787158419804
"2";-6,28703836969307;-6,29297279803477;-6,29953043481223;-6,30546247550365;-6,31763675107095;-6,32294310826856;-6,32637665419415;-6,33917563490533;-6,3485432982089
"3";-7,02411515749511;-7,03162188114201;-7,03992010247455;-7,04742958903157;-7,06285008730041;-7,0695751599738;-7,07392795464198;-7,09016238334134;-7,10205351394968
"4";-7,61644185687357;-7,62543999282573;-7,63538962355687;-7,6443960733285;-7,66289818294515;-7,67097046397925;-7,67619631735501;-7,69569457643713;-7,70998414110089
"5";-8,04552059399522;-8,0558151258843;-8,06720052169412;-8,07750872677409;-8,09869141133316;-8,10793592521443;-8,11392155876709;-8,13626097575471;-8,15263919553302
"6";-8,3344470832233;-8,34579889040288;-8,35835543244899;-8,36972566358679;-8,3930958509526;-8,40329722146851;-8,40990312083532;-8,43456256187547;-8,45264691365922
"7";-8,51636843600285;-8,52856502792593;-8,54205750718159;-8,55427662378064;-8,57939576248332;-8,59036235697294;-8,59746436471137;-8,62397989390444;-8,64342967013359
"8";-8,62200229482079;-8,63487507843213;-8,64911684724375;-8,66201568685894;-8,68853563177105;-8,70011528719746;-8,70761480645333;-8,73561791839372;-8,75616241142703
"9";-8,67271855962995;-8,68615513335685;-8,70102176695093;-8,7144875736572;-8,74217630569665;-8,75426763045581;-8,76209896807712;-8,79134417299714;-8,81280308263197
"10";-8,68470259529085;-8,6986501756821;-8,71408328877826;-8,72806319332524;-8,75681204569738;-8,76936760532798;-8,77750004509217;-8,80787268090604;-8,83016191786671
"11";-8,66234128166487;-8,67680555837613;-8,69281157610199;-8,70731151728148;-8,73713306262518;-8,75015850215898;-8,75859575113679;-8,79011002035398;-8,81324037252857
"12";-8,60554155049909;-8,6205768091164;-8,63721603212229;-8,65229084629936;-8,68329850052604;-8,69684363002491;-8,70561804230335;-8,73839542331237;-8,76245669657422
"13";-8,51384930130928;-8,52955179370294;-8,54693104953037;-8,56267780217338;-8,5950720753708;-8,60922484992239;-8,61839352231009;-8,65264815226431;-8,6777984072542
"14";-8,38897184303014;-8,40544918258274;-8,42368788872188;-8,44021506656638;-8,4742200069645;-8,48907868336597;-8,49870539243696;-8,53467640639472;-8,56109210043479
"15";-8,24055629828277;-8,25786612180193;-8,27702825693834;-8,29439400045027;-8,3301297349376;-8,34574701829395;-8,3558659815095;-8,39368173392969;-8,42145763399589
"16";-8,08110603207112;-8,09924309690826;-8,11932288656165;-8,13752198933224;-8,17497788503755;-8,19134916324191;-8,20195740366176;-8,24160684973729;-8,27073492540346
"17";-7,92665662017683;-7,94555845872254;-7,96648663195395;-7,98545620822905;-8,0245025273547;-8,04157096108736;-8,05263160422946;-8,09397661272988;-8,12435507195078
"18";-7,79280557855873;-7,81235877559849;-7,8340095258107;-7,85363532946427;-7,89403626516962;-7,91169849877781;-7,92314447746357;-7,96593370842623;-7,99737722371162
"19";-7,68818676092072;-7,70825285747812;-7,7304725841496;-7,75061511637389;-7,79208270104572;-7,81021249999652;-7,82196189561001;-7,86588831403392;-7,89817045202054
"20";-7,61339605970574;-7,63384221243724;-7,65648353870364;-7,677008947403;-7,7192668531115;-7,73774307810268;-7,74971727617265;-7,79448621458645;-7,82738964589981
"21";-7,56581767364953;-7,58652195088149;-7,6094496058891;-7,63023503452821;-7,67302963444511;-7,69174109877043;-7,70386794387382;-7,74920894653844;-7,78253420052056
"22";-7,53745910823971;-7,55830884348742;-7,58139785541892;-7,60232981982505;-7,6454268915436;-7,66427093902969;-7,67648381952027;-7,72214726518057;-7,7557102934142
"23";-7,52180831878993;-7,54271081801472;-7,56585837948214;-7,58684353221679;-7,63005044331191;-7,64894265857677;-7,66118680301654;-7,70696746944593;-7,74061698881104
"24";-7,51356211212359;-7,534449953515;-7,55758129295872;-7,57855174840489;-7,62172842702438;-7,64060743519965;-7,65284302401473;-7,69859172900708;-7,73221778468838
"25";-7,50923976975571;-7,53008014272429;-7,55315887172989;-7,57408159159269;-7,61715986510956;-7,63599579390377;-7,64820344574199;-7,69384757496553;-7,72739664349533
"26";-7,50570668706002;-7,52649703284417;-7,5495203119789;-7,57039271672944;-7,61336725786486;-7,63215777098846;-7,64433596940949;-7,68986983685534;-7,72333772253616
"27";-7,49967639971785;-7,52041695167549;-7,54338504818216;-7,56420738817552;-7,60707873686863;-7,6258240808819;-7,63797298912237;-7,68339722937414;-7,71678442337512
"28";-7,48889757685455;-7,50958193374966;-7,53248776721407;-7,55325363112881;-7,59600861011786;-7,61470303318475;-7,62681892670751;-7,67211963674427;-7,70541594355864
"29";-7,47173065266131;-7,49234574086534;-7,51517483922071;-7,53587111221627;-7,57848273495759;-7,59711444404618;-7,60918968196841;-7,6543383084606;-7,68752275707241
"30";-7,44783848333461;-7,46836713820396;-7,49110049508852;-7,51170994806404;-7,55414274628688;-7,57269623512655;-7,58472076848334;-7,62967974365886;-7,66272472641431
"31";-7,41740957475506;-7,43783158101522;-7,46044680738333;-7,48094914053375;-7,52316131141234;-7,54161829873075;-7,55358027834987;-7,59830529140753;-7,63117823209028
"32";-7,38123997550868;-7,401534009432;-7,42400748464647;-7,44438127788902;-7,48632870069592;-7,50466988687068;-7,51655680198953;-7,56100105722838;-7,59366754172799
"33";-7,3395552422612;-7,35970071478127;-7,38200963190609;-7,40223420296598;-7,443874276435;-7,46208102638542;-7,4738807969861;-7,51799910961742;-7,55042590824166
"34";-7,29238781838498;-7,31236585503784;-7,33448930789637;-7,35454569952159;-7,39583937962675;-7,41389461604645;-7,42559617249178;-7,46934714101544;-7,50150381045232
"35";-7,23967316050478;-7,25946955330156;-7,28139180936064;-7,30126576008612;-7,34218368762252;-7,36007457496627;-7,37166959905059;-7,41502212590517;-7,44688581311573
"36";-7,18096596726964;-7,20057371334835;-7,22228702946064;-7,24197153035881;-7,28249930738025;-7,30021956423654;-7,3117039895713;-7,35464290320978;-7,38620249014877
"37";-7,11584287727645;-7,13526160225961;-7,15676558530201;-7,17626029963134;-7,21639729237296;-7,23394666711125;-7,24532033898344;-7,28784511993405;-7,31910028498519
"38";-7,04434856762163;-7,06358029831752;-7,08487721705554;-7,10418422385797;-7,14393478024812;-7,16131520280679;-7,17257938148166;-7,21469480855073;-7,24564913227035
"39";-6,96672210394176;-6,9857697149756;-7,00686277727833;-7,02598500717635;-7,06535522911231;-7,08256939662024;-7,09372583967123;-7,13543855171286;-7,16609698245482
"40";-6,88355841574101;-6,90242420930701;-6,92331598639275;-6,94225579032655;-6,98125057858688;-6,9983006597346;-7,00935078118419;-7,05066612499787;-7,08103265375868
"41";-6,79571520426542;-6,81440267729623;-6,83509706198239;-6,85385798769091;-6,89248470311979;-6,90937394052566;-6,92031984984458;-6,96124576848211;-6,991326290445
"42";-6,70403053613701;-6,72254524857556;-6,74304841794337;-6,76163608373758;-6,79990634942986;-6,81663984899247;-6,82748486312569;-6,8680338134676;-6,89783754063465
"43";-6,60905073711962;-6,62740151524873;-6,64772326569488;-6,66614657305908;-6,70407877789117;-6,72066460639827;-6,73141396209694;-6,77160558505802;-6,80114701584054
"44";-6,511144912005;-6,52934412661314;-6,54949818284004;-6,56776959742466;-6,60538947722803;-6,62183891759959;-6,63249993721498;-6,67236168025012;-6,7016610596784
"45";-6,41071437848492;-6,42877764856336;-6,44878133497698;-6,46691658825938;-6,50425661024526;-6,52058389181006;-6,53116580829933;-6,57073226979878;-6,59981510631138
"46";-6,30840054399289;-6,3263455757018;-6,34621852842707;-6,36423544798965;-6,40133239613773;-6,41755363617579;-6,42806690623342;-6,46737726115236;-6,49627242808712
"47";-6,2048588354386;-6,22270469148617;-6,24246804832637;-6,26038582262196;-6,29727928125958;-6,31341182082389;-6,32386769405518;-6,3629640804589;-6,39170262748355
