"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-6,37767426809164;-6,4624018347855;-6,55723248707725;-6,6440908632721;-6,82548436622702;-6,90584233791773;-6,95825080967506;-7,15641315083275;-7,30419594032783
"2";-8,40687002487619;-8,48909082005828;-8,58109429700841;-8,66534417319098;-8,84123502434371;-8,91913278845256;-8,96992965273167;-9,16195011433296;-9,30510553175117
"3";-8,97206052948424;-9,05004033790744;-9,13728855425197;-9,21717536065854;-9,3839324791367;-9,45777498944948;-9,50592424002393;-9,68791455110991;-9,82357109231341
"4";-9,37363995626621;-9,4466832605255;-9,52839884205118;-9,60321151036983;-9,75935267797625;-9,82848443586424;-9,87355892035692;-10,0439063880186;-10,1708637170022
"5";-9,61533374298573;-9,68337077021197;-9,75947712259381;-9,82914682246096;-9,97453213715268;-10,0388927351501;-10,0808535509284;-10,2394144411791;-10,3575686404717
"6";-9,73732757102857;-9,80080992551719;-9,87181399254677;-9,93680636645298;-10,0724120865211;-10,1324355706454;-10,1715662884954;-10,3194161552691;-10,4295725912913
"7";-9,7780453383691;-9,83762015578516;-9,9042474984691;-9,96522822419308;-10,0924477691012;-10,148752748634;-10,1854572334246;-10,324125960857;-10,4274283221811
"8";-9,76892074323703;-9,82529645670704;-9,88834098286326;-9,94603810940602;-10,06639448721;-10,1196567074049;-10,1543760016337;-10,2855334636908;-10,3832292706551
"9";-9,72502865215479;-9,77875779418302;-9,83883866131467;-9,89381994868157;-10,0085007565941;-10,0592471023599;-10,0923250779431;-10,2172731529025;-10,310334919353
"10";-9,65362295960664;-9,70501991337374;-9,76248948826082;-9,81507811872115;-9,92475955648754;-9,97329010622757;-10,0049226341927;-10,1244030449473;-10,2133850065329
"11";-9,54729375440817;-9,59634114595881;-9,65118030867732;-9,70135905768625;-9,80600598909736;-9,85230551856847;-9,88248277732329;-9,99645911802626;-10,0813348363336
"12";-9,39594486437008;-9,44233836907004;-9,49420672097261;-9,5416639961481;-9,64062624657174;-9,68440695053833;-9,71294130777389;-9,82070460016176;-9,90094581136362
"13";-9,19063070214525;-9,233821566307;-9,28210504187854;-9,32627850976101;-9,41838202643662;-9,45912392381816;-9,48567629479894;-9,58594469642162;-9,66059571372476
"14";-8,93067551959302;-8,9700462977591;-9,01405390521438;-9,0543107346459;-9,13823412698054;-9,1753519198828;-9,1995406066879;-9,29087105213198;-9,35885585891324
"15";-8,63514291441553;-8,67034542774884;-8,70968756149158;-8,74567098072332;-8,82066940566726;-8,85383322105315;-8,87544311453513;-8,95702245551302;-9,01773483160619
"16";-8,32862277552178;-8,359655406593;-8,39433036161795;-8,426038902072;-8,49210956264771;-8,52131827174155;-8,54034867046505;-8,61217449095889;-8,66561286467079
"17";-8,03896014487089;-8,0661633911344;-8,09655235150492;-8,12433522680819;-8,18220763257145;-8,20778449976877;-8,22444626080666;-8,28731602587497;-8,33407530551355
"18";-7,79223191423177;-7,81624982167389;-7,84307368444423;-7,8675912343787;-7,9186445650644;-7,9412006282115;-7,95589228058959;-8,01131299394044;-8,05251716944912
"19";-7,60121849857531;-7,62281202068454;-7,64692249212619;-7,66895483464722;-7,71481831371781;-7,73507534052357;-7,74826761718408;-7,79801920715195;-7,8349957221645
"20";-7,46424348247198;-7,48410573692997;-7,50627856539492;-7,52653621682734;-7,56869362770883;-7,58730892061032;-7,59943050008028;-7,64513380796133;-7,67909139173676
"21";-7,37529915227442;-7,39402229780269;-7,41492021870917;-7,43401016964143;-7,47372905488656;-7,49126410468197;-7,50268117323787;-7,54572071548307;-7,57769182047631
