"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-6,77934700815582;-6,84917216107247;-6,91899731398911;-6,98882246690576;-7,05864761982241;-7,12847277273906;-7,1982979256557;-7,26812307857235;-7,337948231489
"2";-9,06085140875976;-9,14091958230998;-9,22098775586019;-9,30105592941041;-9,38112410296063;-9,46119227651085;-9,54126045006106;-9,62132862361128;-9,7013967971615
"3";-9,92288643028865;-10,0138447792143;-10,1048031281399;-10,1957614770655;-10,2867198259911;-10,3776781749168;-10,4686365238424;-10,559594872768;-10,6505532216936
"4";-10,2370196283145;-10,3289124585602;-10,4208052888059;-10,5126981190515;-10,6045909492972;-10,6964837795429;-10,7883766097886;-10,8802694400342;-10,9721622702799
"5";-10,2371906803376;-10,3227732161403;-10,4083557519429;-10,4939382877456;-10,5795208235482;-10,6651033593509;-10,7506858951535;-10,8362684309562;-10,9218509667588
"6";-10,1685426175391;-10,2459310784245;-10,32331953931;-10,4007080001955;-10,4780964610809;-10,5554849219664;-10,6328733828519;-10,7102618437373;-10,7876503046228
"7";-10,0444134650174;-10,1124255354013;-10,1804376057852;-10,2484496761691;-10,3164617465531;-10,384473816937;-10,4524858873209;-10,5204979577048;-10,5885100280887
"8";-9,92059578842662;-9,98016300953143;-10,0397302306362;-10,0992974517411;-10,1588646728459;-10,2184318939507;-10,2779991150555;-10,3375663361603;-10,3971335572651
"9";-10,0883524192763;-10,1469143069977;-10,205476194719;-10,2640380824404;-10,3225999701617;-10,3811618578831;-10,4397237456044;-10,4982856333257;-10,5568475210471
"10";-10,1677605706072;-10,2253511692817;-10,2829417679561;-10,3405323666305;-10,398122965305;-10,4557135639794;-10,5133041626538;-10,5708947613283;-10,6284853600027
"11";-10,1870018512491;-10,2431746718323;-10,2993474924156;-10,3555203129989;-10,4116931335822;-10,4678659541655;-10,5240387747487;-10,580211595332;-10,6363844159153
"12";-10,2003839886388;-10,2557564916731;-10,3111289947073;-10,3665014977415;-10,4218740007758;-10,47724650381;-10,5326190068443;-10,5879915098785;-10,6433640129128
"13";-10,1462614911642;-10,2010502241879;-10,2558389572116;-10,3106276902353;-10,365416423259;-10,4202051562828;-10,4749938893065;-10,5297826223302;-10,5845713553539
"14";-9,9819924631491;-10,0339712596871;-10,0859500562251;-10,137928852763;-10,189907649301;-10,241886445839;-10,293865242377;-10,3458440389149;-10,3978228354529
"15";-9,95628884412518;-10,0092796783029;-10,0622705124807;-10,1152613466584;-10,1682521808362;-10,2212430150139;-10,2742338491917;-10,3272246833694;-10,3802155175472
"16";-9,70275854764774;-9,75259165810544;-9,80242476856313;-9,85225787902083;-9,90209098947852;-9,95192409993621;-10,0017572103939;-10,0515903208516;-10,1014234313093
"17";-9,43525715964658;-9,48379604206645;-9,53233492448633;-9,5808738069062;-9,62941268932608;-9,67795157174596;-9,72649045416584;-9,77502933658571;-9,82356821900559
"18";-9,36287384917194;-9,41321484737339;-9,46355584557484;-9,51389684377629;-9,56423784197774;-9,61457884017918;-9,66491983838063;-9,71526083658208;-9,76560183478353
"19";-9,24794330059798;-9,29958340487335;-9,35122350914872;-9,40286361342409;-9,45450371769946;-9,50614382197483;-9,5577839262502;-9,60942403052556;-9,66106413480093
"20";-9,19748443184158;-9,25135274850756;-9,30522106517354;-9,35908938183951;-9,41295769850549;-9,46682601517147;-9,52069433183745;-9,57456264850343;-9,6284309651694
"21";-9,17390745612644;-9,22946223539352;-9,2850170146606;-9,34057179392768;-9,39612657319476;-9,45168135246183;-9,50723613172891;-9,56279091099599;-9,61834569026307
"22";-9,21296086608553;-9,27130837625227;-9,329655886419;-9,38800339658574;-9,44635090675248;-9,50469841691922;-9,56304592708596;-9,62139343725269;-9,67974094741943
"23";-9,21748006651018;-9,27734527524802;-9,33721048398587;-9,39707569272371;-9,45694090146155;-9,51680611019939;-9,57667131893724;-9,63653652767508;-9,69640173641292
"24";-9,21985753043274;-9,28135201019871;-9,34284648996467;-9,40434096973064;-9,46583544949661;-9,52732992926257;-9,58882440902854;-9,65031888879451;-9,71181336856047
"25";-9,20851007881373;-9,27052902441837;-9,33254797002301;-9,39456691562765;-9,45658586123229;-9,51860480683693;-9,58062375244157;-9,64264269804621;-9,70466164365084
"26";-9,16332388468086;-9,22465330813387;-9,28598273158688;-9,34731215503989;-9,4086415784929;-9,46997100194591;-9,53130042539892;-9,59262984885193;-9,65395927230494
"27";-9,11267357908913;-9,17346913378305;-9,23426468847696;-9,29506024317087;-9,35585579786479;-9,4166513525587;-9,47744690725262;-9,53824246194653;-9,59903801664044
"28";-9,06353293152146;-9,12366201809149;-9,18379110466152;-9,24392019123154;-9,30404927780157;-9,3641783643716;-9,42430745094162;-9,48443653751165;-9,54456562408167
"29";-8,96601565479759;-9,02450233011099;-9,08298900542438;-9,14147568073778;-9,19996235605118;-9,25844903136457;-9,31693570667797;-9,37542238199137;-9,43390905730476
"30";-8,86502490952695;-8,9218724201593;-8,97871993079166;-9,03556744142401;-9,09241495205636;-9,14926246268872;-9,20610997332107;-9,26295748395342;-9,31980499458578
"31";-8,77427422506044;-8,82969914894948;-8,88512407283853;-8,94054899672757;-8,99597392061662;-9,05139884450567;-9,10682376839471;-9,16224869228376;-9,2176736161728
