"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-5,90189776063591;-5,92020752477727;-5,9273048431432;-5,96134149007618;-5,95355319520665;-5,91815805981562;-5,96483770368894;-5,98076857411243;-5,99597699373616
"1";-7,66717037996936;-7,68377499064173;-7,69026808463767;-7,72385880097645;-7,71603123775526;-7,68192521125138;-7,72730069583429;-7,74411770082831;-7,76132144493745
"2";-8,13706070276178;-8,15090697905644;-8,15625970544213;-8,18566890523658;-8,17871879505691;-8,14935398230774;-8,18878427985025;-8,20537536727228;-8,22243751083014
"3";-8,58972902712905;-8,6051319024747;-8,61137999020163;-8,64547147366421;-8,63749971672995;-8,60341435298399;-8,64907786447319;-8,66753136107401;-8,68643501951074
"4";-8,72581893417111;-8,73791500940415;-8,74277241778155;-8,7715243803573;-8,76467306294225;-8,73654945401708;-8,77462729704067;-8,79146416326115;-8,80926559758728
"5";-8,96207976531726;-8,97637569015408;-8,982042747738;-9,01419298324389;-9,00658229019119;-8,97477046128288;-9,01765228478613;-9,03554848405711;-9,05434540547635
"6";-9,0641594495166;-9,07944216104271;-9,08540175128712;-9,11914485650792;-9,11117925834858;-9,07774588934703;-9,12267975750688;-9,14064366235034;-9,15950215239955
"7";-9,03527787881855;-9,04446377738763;-9,04812558232407;-9,07199064706501;-9,06617800295064;-9,04343047298722;-9,07464952345027;-9,08991235385255;-9,10698182255012
"8";-9,21494898825539;-9,22563903121195;-9,22980506389027;-9,25584640893263;-9,24954447307202;-9,22445638780686;-9,25868633681324;-9,27427030923931;-9,29153133232944
"9";-9,33470237276365;-9,34570952396172;-9,3498731662781;-9,37488386009296;-9,368779533755;-9,34448444299486;-9,37764492371864;-9,39254956669637;-9,40955243769173
"10";-9,41613637185403;-9,42692399856516;-9,43102961884265;-9,45598211901777;-9,4498832381739;-9,42572815833552;-9,45871296530188;-9,47400359362476;-9,49116710711894
"11";-9,40335891208831;-9,4127487444981;-9,41638650374538;-9,43940325479944;-9,43372942567399;-9,411713181933;-9,4419967498429;-9,45725942845906;-9,47450110794288
"12";-9,24954026419709;-9,25810437651984;-9,26144746328998;-9,28337834317561;-9,27793970530554;-9,25715204427402;-9,2858529172157;-9,3005515670443;-9,31716051877686
"13";-9,08423408511793;-9,09090606688073;-9,09367560064295;-9,11466674215142;-9,10945224638731;-9,09016243437277;-9,11703636529451;-9,13104516203684;-9,14704603115408
"14";-9,00110372135861;-9,00510562825617;-9,0067124175109;-9,02331905052667;-9,01905113800476;-9,00467434482392;-9,02527764650977;-9,03772231483615;-9,05279244884328
"15";-8,85194853714958;-8,85672524444665;-8,85868550825453;-8,8770549365215;-8,87242560960777;-8,85620769377085;-8,87916414486988;-8,89155216282683;-8,90639066618359
"16";-8,60247882497774;-8,60572492128774;-8,60704386866162;-8,62253963535579;-8,61854365195093;-8,60537431221185;-8,62439070343019;-8,63629534999682;-8,65083901035593
"17";-8,45677338320761;-8,45906053861886;-8,4599978717038;-8,47209835552631;-8,46886863737766;-8,45880294056656;-8,47366103302777;-8,48477829075612;-8,49881871007038
"18";-8,25027551558575;-8,2505983106288;-8,25088301119664;-8,26088193965187;-8,25811014019234;-8,25055432212265;-8,2622561637128;-8,2729634054976;-8,28651405161808
"19";-8,17114730957215;-8,17548072081443;-8,17729561181313;-8,19377494409784;-8,18960264019803;-8,17499290657084;-8,19572597343704;-8,20833514468405;-8,22294253852066
"20";-8,19545816749643;-8,20121287131995;-8,2035884106475;-8,22061546359622;-8,21634830375604;-8,20056901168604;-8,22261304113958;-8,23517562241834;-8,24990931477311
"21";-8,14679296189736;-8,15146822278346;-8,15335827118981;-8,16887075985998;-8,16490983496648;-8,15094216814215;-8,17072961104807;-8,18313529405704;-8,19786494036317
"22";-8,1930018747915;-8,19800778735219;-8,2000328798851;-8,21619943203293;-8,21210995141015;-8,19744408619595;-8,21815191343262;-8,23079476324934;-8,24570707704399
"23";-8,18588077740567;-8,19135124574018;-8,19364444019874;-8,21229268889847;-8,20765907313114;-8,19073328728275;-8,2144265531048;-8,22752864791472;-8,24269767865394
"24";-8,18088540894144;-8,18674506273714;-8,18922148481421;-8,20828823720327;-8,20356629632584;-8,18609015167145;-8,2105006557856;-8,22417706071828;-8,23958539293623
"25";-8,15744945505963;-8,1637143660661;-8,16635969761321;-8,18683911540759;-8,1817946787142;-8,16301090174293;-8,18919314046317;-8,2029405050194;-8,21831339580052
"26";-8,14773099451834;-8,15417022483565;-8,15680371706079;-8,17630007806699;-8,17148995715469;-8,15345418296036;-8,17855666330406;-8,19187073663199;-8,20709047389645
"27";-8,05808319201034;-8,06312135688644;-8,06517400069391;-8,08187058450184;-8,0776761253847;-8,06254957285439;-8,08384128337252;-8,09656198711029;-8,11134015140633
"28";-7,96500033224322;-7,97098265866888;-7,97339661695397;-7,99165415397416;-7,98711737634203;-7,97030607904749;-7,99374214642314;-8,00640059822067;-8,02112218233647
"29";-7,92547402033593;-7,9304388345902;-7,93247141362302;-7,94953604104315;-7,94527479528748;-7,92987944205059;-7,95152814887183;-7,96397991303032;-7,97834729142709
"30";-7,8853284570622;-7,88955748440597;-7,89141752710047;-7,90860745217381;-7,90431943310548;-7,88908478247651;-7,91059751158305;-7,92286933692794;-7,93727556021935
"31";-7,8073376800917;-7,81050982948504;-7,81183277342392;-7,82538620651598;-7,82189915591088;-7,81015007009486;-7,82708205978651;-7,83870521085544;-7,85250979858217
"32";-7,73042892808159;-7,73389693169902;-7,73527960244468;-7,74903640840042;-7,74550385573556;-7,7335083243467;-7,75075347879592;-7,76279482090152;-7,77661938131423
"33";-7,68268620213867;-7,68734798031411;-7,68933411117264;-7,70633478968504;-7,70209855362894;-7,68682862898608;-7,70832726148636;-7,72094230608344;-7,73515547967467
"34";-7,60383311716065;-7,6071749290373;-7,60859366171327;-7,62239138681474;-7,61886121936497;-7,60679855677784;-7,62407660559372;-7,63530584390952;-7,64861147017597
"35";-7,49756821990191;-7,50038012231973;-7,5015374822377;-7,51365012330386;-7,51049581832757;-7,50006137360351;-7,51516340927431;-7,52585566229616;-7,53886276610196
"36";-7,42535252990311;-7,42999837214762;-7,43190476219356;-7,44720481183808;-7,44336017688606;-7,42947402037438;-7,44898882021385;-7,46024913188666;-7,47357724147475
"37";-7,37781797040129;-7,38333811317187;-7,38553151365997;-7,40202293923964;-7,39791704801388;-7,38272299283371;-7,40391840742168;-7,41548513431032;-7,42886907681139
"38";-7,30696256630108;-7,31199539242754;-7,31401226392479;-7,32998324283648;-7,32600098434787;-7,31144037973385;-7,33180855671525;-7,34277583112057;-7,35537587149092
"39";-7,20156145399428;-7,20585827486049;-7,20757599758492;-7,22251537279642;-7,2187475579109;-7,20538711948775;-7,22423913502164;-7,23500683283161;-7,24723622110558
"40";-7,11597741982261;-7,12058757823807;-7,12245708482324;-7,13838927444586;-7,13440855229284;-7,12008377603566;-7,14022303106179;-7,15141255563468;-7,16405037294116
"41";-7,04182082232789;-7,04795179471661;-7,05043505397359;-7,06823891002858;-7,06386850830931;-7,0472775223588;-7,0702453548531;-7,08160875281723;-7,09446560949985
"42";-6,9417995112433;-6,94825099394199;-6,95079026770405;-6,96823597795107;-6,96394209756521;-6,94753917466335;-6,97020612196994;-6,98141228732402;-6,99401598872149
"43";-6,85014294896561;-6,85665420688023;-6,85917419685212;-6,87652080921021;-6,87225032153998;-6,85593431412916;-6,87846620456577;-6,88942744954578;-6,90176280742455
"44";-6,75890814790464;-6,76536812292869;-6,76785110473796;-6,78476613930049;-6,78059316863128;-6,76465380420447;-6,78662869565179;-6,7970474819976;-6,80912002322924
