"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-5,98349637745881;-6,0116672544255;-5,99949671880525;-6,14694944994838;-6,14694944994838;-6,05760434961253;-6,1516332992608;-6,21962064024574;-6,21962064024574
"1";-7,84936381884058;-8,01641790350375;-8,01641790350375;-7,98656494035407;-7,92940652651412;-7,82404601085629;-7,98656494035407;-8,0471895621705;-8,01641790350375
"2";-8,51719319141624;-8,51719319141624;-8,42188301161191;-8,67971212091401;-8,51719319141624;-8,18072095479502;-8,51719319141624;-8,56848648580379;-8,51719319141624
"3";-8,67971212091401;-8,67971212091401;-8,94797610750869;-8,74033674273045;-8,80487526386802;-8,37743124904108;-8,74033674273045;-9,21034037197618;-9,21034037197618
"4";-9,02801881518223;-9,11503019217186;-9,02801881518223;-9,11503019217186;-9,21034037197618;-8,67971212091401;-8,94797610750869;-9,43348392329039;-9,11503019217186
"5";-9,02801881518223;-9,11503019217186;-9,21034037197618;-9,02801881518223;-9,02801881518223;-8,87386813535497;-9,02801881518223;-9,43348392329039;-9,11503019217186
"6";-9,31570088763401;-9,21034037197618;-9,43348392329039;-9,21034037197618;-9,31570088763401;-8,67971212091401;-9,90348755253613;-9,31570088763401;-9,43348392329039
"7";-9,31570088763401;-9,43348392329039;-9,31570088763401;-9,56701531591492;-9,72116599574217;-9,11503019217186;-9,56701531591492;-9,72116599574217;-9,72116599574217
"8";-9,31570088763401;-9,72116599574217;-9,31570088763401;-9,43348392329039;-9,43348392329039;-9,31570088763401;-9,43348392329039;-9,56701531591492;-10,1266311038503
"9";-9,56701531591492;-9,56701531591492;-9,56701531591492;-9,56701531591492;-9,56701531591492;-8,94797610750869;-9,56701531591492;-9,90348755253613;-9,56701531591492
"10";-9,56701531591492;-9,56701531591492;-9,56701531591492;-9,43348392329039;-9,72116599574217;-9,02801881518223;-9,90348755253613;-9,72116599574217;-9,72116599574217
"11";-9,56701531591492;-9,90348755253613;-9,72116599574217;-10,1266311038503;-9,90348755253613;-9,31570088763401;-9,56701531591492;-9,72116599574217;-9,56701531591492
"12";-9,56701531591492;-9,72116599574217;-9,90348755253613;-9,43348392329039;-9,56701531591492;-9,21034037197618;-9,56701531591492;-9,90348755253613;-9,56701531591492
"13";-9,43348392329039;-9,56701531591492;-9,56701531591492;-9,43348392329039;-9,43348392329039;-9,21034037197618;-9,72116599574217;-9,72116599574217;-9,72116599574217
"14";-9,31570088763401;-9,21034037197618;-9,56701531591492;-9,43348392329039;-9,31570088763401;-9,21034037197618;-9,11503019217186;-9,31570088763401;-9,56701531591492
"15";-8,94797610750869;-9,21034037197618;-8,87386813535497;-9,21034037197618;-8,87386813535497;-8,87386813535497;-9,21034037197618;-9,11503019217186;-9,31570088763401
"16";-8,94797610750869;-8,67971212091401;-8,80487526386802;-8,87386813535497;-8,94797610750869;-8,62255370707406;-8,94797610750869;-9,11503019217186;-9,43348392329039
"17";-8,62255370707406;-8,67971212091401;-8,62255370707406;-8,67971212091401;-8,74033674273045;-8,37743124904108;-8,94797610750869;-9,11503019217186;-8,94797610750869
"18";-8,46840302724681;-8,74033674273045;-8,56848648580379;-8,67971212091401;-8,62255370707406;-8,25482892694875;-8,56848648580379;-8,67971212091401;-8,80487526386802
"19";-8,2170885989659;-8,29404964010203;-8,18072095479502;-8,37743124904108;-8,46840302724681;-8,37743124904108;-8,42188301161191;-8,62255370707406;-8,62255370707406
"20";-8,2170885989659;-8,25482892694875;-8,29404964010203;-8,18072095479502;-8,37743124904108;-8,14562963498375;-8,46840302724681;-8,42188301161191;-8,56848648580379
"21";-8,2170885989659;-8,14562963498375;-8,18072095479502;-8,25482892694875;-8,18072095479502;-8,0471895621705;-8,51719319141624;-8,37743124904108;-8,46840302724681
"22";-8,11172808330807;-8,18072095479502;-8,29404964010203;-8,14562963498375;-8,33487163462228;-8,0471895621705;-8,29404964010203;-8,2170885989659;-8,37743124904108
"23";-8,2170885989659;-8,11172808330807;-8,01641790350375;-8,07893826048508;-8,2170885989659;-7,92940652651412;-8,33487163462228;-8,33487163462228;-8,25482892694875
"24";-8,01641790350375;-8,2170885989659;-8,18072095479502;-8,2170885989659;-8,25482892694875;-8,0471895621705;-8,2170885989659;-8,37743124904108;-8,33487163462228
