"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,89797366733221;-4,90178855180161;-4,90327296058887;-4,91134080360791;-4,90942840520567;-4,90136452555807;-4,91219110597167;-4,91644604521331;-4,92092043218667
"2";-6,40658766516612;-6,4111033712882;-6,41285990536272;-6,42240094075676;-6,42014024706332;-6,41060155215263;-6,42340591795602;-6,42843309669977;-6,43371630304252
"3";-6,997058691452;-7,001928977369;-7,00382335502379;-7,0141122844054;-7,01167451224931;-7,00138776956687;-7,01519595392988;-7,02061652100324;-7,02631268315773
"4";-7,50289517510372;-7,50833758922122;-7,51045480215776;-7,52195704128479;-7,5192313249068;-7,50773275010888;-7,52316880835791;-7,5292310400231;-7,53560318082651
"5";-7,92053238350176;-7,92692587944526;-7,9294139215012;-7,9429393224713;-7,93973283609862;-7,92621519018191;-7,94436509840823;-7,95150055726538;-7,95900556350752
"6";-8,26640518957142;-8,27415029346592;-8,27716556311652;-8,29356976541832;-8,28967881302522;-8,27328913549744;-8,29530029818054;-8,30396478208014;-8,31308508581774
"7";-8,5529901704083;-8,56231935477305;-8,56595264503427;-8,58573253572233;-8,58103880084745;-8,56128182768767;-8,58782054141694;-8,59827887652289;-8,60929487105162
"8";-8,78868102068379;-8,79962446599769;-8,80388760450102;-8,82710832484954;-8,82159623249112;-8,79840719994125;-8,82956075597007;-8,84184799164441;-8,85479701226481
"9";-8,97509531573596;-8,9875089358193;-8,99234572988159;-9,01870057142643;-9,01244302642097;-8,98612796917258;-9,02148497103135;-9,0354382998159;-9,05014841821061
"10";-9,11230772338251;-9,12592293324419;-9,13122859642583;-9,16014521131818;-9,15327832450216;-9,12440816974865;-9,16320097047232;-9,1785162496502;-9,19466605967961
"11";-9,20110258044199;-9,2156913923801;-9,22137698321455;-9,25236963296626;-9,24500890861916;-9,2140682146184;-9,25564532066391;-9,27206448241622;-9,28938130305257
"12";-9,24283606504175;-9,25823005051911;-9,26422987307057;-9,2969398783872;-9,28917059049781;-9,25651720824138;-9,3003975277932;-9,31773009633402;-9,33601272537783
