"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-6,83305401407734;-6,89579945248814;-6,92043567684283;-7,05652633010759;-7,02393069957783;-6,88878487733616;-7,07108688362429;-7,14457751798261;-7,22299822953146
"2";-8,47192820160494;-8,53741104079898;-8,56311919864831;-8,7051028761021;-8,67110008203293;-8,53009096398507;-8,7202911549285;-8,796942105296;-8,87872077633393
"3";-9,10881945571828;-9,17587128324943;-9,20219448637773;-9,34756582619899;-9,3127531334253;-9,16837598473603;-9,36311559055829;-9,44158827718523;-9,52530590177488
"4";-9,59889457154597;-9,66613186181569;-9,69252687766635;-9,83828497848878;-9,80338115755362;-9,6586160132243;-9,85387514923152;-9,93254898513188;-10,0164762188725
"5";-9,91565121301231;-9,98125152941508;-10,007002746789;-10,1491940364011;-10,1151461042283;-9,97391887838559;-10,1644015624888;-10,2411411573804;-10,3229990891367
"6";-10,0869697747327;-10,1494055058007;-10,1739130820186;-10,3092235835605;-10,2768253514168;-10,1424268385857;-10,3236938540287;-10,3967092763396;-10,474587673867
"7";-10,1611444171076;-10,2196397226261;-10,2425990606911;-10,3693464459954;-10,3390008146283;-10,2131017687064;-10,3828994921259;-10,4512824713955;-10,5242122689992
"8";-10,1835812370918;-10,2381170143302;-10,2595207202053;-10,3776651942938;-10,3493815359467;-10,2320218898791;-10,3902968612705;-10,4540267221494;-10,5219863894989
"9";-10,1808614558721;-10,2319034582881;-10,2519345669422;-10,3624888201029;-10,3360243378874;-10,2261990651325;-10,3743076145067;-10,4339324667302;-10,497507696116
"10";-10,169237248817;-10,2175593776932;-10,2365219516327;-10,3411675968325;-10,3161192219602;-10,2121591617641;-10,3523536302006;-10,408783093843;-10,4689455250139
"11";-10,1432786437981;-10,1895396647644;-10,2076925446648;-10,3078612389357;-10,2838857933807;-10,1843699462662;-10,3185678648938;-10,3725764641506;-10,4301535019897
"12";-10,0951694818405;-10,1398509615577;-10,157383388496;-10,2541220775623;-10,2309685638931;-10,1348578749948;-10,2644614650738;-10,3166157869811;-10,3722128268627
