"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-6,19880085315479;-6,26158625368425;-6,32437165421371;-6,38715705474317;-6,44994245527263;-6,51272785580209;-6,57551325633155;-6,63829865686101;-6,70108405739047
"2";-8,35538419821057;-8,42331967849381;-8,49125515877705;-8,55919063906029;-8,62712611934353;-8,69506159962677;-8,76299707991001;-8,83093256019325;-8,89886804047649
"3";-9,02291498869909;-9,09833342245721;-9,17375185621533;-9,24917028997345;-9,32458872373157;-9,40000715748969;-9,47542559124782;-9,55084402500594;-9,62626245876406
"4";-9,17137716698478;-9,24459318574755;-9,31780920451031;-9,39102522327307;-9,46424124203583;-9,5374572607986;-9,61067327956136;-9,68388929832412;-9,75710531708689
"5";-9,20480347940488;-9,27257978096095;-9,34035608251701;-9,40813238407308;-9,47590868562915;-9,54368498718521;-9,61146128874128;-9,67923759029734;-9,74701389185341
"6";-9,14736103298928;-9,20795621723661;-9,26855140148393;-9,32914658573126;-9,38974176997858;-9,45033695422591;-9,51093213847323;-9,57152732272056;-9,63212250696788
"7";-9,0608992539425;-9,11448898867967;-9,16807872341685;-9,22166845815403;-9,2752581928912;-9,32884792762838;-9,38243766236556;-9,43602739710273;-9,48961713183991
"8";-9,14075630852266;-9,19174814283043;-9,24273997713819;-9,29373181144596;-9,34472364575373;-9,39571548006149;-9,44670731436926;-9,49769914867703;-9,54869098298479
"9";-9,32258770538514;-9,37382551145514;-9,42506331752515;-9,47630112359515;-9,52753892966515;-9,57877673573515;-9,63001454180515;-9,68125234787515;-9,73249015394515
"10";-9,41120641645189;-9,46058811820387;-9,50996981995584;-9,55935152170782;-9,6087332234598;-9,65811492521178;-9,70749662696375;-9,75687832871573;-9,80626003046771
"11";-9,50191535257116;-9,55084300269683;-9,5997706528225;-9,64869830294817;-9,69762595307384;-9,74655360319951;-9,79548125332518;-9,84440890345085;-9,89333655357652
"12";-9,44162513845742;-9,48724123435015;-9,53285733024288;-9,57847342613561;-9,62408952202835;-9,66970561792108;-9,71532171381381;-9,76093780970654;-9,80655390559927
"13";-9,30155533601202;-9,34379927361737;-9,38604321122271;-9,42828714882806;-9,47053108643341;-9,51277502403875;-9,5550189616441;-9,59726289924945;-9,6395068368548
