"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-6,13017200462121;-6,15464495587477;-6,16610312965692;-6,19944200911155;-6,19944200911155;-6,18875885013971;-6,23929731935615;-6,26608769688323;-6,29365335193817
"1";-8,08127579510074;-8,10734173311512;-8,12011009237158;-8,15921934378532;-8,15921934378532;-8,14659614622921;-8,20887319252274;-8,24326691299277;-8,2785025263377
"2";-8,70659292432607;-8,73234237694615;-8,74563378861595;-8,78712780200163;-8,78712780200163;-8,77376776010698;-8,84019813006098;-8,8773824881753;-8,9155412174776
"3";-9,02768321142115;-9,05589444484458;-9,07005137950654;-9,11306892986317;-9,11306892986317;-9,09922646913316;-9,16783638476031;-9,20599556679064;-9,2452993126162
"4";-9,17120171663747;-9,19748289949695;-9,21071514712647;-9,2519173644216;-9,2519173644216;-9,23859022010479;-9,30738015233051;-9,34668266174035;-9,38715764940022
"5";-9,3830510712414;-9,41198564973745;-9,42634698387408;-9,47056162867084;-9,47056162867084;-9,45632845034648;-9,52571253189593;-9,56421527453444;-9,60394810610843
"6";-9,31770478137503;-9,34228548251073;-9,35524600465671;-9,39583881257192;-9,39583881257192;-9,3827218844069;-9,45082244015617;-9,4898218474667;-9,53010211113647
"7";-9,37220820986781;-9,39606433249469;-9,40887775235623;-9,44903633339187;-9,44903633339187;-9,43604579230895;-9,50448941645786;-9,54404020660379;-9,58464316413425
"8";-9,58235516361107;-9,60837514276507;-9,6219782937221;-9,66444724193373;-9,66444724193373;-9,650742002585;-9,72014501882362;-9,75914691572964;-9,79926499707375
"9";-9,72917358961476;-9,75634016721448;-9,77029856208968;-9,81321441506545;-9,81321441506545;-9,79939501712562;-9,86895580555066;-9,90798201274575;-9,94810510165189
"10";-9,72781372672364;-9,75295856932959;-9,76627739004169;-9,80805356358816;-9,80805356358816;-9,79458039809212;-9,86342437320234;-9,90279558065551;-9,94334379292681
"11";-9,62579585367579;-9,64880255285172;-9,66146231752755;-9,70155166142806;-9,70155166142806;-9,68855630791752;-9,75777856713935;-9,79793836593432;-9,83919626865715
"12";-9,51574211385058;-9,53839638430551;-9,55091572407785;-9,59102903292985;-9,59102903292985;-9,5780590991807;-9,64562580408265;-9,68452819304546;-9,72455787894394
"13";-9,30051137043307;-9,31950297157966;-9,3307169015301;-9,36782867392262;-9,36782867392262;-9,35581986159659;-9,42055089449713;-9,45854302991273;-9,49755185812375
