"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-5,86043628470158;-5,89252459925308;-5,92193848445937;-5,94077143279246;-5,98349637745881;-6,0448653238351;-6,07484615604703;-6,08797544748883;-6,13764705728606
"1";-7,75172534927667;-7,70626297519991;-7,77525584668686;-7,79935339826592;-7,79935339826592;-7,72873583105197;-7,98656494035407;-8,01641790350375;-7,92940652651412
"2";-8,18072095479502;-8,46840302724681;-8,37743124904108;-8,51719319141624;-8,46840302724681;-8,2170885989659;-8,62255370707406;-8,46840302724681;-8,56848648580379
"3";-8,62255370707406;-8,62255370707406;-8,67971212091401;-8,80487526386802;-8,62255370707406;-8,37743124904108;-8,56848648580379;-8,94797610750869;-8,94797610750869
"4";-8,62255370707406;-8,74033674273045;-8,80487526386802;-8,87386813535497;-8,74033674273045;-8,56848648580379;-8,87386813535497;-8,94797610750869;-8,80487526386802
"5";-8,94797610750869;-9,02801881518223;-8,87386813535497;-9,02801881518223;-9,31570088763401;-8,62255370707406;-8,87386813535497;-9,02801881518223;-9,02801881518223
"6";-8,87386813535497;-8,94797610750869;-9,11503019217186;-9,11503019217186;-9,11503019217186;-8,87386813535497;-9,21034037197618;-9,31570088763401;-9,11503019217186
"7";-9,02801881518223;-9,11503019217186;-9,21034037197618;-9,31570088763401;-9,11503019217186;-8,74033674273045;-9,02801881518223;-9,31570088763401;-9,11503019217186
"8";-9,21034037197618;-9,21034037197618;-9,31570088763401;-9,31570088763401;-9,43348392329039;-8,94797610750869;-9,21034037197618;-9,21034037197618;-9,56701531591492
"9";-9,43348392329039;-9,56701531591492;-9,21034037197618;-9,21034037197618;-9,56701531591492;-9,11503019217186;-9,43348392329039;-9,31570088763401;-9,21034037197618
"10";-9,31570088763401;-9,31570088763401;-9,56701531591492;-9,43348392329039;-9,43348392329039;-9,11503019217186;-9,56701531591492;-9,72116599574217;-9,43348392329039
"11";-9,21034037197618;-9,21034037197618;-9,31570088763401;-9,43348392329039;-9,21034037197618;-8,87386813535497;-9,56701531591492;-9,56701531591492;-9,43348392329039
"12";-9,11503019217186;-9,21034037197618;-9,11503019217186;-9,56701531591492;-9,02801881518223;-9,11503019217186;-9,43348392329039;-9,43348392329039;-9,02801881518223
"13";-9,11503019217186;-9,11503019217186;-9,02801881518223;-9,02801881518223;-8,94797610750869;-8,67971212091401;-9,02801881518223;-8,87386813535497;-9,21034037197618
"14";-8,62255370707406;-8,94797610750869;-8,80487526386802;-9,02801881518223;-8,80487526386802;-8,46840302724681;-8,74033674273045;-9,02801881518223;-8,67971212091401
"15";-8,46840302724681;-8,67971212091401;-8,51719319141624;-8,80487526386802;-8,74033674273045;-8,46840302724681;-8,80487526386802;-8,87386813535497;-8,74033674273045
"16";-8,14562963498375;-8,29404964010203;-8,29404964010203;-8,18072095479502;-8,2170885989659;-8,0471895621705;-8,33487163462228;-8,37743124904108;-8,42188301161191
"17";-7,95757740348081;-8,11172808330807;-7,95757740348081;-8,0471895621705;-8,18072095479502;-7,92940652651412;-8,14562963498375;-8,18072095479502;-8,2170885989659
"18";-7,70626297519991;-7,68428406848113;-7,79935339826592;-7,77525584668686;-7,87533930524384;-7,66277786326017;-7,902007552326;-7,902007552326;-8,07893826048508
"19";-7,5616817463888;-7,5810998322459;-7,64172445406234;-7,72873583105197;-7,75172534927667;-7,64172445406234;-7,70626297519991;-7,77525584668686;-7,82404601085629
"20";-7,45248245442381;-7,5616817463888;-7,5810998322459;-7,50559227973776;-7,52394141840595;-7,5810998322459;-7,66277786326017;-7,64172445406234;-7,66277786326017
"21";-7,52394141840595;-7,54263355141811;-7,43538802106451;-7,41858090274813;-7,52394141840595;-7,46987419713568;-7,48757377423508;-7,46987419713568;-7,52394141840595
"22";-7,45248245442381;-7,3697907385787;-7,41858090274813;-7,3232707229438;-7,38579107992514;-7,35404238161056;-7,43538802106451;-7,48757377423508;-7,46987419713568
