"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,64071763293129;-4,64356707828589;-4,64506453221164;-4,64969686649572;-4,64969686649572;-4,64820417067722;-4,65565256346746;-4,65980740974683;-4,66409861135637
"2";-6,16120255031438;-6,16524038899493;-6,16736275341861;-6,17392993720875;-6,17392993720875;-6,17181348156298;-6,18237716258379;-6,18827290944039;-6,19436463151046
"3";-6,72389122326912;-6,72859653084038;-6,73107014739765;-6,73872607531875;-6,73872607531875;-6,73625842855444;-6,74857804542155;-6,7554572489219;-6,76256784489554
"4";-7,19347135176436;-7,19888897722286;-7,20173756749486;-7,21055630442554;-7,21055630442554;-7,20771348603015;-7,22190981732871;-7,22984110603606;-7,23804245225041
"5";-7,56521628025351;-7,57147936473308;-7,57477318616404;-7,5849733647975;-7,5849733647975;-7,58168470742556;-7,59811249377974;-7,60729612729469;-7,61679694091509
"6";-7,85813066596578;-7,8653806583761;-7,86919432933289;-7,88100805026538;-7,88100805026538;-7,87719855051998;-7,8962341321394;-7,90688237731036;-7,9179037440092
"7";-8,09195773696676;-8,10025150803571;-8,1046150545759;-8,11813582606835;-8,11813582606835;-8,11377524805125;-8,13557052001579;-8,14776925355771;-8,16040077735003
"8";-8,28272004739357;-8,2920294394313;-8,29692806143181;-8,3121100882116;-8,3121100882116;-8,3072131906406;-8,33169448971749;-8,34540259984351;-8,35960180298021
"9";-8,43709799685116;-8,44738577199765;-8,45279987779941;-8,46958245387874;-8,46958245387874;-8,46416881497894;-8,49123828459953;-8,50640100174379;-8,52211117184081
"10";-8,55736868153894;-8,56862101542931;-8,5745433506148;-8,59290408228244;-8,59290408228244;-8,58698091009623;-8,61660266092831;-8,6332000530206;-8,65040067332504
"11";-8,6376672723367;-8,64993440574523;-8,65639148474371;-8,67641289420463;-8,67641289420463;-8,66995351349065;-8,70226147196765;-8,72036916634714;-8,73913907590658
"12";-8,67057771043229;-8,68393395679797;-8,69096498756093;-8,71276905568683;-8,71276905568683;-8,7057340442092;-8,74092605672386;-8,760655688886;-8,78111119596769
"13";-8,64934125983402;-8,6638576460039;-8,67150011058664;-8,69520348501301;-8,69520348501301;-8,68755513811896;-8,72582048997203;-8,74727893051242;-8,76953143053193
"14";-8,57100108927303;-8,58668725179044;-8,594946281175;-8,62056513362071;-8,62056513362071;-8,6122981901577;-8,65366362395311;-8,67686634073196;-8,7009322453497
"15";-8,4398851506178;-8,45666668818216;-8,46550311994149;-8,49291602139482;-8,49291602139482;-8,48406965697145;-8,52833923021416;-8,55317640592819;-8,57894188401374
"16";-8,26520169529111;-8,28291367639386;-8,29224062862605;-8,32117788739287;-8,32117788739287;-8,31183916065278;-8,35857694518671;-8,38480370997388;-8,41201450706789
"17";-8,06892357884581;-8,0872932353671;-8,09696697420999;-8,12698221652647;-8,12698221652647;-8,11729525501024;-8,16577922490468;-8,19298962459676;-8,22122393148899
"18";-7,87569763621157;-7,89435770392609;-7,90418467179011;-7,93467666177289;-7,93467666177289;-7,9248356176817;-7,97409292746628;-8,00173974645834;-8,03042878676693
"19";-7,70528018945253;-7,72385452565969;-7,73363646772822;-7,76398929813592;-7,76398929813592;-7,75419307481755;-7,80322694099399;-7,83074935194602;-7,85931008583292
"20";-7,56562308400683;-7,5838041314516;-7,59337893136989;-7,6230889146937;-7,6230889146937;-7,61350018311378;-7,66149531625215;-7,68843451680084;-7,7163898993117
"21";-7,46019804426138;-7,47777264276183;-7,48702792993196;-7,51574588336779;-7,51574588336779;-7,50647742445483;-7,55286849255259;-7,57890624707224;-7,60592531348768
"22";-7,38564985976186;-7,40253437502878;-7,41142604438244;-7,43901484342635;-7,43901484342635;-7,4301109582946;-7,47467577883592;-7,49968688677025;-7,52563932655348
"23";-7,33619000281944;-7,35240790537555;-7,3609483032958;-7,38744619514325;-7,38744619514325;-7,37889455020811;-7,42169475488829;-7,44571369480978;-7,47063519677263
"24";-7,30594870552819;-7,32161042588684;-7,32985773360273;-7,35544536046766;-7,35544536046766;-7,34718763616653;-7,38851531461918;-7,41170623372767;-7,43576729454689
"25";-7,28950626153985;-7,30476189442428;-7,31279520187902;-7,3377181742696;-7,3377181742696;-7,3296750678815;-7,36992748476391;-7,39251372810597;-7,41594640459756
"26";-7,28169688627515;-7,29671564016175;-7,304624115323;-7,32915936900412;-7,32915936900412;-7,32124145877825;-7,36086661593414;-7,38310010505744;-7,40616618583554
"27";-7,27801324579948;-7,29294758930025;-7,30081158206109;-7,32520868080195;-7,32520868080195;-7,31733538082902;-7,3567370370234;-7,37884484186177;-7,40178031199525
"28";-7,27446071306219;-7,28943385812913;-7,29731830326371;-7,32177894517512;-7,32177894517512;-7,3138851235179;-7,35338963000449;-7,37555531117561;-7,39855095695955
"29";-7,26757510004513;-7,2826804511911;-7,29063457759788;-7,31531168981787;-7,31531168981787;-7,30734796121619;-7,3472027915623;-7,36956556948609;-7,39276611173938
"30";-7,25564267435602;-7,27094541582198;-7,27900358138438;-7,30400390612678;-7,30400390612678;-7,29593579811061;-7,33631371482067;-7,35897080024479;-7,38247730631942
"31";-7,23727808953802;-7,25281597329477;-7,26099807987107;-7,28638346211027;-7,28638346211027;-7,27819099940702;-7,31919213411411;-7,34219989570171;-7,36607099111058
"32";-7,21097809682889;-7,22676559681827;-7,23507927970882;-7,26087346852719;-7,26087346852719;-7,25254897670107;-7,29421183610681;-7,31759199178681;-7,34185029598766
"33";-7,17640625780926;-7,19244531876059;-7,20089161045594;-7,2270978468443;-7,2270978468443;-7,21864027366934;-7,26097018526716;-7,28472579329079;-7,30937453343908
"34";-7,13386892737425;-7,15015550969797;-7,15873228856509;-7,18534401500514;-7,18534401500514;-7,17675547258332;-7,21974190654225;-7,24386710366381;-7,26890023239857
"35";-7,0848257684982;-7,10136438607949;-7,11007403698079;-7,13709868792763;-7,13709868792763;-7,12837677109265;-7,17203182221122;-7,19653345988717;-7,22195813654465
"36";-7,03049292043161;-7,04729545942529;-7,05614425142567;-7,0836013213562;-7,0836013213562;-7,07473973136985;-7,11909499558808;-7,14399088493711;-7,16982565284619
"37";-6,97179361969344;-6,98887531538464;-6,99787128175398;-7,02578574128782;-7,02578574128782;-7,0167764116954;-7,06187233617049;-7,08718525993485;-7,11345382435781
"38";-6,90904679933628;-6,92641528028058;-6,93556244511432;-6,96394681037445;-6,96394681037445;-6,95478569672499;-7,00064257370871;-7,02638397579519;-7,05309825489937
"39";-6,84249248842898;-6,86014656162183;-6,86944429967598;-6,89829664414871;-6,89829664414871;-6,888984365948;-6,9355991167229;-6,96176729386389;-6,98892553965444
"40";-6,77264236515822;-6,79057780241199;-6,80002388837788;-6,82933731337494;-6,82933731337494;-6,81987609608486;-6,86723759166643;-6,89382630877249;-6,92142206002268
"41";-6,70001212593915;-6,71822194737532;-6,72781270528136;-6,75757580399114;-6,75757580399114;-6,74796932918169;-6,79605914112433;-6,82305805355725;-6,85108057468208
"42";-6,62492451121646;-6,64339762502585;-6,65312721154384;-6,68332184364741;-6,68332184364741;-6,67357596748235;-6,72236476910008;-6,74975739992034;-6,77818957972345
"43";-6,5471227037119;-6,56584097765042;-6,57569983925295;-6,60629634096278;-6,60629634096278;-6,59642064057021;-6,64586046250941;-6,67361985082049;-6,70243368292025
"44";-6,46667041860885;-6,4856127171683;-6,49558971749585;-6,52655350821282;-6,52655350821282;-6,51655914849318;-6,56659406523324;-6,59468877458713;-6,6238516004825
"45";-6,38382050935883;-6,40296340681098;-6,41304620228543;-6,4443389505444;-6,4443389505444;-6,43423830779443;-6,48480632226783;-6,51320149928919;-6,5426771075509
"46";-6,29908593246747;-6,31840147779027;-6,32857533945274;-6,36015130228106;-6,36015130228106;-6,34995914645989;-6,40098626441759;-6,42964030389318;-6,45938546243851
"47";-6,2129220024976;-6,23237698631578;-6,24262441354416;-6,27442923683749;-6,27442923683749;-6,26416311890795;-6,31556140847941;-6,34442486235594;-6,37438818483386
"48";-6,12536983767386;-6,14492793297732;-6,15522978206263;-6,1872040078361;-6,1872040078361;-6,17688312692593;-6,22855639761946;-6,25757517234043;-6,28770044377061
"49";-6,03665378646292;-6,05628672584412;-6,06662810042591;-6,09872546277491;-6,09872546277491;-6,08836475819992;-6,14023816237457;-6,16937016734482;-6,19961364692733
"50";-5,94701318806541;-5,966700887685;-5,97707120406964;-6,00925883199848;-6,00925883199848;-5,99886891777575;-6,05088927867175;-6,08010461065173;-6,11043522333266
"51";-5,85644144666945;-5,87616115059029;-5,88654841684708;-5,91878906515892;-5,91878906515892;-5,90838196781093;-5,96048903116851;-5,98975380611229;-6,020136339353
