"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-6,17480600121714;-6,23130759676401;-6,26129375194807;-6,35534748983698;-6,35534748983698;-6,32482572655444;-6,47918155037211;-6,56754517025741;-6,66054197738241
"2";-7,70898694616174;-7,76650323205589;-7,79702342905652;-7,8927327137564;-7,8927327137564;-7,86167689667267;-8,01870313201054;-8,10856242513141;-8,20310861297848
"3";-8,25259157084774;-8,3101940424823;-8,34075830250411;-8,43659847015446;-8,43659847015446;-8,40550137864894;-8,56272492926252;-8,65268477488415;-8,74732751137975
"4";-8,67673908748075;-8,73365639738661;-8,76385546634762;-8,85854334406819;-8,85854334406819;-8,82782130690808;-8,98313745071455;-9,07199378126722;-9,16546647628128
"5";-8,96781673293231;-9,02307994318072;-9,05239967803586;-9,14432299172789;-9,14432299172789;-9,11449915357604;-9,26526280446629;-9,35150202646946;-9,44221219593721
"6";-9,15369015151233;-9,20660066412082;-9,23467040013275;-9,32266692876936;-9,32266692876936;-9,29411838195748;-9,43842311111781;-9,52095452701605;-9,60775478573263
"7";-9,27150861244007;-9,32182237505372;-9,34851272027245;-9,43217718405734;-9,43217718405734;-9,40503535470792;-9,54221739360337;-9,62066197873707;-9,70315414719375
"8";-9,35264640443929;-9,40051258946441;-9,42590287801192;-9,50548484055718;-9,50548484055718;-9,47966862284493;-9,61013927556438;-9,68473371824919;-9,76316781513836
"9";-9,40653626966527;-9,45218028618556;-9,47639030855509;-9,55226621270074;-9,55226621270074;-9,52765332917454;-9,65203209098135;-9,72313223654636;-9,79788366623523
"10";-9,43312601229808;-9,47672249510066;-9,49984507792955;-9,57230671707547;-9,57230671707547;-9,54880237255725;-9,6675696368136;-9,73545157170036;-9,80681170220479
"11";-9,41790430180414;-9,45941797812515;-9,48143452083711;-9,55042407333487;-9,55042407333487;-9,52804694657348;-9,64110906179952;-9,70572005499091;-9,77363404955553
"12";-9,34851653879145;-9,38778215459416;-9,40860506799766;-9,47384829906203;-9,47384829906203;-9,45268730207198;-9,55959539088407;-9,62067931327654;-9,6848782401138
"13";-9,21608302541168;-9,25286977005119;-9,27237667856745;-9,33349026691889;-9,33349026691889;-9,31366970796937;-9,41379592236463;-9,47099422990608;-9,53110140212292
"14";-9,02165337504422;-9,05580817347177;-9,07391798021997;-9,13064818027572;-9,13064818027572;-9,11225030178499;-9,20517968995244;-9,25825588753455;-9,31402319589393
"15";-8,77695698210442;-8,80849013208108;-8,82520846355069;-8,87757362780668;-8,87757362780668;-8,86059235878539;-8,94635672177461;-8,99533020779399;-9,04677896023754
"16";-8,50016134840899;-8,52928890483677;-8,54473059915128;-8,59309168948036;-8,59309168948036;-8,57740976767539;-8,65660331955278;-8,70181555559843;-8,74930608505905
"17";-8,22644245526921;-8,25370263240879;-8,26815350208622;-8,31340775430781;-8,31340775430781;-8,29873388894317;-8,37283094812016;-8,4151272272292;-8,45955011612711
"18";-7,99288123990661;-8,01912160893801;-8,03303163609238;-8,07659117093115;-8,07659117093115;-8,06246699116907;-8,13378676974877;-8,17449598274644;-8,21725071103832
"19";-7,82238436197651;-7,84854548487922;-7,86241396308388;-7,90584539548571;-7,90584539548571;-7,89176242353981;-7,96287726396311;-8,00347291452418;-8,04611093622882
"20";-7,71636883032011;-7,74324734029991;-7,75749712437054;-7,80212707852325;-7,80212707852325;-7,78765475547361;-7,86074257938447;-7,90247198013759;-7,9463064005613
"21";-7,66864614234944;-7,69681823047133;-7,71175512742078;-7,75854285318694;-7,75854285318694;-7,74336987844004;-7,8200051070266;-7,86376967078179;-7,90974924789893
"22";-7,66234710986145;-7,69207541550067;-7,70783877163732;-7,75722116435126;-7,75722116435126;-7,74120578776598;-7,82210501330449;-7,86831467012748;-7,91687060704851
"23";-7,68017814793927;-7,71145570892009;-7,72804175118655;-7,78000663511745;-7,78000663511745;-7,76315286375585;-7,84829528948524;-7,89693755593941;-7,94805628244982
"24";-7,70678187939462;-7,73937805211335;-7,75666426818777;-7,8108269087433;-7,8108269087433;-7,79325967066465;-7,88201277928181;-7,93272477106798;-7,98602378564359
"25";-7,73215026495078;-7,76572269550695;-7,78352728000639;-7,83931693546613;-7,83931693546613;-7,82122152560218;-7,91264746312165;-7,96489144966597;-8,01980419855059
"26";-7,74868931849602;-7,78283395366084;-7,80094235921249;-7,85768560191354;-7,85768560191354;-7,83928063632103;-7,93227305408978;-7,98541486694049;-8,04127331673371
"27";-7,75330751064194;-7,7876488929561;-7,80586176786106;-7,86293291769972;-7,86293291769972;-7,84442150372685;-7,9379526172166;-7,99140320764552;-8,04758691839386
"28";-7,74477235858726;-7,77899453396699;-7,79714413004912;-7,85401673970419;-7,85401673970419;-7,83556976490152;-7,9287748981303;-7,98203877129159;-8,03802589657746
"29";-7,7224416343577;-7,75628958623712;-7,77424051860075;-7,83048975062444;-7,83048975062444;-7,81224511231843;-7,90442658481335;-7,95710401483498;-8,01247362548433
"30";-7,68725180138713;-7,72052829786719;-7,7381758655993;-7,7934731988101;-7,7934731988101;-7,77553752626978;-7,86615590254651;-7,91793787848712;-7,97236461012937
"31";-7,64049223714834;-7,67305941989368;-7,69033044875004;-7,74444631892054;-7,74444631892054;-7,7268941168195;-7,81557253426692;-7,86624323352439;-7,9194998865767
"32";-7,58333173614027;-7,61511495563427;-7,63196983515501;-7,68478003197177;-7,68478003197177;-7,66765160327314;-7,7541862881559;-7,80362910906456;-7,85559300700967
"33";-7,51708314316257;-7,54805064308358;-7,56447253739719;-7,61592433095449;-7,61592433095449;-7,59923677464747;-7,68354137339345;-7,73170701182283;-7,78232636290643
"34";-7,44303093120359;-7,47317945779709;-7,48916666347312;-7,53925481295388;-7,53925481295388;-7,5230098130409;-7,60507596846553;-7,651959813149;-7,70122989365614
"35";-7,36210656740653;-7,39142772484491;-7,40697580479757;-7,4556864746023;-7,4556864746023;-7,43988850756569;-7,51969370832388;-7,56528301052681;-7,61319050666777
"36";-7,2749518568798;-7,30342829036984;-7,31852804778176;-7,36583245084659;-7,36583245084659;-7,3504908487675;-7,42798799294498;-7,47225588900498;-7,51877260382469
"37";-7,182243528185;-7,20985478764955;-7,22449537980835;-7,27035955268505;-7,27035955268505;-7,25548532973242;-7,33061878699898;-7,37353350744811;-7,41862606333344
"38";-7,08501284164146;-7,11175393589423;-7,12593272639457;-7,1703484543324;-7,1703484543324;-7,15594426738275;-7,22870068629536;-7,27025468021761;-7,31391519939267
"39";-6,98433337259975;-7,01021718028121;-7,02394101923506;-7,06692985468498;-7,06692985468498;-7,05298869876482;-7,12340360895395;-7,16361732865478;-7,20586742013334
"40";-6,88108730028584;-6,9061355763975;-6,91941602499665;-6,96101429825599;-6,96101429825599;-6,94752437257523;-7,01565755913647;-7,05456534441599;-7,09544123439823
"41";-6,77608598804935;-6,8003268042086;-6,8131787755777;-6,85343332886323;-6,85343332886323;-6,84037942163745;-6,90630791728901;-6,94395397883179;-6,9835022798624
"42";-6,67001132873439;-6,69347974881385;-6,70592186721949;-6,74489118414007;-6,74489118414007;-6,73225430560445;-6,79607425096938;-6,83251374001561;-6,87079258027165
"43";-6,56309644496426;-6,58583631771154;-6,59789187195335;-6,63564907672874;-6,63564907672874;-6,62340548440239;-6,68523707126033;-6,72053892442411;-6,75762095289107
"44";-6,45562956868133;-6,4776893180927;-6,489384025781;-6,52600986367428;-6,52600986367428;-6,51413334146502;-6,57410927576393;-6,60834959852561;-6,64431501261935
"45";-6,34803959986336;-6,36947153463248;-6,38083317502497;-6,41641485774511;-6,41641485774511;-6,40487709111775;-6,46314069103838;-6,49640166393053;-6,53133705457781
"46";-6,24113965529706;-6,2620021749101;-6,27306175926684;-6,3076966339093;-6,3076966339093;-6,29646601958391;-6,35317723211938;-6,38555055169677;-6,41955252224103
"47";-6,13576205306237;-6,15612130631463;-6,16691395860381;-6,20071227226929;-6,20071227226929;-6,18975302069978;-6,24509296409945;-6,27668244710133;-6,30986035682356
"48";-6,0322501674897;-6,05217879200822;-6,06274308105631;-6,09582589090671;-6,09582589090671;-6,08509870370885;-6,13926624907068;-6,17018588364989;-6,20265980291583
"49";-5,93014439154624;-5,94969986698776;-5,96006631332549;-5,99252941605228;-5,99252941605228;-5,98200319490692;-6,03515571806059;-6,06549570990366;-6,09736065883709
"50";-5,82897876667316;-5,84820291241053;-5,85839372153599;-5,89030681605513;-5,89030681605513;-5,8799589345344;-5,93221094031345;-5,96203692395452;-5,99336204155488
"51";-5,72898805666148;-5,74792777632453;-5,75796785302649;-5,78940910917309;-5,78940910917309;-5,77921419119633;-5,83069409694252;-5,86007967881873;-5,8909424995528
"52";-5,63064018176441;-5,64935535620908;-5,6592764954476;-5,69034570760481;-5,69034570760481;-5,6802713574879;-5,73114310066349;-5,76018224337621;-5,79068174171581
"53";-5,53450166848883;-5,55307126409221;-5,56291539453877;-5,59374416303576;-5,59374416303576;-5,5837476602071;-5,63422742616562;-5,66304403778876;-5,69331073019682
"54";-5,44066383023547;-5,45916972956657;-5,46898032826867;-5,49970511314519;-5,49970511314519;-5,48974215947825;-5,54005411650479;-5,56877668035726;-5,59894590238502
"55";-5,34901269259015;-5,36753303286909;-5,37735158824019;-5,40810260799264;-5,40810260799264;-5,39813093149254;-5,44848899492871;-5,47724011799951;-5,50744101562497
"56";-5,25916271536929;-5,27776418439714;-5,28762610577264;-5,3185144995616;-5,3185144995616;-5,30849802168983;-5,35908476658737;-5,38796909448063;-5,41831189549087
"57";-5,17072195385678;-5,18945811123611;-5,19939183736683;-5,2305068663147;-5,2305068663147;-5,22041661060483;-5,27137867285442;-5,30048025297585;-5,33105348882227
"58";-5,08321883892132;-5,10212539245058;-5,11214988325118;-5,14355105714461;-5,14355105714461;-5,13336770517827;-5,18480284599762;-5,21417771226246;-5,24504040637974
"59";-4,99579771773378;-5,01487336526392;-5,02498792896231;-5,05667307493303;-5,05667307493303;-5,04639733234001;-5,09830197839635;-5,12794807998108;-5,1590980701195
"60";-4,90765382868203;-4,92686484616894;-4,93705157566151;-4,96896448616695;-4,96896448616695;-4,95861459973659;-5,01089640933641;-5,04076081486922;-5,07214234284709
"61";-4,81858739926964;-4,83790565615578;-4,84814961542339;-4,88024341306161;-4,88024341306161;-4,86983460000079;-4,9224165701085;-4,95245514792659;-4,98402173075219
"62";-4,72861493134127;-4,74802928825878;-4,75832456451205;-4,79058069912433;-4,79058069912433;-4,7801189799197;-4,83297065684543;-4,86316596598616;-4,89489924280511
"63";-4,6377720444671;-4,65728603559331;-4,66763450841245;-4,70005889266687;-4,70005889266687;-4,68954234575387;-4,74267347417068;-4,77303112231805;-4,80493701666494
"64";-4,54602442332285;-4,56564238536344;-4,57604636062428;-4,60864624596877;-4,60864624596877;-4,59807251505604;-4,65149504076231;-4,68202189850532;-4,7141076651568
"65";-4,45303135537295;-4,47274528359235;-4,48320051423781;-4,51596258455326;-4,51596258455326;-4,50533599007719;-4,55902807152065;-4,58971164389729;-4,62196413917675
"66";-4,35840006650931;-4,37818805628192;-4,38868291486106;-4,42157068944917;-4,42157068944917;-4,4109030716064;-4,4648048139404;-4,49561079557957;-4,52799390225393
"67";-4,26183771072062;-4,28166804503202;-4,29218569408046;-4,32514633997271;-4,32514633997271;-4,31445484725152;-4,36847949367115;-4,39935818351588;-4,43181956788501
"68";-4,16311624266321;-4,18294933222679;-4,19346875437477;-4,22643631935923;-4,22643631935923;-4,21574235904636;-4,26978160147265;-4,3006709463904;-4,33314526404021
"69";-4,06220640757894;-4,08199900587835;-4,09249724165235;-4,12539967688996;-4,12539967688996;-4,11472663554497;-4,16866214832647;-4,19949435185327;-4,23191020746448
"70";-3,95927683340012;-3,97898512323982;-3,98943890957409;-4,02220321081975;-4,02220321081975;-4,01157478556336;-4,06528666752889;-4,09599302590387;-4,12827806527666
"71";-3,85448586065715;-3,87406470782547;-3,88445008174722;-3,91700104530276;-3,91700104530276;-3,90644164768763;-3,95980637815189;-3,99031610854284;-4,0223957841447
"72";-3,7478032741789;-3,76720208500747;-3,77749218435886;-3,80974550525721;-3,80974550525721;-3,79928250159731;-3,85216160483513;-3,88239534999001;-3,91418608044841
"73";-3,63919168719353;-3,65835716500838;-3,66852369230028;-3,70039056001681;-3,70039056001681;-3,69005277932212;-3,74230037689083;-3,77217453575478;-3,80358826889779
"74";-3,52866461152118;-3,54754277894579;-3,5575570751551;-3,58894754398271;-3,58894754398271;-3,5787641838432;-3,63023253142422;-3,6596624327488;-3,69060998857082
"75";-3,41639652153712;-3,43493676483895;-3,44477195667987;-3,47560168465301;-3,47560168465301;-3,46560012373211;-3,51615067987987;-3,54505692524239;-3,57545467638827
"76";-3,30254911167745;-3,32070375303516;-3,33033452584898;-3,36052406193051;-3,36052406193051;-3,35073009135924;-3,40023234655986;-3,4285401392494;-3,45830930412204
"77";-3,18715654067227;-3,20487717429807;-3,21427782672756;-3,24374650541338;-3,24374650541338;-3,23418631068963;-3,28250775859121;-3,31014115613247;-3,33920174531958
"78";-3,07053813309677;-3,08778255201819;-3,09693067362479;-3,12560815652451;-3,12560815652451;-3,11630457104847;-3,16332966531066;-3,19022244259131;-3,21850469977473
"79";-2,9531527379361;-2,96988804194313;-2,97876616326449;-3,00659761736958;-3,00659761736958;-2,99756844157361;-3,04320710070637;-3,06930762336395;-3,096757157709
"80";-2,83567911539245;-2,85188577722476;-2,8604835284595;-2,88743640009125;-2,88743640009125;-2,8786922026945;-2,92289093443525;-2,94816853240845;-2,97475303019872
"81";-2,71885141996758;-2,73452298498507;-2,742836936327;-2,76890044912375;-2,76890044912375;-2,7604447302404;-2,80318580479117;-2,82763029697694;-2,85333901981582
"82";-2,6033436179331;-2,61848081553773;-2,62651135019708;-2,65168668912208;-2,65168668912208;-2,64351906699833;-2,6848043884675;-2,70841683610767;-2,73325087934552
"83";-2,48958267520969;-2,50418961767654;-2,51193891401998;-2,5362328938888;-2,5362328938888;-2,52835115993299;-2,56819186995887;-2,59097862114683;-2,6149446431977
"84";-2,37789474886042;-2,39197952952475;-2,39945187906293;-2,42287794421293;-2,42287794421293;-2,41527773821572;-2,45369586200782;-2,47566949785167;-2,49878071885255
"85";-2,26843373834507;-2,28201159516098;-2,28921508311761;-2,31179858573585;-2,31179858573585;-2,30447168181582;-2,341508807609;-2,36269312296078;-2,38497457565122
"86";-2,16124883240169;-2,17433651327277;-2,18128002658563;-2,20304883508114;-2,20304883508114;-2,19598619054744;-2,23168803985247;-2,25210919841795;-2,27358841060917
"87";-2,05637584414425;-2,06899017042746;-2,07568263492985;-2,09666473932922;-2,09666473932922;-2,08985727208672;-2,12426976509707;-2,14395404367612;-2,1646586617208
"88";-1,95386284026587;-1,96602181471697;-1,97247278348071;-1,99269814230071;-1,99269814230071;-1,9861361312696;-2,01930842140891;-2,03828394960091;-2,05824357120679
"89";-1,85376475469326;-1,86548751099305;-1,87170713750266;-1,891207593439;-1,891207593439;-1,88488070594276;-1,91686504109265;-1,93516172156648;-1,95440781167075
"90";-1,75615033278456;-1,7674539127692;-1,77345123940572;-1,79225514602107;-1,79225514602107;-1,7861541823234;-1,81699707446051;-1,83464151936387;-1,85320207468646
"91";-1,66108650804267;-1,6719778825243;-1,67775660317594;-1,6958755220921;-1,6958755220921;-1,6899967342986;-1,71971709917821;-1,73672009562101;-1,7546064378122
"92";-1,56862579881899;-1,57909996900993;-1,5846574208664;-1,60208295680724;-1,60208295680724;-1,59642907637193;-1,6250130330557;-1,64136656152794;-1,65857019589961
"93";-1,47864624497197;-1,48868430903691;-1,49401044636706;-1,5107110278334;-1,5107110278334;-1,50529231035772;-1,53268789662929;-1,54836210489577;-1,56485153500841
"94";-1,39052314080844;-1,40008434476141;-1,40515751906876;-1,42106515747416;-1,42106515747416;-1,41590368037538;-1,44199911058439;-1,45692985851918;-1,47263747159697
