"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-4,34622417279668;-4,36290798288592;-4,37959179297516;-4,39627560306441;-4,41295941315365;-4,42964322324289;-4,44632703333214;-4,46301084342138;-4,47969465351062
"2";-6,58488667798956;-6,60818585345689;-6,63148502892422;-6,65478420439155;-6,67808337985888;-6,70138255532621;-6,72468173079354;-6,74798090626087;-6,7712800817282
"3";-7,21164066550638;-7,23061463632822;-7,24958860715006;-7,2685625779719;-7,28753654879374;-7,30651051961558;-7,32548449043742;-7,34445846125926;-7,3634324320811
"4";-7,52966174754877;-7,54644879444671;-7,56323584134465;-7,58002288824259;-7,59680993514053;-7,61359698203847;-7,63038402893642;-7,64717107583436;-7,6639581227323
"5";-7,58876075197171;-7,6011881352349;-7,61361551849808;-7,62604290176126;-7,63847028502445;-7,65089766828763;-7,66332505155081;-7,675752434814;-7,68817981807718
"6";-7,79315520904882;-7,80702283710554;-7,82089046516226;-7,83475809321898;-7,8486257212757;-7,86249334933241;-7,87636097738913;-7,89022860544585;-7,90409623350257
"7";-7,93236764842194;-7,94768912343726;-7,96301059845258;-7,9783320734679;-7,99365354848322;-8,00897502349854;-8,02429649851386;-8,03961797352918;-8,0549394485445
"8";-7,98901020656418;-8,00392289982882;-8,01883559309346;-8,0337482863581;-8,04866097962274;-8,06357367288738;-8,07848636615202;-8,09339905941666;-8,1083117526813
"9";-8,04579557321612;-8,058984324572;-8,07217307592789;-8,08536182728378;-8,09855057863967;-8,11173932999555;-8,12492808135144;-8,13811683270733;-8,15130558406321
"10";-8,12800691436904;-8,13999319426159;-8,15197947415414;-8,16396575404669;-8,17595203393924;-8,18793831383178;-8,19992459372433;-8,21191087361688;-8,22389715350943
"11";-8,21127498542172;-8,22507076099029;-8,23886653655886;-8,25266231212744;-8,26645808769601;-8,28025386326458;-8,29404963883315;-8,30784541440172;-8,3216411899703
"12";-8,21605228936995;-8,22755482534447;-8,239057361319;-8,25055989729352;-8,26206243326804;-8,27356496924257;-8,28506750521709;-8,29657004119162;-8,30807257716614
"13";-8,22882619265025;-8,24305050697972;-8,25727482130918;-8,27149913563865;-8,28572344996811;-8,29994776429758;-8,31417207862705;-8,32839639295651;-8,34262070728598
"14";-8,10188887256603;-8,11251869312468;-8,12314851368332;-8,13377833424196;-8,1444081548006;-8,15503797535925;-8,16566779591789;-8,17629761647653;-8,18692743703517
"15";-7,89754567961864;-7,90381460648342;-7,91008353334821;-7,916352460213;-7,92262138707778;-7,92889031394257;-7,93515924080736;-7,94142816767214;-7,94769709453693
"16";-7,60562136911176;-7,60681755519208;-7,60801374127239;-7,60920992735271;-7,61040611343302;-7,61160229951333;-7,61279848559365;-7,61399467167396;-7,61519085775428
"17";-7,37249798760779;-7,37045450588438;-7,36841102416097;-7,36636754243755;-7,36432406071414;-7,36228057899072;-7,36023709726731;-7,3581936155439;-7,35615013382048
"18";-7,24387386171727;-7,24090621019913;-7,23793855868099;-7,23497090716285;-7,23200325564471;-7,22903560412657;-7,22606795260843;-7,22310030109029;-7,22013264957215
"19";-7,14060424340368;-7,13817960313737;-7,13575496287107;-7,13333032260476;-7,13090568233845;-7,12848104207215;-7,12605640180584;-7,12363176153953;-7,12120712127323
"20";-7,09212467529325;-7,08981473474205;-7,08750479419086;-7,08519485363966;-7,08288491308846;-7,08057497253726;-7,07826503198607;-7,07595509143487;-7,07364515088367
"21";-7,05719816285236;-7,05741029290387;-7,05762242295537;-7,05783455300688;-7,05804668305839;-7,0582588131099;-7,0584709431614;-7,05868307321291;-7,05889520326442
"22";-7,03046059402808;-7,02776078342966;-7,02506097283125;-7,02236116223284;-7,01966135163442;-7,01696154103601;-7,01426173043759;-7,01156191983918;-7,00886210924076
"23";-7,02102633680384;-7,02030090622437;-7,01957547564489;-7,01885004506542;-7,01812461448595;-7,01739918390648;-7,016673753327;-7,01594832274753;-7,01522289216806
"24";-6,96806207550309;-6,96596941942333;-6,96387676334357;-6,96178410726382;-6,95969145118406;-6,9575987951043;-6,95550613902454;-6,95341348294479;-6,95132082686503
"25";-6,92347375687923;-6,92051890279736;-6,91756404871549;-6,91460919463361;-6,91165434055174;-6,90869948646987;-6,90574463238799;-6,90278977830612;-6,89983492422425
"26";-6,83067894281614;-6,82735073256801;-6,82402252231987;-6,82069431207173;-6,81736610182359;-6,81403789157546;-6,81070968132732;-6,80738147107918;-6,80405326083104
"27";-6,80836246723278;-6,80428648103817;-6,80021049484356;-6,79613450864894;-6,79205852245433;-6,78798253625972;-6,7839065500651;-6,77983056387049;-6,77575457767588
"28";-6,74291471250685;-6,73794888596945;-6,73298305943205;-6,72801723289465;-6,72305140635725;-6,71808557981984;-6,71311975328244;-6,70815392674504;-6,70318810020764
"29";-6,69935118039926;-6,69493759439995;-6,69052400840063;-6,68611042240132;-6,68169683640201;-6,6772832504027;-6,67286966440339;-6,66845607840408;-6,66404249240477
"30";-6,61833907302344;-6,61174014451028;-6,60514121599712;-6,59854228748396;-6,5919433589708;-6,58534443045764;-6,57874550194448;-6,57214657343132;-6,56554764491816
