"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-4,04722212738719;-4,10040346315982;-4,12518750122802;-4,17328353112399;-4,183040049088;-4,26315259352117;-4,28952182426429;-4,33853356753684;-4,35909657736133
"1";-6,14830259467939;-6,22909530839349;-6,26678336415664;-6,34020184922163;-6,35523372741094;-6,47784979858711;-6,51823830504565;-6,59284576714732;-6,62411424065052
"2";-6,81397014072765;-6,90282591174584;-6,94422506773572;-7,02456454295034;-7,04093620109522;-7,17553445364375;-7,21995011763589;-7,3021226712983;-7,33654564158958
"3";-7,14349839201259;-7,23545190545869;-7,27832086383668;-7,36177502620602;-7,37888472854877;-7,5196589810566;-7,56612640040181;-7,65217925203711;-7,68823954849595
"4";-7,30078809511549;-7,39514263823844;-7,43909356406238;-7,52494356376309;-7,54262272558893;-7,68765686914687;-7,73546230610298;-7,82398265330762;-7,86105939606291
"5";-7,45272025878364;-7,54811385781957;-7,5925075136596;-7,67947908275586;-7,69748829926027;-7,84526053021243;-7,89396449680246;-7,98411305059552;-8,02188379543365
"6";-7,58616303054284;-7,68346820187257;-7,72876091594089;-7,8174828232157;-7,83583766547054;-7,98606379694467;-8,03556307668515;-8,12707938897954;-8,16543059486944
"7";-7,66862412585607;-7,76819015950335;-7,81455637870476;-7,90521320614464;-7,92391546905563;-8,07675997258061;-8,12712745160015;-8,22023001861037;-8,25924405825492
"8";-7,74748039532053;-7,84818880498344;-7,89513023921785;-7,98680202221177;-8,00570021414964;-8,16025205685263;-8,21118304020148;-8,30536653714861;-8,34482890869869
"9";-7,83324306236399;-7,93462556596347;-7,98191550760579;-8,07420334179501;-8,09322436128187;-8,24875902100965;-8,29998169508367;-8,39467751806068;-8,43435071170813
"10";-7,8988471737566;-8,00063837210722;-8,04815674759409;-8,14082735212206;-8,15989078742485;-8,31568990796082;-8,36698815689774;-8,46178487863713;-8,50149672506563
"11";-7,9185758710501;-8,02036000193037;-8,0678751961861;-8,1604680452615;-8,17949524334589;-8,33516947794561;-8,38644996954867;-8,4812957222409;-8,52102957058672
"12";-7,877877194166;-7,97878995389105;-8,0258867061659;-8,11765746476473;-8,13653844621831;-8,29125782094129;-8,34225084699474;-8,43654465521771;-8,47604505167462
"13";-7,77119911841371;-7,8710224867662;-7,91761910638101;-8,00836506135318;-8,02700716847015;-8,17969710718956;-8,23001740024703;-8,32296153817318;-8,3618938142861
"14";-7,61109559740943;-7,7094202679452;-7,75533307454031;-7,84467244155422;-7,86299153989663;-8,01285883866914;-8,06224518260366;-8,15347067368742;-8,19168312396261
"15";-7,42218287976383;-7,51841005453245;-7,56331872008101;-7,6507003196432;-7,66863084551003;-7,81523115818181;-7,86354131086611;-7,95286705881597;-7,99028332158158
"16";-7,24450050506434;-7,33841418997392;-7,38222234210634;-7,46753076865246;-7,4850659440853;-7,62841438563807;-7,67566718368825;-7,76312810127069;-7,79976664691514
"17";-7,11600239330154;-7,20815133080327;-7,25115337135061;-7,33492903142694;-7,35214878613804;-7,4929681832686;-7,53939894422644;-7,62534921842671;-7,66136100131849
"18";-7,03403642190257;-7,1251057593159;-7,16762473552502;-7,25047977455366;-7,26750178664232;-7,40676748267546;-7,45267515605328;-7,53760075812575;-7,57318361870089
"19";-6,98930243081874;-7,07952532902624;-7,1216608102222;-7,20378935231379;-7,22066582635597;-7,35886886229889;-7,40440759877034;-7,48859273052021;-7,52385874024698
"20";-6,9700317109588;-7,05980442150634;-7,10172839925734;-7,18343441051619;-7,20022570814236;-7,33780329095873;-7,38311042229559;-7,46688221692948;-7,5019727518183
"21";-6,96193434110453;-7,05150828562229;-7,09331496266077;-7,17481526943367;-7,19157569884686;-7,32880021368321;-7,37396726841961;-7,45755633181289;-7,49257581682669
"22";-6,94938175358536;-7,0390237301161;-7,08083056202588;-7,16234232277622;-7,17909379754042;-7,31609903371706;-7,361190857866;-7,44474573193852;-7,47976058598536
"23";-6,93018978776453;-7,0199065847152;-7,0617255140481;-7,14326513505382;-7,16000286599344;-7,2968655145734;-7,34192309139912;-7,42549184746122;-7,46052070097335
"24";-6,89924363082787;-6,98881374292385;-7,03054597806278;-7,11196280043837;-7,12867993877044;-7,26539648188652;-7,31041992990277;-7,39398203088775;-7,42901197318911
"25";-6,86179193355657;-6,95084731148533;-6,99232458880625;-7,07331109197756;-7,08997044253297;-7,22624612095697;-7,27113412436389;-7,35445180113561;-7,38937795689641
"26";-6,82242317320505;-6,91076157661309;-6,95189794161527;-7,03226033134926;-7,04881522756518;-7,18428012565808;-7,22890472798834;-7,31167133703851;-7,3463614767218
"27";-6,7780923405467;-6,86569388385543;-6,90648431042785;-6,98616672046672;-7,00258133886385;-7,13688574728264;-7,18112899545004;-7,26306239083877;-7,2973967795538
"28";-6,7256312471195;-6,81253109581205;-6,85300758480811;-6,93202964472806;-6,94828547435009;-7,08122419046952;-7,12502004590717;-7,20600998872498;-7,23994470206914
"29";-6,66727109561576;-6,75354224414335;-6,79374933598196;-6,87215519406833;-6,8882493050025;-7,01981663701895;-7,0631708061014;-7,14325937913375;-7,17681275881815
"30";-6,60602847255764;-6,69173150938671;-6,73170210888201;-6,80954892925185;-6,825498659298;-6,95590775527383;-6,99889534750832;-7,07824930807544;-7,1114894101826
"31";-6,54433539496133;-6,62951993536568;-6,66927872757005;-6,74662641318057;-6,76244766939519;-6,89189631903317;-6,93458166182591;-7,01336095899981;-7,04635534778161
"32";-6,47964058930198;-6,56435942135493;-6,603929823707;-6,68083205462899;-6,69652171286231;-6,82500161472562;-6,86737425401122;-6,94559754045309;-6,97835736935557
"33";-6,41002480517148;-6,49422200630729;-6,53356565890301;-6,60997606308624;-6,62551547726275;-6,75280395016349;-6,79477526644362;-6,87229025628917;-6,90475654475848
"34";-6,33575985871834;-6,41922880573713;-6,45823319679404;-6,53397087480866;-6,54933177344389;-6,67513086777209;-6,71659248623356;-6,7931969860557;-6,82528798984077
"35";-6,25989271975047;-6,34220545692914;-6,38064823993046;-6,45535900306047;-6,47052215998278;-6,59466947200172;-6,63556775363913;-6,7111681817034;-6,74284466824784
"36";-6,18454477189512;-6,26541446883694;-6,30314902064318;-6,37658926886363;-6,39154824034763;-6,51400427218338;-6,55433606659465;-6,62893028286471;-6,6601909785511
