"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-4,69618958437526;-4,76651333639685;-4,86394091494545;-4,92125173296157;-4,95899206094442;-5,0011801353255;-4,8383640731558;-4,92675381011555;-5,01464331549379
"1";-6,93821448646685;-7,13089883029635;-7,10620621770598;-7,19543735143392;-7,14347761250321;-7,16912004311654;-7,23625934595417;-7,41858090274813;-7,38579107992514
"2";-7,48757377423508;-7,50559227973776;-7,64172445406234;-7,68428406848113;-7,72873583105197;-7,79935339826592;-7,70626297519991;-7,87533930524384;-7,95757740348081
"3";-7,68428406848113;-7,82404601085629;-7,87533930524384;-8,07893826048508;-7,92940652651412;-8,07893826048508;-7,98656494035407;-8,07893826048508;-8,0471895621705
"4";-7,77525584668686;-7,98656494035407;-8,0471895621705;-8,11172808330807;-8,11172808330807;-8,25482892694875;-8,25482892694875;-8,2170885989659;-8,2170885989659
"5";-7,87533930524384;-8,0471895621705;-8,11172808330807;-8,14562963498375;-8,11172808330807;-8,18072095479502;-8,37743124904108;-8,37743124904108;-8,46840302724681
"6";-8,25482892694875;-8,25482892694875;-8,2170885989659;-8,2170885989659;-8,42188301161191;-8,33487163462228;-8,33487163462228;-8,51719319141624;-8,37743124904108
"7";-8,29404964010203;-8,25482892694875;-8,37743124904108;-8,33487163462228;-8,37743124904108;-8,42188301161191;-8,46840302724681;-8,46840302724681;-8,51719319141624
"8";-8,33487163462228;-8,2170885989659;-8,46840302724681;-8,37743124904108;-8,42188301161191;-8,46840302724681;-8,42188301161191;-8,51719319141624;-8,62255370707406
"9";-8,2170885989659;-8,33487163462228;-8,37743124904108;-8,46840302724681;-8,56848648580379;-8,46840302724681;-8,46840302724681;-8,62255370707406;-8,87386813535497
"10";-8,37743124904108;-8,29404964010203;-8,62255370707406;-8,51719319141624;-8,42188301161191;-8,51719319141624;-8,56848648580379;-8,62255370707406;-8,62255370707406
"11";-8,51719319141624;-8,29404964010203;-8,51719319141624;-8,2170885989659;-8,42188301161191;-8,62255370707406;-8,62255370707406;-8,62255370707406;-8,67971212091401
"12";-8,42188301161191;-8,37743124904108;-8,33487163462228;-8,46840302724681;-8,33487163462228;-8,42188301161191;-8,51719319141624;-8,46840302724681;-8,46840302724681
"13";-8,18072095479502;-8,14562963498375;-8,2170885989659;-8,14562963498375;-8,2170885989659;-8,25482892694875;-8,14562963498375;-8,67971212091401;-8,37743124904108
"14";-7,902007552326;-8,01641790350375;-8,07893826048508;-7,902007552326;-8,01641790350375;-8,07893826048508;-8,01641790350375;-8,0471895621705;-8,11172808330807
"15";-7,60090245954208;-7,70626297519991;-7,72873583105197;-7,72873583105197;-7,77525584668686;-7,79935339826592;-7,902007552326;-7,95757740348081;-7,84936381884058
"16";-7,46987419713568;-7,52394141840595;-7,5616817463888;-7,6211051668596;-7,68428406848113;-7,60090245954208;-7,70626297519991;-7,72873583105197;-7,77525584668686
"17";-7,41858090274813;-7,3697907385787;-7,38579107992514;-7,48757377423508;-7,60090245954208;-7,6211051668596;-7,6211051668596;-7,70626297519991;-7,72873583105197
"18";-7,29341775979412;-7,22246602382184;-7,27881896037297;-7,30823284557926;-7,50559227973776;-7,41858090274813;-7,43538802106451;-7,60090245954208;-7,54263355141811
"19";-7,20886037176606;-7,14347761250321;-7,33853819507459;-7,35404238161056;-7,33853819507459;-7,45248245442381;-7,43538802106451;-7,60090245954208;-7,43538802106451
"20";-7,14347761250321;-7,10620621770598;-7,26443022292087;-7,23625934595417;-7,30823284557926;-7,45248245442381;-7,46987419713568;-7,50559227973776;-7,43538802106451
"21";-7,08210866612691;-7,14347761250321;-7,19543735143392;-7,15621663828064;-7,25024558792891;-7,38579107992514;-7,38579107992514;-7,43538802106451;-7,45248245442381
"22";-6,98032597181697;-7,08210866612691;-7,09408485717363;-7,19543735143392;-7,14347761250321;-7,19543735143392;-7,3232707229438;-7,41858090274813;-7,43538802106451
"23";-6,84948637085816;-6,85896511481271;-7,01311579463996;-7,09408485717363;-7,11847631029779;-7,14347761250321;-7,22246602382184;-7,3232707229438;-7,38579107992514
"24";-6,70890442023697;-6,79442659367513;-6,86853456582886;-6,99113688792119;-7,02428909523809;-7,02428909523809;-7,10620621770598;-7,1821921246839;-7,27881896037297
"25";-6,5929445391421;-6,63012354238386;-6,72543372218818;-6,78553764625789;-6,92795798629966;-6,99113688792119;-7,05857816871672;-7,03558865049202;-7,05857816871672
"26";-6,55709840736897;-6,66873837851164;-6,65311306060856;-6,71713491937349;-6,72543372218818;-6,89780494812897;-6,92795798629966;-6,93821448646685;-6,95904857336969
"27";-6,43152109998577;-6,52249287819149;-6,53619172254965;-6,5929445391421;-6,62257633674847;-6,66089520105061;-6,82157758274108;-6,86853456582886;-6,85896511481271
"28";-6,44402126275;-6,40697999106965;-6,46950034805098;-6,53619172254965;-6,52931884326189;-6,57128304236092;-6,68461172766793;-6,71713491937349;-6,80339526365789
"29";-6,35963387047245;-6,37126190846757;-6,38302675004716;-6,46306945772069;-6,44402126275;-6,4377516497364;-6,57845153183954;-6,61508566501932;-6,63772814176908
"30";-6,23992590640648;-6,2450673059069;-6,2925696398919;-6,32553965912947;-6,34813949104671;-6,38302675004716;-6,40093767661368;-6,48248754357779;-6,56416557459206
"31";-6,2606520369236;-6,29798970736124;-6,32553965912947;-6,28181684811564;-6,28181684811564;-6,3144284337044;-6,40697999106965;-6,32553965912947;-6,38896148556697
"32";-6,20465776756902;-6,23992590640648;-6,2450673059069;-6,25023527606534;-6,21962064024574;-6,25543009294245;-6,30891877789343;-6,33114191467814;-6,3144284337044
"33";-6,17538738526891;-6,16106733149416;-6,16581793425276;-6,23481080573971;-6,20465776756902;-6,20465776756902;-6,21962064024574;-6,2606520369236;-6,23481080573971
"34";-6,10127941311519;-6,13302811142977;-6,16106733149416;-6,20962055691115;-6,19480547112601;-6,17059121300542;-6,22465843427569;-6,14228743684257;-6,21460809842219
"35";-5,99547256850552;-6,03228654162824;-6,05760434961253;-6,09239046569794;-6,07484615604703;-6,14228743684257;-6,11929791861787;-6,12385373515373;-6,06618809330392
"36";-5,98349637745881;-6,04065479129875;-6,06188701140453;-6,08797544748883;-6,08797544748883;-6,10575369351011;-6,11476276345248;-6,11929791861787;-6,07920346141599
"37";-5,9522438339547;-5,97559119795169;-6,00353712834225;-6,03228654162824;-6,05760434961253;-6,05333995082607;-6,04909365994462;-6,09682506276581;-6,05760434961253
"38";-5,86747856732699;-5,91821408536839;-5,95609740327069;-6,04909365994462;-5,97953597624271;-6,01575723967703;-6,03646191303872;-6,08357983601579;-6,01575723967703
"39";-5,83960219779874;-5,86747856732699;-5,88890795878289;-5,93697636182391;-5,94458096120913;-5,9522438339547;-6,00353712834225;-5,97953597624271;-5,98349637745881
"40";-5,69581430500702;-5,75718325138332;-5,75402369109295;-5,82934569763155;-5,87457079563648;-5,90712339867423;-5,94458096120913;-5,92567680656998;-5,95609740327069
"41";-5,70178447199353;-5,79589776356401;-5,76672227443007;-5,81583197846482;-5,80249844759536;-5,90712339867423;-5,92193848445937;-5,87101839403211;-5,87813586180098
"42";-5,63518968319059;-5,74773436218538;-5,72602808360352;-5,78934036301785;-5,74773436218538;-5,78934036301785;-5,87457079563648;-5,90712339867423;-5,84304454198971
"43";-5,61029213156886;-5,6664866899125;-5,6664866899125;-5,72296529407298;-5,70478297498978;-5,7603528261446;-5,78934036301785;-5,82256601064617;-5,82934569763155
"44";-5,52396404808036;-5,5622829123825;-5,62682143352007;-5,66072298519575;-5,67228380759683;-5,69284253461787;-5,7321819491779;-5,76353247906197;-5,75087408219005
"45";-5,42161558289253;-5,46792015093422;-5,53911585310097;-5,5727542122498;-5,61577159733349;-5,66938104793887;-5,68397984736002;-5,69879493314516;-5,66938104793887
"46";-5,37952742197358;-5,46792015093422;-5,46319200973827;-5,50165829056607;-5,57803126935064;-5,58599943899982;-5,63518968319059;-5,61029213156886;-5,6379947341182
"47";-5,31852007386556;-5,41036687035666;-5,40145812546755;-5,46555328592395;-5,47267075369281;-5,55192012534696;-5,59134704532641;-5,60756361691566;-5,54934612135178
"48";-5,2648825904618;-5,32056297549536;-5,34961066093559;-5,41036687035666;-5,41935569492509;-5,48224020470897;-5,49676830527187;-5,5570880955054;-5,58068027752222
"49";-5,16029606865066;-5,25143378064919;-5,2648825904618;-5,34750761073881;-5,35594647938467;-5,38824207407602;-5,44449987672612;-5,50903839786369;-5,49433225047399
"50";-5,08967850143671;-5,14645501723879;-5,17787121347217;-5,21950618612375;-5,27264961979946;-5,3308405582536;-5,36873983084458;-5,42161558289253;-5,41260651295016
"51";-4,98936315882072;-5,143024482142;-5,10935126703541;-5,17256616124248;-5,18320455944753;-5,25143378064919;-5,33290881131766;-5,36019277026612;-5,3308405582536
"52";-4,95614710881219;-5,007141404842;-5,08320598693109;-5,09456052903402;-5,12941883008622;-5,19576077822294;-5,25143378064919;-5,29233529487049;-5,27264961979946
"53";-4,90492483967414;-4,9490699384381;-4,983506626708;-5,05772690163011;-5,07357509387013;-5,10604547890091;-5,14989736142976;-5,24193703311193;-5,22506690480844
"54";-4,79754207863555;-4,90357622180285;-4,90222942025247;-4,95899206094442;-5,01464331549379;-5,04367514817446;-5,11266801966141;-5,143024482142;-5,17433138676705
"55";-4,70278301485509;-4,74098990913063;-4,77358883761305;-4,83332627912585;-4,84596867254102;-4,94204250263064;-4,96757580463581;-4,99525419205795;-5,03595310208055
"56";-4,61623113334752;-4,71053070164592;-4,67559265028464;-4,772406105364;-4,7771454507279;-4,84596867254102;-4,9309003260774;-4,9490699384381;-4,92537545014543
"57";-4,49811111369468;-4,6345989966789;-4,63976163075771;-4,67344902674139;-4,70388615892725;-4,78429685188553;-4,80728637011023;-4,92262441677354;-4,8809236875746
"58";-4,566911473871;-4,51076951056661;-4,57173540990185;-4,62946287855714;-4,60717218865876;-4,7149850519953;-4,75832136548227;-4,79149976417958;-4,8383640731558
