"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,07566413372841;-4,20347521627678;-4,2606300248136;-4,36801440662268;-4,38663049262938;-4,5417885851414;-4,59443885337104;-4,69538036969573;-4,73887864617698
"2";-5,76942189000978;-5,89738549925511;-5,9545426804164;-6,06183034334023;-6,08041690561921;-6,23519314390915;-6,28766196787085;-6,38818782810748;-6,43148085481294
"3";-6,40308370773836;-6,52843894880079;-6,5844017718344;-6,68940249078217;-6,707587175511;-6,85895628229254;-6,91024693875153;-7,00848523400121;-7,05078139862033
"4";-6,91922260513522;-7,04160525046307;-7,0962149677843;-7,19863682709759;-7,21636982791942;-7,3639252007987;-7,41390296873342;-7,50959966177723;-7,55079113195062
"5";-7,30050237480861;-7,42018729374395;-7,47357242055712;-7,57366548303869;-7,5909912355038;-7,73511477533386;-7,7839136572431;-7,87733142360756;-7,91753361528278
"6";-7,56652498929126;-7,68443234247076;-7,73700999461079;-7,83556661408241;-7,85262357232239;-7,99448086796268;-8,04250082753384;-8,1344122848114;-8,17396037608102
"7";-7,74521330753832;-7,86201674555314;-7,91409240913654;-8,01169306204947;-8,02858267899198;-8,16902805118978;-8,21656232958392;-8,30753404978297;-8,34667387474217
"8";-7,86239606740702;-7,97830287777076;-8,02997190323599;-8,12679981781309;-8,14355437227538;-8,28286232927239;-8,33000616814097;-8,42022348337701;-8,45903596034659
"9";-7,93650009149224;-8,0513246931159;-8,10250554051448;-8,19840974294997;-8,21500334289685;-8,35296107198444;-8,39964339821039;-8,48897153811629;-8,52739916611015
"10";-7,98121708314681;-8,09442296793729;-8,14487619917324;-8,23940756068165;-8,25576243818572;-8,39172276006335;-8,43772434142239;-8,52574348507142;-8,56360554252829
"11";-7,99838939074818;-8,10913898099954;-8,15849007902693;-8,25094499442501;-8,26693917926648;-8,39988558511379;-8,44486151224121;-8,53091043018396;-8,56792198938591
"12";-7,98573154916959;-8,0927321074304;-8,14040253929527;-8,22969335884275;-8,24513821072266;-8,37349753844562;-8,4169136355617;-8,49996774441668;-8,53568710993922
"13";-7,94074770737573;-8,04220489307866;-8,08739129175288;-8,1720071311613;-8,1866405361532;-8,30822616320556;-8,34933967254032;-8,42797395201782;-8,46178666106803
"14";-7,8629340926756;-7,95681327719242;-7,99860454411768;-8,0768316806172;-8,0903563067781;-8,20268750611799;-8,24065565067603;-8,31325303549095;-8,34446175741673
"15";-7,75824913534259;-7,84335109483808;-7,88121051556456;-7,95203987081904;-7,96428069911212;-8,06589783861807;-8,10022496780283;-8,16583473629381;-8,19402960493019
"16";-7,63539250277753;-7,71164088476378;-7,74553492927678;-7,80890444871698;-7,81985084026749;-7,91066651414023;-7,9413234515808;-7,9998902982326;-8,02504772452514
"17";-7,50766701528747;-7,57618048314518;-7,6066109778353;-7,66346593849986;-7,67328207213085;-7,75466790871196;-7,78212133830838;-7,83454162049086;-7,85704849502254
"18";-7,38857404751155;-7,45146946719638;-7,47938533112349;-7,53151212090228;-7,5405081283093;-7,61505369204372;-7,64018414659142;-7,68814839181304;-7,70873411697512
"19";-7,28661695963102;-7,34605676999389;-7,37242702677386;-7,42164938432258;-7,43014181905424;-7,5004896313015;-7,52419539710701;-7,56942788706865;-7,58883630170621
"20";-7,20459056241197;-7,26219499783962;-7,28774542412091;-7,33542886427254;-7,34365469079146;-7,41178231295152;-7,43473541659976;-7,47852583987906;-7,4973131947856
"21";-7,14294085963913;-7,19965998503023;-7,22481581933985;-7,27175988880733;-7,27985779092899;-7,34692189806077;-7,36951514225578;-7,41261698148597;-7,43110812504823
"22";-7,09723379631514;-7,15330470265812;-7,17817164105858;-7,22457442301367;-7,23257867699385;-7,29886427490792;-7,3211941141084;-7,36379195610045;-7,38206630178605
"23";-7,06091100383286;-7,11620758611602;-7,14072871416356;-7,18648247274408;-7,1943743003093;-7,25972380135289;-7,28173634915619;-7,32372634438893;-7,34173893335853
"24";-7,02776504883116;-7,08195771047256;-7,1059851049923;-7,15081109719628;-7,15854207226088;-7,22255076275413;-7,24410826608329;-7,28522576387445;-7,30286233960656
"25";-6,99395682444164;-7,04676678405814;-7,07017545833118;-7,11383836200691;-7,12136762713231;-7,18369431416724;-7,20468074231225;-7,2447029574123;-7,26186738874657
"26";-6,95680605770821;-7,00807775487119;-7,03079808201144;-7,07316698288771;-7,08047183064058;-7,14092712619475;-7,16127816384979;-7,20008172549477;-7,21672082378331
"27";-6,9157021469773;-6,96543087012427;-6,98746089144646;-7,02853233729985;-7,03561219792921;-7,0941916590904;-7,11390591542142;-7,15148830973591;-7,16760105052948
"28";-6,86981189146903;-6,91812185359823;-6,93951745588888;-6,97939697272195;-6,98627020621655;-7,04312755987294;-7,06225746813534;-7,09871957167938;-7,1143495606133
"29";-6,81845933716579;-6,86557651857407;-6,88643924996728;-6,92531838876563;-6,93201829796607;-6,98743212932367;-7,00607261175007;-7,04159691867973;-7,05682299316848
"30";-6,76238686851443;-6,8085611411176;-6,82900323440732;-6,86709362202255;-6,8736569902555;-6,92793489463177;-6,94619071814244;-6,98097859770961;-6,99588772922968
"31";-6,70296608452525;-6,74842369369221;-6,76854673347258;-6,80603986325645;-6,81249996746759;-6,86592014496196;-6,88388603644607;-6,91811952377993;-6,93279031935961
"32";-6,64213071898574;-6,68697408166028;-6,70682404938836;-6,74380659324642;-6,75017849417314;-6,80286684668564;-6,82058567256296;-6,85434713937431;-6,86881516750967
"33";-6,57994359558184;-6,62417123145922;-6,6437475160221;-6,68021840392675;-6,68650192592336;-6,73845709439761;-6,75592843356022;-6,78921712486042;-6,80348208039349
"34";-6,51594874208971;-6,55949716824203;-6,57877137277626;-6,61467723876538;-6,62086312870745;-6,67200797440655;-6,68920564447896;-6,72197135451277;-6,73601159914991
"35";-6,44995040403459;-6,4927995644068;-6,51176277337396;-6,54708694834252;-6,55317232678706;-6,60348296029238;-6,62039889669385;-6,65262621872871;-6,66643513442019
"36";-6,38252986140216;-6,42467635199966;-6,44332709440234;-6,47806689328813;-6,48405130467686;-6,53352403469761;-6,55015702519562;-6,58184368785783;-6,59542031613753
"37";-6,31423532809405;-6,35567453235835;-6,37401077208535;-6,40816241291303;-6,4140452070947;-6,46267467329612;-6,47902292127237;-6,5101655092427;-6,52350838960807
"38";-6,24472330831774;-6,28543461296114;-6,30344715395812;-6,33699339242857;-6,34277158417385;-6,39053295082619;-6,4065880459004;-6,43717045721456;-6,45027265958577
"39";-6,17347201252303;-6,21340896371637;-6,23107704272465;-6,2639788835801;-6,26964571464501;-6,31648267505894;-6,33222551843263;-6,36221114707472;-6,37505690097628
"40";-6,10036002230507;-6,13944698302109;-6,15673675504013;-6,18893057612934;-6,19447501285589;-6,240295561313;-6,25569491547623;-6,28502385051606;-6,29758733026913
"41";-6,02619789885235;-6,0644088948029;-6,08130875324828;-6,11277276102005;-6,11819102696824;-6,1629637060954;-6,17800890333556;-6,20666070145414;-6,21893310094358
"42";-5,95162894489556;-5,98899788263241;-6,00552304790737;-6,03628592811321;-6,04158300746571;-6,08534947819268;-6,10005470114026;-6,12805661311853;-6,14004969842675
"43";-5,87594391345085;-5,91249992897453;-5,92866350989506;-5,95875001434076;-5,96393021350202;-6,00672653252373;-6,02110407921721;-6,04847976504329;-6,06020376350903
"44";-5,79885978277174;-5,83453409085984;-5,8503052969524;-5,8796575278715;-5,8847108037229;-5,92645320154976;-5,94047462183774;-5,96716950476976;-5,97860088559046
"45";-5,72042088710213;-5,75506730760211;-5,77038064084541;-5,7988753402546;-5,80378029989705;-5,84429020889027;-5,8578948073194;-5,88379238882345;-5,89488089864134
"46";-5,64116566447033;-5,67472484781655;-5,68955372620423;-5,71714088646016;-5,72188885247244;-5,76109386305468;-5,77425703561005;-5,79931010147345;-5,81003537782602
"47";-5,56164359195419;-5,59416689551512;-5,60853435937589;-5,63525738352075;-5,63985589461124;-5,67781899221151;-5,69056217042205;-5,71481188578945;-5,72519169725828
"48";-5,48199983116146;-5,51357434483583;-5,52751945219886;-5,55345189743526;-5,55791372732789;-5,59474160920486;-5,60710108800384;-5,63061715416687;-5,64068158167279
"49";-5,40244958526761;-5,43315593434919;-5,44671483596451;-5,4719247719593;-5,47626173987985;-5,51205311403244;-5,52406246439303;-5,54690934333293;-5,55668620352451
"50";-5,32337544298606;-5,35329870036652;-5,36650952648453;-5,39106872763317;-5,39529329323819;-5,43015218605862;-5,44184677626642;-5,46409236612232;-5,47361095265082
"51";-5,24564700671745;-5,27494535880133;-5,2878789916997;-5,31192085558654;-5,31605617252995;-5,3501758583975;-5,36162138642524;-5,38339179233233;-5,39270650434957
"52";-5,16977946656083;-5,19870797115716;-5,21147871258816;-5,23521836896325;-5,23930177937459;-5,27299399522526;-5,28429643635323;-5,30579508673466;-5,31499368379785
"53";-5,09454666726707;-5,12342976953046;-5,13618308406163;-5,15989441843125;-5,1639734762734;-5,19763534731765;-5,20892975750002;-5,230415972508;-5,23961035255715
"54";-5,01889955804586;-5,04792228304673;-5,0607411566908;-5,08458046425287;-5,08868231245316;-5,12254057247881;-5,13390408390819;-5,15552599545228;-5,16478009001484
"55";-4,94216758617747;-4,97137760193777;-4,98428345251517;-5,00829112984549;-5,01242279120328;-5,04653618203986;-5,05798880776096;-5,07978488956813;-5,08911531826214
"56";-4,86449664053253;-4,89402819268964;-4,90708125589897;-4,93137078856374;-4,93555197628891;-4,97008521981223;-4,98168301570978;-5,00376094808755;-5,01321419387517
"57";-4,78607066846787;-4,8162016277351;-4,82952653717558;-4,8543326670397;-4,8586041484585;-4,89389779813826;-4,90575662057518;-4,928338910236;-4,93801100572993
"58";-4,70681475893755;-4,73794271954571;-4,75171779875199;-4,77737637534051;-4,78179647513916;-4,81833773141961;-4,83062331847352;-4,85402826199941;-4,86405657834573
"59";-4,62579568932347;-4,65834122807292;-4,67275514291567;-4,6996215470942;-4,70425198848368;-4,74255651119019;-4,75544430931552;-4,78000888314095;-4,79053886689124
"60";-4,54218276928786;-4,57652065086691;-4,59174155630262;-4,62013259458755;-4,62502840879513;-4,66555603191396;-4,67920252465948;-4,70522732408982;-4,71638873448734
"61";-4,45629411760012;-4,49260730562904;-4,50871733582455;-4,53878781051127;-4,54397589521888;-4,58695145288064;-4,60143318297072;-4,62906528185848;-4,64092162227226
"62";-4,36828643685706;-4,40665127973478;-4,42368475382056;-4,455499417644;-4,46099103273802;-4,50650873797834;-4,52185781485867;-4,55115895646689;-4,5637369041057
"63";-4,27823470053382;-4,31861140948004;-4,33655056485234;-4,37007609127733;-4,37586546514721;-4,42387727608784;-4,44007742137104;-4,47101642776284;-4,48430255925365
"64";-4,18635236140009;-4,22845826326805;-4,24717641358665;-4,28217434971242;-4,28822009006231;-4,33838043991556;-4,35531417075967;-4,38766551456041;-4,40156253324897
"65";-4,09283825243254;-4,13627036266988;-4,15558686320481;-4,19171713554262;-4,19796020271826;-4,24977611614824;-4,26727580518791;-4,30071765956794;-4,31508670846568
"66";-3,99778637860635;-4,042106092964;-4,0618243225593;-4,0987167668956;-4,10509289544507;-4,15802774317416;-4,17591091204836;-4,21009292836563;-4,22478284067678
"67";-3,90092395514861;-3,94583127277487;-3,96581677413297;-4,00321830292737;-4,00968355917828;-4,06337054696236;-4,08151249206619;-4,11619527625802;-4,13110277095833
"68";-3,80194137014768;-3,84729513515423;-3,86748469309518;-3,90527639289437;-3,91181014410387;-3,96607711433911;-3,98441934378287;-4,01949065915786;-4,03456733374865
"69";-3,70076075583446;-3,74650896323029;-3,76687934309841;-3,80501759217861;-3,81161228018963;-3,86639628186249;-3,88491745086149;-3,92033639668945;-3,93556463435262
"70";-3,59740816653557;-3,64365889907578;-3,6642586525433;-3,70283500801372;-3,70950654754478;-3,76494067558699;-3,78368612020379;-3,81953984066706;-3,83495728099358
"71";-3,4920844433149;-3,53908099510083;-3,56001929815555;-3,5992394664002;-3,6060235920631;-3,66240646328446;-3,68147781287385;-3,71796154310742;-3,73365246844758
"72";-3,38553244201201;-3,43345267898033;-3,45480933902978;-3,49482367826212;-3,50174650817618;-3,55929636206209;-3,57876788440616;-3,61602428815699;-3,63205028272978
"73";-3,27822522075042;-3,32710561008852;-3,34889700936943;-3,38973641399554;-3,39680331848254;-3,45556506886251;-3,4754520636154;-3,51351055049244;-3,52988431732863
"74";-3,17055507075824;-3,22027679020894;-3,2424496600009;-3,28401384170499;-3,29120740897017;-3,35103565961323;-3,37128868380824;-3,41005432384089;-3,42673490217909
"75";-3,06302353718591;-3,11328444368711;-3,1357032900917;-3,17773709287165;-3,18501301541699;-3,24553769417983;-3,26603086995272;-3,3052619368004;-3,32214500936099
"76";-2,95607167066191;-3,00643128128127;-3,02889855815467;-3,07102994946058;-3,07832362149462;-3,13900508744201;-3,15955484760737;-3,19889881773;-3,21583224680727
"77";-2,84969507834987;-2,89979258433592;-2,92214647359813;-2,9640707004382;-2,971329198933;-3,0317253871998;-3,05218135351999;-3,09134943564905;-3,10820858678098
"78";-2,74342471359249;-2,79307120495732;-2,81522699051092;-2,85678451818057;-2,86398014000135;-2,92385966249024;-2,94414312906868;-2,98298418157021;-2,99970382911248
"79";-2,6368379270222;-2,68599804606773;-2,70793988497224;-2,74910089863173;-2,75622846897123;-2,81554813039593;-2,83564441473528;-2,87413025565253;-2,89069824273041
"80";-2,53007450424878;-2,57875282386406;-2,60048277360257;-2,64125115823797;-2,64831135303043;-2,70707681297435;-2,72698784546147;-2,76512218869052;-2,78154012070619
"81";-2,42360273138154;-2,47179370766632;-2,49330927084673;-2,53368030621102;-2,5406723036193;-2,59887667471674;-2,61860010385448;-2,65637842228388;-2,67264434114115
"82";-2,31844693774543;-2,36607366872124;-2,38734030927777;-2,42724888210143;-2,43416136566941;-2,49171002654206;-2,51121362844133;-2,54857399092088;-2,56466115059837
"83";-2,21503724920024;-2,26203113891532;-2,28301802864532;-2,32240598221683;-2,32922884022448;-2,38603719723035;-2,40529214566891;-2,44217912844922;-2,45806358457356
"84";-2,11382216917858;-2,16009220881664;-2,18075845154619;-2,21954864342563;-2,22626846401347;-2,28222432456611;-2,30119239236392;-2,33753250141439;-2,35318250466787
"85";-2,01601851734014;-2,06123778041238;-2,08143664115851;-2,11935255180604;-2,12592129321757;-2,18062313486098;-2,19916764723905;-2,23469829320042;-2,25000047302583
"86";-1,92270785758353;-1,96630016177503;-1,98577309085689;-2,02232757855389;-2,02866061750502;-2,08140129848405;-2,09928159661411;-2,13354046862824;-2,1482952496524
