"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,02595982451236;-4,04099628845258;-4,04750039194382;-4,05938040919262;-4,06139689136283;-4,07774344843433;-4,08311410996269;-4,09317964716269;-4,09742790116002
"2";-5,72041542365832;-5,74072477264876;-5,7495061942341;-5,76554046616096;-5,76826139837153;-5,7903113316512;-5,79755304596367;-5,81112155648506;-5,81684682672759
"3";-6,3571613976113;-6,3808225497948;-6,39105703684208;-6,40975033897288;-6,41292323677926;-6,43864368339576;-6,44709391945585;-6,46293081787452;-6,4696148163542
"4";-6,87658917983938;-6,90347778712308;-6,91511259165058;-6,93637017155851;-6,93997915466483;-6,96924353024167;-6,97886152857503;-6,99689152432259;-7,00450290390431
"5";-7,26085230693197;-7,29045407334324;-7,30326670248126;-7,32668211951383;-7,33065819365783;-7,36290713325033;-7,37350908944933;-7,39338766847296;-7,40178101080455
"6";-7,52907932491325;-7,56059065526879;-7,57423228334478;-7,59916651240513;-7,60340097202973;-7,63775072209452;-7,6490452999778;-7,67022515124612;-7,67916895137922
"7";-7,70931754935464;-7,74210639090262;-7,75630261507;-7,78225290670543;-7,78666022046016;-7,82241534584099;-7,83417325784353;-7,85622359406604;-7,86553561849052
"8";-7,82766647550005;-7,86137380650757;-7,87596890643362;-7,902650181443;-7,90718187814616;-7,94394857297136;-7,95604009604013;-7,97871734597916;-7,98829461798588
"9";-7,90278096561577;-7,93726202494529;-7,95219343878161;-7,97949151022547;-7,98412821889034;-8,02174956723631;-8,03412319083923;-8,05733087352542;-8,06713269531939
"10";-7,94855973840633;-7,98387128196587;-7,99916411068498;-8,02712567132436;-8,03187542489696;-8,07041768445841;-8,08309561735841;-8,10687593860828;-8,11692035141815
"11";-7,96703938687928;-8,00346555022146;-8,0192439770319;-8,04809781375828;-8,0529996953245;-8,09278233573596;-8,10587056061951;-8,13042350299407;-8,14079544029914
"12";-7,95623278101475;-7,99435929389162;-8,01087898173819;-8,04109560424796;-8,04622992589452;-8,08790875445086;-8,10162457486527;-8,1273598380489;-8,13823316976877
"13";-7,91397431317248;-7,95470443293066;-7,9723594715538;-8,0046638857582;-8,01015436742034;-8,05473930550962;-8,06941723020497;-8,0969653174349;-8,10860755180348
"14";-7,83994831639641;-7,88435123439318;-7,90360804270498;-7,9388582155804;-7,94485125360077;-7,99353719254279;-8,00957294403277;-8,03967966917184;-8,05240721130408
"15";-7,73968328436088;-7,78841974632061;-7,80956664660437;-7,8482930647128;-7,85487919259771;-7,90840523506662;-7,92604365186389;-7,95917054280679;-7,97317922438611
"16";-7,6212670174552;-7,67442123704432;-7,69749515985926;-7,73976605048819;-7,74695694714891;-7,80541880873873;-7,82469174014706;-7,86089902057041;-7,87621446781938
"17";-7,49728408910515;-7,55426364889615;-7,57900644751721;-7,62434739144396;-7,63206216097092;-7,69480014716394;-7,71548933901185;-7,75436596029435;-7,77081390314164
"18";-7,38060266836792;-7,44022824106827;-7,46612579455862;-7,51359159978408;-7,52166902837615;-7,58736800209135;-7,60903817551684;-7,64976412271071;-7,66699681308035
"19";-7,27961261871348;-7,34063999195329;-7,36714979428021;-7,41574293351486;-7,4240128619619;-7,49128451156532;-7,51347609177495;-7,55518547804418;-7,57283567537417
"20";-7,19739954567936;-7,25888653134258;-7,28559768090226;-7,33456248337079;-7,34289599219776;-7,41068830394954;-7,43305297498441;-7,47508944948723;-7,49287874784063
"21";-7,13482831348669;-7,19622142712942;-7,22289243497347;-7,27178462711608;-7,2801059015869;-7,34779999327391;-7,37013276383586;-7,41210994135486;-7,42987440442896
"22";-7,08803251788858;-7,1492051243505;-7,17578059915371;-7,2244980639222;-7,23278965109686;-7,30024277040851;-7,32249624856981;-7,36432465834081;-7,38202626994363
"23";-7,05079307436947;-7,11184339148253;-7,13836602499968;-7,18698705825522;-7,19526228825397;-7,26258292357241;-7,28479291852746;-7,32653989219367;-7,34420715593841
"24";-7,01712760703715;-7,07828747335599;-7,10485827229889;-7,15356847679077;-7,16185899446819;-7,22930516998635;-7,25155703333184;-7,29338329997097;-7,31108435241028
"25";-6,98324842852142;-7,04474400911851;-7,0714615541687;-7,12044214443701;-7,12877885527838;-7,19660265952951;-7,21897981510607;-7,26104252054178;-7,27884399749105
"26";-6,94646403250989;-7,00846907868659;-7,03540913835485;-7,08479944639197;-7,09320611948647;-7,16160149994792;-7,18416815733716;-7,22658828815233;-7,2445415060442
"27";-6,90607137783896;-6,96866245087901;-6,99585844038916;-7,04571995782236;-7,05420708875712;-7,12325974412509;-7,14604429771777;-7,1888753853496;-7,20700306098392
"28";-6,86110865003055;-6,92426476728101;-6,95170759750934;-7,00202370279364;-7,01058846774391;-7,08027547996102;-7,10327038967947;-7,14649828901943;-7,16479444695864
"29";-6,81077844631829;-6,87439834915483;-6,90204395114348;-6,95273373798943;-6,96136235167703;-7,03157141469051;-7,0547395676347;-7,09829443819637;-7,11672949034604
"30";-6,7557472930248;-6,81970695589368;-6,84750132907138;-6,89846562239921;-6,90714118233523;-6,97773454757359;-7,00103040491932;-7,04482652609518;-7,06336414740483
"31";-6,69737159242565;-6,76155831130131;-6,78945237300474;-6,84060101227265;-6,84930815011262;-6,92016054833721;-6,94354268788651;-6,98750207624961;-7,00610921578854
"32";-6,63771737160315;-6,70209686775375;-6,73007569280916;-6,78138126670691;-6,79011531066964;-6,86118866819702;-6,8846445028255;-6,92874346457171;-6,94741008172693
"33";-6,57683075165508;-6,64141991874979;-6,66949088580685;-6,72096698093275;-6,72973025105749;-6,80104352241358;-6,82457933647336;-6,86882972487747;-6,88756085188579
"34";-6,51418419222123;-6,57902439841465;-6,60720556028552;-6,65888539436165;-6,66768355990496;-6,73928303102674;-6,76291415853229;-6,80734488014661;-6,82615278297078
"35";-6,44951147647421;-6,51461789093218;-6,54291588443079;-6,59481169536012;-6,60364684823842;-6,67554963287146;-6,69928175666561;-6,74390354177906;-6,7627927803882
"36";-6,38340735484383;-6,4487906072431;-6,47721008320938;-6,52933044709051;-6,53820405330797;-6,61042214496457;-6,63425924776013;-6,67907961663714;-6,69805338691688
"37";-6,31644561644701;-6,38212109134878;-6,41066876602467;-6,46302604476563;-6,47194021460677;-6,54449084752406;-6,56843864078042;-6,61346836280407;-6,63253123553927
"38";-6,24826752635031;-6,31425592430147;-6,34294083543295;-6,39555166507252;-6,40450923860091;-6,47741560852377;-6,50148177995352;-6,54673535166532;-6,56589347984173
"39";-6,1783351774467;-6,24466622199327;-6,27350134681409;-6,32638961506451;-6,33539467034988;-6,40869008442469;-6,432885673013;-6,47838391046879;-6,49764612939671
"40";-6,10653807405002;-6,17325407356648;-6,20225787599688;-6,25545755825031;-6,26451589401437;-6,33824769680212;-6,36258838789573;-6,40836086077084;-6,42773971811478
"41";-6,03366598357304;-6,10078257750802;-6,12996188757618;-6,18348555899421;-6,19259932240766;-6,26678505446658;-6,29127666298742;-6,33733433830932;-6,35683448973329
"42";-5,9603237952419;-6,0278211715432;-6,05716735963209;-6,1109991661459;-6,1201656545175;-6,19478328292004;-6,21941852220398;-6,26574768024871;-6,28536331047694
"43";-5,88576059168092;-5,95360653410939;-5,98310557330773;-6,03721975370603;-6,04643457653155;-6,12144832041005;-6,14621536152318;-6,19279373593969;-6,21251540936055
"44";-5,80974904288139;-5,87796228204444;-5,90762235433529;-5,96203397596525;-5,97129970632994;-6,04673058962111;-6,07163640381053;-6,11847714449502;-6,1383104442182
"45";-5,7323904962877;-5,80103286554324;-5,83088093875028;-5,88563959908958;-5,89496469872973;-5,97088177409999;-5,99594922542652;-6,04309541783173;-6,06305862008285
"46";-5,65418096753795;-5,72326459812495;-5,75330597039016;-5,80842142447766;-5,81780755907719;-5,8942244341753;-5,91945803391454;-5,96691818658737;-5,98701490345307
"47";-5,57560864777727;-5,6450820242669;-5,67529424616961;-5,73072523442225;-5,74016536828721;-5,81702466499421;-5,8424054289272;-5,8901437864325;-5,91035885827471
"48";-5,49679326207236;-5,56658234751407;-5,59693315174989;-5,6526203651458;-5,66210438408144;-5,73932361122469;-5,7648242435032;-5,81278939250887;-5,83310101965946
"49";-5,41797804429633;-5,48801193077644;-5,51847041087786;-5,57435703729958;-5,58387525236347;-5,66137538127148;-5,68696972952389;-5,73511240754943;-5,75549970116958
"50";-5,33957815013984;-5,40978686765114;-5,44032252081793;-5,49635248235137;-5,50589532882702;-5,58359833366747;-5,60926057338495;-5,65753213027403;-5,67797445912271
"51";-5,26246642221585;-5,33275578024625;-5,3633275359459;-5,41942531269196;-5,42897990808046;-5,50678067934428;-5,53247601501021;-5,58081089111185;-5,60128044948805
"52";-5,18712312045573;-5,2573599195851;-5,28790969862291;-5,34396849640321;-5,35351662343539;-5,43126652606069;-5,45694575394479;-5,50525124317906;-5,52570871207594
"53";-5,11221330829688;-5,18222275949914;-5,21267437163116;-5,26855412975857;-5,27807190095175;-5,35557608381292;-5,38117471910665;-5,42932934778031;-5,44972321640185
"54";-5,03674632938433;-5,10642921324025;-5,1367394188244;-5,19236066489404;-5,20183452806522;-5,27898246563517;-5,30446393831585;-5,35239882757918;-5,37269989187821
