"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-4,06479729251196;-4,07865258718041;-4,09250788184886;-4,10636317651731;-4,12021847118576;-4,13407376585421;-4,14792906052267;-4,16178435519112;-4,17563964985957
"2";-6,40531539989896;-6,42381320078569;-6,44231100167243;-6,46080880255916;-6,47930660344589;-6,49780440433263;-6,51630220521936;-6,53480000610609;-6,55329780699283
"3";-6,98820363669403;-7,00232619574554;-7,01644875479704;-7,03057131384855;-7,04469387290005;-7,05881643195156;-7,07293899100306;-7,08706155005456;-7,10118410910607
"4";-7,21158437888524;-7,2236279817646;-7,23567158464396;-7,24771518752332;-7,25975879040268;-7,27180239328204;-7,2838459961614;-7,29588959904076;-7,30793320192011
"5";-7,26103251275708;-7,27084333116134;-7,2806541495656;-7,29046496796986;-7,30027578637411;-7,31008660477837;-7,31989742318263;-7,32970824158689;-7,33951905999115
"6";-7,45350525806002;-7,46643205146879;-7,47935884487757;-7,49228563828634;-7,50521243169511;-7,51813922510388;-7,53106601851266;-7,54399281192143;-7,5569196053302
"7";-7,4964452641377;-7,51020435974405;-7,52396345535041;-7,53772255095677;-7,55148164656312;-7,56524074216948;-7,57899983777584;-7,59275893338219;-7,60651802898855
"8";-7,47095486317718;-7,48444307658031;-7,49793128998345;-7,51141950338659;-7,52490771678972;-7,53839593019286;-7,55188414359599;-7,56537235699913;-7,57886057040226
"9";-7,46556146724535;-7,47661101141063;-7,4876605555759;-7,49871009974118;-7,50975964390646;-7,52080918807173;-7,53185873223701;-7,54290827640229;-7,55395782056756
"10";-7,5495886304359;-7,55975408523028;-7,56991954002467;-7,58008499481905;-7,59025044961344;-7,60041590440782;-7,61058135920221;-7,62074681399659;-7,63091226879098
"11";-7,594808481894;-7,60472181869534;-7,61463515549669;-7,62454849229803;-7,63446182909938;-7,64437516590073;-7,65428850270207;-7,66420183950342;-7,67411517630476
"12";-7,61075358520608;-7,61799632946073;-7,62523907371537;-7,63248181797002;-7,63972456222467;-7,64696730647931;-7,65421005073396;-7,66145279498861;-7,66869553924326
"13";-7,5886508133889;-7,59632261092677;-7,60399440846464;-7,61166620600251;-7,61933800354038;-7,62700980107824;-7,63468159861611;-7,64235339615398;-7,65002519369185
"14";-7,40826708925214;-7,41193055364257;-7,41559401803299;-7,41925748242342;-7,42292094681385;-7,42658441120427;-7,4302478755947;-7,43391133998513;-7,43757480437555
"15";-7,22144115502469;-7,22422704568679;-7,22701293634889;-7,229798827011;-7,2325847176731;-7,2353706083352;-7,2381564989973;-7,24094238965941;-7,24372828032151
