"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-4,12510849577048;-3,95506455507414;-3,94852649121211;-3,86947532402002;-3,85855155215532;-3,80530701914207;-3,92693103240558;-4,03267503265845;-4,06212438110703
"1";-6,40699287603223;-6,15380289299017;-6,14392995751273;-6,06258349581659;-6,05530321576366;-6,04924895972858;-6,23152057895221;-6,39424506070337;-6,43934545354585
"2";-6,95118246732368;-6,80632484422752;-6,80053921139798;-6,74064457668552;-6,73191607917743;-6,6992577694017;-6,90955128628094;-7,09187362892455;-7,14244402296547
"3";-7,19145656755249;-7,10124095211293;-7,09761761079585;-7,04944721281255;-7,04057450351127;-7,01088034610504;-7,23020638451947;-7,41876621656696;-7,47105206320998
"4";-7,29792597590544;-7,17543570115215;-7,17073497737951;-7,13433004198493;-7,12984501975961;-7,13189810606896;-7,35016426499067;-7,53844115402431;-7,59053504249477
"5";-7,40243255998827;-7,25776670387162;-7,25196189995331;-7,19221372407155;-7,18411404690474;-7,1708639172172;-7,39091175625995;-7,58179197517665;-7,63482879021103
"6";-7,46708680291398;-7,30584878717909;-7,29941252047373;-7,22552328249964;-7,21467356113361;-7,19306795871389;-7,41209801632454;-7,60408385021231;-7,65760694998649
"7";-7,48594627823995;-7,30604803741743;-7,2987350633322;-7,23198928259866;-7,22450916901493;-7,22837290158157;-7,44154725573483;-7,63047142647955;-7,68296516475676
"8";-7,50273645196489;-7,34647596511543;-7,34048530925241;-7,28510446080999;-7,27831674905639;-7,29434696129156;-7,50563394541882;-7,69448255179389;-7,7468457063594
"9";-7,53450573451224;-7,40931812823994;-7,40483057637507;-7,36103586254502;-7,35519078434256;-7,3745717092495;-7,58933445709953;-7,78161062352175;-7,83492470709645
"10";-7,57159929241281;-7,46227330212169;-7,45790846530538;-7,43125915639617;-7,42855652150574;-7,44759189675239;-7,66847448250257;-7,8653908001821;-7,92003798934146
"11";-7,58964735361333;-7,52285125907916;-7,51993107600167;-7,49485178090203;-7,48991832890546;-7,48880322179415;-7,71630525234816;-7,91761456715391;-7,97360636965648
"12";-7,53246988901943;-7,50246099135155;-7,50081367868104;-7,48069881221955;-7,47530806815871;-7,46667151660677;-7,69465676034644;-7,8957857322247;-7,95173153618213
"13";-7,38154511107588;-7,37539908507165;-7,37438354622037;-7,37442553257304;-7,37174882681681;-7,37921444129116;-7,5996824979147;-7,79553496426541;-7,84992777330805
"14";-7,15763791993581;-7,18829387865487;-7,18908273323078;-7,20264689554536;-7,20112717635523;-7,2371928502516;-7,44465616328226;-7,63178723877241;-7,68368515684428
"15";-6,88480219766735;-6,94041671654668;-6,94270289891715;-6,97530183114341;-6,97699067035786;-7,05965427701289;-7,25034679664459;-7,42643729001759;-7,47515792332966
"16";-6,59541236379472;-6,6483904206579;-6,65057312480778;-6,71159623366473;-6,72130413876724;-6,86661679941362;-7,03917177767008;-7,20312711860438;-7,24825917417503
"17";-6,32660505356608;-6,37273788881809;-6,3734050198573;-6,46513284553887;-6,48392534714888;-6,68198467530116;-6,83956972506458;-6,9936542811094;-7,03588934732161
"18";-6,10197709823574;-6,21148641674704;-6,21488258598349;-6,31130147644236;-6,32763084589803;-6,52642138105585;-6,67615355507147;-6,82596754799827;-6,86714210067404
"19";-5,9114492082623;-6,10902281143711;-6,11727226228463;-6,2130110518876;-6,2222442093964;-6,40040339736165;-6,54554231646244;-6,69378887081205;-6,73474771497334
"20";-5,7422390631319;-5,95563728294364;-5,96413603187;-6,08327683562948;-6,0956580071998;-6,28854287478576;-6,42598216563187;-6,57014793464281;-6,60995095223024
"21";-5,60044821142456;-5,78684553158243;-5,79339984357584;-5,93405644377282;-5,9538337966049;-6,18290396686435;-6,31078483397668;-6,44865762206549;-6,48652285973645
"22";-5,49015170404814;-5,65906513091324;-5,66487278488208;-5,80746005160648;-5,83037887529667;-6,0837280827663;-6,20411510625293;-6,33626309178906;-6,37238135952964
