"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-4,44305133651166;-4,497213044483;-4,62946287855714;-4,67452026412288;-4,73073340896344;-4,74904055640779;-4,62741579493541;-4,6972854748959;-4,79875493506076
"1";-6,74224084050456;-6,84009663050832;-6,93821448646685;-6,96963068270022;-7,03558865049202;-7,13089883029635;-7,16912004311654;-7,16912004311654;-7,23625934595417
"2";-7,20886037176606;-7,23625934595417;-7,30823284557926;-7,48757377423508;-7,43538802106451;-7,46987419713568;-7,54263355141811;-7,66277786326017;-7,70626297519991
"3";-7,35404238161056;-7,48757377423508;-7,54263355141811;-7,6211051668596;-7,64172445406234;-7,5810998322459;-7,79935339826592;-7,82404601085629;-7,82404601085629
"4";-7,45248245442381;-7,5616817463888;-7,68428406848113;-7,82404601085629;-7,72873583105197;-7,82404601085629;-7,79935339826592;-8,07893826048508;-7,92940652651412
"5";-7,66277786326017;-7,79935339826592;-7,87533930524384;-7,77525584668686;-7,84936381884058;-8,01641790350375;-7,87533930524384;-8,11172808330807;-8,14562963498375
"6";-7,77525584668686;-7,87533930524384;-8,01641790350375;-8,01641790350375;-7,98656494035407;-8,14562963498375;-8,0471895621705;-8,18072095479502;-8,11172808330807
"7";-7,75172534927667;-7,82404601085629;-8,0471895621705;-7,92940652651412;-7,95757740348081;-8,0471895621705;-8,01641790350375;-8,2170885989659;-8,18072095479502
"8";-7,79935339826592;-7,68428406848113;-7,92940652651412;-7,98656494035407;-7,82404601085629;-8,0471895621705;-7,95757740348081;-8,25482892694875;-8,2170885989659
"9";-7,902007552326;-7,902007552326;-8,0471895621705;-7,95757740348081;-8,11172808330807;-8,0471895621705;-8,14562963498375;-8,01641790350375;-8,29404964010203
"10";-7,82404601085629;-7,70626297519991;-7,87533930524384;-7,95757740348081;-8,11172808330807;-8,14562963498375;-8,11172808330807;-8,14562963498375;-8,14562963498375
"11";-7,82404601085629;-7,79935339826592;-7,92940652651412;-8,0471895621705;-7,87533930524384;-8,07893826048508;-8,29404964010203;-8,0471895621705;-8,07893826048508
"12";-7,79935339826592;-7,75172534927667;-8,0471895621705;-7,82404601085629;-7,95757740348081;-7,98656494035407;-8,0471895621705;-8,14562963498375;-7,98656494035407
"13";-7,6211051668596;-7,6211051668596;-7,75172534927667;-7,72873583105197;-7,77525584668686;-7,79935339826592;-7,72873583105197;-7,95757740348081;-7,84936381884058
