"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-3,45384771054565;-3,61521099785841;-3,69346350954628;-3,86115663153011;-3,89926100945766;-4,07802962260271;-4,18028074750806;-4,29586699346439;-4,32895837013406
"2";-5,20660561549242;-5,3727535211978;-5,45310670964026;-5,62488534584002;-5,66384670067506;-5,84632849669009;-5,95049990083455;-6,06810173904859;-6,10174238294173
"3";-5,80958157379209;-5,97546368815044;-6,05560698924308;-6,22678235000345;-6,26558030558569;-6,44718214543312;-6,55077515913983;-6,66766596569027;-6,70109280160675
"4";-6,28672947138536;-6,45201298972516;-6,53180080670817;-6,70209081667757;-6,74066641074627;-6,92113377805463;-7,02401746640892;-7,14006038785034;-7,17323623392645
"5";-6,6199378325315;-6,78487308549313;-6,86444668175594;-7,03419171441102;-7,07262874463668;-7,25238258623013;-7,35481613577379;-7,47031819348798;-7,50333346048185
"6";-6,83205638181217;-6,99705484278396;-7,07663104571072;-7,2463285138133;-7,28474562251827;-7,464366747416;-7,56669838879286;-7,68206543746664;-7,71503850471917
"7";-6,95848394610311;-7,12332055112371;-7,20280097837084;-7,37226044569085;-7,410617857658;-7,58993472067307;-7,69207631000251;-7,80721631198993;-7,84012219122432
"8";-7,0326249856996;-7,19636466227772;-7,27530014832917;-7,44356720302953;-7,48164944572995;-7,65965715709855;-7,76103790355734;-7,87530866146994;-7,90796404016854
"9";-7,07744377221395;-7,23888588202792;-7,31669466407882;-7,48252351720588;-7,52004767063929;-7,69541957176517;-7,79528110715569;-7,9078256904974;-7,93998529761269
"10";-7,10894433507334;-7,26677482692931;-7,34281769041631;-7,50483478733597;-7,54148810272449;-7,71275415902808;-7,8102538342187;-7,92011830759374;-7,95150879013086
"11";-7,12495336940383;-7,27787756087143;-7,35152502839868;-7,50837833358373;-7,54385306376878;-7,70956718799721;-7,80387637033158;-7,91012288602578;-7,94047554032005
"12";-7,115841158343;-7,262499228047;-7,33309132919982;-7,48336553817624;-7,51733991570108;-7,67599177747347;-7,76624610468211;-7,86789719975258;-7,89693211925647
"13";-7,07118566235762;-7,21011690347572;-7,27694584330964;-7,41912524853269;-7,45125504894894;-7,60123049864838;-7,68650724567076;-7,78252025960958;-7,80993901134142
"14";-6,98287246815782;-7,11258403893588;-7,17492742702325;-7,30746691602971;-7,33740155443068;-7,47705798518853;-7,55641906619306;-7,64573467248731;-7,67123417713792
"15";-6,85225419383576;-6,97156150471457;-7,02884713432428;-7,15052475719711;-7,1779873066868;-7,30602865881121;-7,37873485118013;-7,46051901437354;-7,48386077987391
"16";-6,68558405871617;-6,79375507230714;-6,84563065701471;-6,95569661320442;-6,98051758035132;-7,09615246310343;-7,16175362558466;-7,2354994149523;-7,25653865437745
"17";-6,49923488724488;-6,59622257210147;-6,64266778885031;-6,74108323533873;-6,76325460136615;-6,86644887187012;-6,92492777880628;-6,9906174772703;-7,00934943267752
"18";-6,31274910388029;-6,39912047017887;-6,44041192151785;-6,52777270544638;-6,54743039350493;-6,63882402785959;-6,69054824324414;-6,74859850437701;-6,76514266679276
"19";-6,14478344935025;-6,22125139277696;-6,25773436080003;-6,33477959042341;-6,35209140473024;-6,43247105751668;-6,47789012561053;-6,52880881463799;-6,54331052673898
"20";-6,00085644847643;-6,06834329220499;-6,10046448222484;-6,16815035191729;-6,18333337968935;-6,25371672623993;-6,29341220155347;-6,33785631275227;-6,35050359417961
"21";-5,88148047189529;-5,94128470359878;-5,96967424367289;-6,02935191924201;-6,0427133218004;-6,10454202877265;-6,13933890806695;-6,17824133520624;-6,18930132022565
"22";-5,7817535722461;-5,83581997326337;-5,86142390214363;-5,91512626254588;-5,92712891485719;-5,98257867668553;-6,01372411301352;-6,0484967228232;-6,05837398702646
"23";-5,69854166306413;-5,74876309391227;-5,7725025407077;-5,82220959427257;-5,83330444514301;-5,8844953808062;-5,9132049889704;-5,94522418698201;-5,95431318776489
"24";-5,62941330502659;-5,67735745407017;-5,69999525428809;-5,74734664820762;-5,75790711143993;-5,80659473710712;-5,83387502973015;-5,86428042349499;-5,87290774874044
"25";-5,57141811095697;-5,61805128564916;-5,64005731717283;-5,68606239594468;-5,69631823463659;-5,74358227408647;-5,77005200381606;-5,79954393847227;-5,80791025189392
"26";-5,52146443857588;-5,56716714780989;-5,5887259506781;-5,63378020482736;-5,64382128949237;-5,6900833939521;-5,71598374732436;-5,74483487352309;-5,75301823445784
