"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-3,69735191308479;-3,71752016198698;-3,72676490638636;-3,74555939255096;-3,74965563178094;-3,76812301443568;-3,77818990662783;-3,78919317501221;-3,79227611820624
"2";-5,44181935906055;-5,47059488453922;-5,48377645836069;-5,51055746246564;-5,51639128256375;-5,54267843840886;-5,55699832524888;-5,57264223914656;-5,57702391810221
"3";-6,03859160155517;-6,07143740986294;-6,08649242559566;-6,11709739353706;-6,12376739941865;-6,15383685905135;-6,17022724839343;-6,18814138003074;-6,1931604844527
"4";-6,50991472043319;-6,54625522140908;-6,56292086657164;-6,59681753987086;-6,60420809403324;-6,63754018276425;-6,6557189516539;-6,67559588683545;-6,68116646362723
"5";-6,83906057492491;-6,87798038527355;-6,89583574412741;-6,93216578431446;-6,94008933976933;-6,97583638680916;-6,99533996194201;-7,01667178515368;-7,02265129340387
"6";-7,04906498596042;-7,08967664942329;-7,10831268402022;-7,14624006876174;-7,15451361174235;-7,19184688913552;-7,21222097973404;-7,23450906686487;-7,24075740756161
"7";-7,17357376422478;-7,21540283759474;-7,23460199575103;-7,27368429185276;-7,28221136715177;-7,32069589502864;-7,34170329967178;-7,36468831523164;-7,37113281328879
"8";-7,24410165262691;-7,28710612699419;-7,30685153797467;-7,34705917788762;-7,35583419516176;-7,39544863097958;-7,417080411081;-7,44075479245025;-7,44739374587279
"9";-7,2829255236856;-7,32726080971881;-7,34762681341301;-7,38911708235639;-7,3981754323732;-7,43908435266081;-7,46143372786395;-7,48590223665265;-7,4927655402941
"10";-7,30573166825229;-7,35167239565193;-7,37278829769643;-7,415830856412;-7,42523253590127;-7,46771196478373;-7,49093326611355;-7,51636775388405;-7,52350415573185
"11";-7,31024631474964;-7,35811651627568;-7,38013485174179;-7,42504774438151;-7,43486350424184;-7,47923889491287;-7,50351405800492;-7,53011708901939;-7,53758404435498
"12";-7,28657215293216;-7,33675770351613;-7,35986044923581;-7,40702374530793;-7,41733824658612;-7,46399953587212;-7,4895468843439;-7,51756180831203;-7,52542839116132
"13";-7,22396589654139;-7,2769098135102;-7,30130623298274;-7,35115764446971;-7,36206850282803;-7,41146580198556;-7,43853769750575;-7,46824608032962;-7,47659226345731
"14";-7,11420629094951;-7,17033494116131;-7,19622693203735;-7,24918972454827;-7,26079150244268;-7,31336158893041;-7,34220342574458;-7,37387946436114;-7,38278320242917
"15";-6,95931575600209;-7,01893375345279;-7,04646614948642;-7,10284508999474;-7,11520607409046;-7,17126523347759;-7,20205530572826;-7,23589869455065;-7,24541684847838
"16";-6,76655977866711;-6,82981247682375;-6,85905523041654;-6,91899912575218;-6,93215293862313;-6,99185813595642;-7,02468576562375;-7,06079721199617;-7,0709585795934
"17";-6,55392207006545;-6,62073796232202;-6,65165864527954;-6,71510226148444;-6,72903481041515;-6,79232307545735;-6,82715433085398;-6,8654970699584;-6,87629141131555
"18";-6,34238257574853;-6,41252071672762;-6,44500655093997;-6,51171598380716;-6,5263754543728;-6,59300941169946;-6,62971225856507;-6,67013981569869;-6,68152568306824
"19";-6,1509135634444;-6,22416403844941;-6,25811578501994;-6,32788329765599;-6,3432233334851;-6,41298910645808;-6,45144354641499;-6,49382196869582;-6,5057613030766
"20";-5,98570641370326;-6,06176489871264;-6,09703883210077;-6,16956384467364;-6,18551742080572;-6,25810599065865;-6,29813879297116;-6,34227482289936;-6,35471273736428
"21";-5,84838741160668;-5,92675241943857;-5,96311249141585;-6,03790287203201;-6,05436051803548;-6,12926835487358;-6,17059805736855;-6,21617833724056;-6,22902595438824
"22";-5,73570113044885;-5,81555429610585;-5,8526163812487;-5,92887335320049;-5,94565775396839;-6,02207088400002;-6,06424360212292;-6,11076369839126;-6,12387811034638
"23";-5,6442258575152;-5,724792157619;-5,76219258338171;-5,8391601124092;-5,85610347823887;-5,93325182007385;-5,975838257886;-6,02282115492593;-6,03606723829321
"24";-5,5705517813107;-5,65123078414479;-5,6886877329696;-5,76577981547275;-5,78275206812538;-5,86003851240877;-5,90270572693906;-5,94978141368115;-5,96305434513356
"25";-5,51019227715115;-5,59066698485993;-5,62803146933781;-5,70493791407826;-5,72187012981079;-5,79897798363517;-5,84154917963799;-5,88852100924306;-5,90176504792402
"26";-5,45861187155836;-5,53883390127124;-5,57608283394316;-5,65275490031517;-5,66963613053361;-5,74651456119174;-5,78896100089227;-5,8357967207312;-5,84900267096113
"27";-5,41221585815823;-5,49222565864754;-5,5293776954522;-5,60585353885228;-5,62269214064744;-5,69937901114852;-5,74172146427399;-5,78844388238562;-5,80161815471732
"28";-5,367867281444;-5,44770544114135;-5,48477946504013;-5,56109802566375;-5,57790258552284;-5,65443705691396;-5,69669718498137;-5,74333023498876;-5,75647958383755
"29";-5,32296375788795;-5,40265337004228;-5,43966021335588;-5,51584400268178;-5,5326195153087;-5,60902450506546;-5,65121507970317;-5,69777294959088;-5,71090139334723
"30";-5,27680379551441;-5,35632658138211;-5,3932577575234;-5,46928930829946;-5,48603192807973;-5,56228992399697;-5,60440127699914;-5,65087329936706;-5,6639778303233
"31";-5,22947673813989;-5,30878442105114;-5,3456174048945;-5,42145013838348;-5,43814957177001;-5,51421352571143;-5,55621956279985;-5,60257684973262;-5,61564930472978
"32";-5,18187467410085;-5,26096176147655;-5,29769399760249;-5,37332264384431;-5,38997772875044;-5,46584234053369;-5,50774012985495;-5,55397944188116;-5,56701890667627
"33";-5,13336647625112;-5,21230123863894;-5,24896471277035;-5,32445567039321;-5,34108112597054;-5,41681387475412;-5,45864098214466;-5,50480401948379;-5,51782229874159
"34";-5,08298892160752;-5,16190343821894;-5,19856003734042;-5,27404178813424;-5,2906660980958;-5,36639757507002;-5,40822670728712;-5,45439418361602;-5,46741412702253
