"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-5,03073551603514;-5,05851584248058;-5,08629616892601;-5,11407649537144;-5,14185682181688;-5,16963714826231;-5,19741747470774;-5,22519780115318;-5,25297812759861
"2";-7,60096485568468;-7,62735503149701;-7,65374520730934;-7,68013538312167;-7,706525558934;-7,73291573474633;-7,75930591055866;-7,78569608637099;-7,81208626218332
"3";-8,01593356802452;-8,03974249121861;-8,0635514144127;-8,08736033760679;-8,11116926080089;-8,13497818399498;-8,15878710718907;-8,18259603038316;-8,20640495357725
"4";-8,33291660096181;-8,35765451221125;-8,3823924234607;-8,40713033471014;-8,43186824595958;-8,45660615720902;-8,48134406845846;-8,5060819797079;-8,53081989095734
"5";-8,54074407922949;-8,56572143180609;-8,59069878438268;-8,61567613695928;-8,64065348953588;-8,66563084211247;-8,69060819468907;-8,71558554726566;-8,74056289984226
"6";-8,67284251197742;-8,69772438876239;-8,72260626554737;-8,74748814233235;-8,77237001911732;-8,7972518959023;-8,82213377268728;-8,84701564947225;-8,87189752625723
"7";-8,7567929287597;-8,78043301922235;-8,80407310968501;-8,82771320014766;-8,85135329061032;-8,87499338107297;-8,89863347153563;-8,92227356199828;-8,94591365246094
"8";-8,81844325117167;-8,84048644482903;-8,86252963848638;-8,88457283214373;-8,90661602580108;-8,92865921945843;-8,95070241311579;-8,97274560677314;-8,99478880043049
"9";-8,85593645263316;-8,87648861778781;-8,89704078294246;-8,91759294809711;-8,93814511325176;-8,95869727840641;-8,97924944356106;-8,99980160871571;-9,02035377387036
"10";-8,91415576793257;-8,93403271958984;-8,9539096712471;-8,97378662290437;-8,99366357456163;-9,0135405262189;-9,03341747787617;-9,05329442953343;-9,0731713811907
"11";-8,95250766221493;-8,97174835321832;-8,99098904422171;-9,0102297352251;-9,02947042622849;-9,04871111723187;-9,06795180823526;-9,08719249923865;-9,10643319024204
"12";-8,9215636113483;-8,94059974087074;-8,95963587039319;-8,97867199991563;-8,99770812943808;-9,01674425896053;-9,03578038848297;-9,05481651800542;-9,07385264752786
"13";-8,81614714880985;-8,83405072715902;-8,85195430550818;-8,86985788385734;-8,88776146220651;-8,90566504055567;-8,92356861890483;-8,941472197254;-8,95937577560316
"14";-8,67094496278354;-8,68737982012648;-8,70381467746941;-8,72024953481234;-8,73668439215528;-8,75311924949821;-8,76955410684114;-8,78598896418408;-8,80242382152701
"15";-8,41383584635476;-8,42709205784232;-8,44034826932989;-8,45360448081746;-8,46686069230503;-8,4801169037926;-8,49337311528016;-8,50662932676773;-8,5198855382553
"16";-8,16895587298586;-8,18084010655075;-8,19272434011564;-8,20460857368053;-8,21649280724542;-8,2283770408103;-8,24026127437519;-8,25214550794008;-8,26402974150497
"17";-7,83255676699638;-7,8402926578232;-7,84802854865003;-7,85576443947685;-7,86350033030367;-7,87123622113049;-7,87897211195731;-7,88670800278414;-7,89444389361096
"18";-7,72921468667236;-7,73710484940306;-7,74499501213375;-7,75288517486445;-7,76077533759515;-7,76866550032585;-7,77655566305655;-7,78444582578725;-7,79233598851795
"19";-7,62690151540694;-7,63453938174689;-7,64217724808683;-7,64981511442678;-7,65745298076673;-7,66509084710667;-7,67272871344662;-7,68036657978657;-7,68800444612651
"20";-7,68834590093281;-7,69847736709819;-7,70860883326357;-7,71874029942895;-7,72887176559432;-7,7390032317597;-7,74913469792508;-7,75926616409046;-7,76939763025584
"21";-7,69922633543722;-7,70963825744203;-7,72005017944685;-7,73046210145166;-7,74087402345647;-7,75128594546128;-7,7616978674661;-7,77210978947091;-7,78252171147572
"22";-7,65121970754845;-7,66153269688984;-7,67184568623123;-7,68215867557262;-7,69247166491401;-7,70278465425539;-7,71309764359678;-7,72341063293817;-7,73372362227956
"23";-7,6630907864581;-7,67423999332208;-7,68538920018606;-7,69653840705004;-7,70768761391402;-7,718836820778;-7,72998602764198;-7,74113523450596;-7,75228444136994
"24";-7,64489881252003;-7,65592597172764;-7,66695313093526;-7,67798029014288;-7,68900744935049;-7,70003460855811;-7,71106176776573;-7,72208892697334;-7,73311608618096
"25";-7,64707488886409;-7,65906473894239;-7,67105458902068;-7,68304443909898;-7,69503428917728;-7,70702413925558;-7,71901398933387;-7,73100383941217;-7,74299368949047
