"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-5,17384883833289;-5,21364439475034;-5,22159759528958;-5,27245538225773;-5,2992109155483;-5,30220738270069;-5,3201976388103;-5,32470807712421;-5,33821555303167
"1";-7,87699729799749;-7,93563966586175;-7,94734560723433;-8,02234283067754;-8,06184920861843;-8,066276212719;-8,09284588375561;-8,0994921285522;-8,11938986828101
"2";-8,3333201745797;-8,39408854453288;-8,40641415459913;-8,48574068574806;-8,52756761395422;-8,53225159082595;-8,56040014243945;-8,5674489148164;-8,5885675013637
"3";-8,55639442983311;-8,61798062703055;-8,63040922394881;-8,71024726460181;-8,75222249123451;-8,75692312740667;-8,78515476842297;-8,79221826523452;-8,8133707361703
"4";-8,74851551214629;-8,81024129447078;-8,82284209379627;-8,90425784283331;-8,94714925545709;-8,95195799102379;-8,98081770967888;-8,98804101903401;-9,00966487275186
"5";-8,8874986207325;-8,9495073149508;-8,96227883841585;-9,04521279962379;-9,0889362468404;-9,09383222833816;-9,12323610651503;-9,13058841019373;-9,15260036146655
"6";-9,05742288071384;-9,12223144989596;-9,13546670698972;-9,22102772843401;-9,2660308147615;-9,27107184437923;-9,30135343599922;-9,30893472605702;-9,33165438304708
"7";-9,07437875194131;-9,13825594963073;-9,15135457907357;-9,23588987104117;-9,28037883673892;-9,28536625357631;-9,31530135962072;-9,32278653493707;-9,34520440697895
"8";-9,15567825620959;-9,21961139210019;-9,23269558316197;-9,31723783620781;-9,36162792692666;-9,3666001728989;-9,39645308398469;-9,40391953670472;-9,42627659270911
"9";-9,04622166713605;-9,10866690687095;-9,1216206798412;-9,20570219451242;-9,24991308795512;-9,25486379282298;-9,28458445657528;-9,29200386320256;-9,3142207289117
"10";-9,05528829679581;-9,11612120382876;-9,12870595784696;-9,21052850920707;-9,25349814320593;-9,25831419554843;-9,28721758289413;-9,29444061080921;-9,31606351808145
"11";-9,03488647909745;-9,09622101235874;-9,10892652422932;-9,19142427017544;-9,23478451562459;-9,2396437656054;-9,26881802747737;-9,27611498249576;-9,297969524776
"12";-8,99649004572214;-9,05727912294604;-9,06973830268479;-9,15034881340134;-9,19270984001679;-9,19745569395915;-9,22594154613278;-9,23305724889603;-9,25435790974448
"13";-8,8065120676447;-8,8658670240048;-8,87804259403958;-8,95703482586893;-8,9985590290364;-9,00320950577045;-9,03114960011147;-9,03813814375229;-9,05906522213888
"14";-8,53622498434763;-8,59469011819959;-8,60665117816888;-8,684139896887;-8,72479246904587;-8,72934505740983;-8,75667484594135;-8,76350528795654;-8,78395051637668
"15";-8,29246420274148;-8,34904374185828;-8,36068366382467;-8,4364891539089;-8,47628371212898;-8,48074311673098;-8,50748678192615;-8,51417250748028;-8,53419186973939
"16";-7,95274860072247;-8,00559021846601;-8,01656093966773;-8,08822089574406;-8,12594963547841;-8,13017856193509;-8,15557149265032;-8,1619139580634;-8,18090872098917
"17";-7,8395072922935;-7,89137492107935;-7,90218021112063;-7,97260225936865;-8,00954615633776;-8,01368535900454;-8,03852357575397;-8,04471928029707;-8,06327071801418
"18";-7,76900184174068;-7,81973667647109;-7,83047466896146;-7,90085544382935;-7,9378201395714;-7,94196224891471;-7,96683458512282;-7,97305577227252;-7,991694793013
"19";-7,79290901072532;-7,84424464874339;-7,85507154233741;-7,92605357225157;-7,96330062018815;-7,96747392145489;-7,99252826195072;-7,99879215100664;-8,01756060835121
