"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-5,060876510533;-5,05772690163011;-5,09293053682309;-5,13449928131864;-5,17964583683054;-5,19937741869313;-5,20847666254825;-5,22879130389943;-5,23252962601003
"1";-7,72873583105197;-7,70626297519991;-7,75172534927667;-7,84936381884058;-7,79935339826592;-7,84936381884058;-7,87533930524384;-7,87533930524384;-7,98656494035407
"2";-8,18072095479502;-8,25482892694875;-8,29404964010203;-8,29404964010203;-8,42188301161191;-8,37743124904108;-8,33487163462228;-8,42188301161191;-8,42188301161191
"3";-8,56848648580379;-8,51719319141624;-8,56848648580379;-8,56848648580379;-8,67971212091401;-8,67971212091401;-8,62255370707406;-8,74033674273045;-8,74033674273045
"4";-8,74033674273045;-8,80487526386802;-8,80487526386802;-8,80487526386802;-8,94797610750869;-8,80487526386802;-8,87386813535497;-8,87386813535497;-8,94797610750869
"5";-8,87386813535497;-8,94797610750869;-8,94797610750869;-8,87386813535497;-9,21034037197618;-9,02801881518223;-9,02801881518223;-9,02801881518223;-9,02801881518223
"6";-8,87386813535497;-8,94797610750869;-9,02801881518223;-8,94797610750869;-9,11503019217186;-9,11503019217186;-9,21034037197618;-9,11503019217186;-9,21034037197618
"7";-9,02801881518223;-9,02801881518223;-9,11503019217186;-9,31570088763401;-9,21034037197618;-9,21034037197618;-9,31570088763401;-9,31570088763401;-9,31570088763401
"8";-9,11503019217186;-9,02801881518223;-9,11503019217186;-9,21034037197618;-9,11503019217186;-9,11503019217186;-9,31570088763401;-9,21034037197618;-9,31570088763401
"9";-9,11503019217186;-9,02801881518223;-9,21034037197618;-9,02801881518223;-9,31570088763401;-9,21034037197618;-9,21034037197618;-9,31570088763401;-9,31570088763401
"10";-9,11503019217186;-9,02801881518223;-9,21034037197618;-9,21034037197618;-9,21034037197618;-9,21034037197618;-9,21034037197618;-9,21034037197618;-9,43348392329039
"11";-9,11503019217186;-9,11503019217186;-9,02801881518223;-9,02801881518223;-9,11503019217186;-9,31570088763401;-9,21034037197618;-9,21034037197618;-9,31570088763401
"12";-9,02801881518223;-9,02801881518223;-9,11503019217186;-9,02801881518223;-9,02801881518223;-9,21034037197618;-9,21034037197618;-9,11503019217186;-9,11503019217186
"13";-8,87386813535497;-8,74033674273045;-8,94797610750869;-8,94797610750869;-9,02801881518223;-9,02801881518223;-9,02801881518223;-8,87386813535497;-8,94797610750869
"14";-8,67971212091401;-8,67971212091401;-8,74033674273045;-8,74033674273045;-8,80487526386802;-8,74033674273045;-8,80487526386802;-8,80487526386802;-8,87386813535497
"15";-8,42188301161191;-8,42188301161191;-8,42188301161191;-8,51719319141624;-8,62255370707406;-8,62255370707406;-8,56848648580379;-8,67971212091401;-8,62255370707406
"16";-8,01641790350375;-8,07893826048508;-8,2170885989659;-8,2170885989659;-8,29404964010203;-8,33487163462228;-8,33487163462228;-8,46840302724681;-8,42188301161191
"17";-7,92940652651412;-7,98656494035407;-8,07893826048508;-8,0471895621705;-8,2170885989659;-8,14562963498375;-8,29404964010203;-8,25482892694875;-8,2170885989659
"18";-7,72873583105197;-7,75172534927667;-7,87533930524384;-7,902007552326;-8,01641790350375;-8,0471895621705;-8,01641790350375;-8,07893826048508;-8,07893826048508
"19";-7,66277786326017;-7,72873583105197;-7,79935339826592;-7,87533930524384;-7,87533930524384;-7,902007552326;-7,98656494035407;-7,92940652651412;-7,92940652651412
"20";-7,70626297519991;-7,72873583105197;-7,75172534927667;-7,84936381884058;-7,84936381884058;-7,902007552326;-7,84936381884058;-7,82404601085629;-7,87533930524384
"21";-7,5810998322459;-7,64172445406234;-7,70626297519991;-7,72873583105197;-7,75172534927667;-7,72873583105197;-7,77525584668686;-7,82404601085629;-7,70626297519991
