"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,42486473805752;-4,42924005924655;-4,43015120454773;-4,43634380503716;-4,43962018450694;-4,43998414688883;-4,44216760646872;-4,44271339021693;-4,44435055678648
"2";-6,3952510268354;-6,40207921293955;-6,40350147805731;-6,41317087923043;-6,41828890040657;-6,41885753771148;-6,42226926404765;-6,42312217505684;-6,42568087638842
"3";-7,0723140914142;-7,08059953507483;-7,08232576751043;-7,09406572662211;-7,10028257455097;-7,10097342202997;-7,10511891922578;-7,10615541152813;-7,10926519573912
"4";-7,61667798897486;-7,62620128014328;-7,62818573270832;-7,64168480904047;-7,64883533320478;-7,6496300285804;-7,65439906994048;-7,65559157239084;-7,65916969046715
"5";-8,01666187780268;-8,02724435471571;-8,0294497990062;-8,04445475804736;-8,05240482515569;-8,05328846138436;-8,05859158948993;-8,05991773350064;-8,06389706896945
"6";-8,29728087186566;-8,30890707558593;-8,31133035724291;-8,32782036498819;-8,3365593866067;-8,33753080634189;-8,34336115825187;-8,34481924993639;-8,34919477393739
"7";-8,48856087602357;-8,50130335857115;-8,50395968811739;-8,5220390712869;-8,53162292599592;-8,53268836623629;-8,53908348425337;-8,54068294166408;-8,54548298708957
"8";-8,6167546817554;-8,63072589037993;-8,63363879519947;-8,653468488223;-8,66398306362047;-8,66515209753566;-8,67216954899208;-8,67392479862848;-8,67919272911363
"9";-8,69746337158119;-8,712736045054;-8,71592074848764;-8,73760492235655;-8,7491058401404;-8,75038466860609;-8,75806174690957;-8,75998213593611;-8,76574605075612
"10";-8,74125796719091;-8,75785672409849;-8,76131839155965;-8,78489251328558;-8,79739879719419;-8,79878954475105;-8,80713904306102;-8,80922778215943;-8,81549734339368
"11";-8,7494920267738;-8,76744820687196;-8,77119340684049;-8,79670251110712;-8,81023826973815;-8,81174362677863;-8,82078173708154;-8,82304288764717;-8,82983031196896
"12";-8,72215625837065;-8,74155494969503;-8,74560147756178;-8,7731672196474;-8,78779732768384;-8,78942452307226;-8,799194706262;-8,80163915722108;-8,80897716895815
"13";-8,66001487741236;-8,68100207275926;-8,68538044518308;-8,71521129503579;-8,73104681379538;-8,7328082181962;-8,743384828516;-8,74603120364701;-8,75397575969324
"14";-8,56695390316174;-8,5896953601929;-8,59444021987297;-8,62677278393569;-8,6439397286221;-8,64584937681065;-8,65731676417012;-8,66018618914874;-8,66880075935035
"15";-8,4515100222635;-8,47605262380118;-8,48117377759676;-8,51607511501703;-8,53460925756889;-8,53667113604317;-8,54905326990464;-8,55215175073521;-8,561454386214
"16";-8,32395745044942;-8,35018225387156;-8,35565486470343;-8,39295553969578;-8,41276678201968;-8,41497086237582;-8,42820749741221;-8,43151995248193;-8,44146535903607
"17";-8,19739228894725;-8,22496363548167;-8,23071759054919;-8,26993909704079;-8,2907728455045;-8,29309078376889;-8,30701161763455;-8,31049540681523;-8,32095550708101
"18";-8,08456888135419;-8,11295220117374;-8,1188758312853;-8,1592559782958;-8,18070665146026;-8,18309329196085;-8,19742700139377;-8,20101418855119;-8,21178491800353
"19";-7,99269025134391;-8,0213116926239;-8,02728511888283;-8,06800564462552;-8,08963779858584;-8,09204465978058;-8,10649993291885;-8,11011757574228;-8,12097982939241
"20";-7,92246257796391;-7,95088960653696;-7,95682246794364;-7,99726655795383;-8,01875192607255;-8,02114245829003;-8,03549967404417;-8,03909277985591;-8,04988136714081
"21";-7,87201209680572;-7,89999047727663;-7,90582965693377;-7,94563468825964;-7,96678025448159;-7,96913296577457;-7,98326297713213;-7,98679920633816;-7,99741698001005
"22";-7,83499998829041;-7,86243376111933;-7,86815920665243;-7,90718824933434;-7,92792110409222;-7,93022787505503;-7,94408188724771;-7,94754901996979;-7,95795926890238
"23";-7,80549030541588;-7,83236974808918;-7,83797942397129;-7,87621854250907;-7,89653124021443;-7,89879124058424;-7,91236425936082;-7,91576104361311;-7,92596000354473
"24";-7,77831163319348;-7,80468721287369;-7,81019165919375;-7,84771277321334;-7,86764356906662;-7,86986105735885;-7,88317866775871;-7,88651150898969;-7,89651841862151
"25";-7,749730272561;-7,7756799586599;-7,78109546249491;-7,81800973491115;-7,83761777905959;-7,83979934068605;-7,85290111148683;-7,85617991712706;-7,86602453580497
"26";-7,71683505021259;-7,74245165482426;-7,74779760540261;-7,78423738736591;-7,80359311527845;-7,80574659256418;-7,8186796467816;-7,82191621627123;-7,83163398775292
"27";-7,67853994955503;-7,70390548327401;-7,70919901429356;-7,74528126989757;-7,76444693486332;-7,76657925941013;-7,77938524890795;-7,78259001205453;-7,79221226671024
"28";-7,63411312922409;-7,65926354007106;-7,66451216416762;-7,70028820068991;-7,71929112628108;-7,72140534111248;-7,73410255422373;-7,73728009127534;-7,74682058969061
"29";-7,58301755743332;-7,60794649575949;-7,61314889079565;-7,64860972376803;-7,66744515751977;-7,66954073474485;-7,6821260047715;-7,68527552422277;-7,69473189227379
"30";-7,5256043622529;-7,55030901372184;-7,55546459579418;-7,59060627694943;-7,60927214445154;-7,6113488542629;-7,62382080524109;-7,62694196387485;-7,636313173774
"31";-7,46237960055601;-7,48687009269947;-7,49198098087677;-7,52681800603949;-7,54532204397095;-7,54738074873442;-7,55974456651578;-7,56283866394413;-7,57212862217066
"32";-7,3938178255804;-7,41810938639187;-7,42317876482704;-7,45773289596674;-7,47608670499139;-7,47812869716318;-7,49039215138826;-7,49346113404949;-7,50267568970051
"33";-7,32127424343978;-7,3453866110929;-7,35041860517427;-7,38471802005508;-7,40293660873032;-7,40496355992233;-7,41713669731452;-7,42018308150042;-7,42932979465486
"34";-7,24610431994778;-7,27005972632047;-7,27505898147149;-7,30913539907585;-7,32723565443109;-7,32924944514095;-7,34134356645881;-7,34437018216619;-7,35345755449916
"35";-7,16867427921095;-7,19248859876161;-7,19745843224295;-7,23133450508431;-7,24932848880436;-7,2513304622604;-7,26335363986122;-7,2663625086919;-7,27539661354565
"36";-7,0889435981479;-7,1126266708381;-7,11756913945409;-7,15125891801782;-7,16915411524026;-7,17114510517314;-7,18310235018521;-7,18609472728553;-7,19507933584301
"37";-7,00685329970624;-7,03040612837425;-7,03532144307364;-7,06882638073766;-7,08662357454455;-7,08860366855865;-7,10049550913896;-7,10347152723086;-7,11240703931163
"38";-6,92244065682797;-6,94584149193246;-6,95072511113864;-6,98401422640251;-7,00169694271876;-7,00366430718011;-7,01547972791163;-7,01843662945481;-7,02731476346586
"39";-6,83594693546917;-6,85915619885373;-6,86399985680977;-6,89701675027771;-6,91455499041416;-6,91650628595615;-6,92822522421203;-6,93115798639632;-6,93996365650215
"40";-6,74821053003612;-6,77120625679466;-6,7760053662631;-6,80871873853826;-6,82609585479362;-6,82802922825846;-6,83964055049323;-6,8425463859805;-6,8512712205515
"41";-6,65975939100458;-6,68255295826349;-6,68730989613824;-6,71973597301267;-6,736960601304;-6,73887701425299;-6,75038649844415;-6,75326685405802;-6,76191519922835
"42";-6,57103887216055;-6,59366836523126;-6,59839108691559;-6,63058416336611;-6,64768519249792;-6,64958786115728;-6,66101483184522;-6,6638745460767;-6,67246093520997
"43";-6,48260237095512;-6,50510138051184;-6,50979690222587;-6,54180486035012;-6,55880776484864;-6,560699525235;-6,57206102209222;-6,5749043612388;-6,58344160874456
"44";-6,39483550567309;-6,41723529743873;-6,42191014952699;-6,45377755321628;-6,47070604055005;-6,47258953188498;-6,48390141186934;-6,48673234602406;-6,49523237642077
"45";-6,30788118597669;-6,33021079898406;-6,3348710465921;-6,36663928405377;-6,38351537147204;-6,38539304478005;-6,39667003397968;-6,39949225006165;-6,40796613723604
"46";-6,22111926312581;-6,24339526767807;-6,24804437187948;-6,27973706285874;-6,29657331646525;-6,29844657069049;-6,30969707435845;-6,31251267681703;-6,32096674174542
"47";-6,13394756227787;-6,15617343875018;-6,16081212677985;-6,19243423683341;-6,20923330026031;-6,21110242979086;-6,22232821703676;-6,22513764890161;-6,23357322250156
"48";-6,0466034301183;-6,0687785773609;-6,07340672375896;-6,1049573976602;-6,12171881660046;-6,12358377088951;-6,13478453813978;-6,13758772343813;-6,14600457759776
"49";-5,95955122197349;-5,98167790125048;-5,98629597816561;-6,01777843650139;-6,03450392325692;-6,03636489288181;-6,04754178497685;-6,05033901029154;-6,0587380056668
"50";-5,87330710330197;-5,89539837309809;-5,90000910767229;-5,93144195773144;-5,94814140896468;-5,94999949557117;-5,96115913101126;-5,96395205330233;-5,97233816645494
"51";-5,78857620994786;-5,81068266056861;-5,81529661912458;-5,8467519643232;-5,8634637364206;-5,86532320993612;-5,87649124295084;-5,87928628515791;-5,88767880773099
"52";-5,7059943117709;-5,72819843840707;-5,73283285114105;-5,7644282702816;-5,78121491220062;-5,7830827357865;-5,79430100211612;-5,79710863853961;-5,80553903081301
"53";-5,62568290925394;-5,64805511230039;-5,65272468297959;-5,68456051198418;-5,70147539808925;-5,70335751348161;-5,71466171165479;-5,71749087994872;-5,72598598656348
"54";-5,54745555408369;-5,57006279919684;-5,57478151425926;-5,60695319456122;-5,62404709587548;-5,62594915501512;-5,63737324249974;-5,64023244443335;-5,64881780086863
"55";-5,47087803936312;-5,49378786256591;-5,49856982785904;-5,53117361835138;-5,54849774263343;-5,5504254461608;-5,56200367336143;-5,56490148413772;-5,57360284665812
"56";-5,39472687854346;-5,41799479519018;-5,42285160645776;-5,45596664238428;-5,47356309182909;-5,4755211268862;-5,48728165564687;-5,49022512627896;-5,4990636735906
"57";-5,31762031941749;-5,34125802338938;-5,34619212383946;-5,37983508496623;-5,39771273802878;-5,39970209322186;-5,41165086419948;-5,41464148229161;-5,42362168313908
"58";-5,23837472793881;-5,26234486886243;-5,26734845811219;-5,30146612142881;-5,31959666965921;-5,32161419380563;-5,33373227510003;-5,33676530096274;-5,34587291994041
"59";-5,15655728483275;-5,18078314020204;-5,18584019411441;-5,22032321429356;-5,23864849111938;-5,24068770902283;-5,25293619709868;-5,25600189067715;-5,26520767314575
"60";-5,07212012075594;-5,0964994889083;-5,1015886613068;-5,13629137186257;-5,15473388620987;-5,15678617129443;-5,1691132363294;-5,17219862112335;-5,18146359125301
