"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-5,05344945230908;-5,10123342382506;-5,1112640024371;-5,18017387903496;-5,21715812258328;-5,22128925170322;-5,24616821953484;-5,25241276423804;-5,27120629017823
"2";-6,9831217855596;-7,03081731093405;-7,04082654534789;-7,10956428396193;-7,14643813192086;-7,15055616304106;-7,17535302668139;-7,18157610031148;-7,20030293420733
"3";-7,62469142790836;-7,67155962807492;-7,68139414988975;-7,74892202711395;-7,78513976592049;-7,7891842215115;-7,81353677784816;-7,81964800715754;-7,8380374559869
"4";-8,13834571380591;-8,18446608806415;-8,19414278069369;-8,26057857828394;-8,29620468801522;-8,30018282439558;-8,32413499993174;-8,33014547102334;-8,34823104515701
"5";-8,51095523686366;-8,55634828399953;-8,5658716556278;-8,63124822837679;-8,66630167241051;-8,67021566442158;-8,69378079485071;-8,69969391869496;-8,71748603685897
"6";-8,76227698368607;-8,80677931873503;-8,8161152213978;-8,8801993414818;-8,91455591134927;-8,918391926075;-8,94148687812441;-8,9472818348249;-8,96471794883452
"7";-8,9200444372045;-8,96343040376695;-8,97253156861518;-9,03499941659675;-9,06848596416689;-9,07222468857284;-9,0947332689015;-9,10038092530854;-9,11737343079788
"8";-9,00982940128009;-9,05187040636918;-9,06068891103842;-9,12121183741481;-9,15365238186078;-9,15727417626531;-9,17907818132627;-9,18454888821293;-9,2010085999653
"9";-9,04881840554271;-9,08935723697572;-9,0978601292047;-9,15621220202421;-9,18748580198787;-9,19097717079031;-9,2119953826144;-9,21726876973019;-9,23313441815061
"10";-9,04911632150935;-9,08805680693832;-9,09622393955668;-9,15226712328097;-9,18229995933916;-9,18565266821086;-9,20583554448192;-9,2108991895533;-9,22613341916759
"11";-9,01088665313465;-9,04806980375405;-9,0558678337146;-9,10937334786473;-9,13804283415655;-9,14124319888017;-9,16050836500948;-9,16534160193301;-9,17988223943353
"12";-8,93130752744954;-8,96644991758436;-8,97381936584703;-9,02437874021425;-9,05146575457201;-9,05448930376467;-9,07268940424793;-9,07725525230735;-9,09099101302171
"13";-8,80836189447487;-8,84106226938628;-8,84791890784456;-8,89495350925362;-8,92014750527549;-8,92295955136382;-8,93988568819766;-8,94413171504873;-8,95690480005783
"14";-8,64565924443722;-8,67551365643106;-8,68177268610709;-8,72469990828677;-8,74768817102478;-8,75025378266935;-8,76569558333911;-8,7695689848062;-8,78122047196742
"15";-8,45724274340465;-8,48408335382645;-8,48970955425693;-8,52828753806911;-8,54894033458913;-8,55124502380893;-8,56511525034581;-8,5685941335112;-8,57905814260873
"16";-8,26072413088353;-8,28469363650166;-8,28971699512586;-8,32415205874184;-8,34258033634527;-8,34463650509363;-8,3570098845499;-8,36011301599941;-8,36944605157657
"17";-8,07836059662403;-8,09998591599647;-8,10451710054866;-8,13557007587567;-8,15218256257252;-8,15403588208787;-8,16518753024016;-8,16798398169594;-8,17639396583036
"18";-7,93122675875688;-7,95138336355911;-7,95560623096452;-7,98454096584815;-8,0000165072048;-8,00174282702057;-8,01212962914303;-8,01473410294198;-8,02256630407847
"19";-7,82819999384601;-7,84783668117852;-7,85195047886998;-7,88013653887093;-7,89521070920388;-7,89689221499416;-7,90700921273985;-7,90954598785324;-7,91717449498968
"20";-7,76452772489306;-7,78437706046956;-7,7885356196867;-7,81703032374993;-7,83227094495786;-7,83397107733685;-7,84420039355284;-7,84676539861346;-7,85447895845647
"21";-7,73133830604314;-7,7518522149044;-7,75615042635232;-7,78560589943382;-7,80136313071343;-7,80312100920648;-7,813698262845;-7,81635064519412;-7,82432728555958
"22";-7,71575286591728;-7,73711306152115;-7,74158907191547;-7,77226740241676;-7,78868192278633;-7,79051326183645;-7,80153309293207;-7,80429660764662;-7,81260782332649
"23";-7,70832709120544;-7,73056993152486;-7,73523136677276;-7,76718488777608;-7,78428474456748;-7,78619267534703;-7,79767393363788;-7,8005533100237;-7,80921332968215
"24";-7,70146268355574;-7,72452381448451;-7,72935715513049;-7,76249289134415;-7,78022811587467;-7,78220705398293;-7,79411609619035;-7,79710288660798;-7,80608627842897
"25";-7,69021328236897;-7,71397581259791;-7,71895650995906;-7,75310570749689;-7,77138565470508;-7,77342547196062;-7,78570128970584;-7,78878017768812;-7,79804083684122
"26";-7,67094014405943;-7,69525419240248;-7,70035077293628;-7,73529710623474;-7,7540056005158;-7,75609331704229;-7,76865772838585;-7,77180908702121;-7,7812879361612
"27";-7,64289891940732;-7,66762622194924;-7,6728096535807;-7,70835359585982;-7,72738349591571;-7,7295071417465;-7,74228805002508;-7,74549378066587;-7,75513634400619
"28";-7,60725334802612;-7,63233313260725;-7,63759066002727;-7,67364459805104;-7,69294889239442;-7,6951032168258;-7,70806900259638;-7,71132116938336;-7,72110356449157
"29";-7,56518850779053;-7,59063003797557;-7,59596361634692;-7,63254107936224;-7,65212709791774;-7,65431292262627;-7,66746854658699;-7,6707683979339;-7,68069438993459
"30";-7,51671137336203;-7,54250575343766;-7,54791352325446;-7,58500180845905;-7,60486278439073;-7,6070793556867;-7,62042028797659;-7,62376668933789;-7,63383286956221
"31";-7,46156908161439;-7,4876716709774;-7,49314426428696;-7,53067903960212;-7,55078046364718;-7,55302392762496;-7,5665269620362;-7,56991408959028;-7,5801029327951
"32";-7,39992411038382;-7,42627516982174;-7,43180004672438;-7,46969516571919;-7,48999080441429;-7,49225599688274;-7,50589003332832;-7,50931008113094;-7,51959809481385
"33";-7,33307998112234;-7,35962031085375;-7,36518504289871;-7,40335510839955;-7,4237991188347;-7,42608091873444;-7,43981511480796;-7,443260341037;-7,45362422434454
"34";-7,26243143426086;-7,28910632892597;-7,29469942979235;-7,3330655049459;-7,35361550295536;-7,35590917520411;-7,36971501144677;-7,37317825692362;-7,38359646153794
"35";-7,18857419094831;-7,21533771055049;-7,22094953437433;-7,25944533058732;-7,28006572346053;-7,28236729171054;-7,29622081855413;-7,29969607127613;-7,31015050176416
"36";-7,11168844402361;-7,13850307871738;-7,14412575027017;-7,18269715253584;-7,2033588877879;-7,20566510651405;-7,21954677681822;-7,2230291300953;-7,23350501832327
"37";-7,0320689312827;-7,05891147452107;-7,06454012279795;-7,10315367108594;-7,12383879316276;-7,12614765684548;-7,1400453932011;-7,143531815765;-7,15402003915386
"38";-6,95069872873836;-6,97758526633937;-6,98322327294237;-7,02190224419365;-7,04262327799365;-7,04493618702556;-7,05885842877959;-7,06235104041717;-7,07285798234869
"39";-6,86852282532677;-6,89549806122647;-6,90115481811579;-6,93996380769151;-6,96075547322884;-6,96307630801366;-6,97704643338616;-6,98055110442228;-6,99109443808914
"40";-6,785478033973;-6,81254618189329;-6,81822257547621;-6,85716769026644;-6,87803327734504;-6,88036240587275;-6,89438263320159;-6,89789992101742;-6,90848132531427
"41";-6,70062103801953;-6,72772321084514;-6,73340687349919;-6,77240309010618;-6,79329692527466;-6,79562924408797;-6,80966883139574;-6,81319101788356;-6,82378725974206
"42";-6,6133024639826;-6,64033443385166;-6,64600347430619;-6,68490028752974;-6,70574151445382;-6,70806798853822;-6,72207250987222;-6,72558593047358;-6,73615587600851
"43";-6,52452063984024;-6,55140254530346;-6,55704018942805;-6,59572226948308;-6,61644892529408;-6,61876263065389;-6,63269037591002;-6,63618455840821;-6,6466966830651
"44";-6,43494320949333;-6,46161064863075;-6,46720336886996;-6,50557770259978;-6,52613981084838;-6,52843516275001;-6,54225248889264;-6,54571898631105;-6,55614786171397
"45";-6,34493488313411;-6,37133502755134;-6,37687172703889;-6,41486201137513;-6,43521857197248;-6,43749098867896;-6,45117029446455;-6,45460217668036;-6,4649269404816
"46";-6,25444075285897;-6,28054489292315;-6,28601954141878;-6,32358431518479;-6,34371305204267;-6,34596004431287;-6,35948633450258;-6,36287983662145;-6,37308915530213
"47";-6,16346555962906;-6,18927133640358;-6,19468343906259;-6,23181930573124;-6,25171839806898;-6,25393976261381;-6,2673118133215;-6,27066662825485;-6,28075957785151
"48";-6,07259527423021;-6,09811908817891;-6,10347209004143;-6,14020273840341;-6,15988491523655;-6,16208207452777;-6,17530845503808;-6,1786267343755;-6,18860979203501
"49";-5,98227248591647;-6,00753269733516;-6,01283045450255;-6,04918239423587;-6,06866189637749;-6,0708364416611;-6,08392673727951;-6,08721088752396;-6,09709129732658
"50";-5,89264386981277;-5,91764581008286;-5,92288944150601;-5,95887035806666;-5,97815130912531;-5,98030370095562;-5,99326068506933;-5,99651140227448;-6,00629125891776
"51";-5,80298037944802;-5,82767229124536;-5,83285092448676;-5,86838605290856;-5,88742827567584;-5,88955402411958;-5,90235064788578;-5,90556114045383;-5,91521999819148
