"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";-5,41745392796397;-5,45356816854831;-5,48968240913265;-5,525796649717;-5,56191089030134;-5,59802513088568;-5,63413937147003;-5,67025361205437;-5,70636785263871
"2";-7,89684114389617;-7,92735758905354;-7,95787403421091;-7,98839047936828;-8,01890692452565;-8,04942336968302;-8,07993981484039;-8,11045625999776;-8,14097270515514
"3";-8,1619925037524;-8,18890698993861;-8,21582147612483;-8,24273596231105;-8,26965044849727;-8,29656493468349;-8,32347942086971;-8,35039390705593;-8,37730839324214
"4";-8,39004140953883;-8,41627108625963;-8,44250076298042;-8,46873043970122;-8,49496011642202;-8,52118979314281;-8,54741946986361;-8,5736491465844;-8,5998788233052
"5";-8,63268353493383;-8,65981340828616;-8,68694328163849;-8,71407315499082;-8,74120302834315;-8,76833290169548;-8,79546277504781;-8,82259264840014;-8,84972252175247
"6";-8,7990041634307;-8,82734211157624;-8,85568005972179;-8,88401800786734;-8,91235595601288;-8,94069390415843;-8,96903185230397;-8,99736980044952;-9,02570774859507
"7";-8,88336016908459;-8,91166460042358;-8,93996903176258;-8,96827346310157;-8,99657789444056;-9,02488232577956;-9,05318675711855;-9,08149118845754;-9,10979561979654
"8";-8,9653607332244;-8,99339424178067;-9,02142775033694;-9,04946125889321;-9,07749476744947;-9,10552827600574;-9,13356178456201;-9,16159529311828;-9,18962880167455
"9";-8,91945769841683;-8,94531732316537;-8,97117694791392;-8,99703657266247;-9,02289619741102;-9,04875582215957;-9,07461544690812;-9,10047507165666;-9,12633469640521
"10";-8,97481846497663;-9,00070847073736;-9,02659847649808;-9,0524884822588;-9,07837848801952;-9,10426849378025;-9,13015849954097;-9,15604850530169;-9,18193851106242
"11";-8,93106701582346;-8,95513214650389;-8,97919727718431;-9,00326240786474;-9,02732753854516;-9,05139266922559;-9,07545779990601;-9,09952293058644;-9,12358806126686
"12";-8,84063010401087;-8,86375018645061;-8,88687026889034;-8,90999035133007;-8,93311043376981;-8,95623051620954;-8,97935059864927;-9,00247068108901;-9,02559076352874
"13";-8,64764953842013;-8,6688631414007;-8,69007674438127;-8,71129034736183;-8,7325039503424;-8,75371755332297;-8,77493115630353;-8,7961447592841;-8,81735836226466
"14";-8,40548737958687;-8,42519559827896;-8,44490381697106;-8,46461203566315;-8,48432025435525;-8,50402847304734;-8,52373669173944;-8,54344491043153;-8,56315312912363
"15";-8,0697471419133;-8,08658857287948;-8,10343000384566;-8,12027143481184;-8,13711286577802;-8,1539542967442;-8,17079572771037;-8,18763715867655;-8,20447858964273
"16";-7,71265522350193;-7,72710278360823;-7,74155034371453;-7,75599790382083;-7,77044546392713;-7,78489302403343;-7,79934058413973;-7,81378814424603;-7,82823570435233
"17";-7,21062255560588;-7,2205533216999;-7,23048408779391;-7,24041485388793;-7,25034561998194;-7,26027638607595;-7,27020715216997;-7,28013791826398;-7,290068684358
"18";-6,94708350985679;-6,95539908904951;-6,96371466824224;-6,97203024743497;-6,98034582662769;-6,98866140582042;-6,99697698501315;-7,00529256420587;-7,0136081433986
"19";-6,67286974295223;-6,6794091840205;-6,68594862508878;-6,69248806615705;-6,69902750722533;-6,7055669482936;-6,71210638936187;-6,71864583043015;-6,72518527149842
"20";-6,62433021991208;-6,6312192937648;-6,63810836761751;-6,64499744147022;-6,65188651532294;-6,65877558917565;-6,66566466302837;-6,67255373688108;-6,6794428107338
"21";-6,62838610947213;-6,63592216611467;-6,64345822275722;-6,65099427939977;-6,65853033604232;-6,66606639268486;-6,67360244932741;-6,68113850596996;-6,68867456261251
"22";-6,5659154014805;-6,57342338034053;-6,58093135920057;-6,58843933806061;-6,59594731692064;-6,60345529578068;-6,61096327464072;-6,61847125350075;-6,62597923236079
"23";-6,59469624319858;-6,60294746532155;-6,61119868744451;-6,61944990956748;-6,62770113169045;-6,63595235381342;-6,64420357593639;-6,65245479805935;-6,66070602018232
"24";-6,59079243822489;-6,59847334701599;-6,60615425580708;-6,61383516459818;-6,62151607338928;-6,62919698218037;-6,63687789097147;-6,64455879976257;-6,65223970855367
"25";-6,6037333305922;-6,61081295057789;-6,61789257056358;-6,62497219054927;-6,63205181053496;-6,63913143052065;-6,64621105050634;-6,65329067049203;-6,66037029047772
"26";-6,60546370135532;-6,612483794809;-6,61950388826269;-6,62652398171638;-6,63354407517006;-6,64056416862375;-6,64758426207743;-6,65460435553112;-6,66162444898481
"27";-6,56752287543128;-6,57326874450599;-6,5790146135807;-6,58476048265541;-6,59050635173013;-6,59625222080484;-6,60199808987955;-6,60774395895426;-6,61348982802898
"28";-6,54295213185548;-6,54810596789812;-6,55325980394076;-6,5584136399834;-6,56356747602603;-6,56872131206867;-6,57387514811131;-6,57902898415395;-6,58418282019659
"29";-6,51385533745127;-6,51912040161035;-6,52438546576943;-6,52965052992851;-6,53491559408759;-6,54018065824667;-6,54544572240575;-6,55071078656483;-6,55597585072391
"30";-6,53006794457031;-6,5356376102232;-6,54120727587608;-6,54677694152897;-6,55234660718186;-6,55791627283475;-6,56348593848764;-6,56905560414052;-6,57462526979341
"31";-6,48557639180315;-6,49065487037222;-6,49573334894128;-6,50081182751034;-6,50589030607941;-6,51096878464847;-6,51604726321753;-6,52112574178659;-6,52620422035566
"32";-6,4181491557626;-6,42266441919729;-6,42717968263198;-6,43169494606667;-6,43621020950137;-6,44072547293606;-6,44524073637075;-6,44975599980544;-6,45427126324013
"33";-6,39222386186379;-6,39739519105267;-6,40256652024155;-6,40773784943043;-6,41290917861931;-6,41808050780818;-6,42325183699706;-6,42842316618594;-6,43359449537482
"34";-6,34448513152527;-6,3496756672866;-6,35486620304793;-6,36005673880926;-6,36524727457059;-6,37043781033191;-6,37562834609324;-6,38081888185457;-6,3860094176159
"35";-6,32871353235748;-6,33431254554461;-6,33991155873174;-6,34551057191887;-6,351109585106;-6,35670859829313;-6,36230761148027;-6,3679066246674;-6,37350563785453
"36";-6,27925811880161;-6,28539175467775;-6,29152539055389;-6,29765902643002;-6,30379266230616;-6,3099262981823;-6,31605993405844;-6,32219356993458;-6,32832720581072
"37";-6,22482312483305;-6,23120317643077;-6,23758322802849;-6,24396327962622;-6,25034333122394;-6,25672338282166;-6,26310343441938;-6,26948348601711;-6,27586353761483
"38";-6,16793874361097;-6,17458018089521;-6,18122161817945;-6,18786305546369;-6,19450449274793;-6,20114593003217;-6,20778736731641;-6,21442880460065;-6,22107024188489
"39";-6,09081251990817;-6,09794999130062;-6,10508746269308;-6,11222493408553;-6,11936240547799;-6,12649987687044;-6,1336373482629;-6,14077481965535;-6,14791229104781
"40";-6,11055480812087;-6,1195471560941;-6,12853950406733;-6,13753185204055;-6,14652420001378;-6,15551654798701;-6,16450889596023;-6,17350124393346;-6,18249359190669
"41";-6,04424228935791;-6,0537440797087;-6,06324587005948;-6,07274766041027;-6,08224945076105;-6,09175124111184;-6,10125303146262;-6,11075482181341;-6,12025661216419
"42";-5,95045398927887;-5,95969551828452;-5,96893704729018;-5,97817857629584;-5,9874201053015;-5,99666163430715;-6,00590316331281;-6,01514469231847;-6,02438622132413
"43";-5,90681060611117;-5,9174743620146;-5,92813811791804;-5,93880187382148;-5,94946562972491;-5,96012938562835;-5,97079314153178;-5,98145689743522;-5,99212065333866
"44";-5,83818087411095;-5,84906828756461;-5,85995570101826;-5,87084311447192;-5,88173052792558;-5,89261794137924;-5,90350535483289;-5,91439276828655;-5,92528018174021
"45";-5,79654010218591;-5,80837030861173;-5,82020051503755;-5,83203072146337;-5,84386092788919;-5,855691134315;-5,86752134074082;-5,87935154716664;-5,89118175359246
"46";-5,72401164811644;-5,73646399616501;-5,74891634421358;-5,76136869226215;-5,77382104031072;-5,7862733883593;-5,79872573640787;-5,81117808445644;-5,82363043250501
"47";-5,63582839932761;-5,64826926583644;-5,66071013234526;-5,67315099885409;-5,68559186536292;-5,69803273187174;-5,71047359838057;-5,72291446488939;-5,73535533139822
"48";-5,57001807764873;-5,58315535102564;-5,59629262440255;-5,60942989777946;-5,62256717115637;-5,63570444453329;-5,6488417179102;-5,66197899128711;-5,67511626466402
"49";-5,4652200224429;-5,47814573064671;-5,49107143885052;-5,50399714705433;-5,51692285525815;-5,52984856346196;-5,54277427166577;-5,55569997986958;-5,56862568807339
"50";-5,45645085997232;-5,47107832589446;-5,4857057918166;-5,50033325773874;-5,51496072366088;-5,52958818958301;-5,54421565550515;-5,55884312142729;-5,57347058734943
"51";-5,37201410256474;-5,38719325716372;-5,4023724117627;-5,41755156636168;-5,43273072096066;-5,44790987555964;-5,46308903015862;-5,4782681847576;-5,49344733935658
"52";-5,2727368457223;-5,28753479353315;-5,302332741344;-5,31713068915485;-5,3319286369657;-5,34672658477655;-5,3615245325874;-5,37632248039825;-5,3911204282091
"53";-5,1929239469695;-5,20816873983105;-5,22341353269261;-5,23865832555416;-5,25390311841572;-5,26914791127727;-5,28439270413883;-5,29963749700039;-5,31488228986194
"54";-5,12191321383226;-5,13738238678491;-5,15285155973756;-5,1683207326902;-5,18378990564285;-5,1992590785955;-5,21472825154814;-5,23019742450079;-5,24566659745344
"55";-5,0613645747778;-5,07742282630865;-5,0934810778395;-5,10953932937035;-5,1255975809012;-5,14165583243205;-5,1577140839629;-5,17377233549375;-5,1898305870246
"56";-4,94616903518912;-4,96155960779662;-4,97695018040412;-4,99234075301163;-5,00773132561913;-5,02312189822663;-5,03851247083413;-5,05390304344163;-5,06929361604913
"57";-4,86166658644233;-4,87696798513282;-4,89226938382332;-4,90757078251381;-4,92287218120431;-4,9381735798948;-4,9534749785853;-4,96877637727579;-4,98407777596629
"58";-4,78217387882606;-4,79752994706185;-4,81288601529763;-4,82824208353342;-4,8435981517692;-4,85895422000499;-4,87431028824077;-4,88966635647656;-4,90502242471235
"59";-4,64734340046536;-4,66176611019739;-4,67618881992943;-4,69061152966146;-4,7050342393935;-4,71945694912553;-4,73387965885757;-4,7483023685896;-4,76272507832164
"60";-4,59752712045924;-4,61259436891218;-4,62766161736512;-4,64272886581806;-4,657796114271;-4,67286336272393;-4,68793061117687;-4,70299785962981;-4,71806510808275
"61";-4,4894870258767;-4,50439139322424;-4,51929576057178;-4,53420012791933;-4,54910449526687;-4,56400886261442;-4,57891322996196;-4,5938175973095;-4,60872196465705
"62";-4,39504774609197;-4,40937109584419;-4,42369444559641;-4,43801779534863;-4,45234114510086;-4,46666449485308;-4,4809878446053;-4,49531119435752;-4,50963454410974
"63";-4,28835792787936;-4,30261782444242;-4,31687772100549;-4,33113761756856;-4,34539751413162;-4,35965741069469;-4,37391730725776;-4,38817720382082;-4,40243710038389
"64";-4,22047128704431;-4,23473741812365;-4,24900354920298;-4,26326968028231;-4,27753581136165;-4,29180194244098;-4,30606807352031;-4,32033420459965;-4,33460033567898
"65";-4,14399951407927;-4,15822429937726;-4,17244908467526;-4,18667386997325;-4,20089865527124;-4,21512344056924;-4,22934822586723;-4,24357301116522;-4,25779779646322
"66";-4,05878753729603;-4,07320247753137;-4,0876174177667;-4,10203235800204;-4,11644729823738;-4,13086223847272;-4,14527717870806;-4,1596921189434;-4,17410705917874
"67";-3,96555253084969;-3,97909574671668;-3,99263896258367;-4,00618217845066;-4,01972539431765;-4,03326861018463;-4,04681182605163;-4,06035504191861;-4,0738982577856
"68";-3,88416973167731;-3,89771229839907;-3,91125486512083;-3,92479743184258;-3,93833999856434;-3,9518825652861;-3,96542513200785;-3,97896769872961;-3,99251026545137
"69";-3,77200234620047;-3,78465893937321;-3,79731553254595;-3,80997212571869;-3,82262871889143;-3,83528531206416;-3,8479419052369;-3,86059849840964;-3,87325509158238
"70";-3,68203504768376;-3,69412964033134;-3,70622423297892;-3,7183188256265;-3,73041341827408;-3,74250801092166;-3,75460260356924;-3,76669719621682;-3,7787917888644
"71";-3,58684045970744;-3,59895024674999;-3,61106003379255;-3,6231698208351;-3,63527960787765;-3,6473893949202;-3,65949918196276;-3,67160896900531;-3,68371875604786
"72";-3,49314006240108;-3,50439992115216;-3,51565977990324;-3,52691963865432;-3,53817949740541;-3,54943935615649;-3,56069921490757;-3,57195907365865;-3,58321893240974
"73";-3,40807505033522;-3,419771243457;-3,43146743657878;-3,44316362970056;-3,45485982282234;-3,46655601594412;-3,4782522090659;-3,48994840218768;-3,50164459530946
"74";-3,3128012086748;-3,32382820904856;-3,33485520942232;-3,34588220979609;-3,35690921016985;-3,36793621054361;-3,37896321091737;-3,38999021129114;-3,4010172116649
"75";-3,24281751362871;-3,25412230738647;-3,26542710114422;-3,27673189490198;-3,28803668865973;-3,29934148241749;-3,31064627617524;-3,32195106993299;-3,33325586369075
"76";-3,15385685376291;-3,16504576472222;-3,17623467568153;-3,18742358664084;-3,19861249760015;-3,20980140855946;-3,22099031951877;-3,23217923047808;-3,24336814143738
"77";-3,05987346039193;-3,07055223185276;-3,0812310033136;-3,09190977477443;-3,10258854623526;-3,11326731769609;-3,12394608915693;-3,13462486061776;-3,14530363207859
"78";-2,96393072458935;-2,97407848208841;-2,98422623958747;-2,99437399708653;-3,00452175458559;-3,01466951208466;-3,02481726958372;-3,03496502708278;-3,04511278458184
"79";-2,88150814146126;-2,89153637521064;-2,90156460896001;-2,91159284270939;-2,92162107645877;-2,93164931020814;-2,94167754395752;-2,9517057777069;-2,96173401145627
"80";-2,7860233930301;-2,7957579936789;-2,8054925943277;-2,8152271949765;-2,8249617956253;-2,8346963962741;-2,8444309969229;-2,8541655975717;-2,8639001982205
"81";-2,64020928169254;-2,64902070351652;-2,65783212534049;-2,66664354716446;-2,67545496898844;-2,68426639081241;-2,69307781263638;-2,70188923446036;-2,71070065628433
"82";-2,53200308486046;-2,53982479007604;-2,54764649529162;-2,5554682005072;-2,56328990572279;-2,57111161093837;-2,57893331615395;-2,58675502136953;-2,59457672658511
"83";-2,43581159168964;-2,44359891235149;-2,45138623301333;-2,45917355367518;-2,46696087433702;-2,47474819499887;-2,48253551566072;-2,49032283632256;-2,49811015698441
"84";-2,33329218566953;-2,34075013388404;-2,34820808209854;-2,35566603031305;-2,36312397852756;-2,37058192674207;-2,37803987495657;-2,38549782317108;-2,39295577138559
"85";-2,23850107862574;-2,2457810790254;-2,25306107942506;-2,26034107982472;-2,26762108022438;-2,27490108062404;-2,2821810810237;-2,28946108142336;-2,29674108182302
"86";-2,13555411403725;-2,14228121219666;-2,14900831035607;-2,15573540851548;-2,1624625066749;-2,16918960483431;-2,17591670299372;-2,18264380115313;-2,18937089931254
"87";-2,03301246424957;-2,03931093419178;-2,04560940413399;-2,0519078740762;-2,05820634401841;-2,06450481396062;-2,07080328390283;-2,07710175384504;-2,08340022378726
"88";-1,93331350942525;-1,93910185346844;-1,94489019751163;-1,95067854155483;-1,95646688559802;-1,96225522964121;-1,96804357368441;-1,9738319177276;-1,97962026177079
"89";-1,82477595807957;-1,82951601678312;-1,83425607548666;-1,83899613419021;-1,84373619289376;-1,84847625159731;-1,85321631030086;-1,85795636900441;-1,86269642770796
"90";-1,72433653816998;-1,72867670596517;-1,73301687376035;-1,73735704155553;-1,74169720935071;-1,74603737714589;-1,75037754494107;-1,75471771273625;-1,75905788053143
"91";-1,63036667236977;-1,63434448755952;-1,63832230274927;-1,64230011793902;-1,64627793312878;-1,65025574831853;-1,65423356350828;-1,65821137869803;-1,66218919388778
"92";-1,52728207608934;-1,53003242533085;-1,53278277457237;-1,53553312381388;-1,5382834730554;-1,54103382229691;-1,54378417153843;-1,54653452077994;-1,54928487002146
"93";-1,42935436311385;-1,43183535866692;-1,43431635421999;-1,43679734977306;-1,43927834532613;-1,4417593408792;-1,44424033643227;-1,44672133198534;-1,44920232753841
"94";-1,33214091921001;-1,33412213749193;-1,33610335577384;-1,33808457405575;-1,34006579233766;-1,34204701061958;-1,34402822890149;-1,3460094471834;-1,34799066546531
"95";-1,23137978853632;-1,23236012602721;-1,2333404635181;-1,23432080100899;-1,23530113849988;-1,23628147599077;-1,23726181348166;-1,23824215097255;-1,23922248846344
"96";-1,16918740375594;-1,16999937750024;-1,17081135124453;-1,17162332498883;-1,17243529873312;-1,17324727247742;-1,17405924622171;-1,17487121996601;-1,1756831937103
"97";-1,08830413388946;-1,08866260482684;-1,08902107576421;-1,08937954670159;-1,08973801763896;-1,09009648857634;-1,09045495951371;-1,09081343045109;-1,09117190138846
"98";-1,01084594045669;-1,01078242047129;-1,01071890048589;-1,01065538050049;-1,01059186051509;-1,01052834052969;-1,01046482054429;-1,01040130055889;-1,01033778057349
"99";-0,935943433050191;-0,935437005559862;-0,934930578069534;-0,934424150579206;-0,933917723088878;-0,93341129559855;-0,932904868108222;-0,932398440617894;-0,931892013127566
"100";-0,864309013218807;-0,863374372064985;-0,862439730911164;-0,861505089757343;-0,860570448603521;-0,8596358074497;-0,858701166295879;-0,857766525142057;-0,856831883988236
"101";-0,797101506477348;-0,795812438162997;-0,794523369848646;-0,793234301534296;-0,791945233219945;-0,790656164905595;-0,789367096591244;-0,788078028276894;-0,786788959962543
