"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"0";-4,92739784300977;-4,95358417824647;-4,96544128310407;-4,99553006897629;-5,01237408450502;-5,01905359907356;-5,02810310159637;-5,02871793195461;-5,0329921397703
"1";-7,61532083067807;-7,64165868737851;-7,65514872662003;-7,68854290801819;-7,70664539531136;-7,71383444661195;-7,72425144151347;-7,72502491299394;-7,73046820146239
"2";-8,03580561934246;-8,06392591197327;-8,07825025119555;-8,11423056932206;-8,13427629674614;-8,14217766955831;-8,15347155602899;-8,15430003993822;-8,16012737298388
"3";-8,32942784328605;-8,35860392555366;-8,37311802956759;-8,40892385925764;-8,42835490750874;-8,43605357593908;-8,44725329164543;-8,44809394918638;-8,45399478378908
"4";-8,5220820883875;-8,54986850961582;-8,56411659162989;-8,59936866490564;-8,61827917547606;-8,62578367764545;-8,63659182215616;-8,6373872604585;-8,64296719573323
"5";-8,6024230911899;-8,6283700558398;-8,64131532164426;-8,67371880241499;-8,69071067322025;-8,69758367821973;-8,70750196901031;-8,70823545333816;-8,71337315566316
"6";-8,70210365517088;-8,72871167364199;-8,741089033118;-8,77202969101033;-8,78829152260462;-8,79491455275065;-8,80446271962635;-8,80516747613129;-8,81008973712211
"7";-8,78221139643522;-8,80850072306959;-8,82117877036892;-8,85282762073771;-8,86963106997817;-8,87647405923956;-8,88641526321207;-8,88715126452087;-8,89231217526864
"8";-8,83771358476254;-8,86343411719128;-8,87676931389097;-8,90999611730394;-8,92798386587262;-8,9351938929083;-8,94561942841062;-8,94639213984962;-8,95180915054802
"9";-8,83028712755766;-8,85138198493673;-8,86255056772337;-8,89035688016087;-8,90474174609556;-8,91063562698141;-8,91929132370531;-8,91994786891682;-8,92454431790254
"10";-8,75610884088273;-8,77298411543485;-8,78228686488583;-8,80555138156922;-8,81716030810039;-8,82205738892202;-8,82948028771968;-8,83005960840561;-8,83410115040767
"11";-8,67127468956937;-8,68726937458407;-8,69595645156318;-8,71748523206965;-8,72793169143753;-8,732319685107;-8,7390123572139;-8,73954068014729;-8,74322903797966
"12";-8,53081693317767;-8,54633782626133;-8,55522093896968;-8,57737571984924;-8,588643027772;-8,59330525585989;-8,60044091234725;-8,60100886279189;-8,60498866883656
"13";-8,34514696072823;-8,36227166631631;-8,37197195003752;-8,39609216917732;-8,40908805007978;-8,41432550355245;-8,4223108013689;-8,42294378388287;-8,42738554052955
"14";-8,07964401905041;-8,10013127255983;-8,111203988867;-8,13862655745123;-8,15416803939947;-8,16023607690456;-8,16951218644574;-8,17025042879035;-8,17542366588033
"15";-7,7354644357376;-7,7566319045807;-7,76794241835917;-7,79604833219245;-7,8124777772475;-7,81884728148005;-7,8288345669356;-7,82964792586426;-7,83533673404824
"16";-7,36940127316683;-7,38818836863138;-7,39833733059954;-7,42371979130419;-7,43871233661207;-7,44457906847407;-7,45404854623509;-7,45483838729505;-7,46036922561026
"17";-7,05955523620734;-7,0748436387735;-7,08316206696978;-7,10410303865479;-7,11635468803772;-7,1212122208648;-7,12908618312957;-7,12974727485146;-7,13438775451214
"18";-6,82944892685668;-6,84037188168131;-6,8465604243324;-6,86240678237221;-6,87146562869491;-6,87514147932001;-6,88112880389702;-6,88163903541337;-6,88522072007534
"19";-6,69820730664473;-6,70378410443306;-6,70748215062582;-6,71718855759926;-6,72228086635387;-6,72450113165318;-6,7283239679543;-6,7286725694377;-6,73111317639059
"20";-6,63368838868623;-6,63588452975292;-6,63823572082215;-6,64441532353827;-6,64704154145306;-6,64835429817963;-6,65080296911881;-6,65104440468399;-6,65273017719557
"21";-6,60037490819247;-6,60202988887583;-6,60438604956598;-6,61038034278928;-6,61259811249498;-6,61375685863439;-6,61589222854812;-6,61609997303858;-6,61755177361429
"22";-6,59739893884347;-6,5997359466747;-6,60245807256418;-6,60917693806784;-6,61156652632049;-6,61276392557899;-6,61489968934693;-6,61510416486583;-6,61653808477242
"23";-6,60709443474262;-6,61047599818593;-6,61364279067848;-6,62141619960234;-6,62438021589102;-6,62577889166218;-6,62821488136185;-6,62844443259928;-6,63005216383293
"24";-6,6206326813771;-6,62548323584358;-6,62916050785826;-6,63828919089399;-6,64224647428253;-6,64402635991731;-6,64700529440274;-6,64727356432248;-6,64914596009631
"25";-6,63134898370646;-6,63839555990967;-6,64301041791908;-6,65453934432658;-6,66022487325462;-6,66265181073491;-6,66658467265284;-6,66692259324012;-6,66927240990506
"26";-6,64373719150279;-6,65299443061411;-6,658819970198;-6,67335577365937;-6,68110102261213;-6,68427619296153;-6,68939173021999;-6,68982286196692;-6,69282248449224
"27";-6,66633832923127;-6,67854713297658;-6,68603011942222;-6,70446729991019;-6,71467828783491;-6,71870995883974;-6,72516187695562;-6,72569995998405;-6,72945328308536
"28";-6,68906836446445;-6,70394114130681;-6,71284223527077;-6,73462034646644;-6,74708733601113;-6,75189681810901;-6,75958552419237;-6,76022677534449;-6,76470920500335
