"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"0";-4,8652370914069;-4,86394091494545;-4,90088443013714;-4,9309003260774;-4,99377817702983;-5,02220193046772;-5,02981811351303;-5,03441582276166;-5,05772690163011
"1";-7,64172445406234;-7,5616817463888;-7,54263355141811;-7,66277786326017;-7,68428406848113;-7,70626297519991;-7,72873583105197;-7,68428406848113;-7,84936381884058
"2";-8,01641790350375;-8,01641790350375;-8,01641790350375;-8,07893826048508;-8,0471895621705;-8,11172808330807;-8,07893826048508;-8,14562963498375;-8,18072095479502
"3";-8,29404964010203;-8,29404964010203;-8,29404964010203;-8,33487163462228;-8,33487163462228;-8,33487163462228;-8,37743124904108;-8,46840302724681;-8,46840302724681
"4";-8,56848648580379;-8,51719319141624;-8,56848648580379;-8,62255370707406;-8,62255370707406;-8,62255370707406;-8,51719319141624;-8,62255370707406;-8,56848648580379
"5";-8,51719319141624;-8,67971212091401;-8,80487526386802;-8,80487526386802;-8,87386813535497;-8,74033674273045;-8,87386813535497;-8,80487526386802;-8,87386813535497
"6";-8,87386813535497;-8,80487526386802;-8,94797610750869;-8,94797610750869;-9,02801881518223;-8,87386813535497;-9,02801881518223;-8,94797610750869;-8,94797610750869
"7";-8,87386813535497;-8,80487526386802;-8,87386813535497;-8,94797610750869;-8,94797610750869;-9,02801881518223;-8,87386813535497;-9,02801881518223;-8,94797610750869
"8";-8,80487526386802;-8,87386813535497;-8,87386813535497;-8,94797610750869;-9,02801881518223;-8,94797610750869;-9,11503019217186;-9,02801881518223;-9,02801881518223
"9";-8,87386813535497;-8,87386813535497;-9,02801881518223;-8,87386813535497;-9,02801881518223;-9,02801881518223;-9,02801881518223;-8,94797610750869;-8,94797610750869
"10";-8,87386813535497;-8,80487526386802;-8,94797610750869;-9,02801881518223;-9,11503019217186;-9,02801881518223;-9,02801881518223;-9,11503019217186;-9,02801881518223
"11";-8,74033674273045;-8,80487526386802;-8,94797610750869;-8,74033674273045;-8,87386813535497;-8,87386813535497;-8,94797610750869;-9,02801881518223;-8,94797610750869
"12";-8,74033674273045;-8,74033674273045;-8,74033674273045;-8,80487526386802;-8,80487526386802;-8,80487526386802;-8,87386813535497;-8,80487526386802;-8,80487526386802
"13";-8,46840302724681;-8,46840302724681;-8,51719319141624;-8,51719319141624;-8,62255370707406;-8,56848648580379;-8,62255370707406;-8,62255370707406;-8,51719319141624
"14";-8,14562963498375;-8,14562963498375;-8,25482892694875;-8,33487163462228;-8,33487163462228;-8,29404964010203;-8,33487163462228;-8,37743124904108;-8,33487163462228
"15";-7,77525584668686;-7,82404601085629;-7,87533930524384;-7,98656494035407;-8,0471895621705;-8,07893826048508;-8,01641790350375;-8,01641790350375;-8,07893826048508
"16";-7,3697907385787;-7,45248245442381;-7,48757377423508;-7,5810998322459;-7,60090245954208;-7,64172445406234;-7,70626297519991;-7,72873583105197;-7,66277786326017
"17";-7,04701734631564;-7,13089883029635;-7,19543735143392;-7,27881896037297;-7,33853819507459;-7,3697907385787;-7,41858090274813;-7,41858090274813;-7,43538802106451
"18";-6,7338019718587;-6,78553764625789;-6,86853456582886;-6,95904857336969;-6,95904857336969;-7,01311579463996;-7,03558865049202;-7,14347761250321;-7,09408485717363
"19";-6,61508566501932;-6,64539101451465;-6,7338019718587;-6,84948637085816;-6,87819647674059;-6,84009663050832;-6,90775527898214;-6,98032597181697;-6,94857727350239
"20";-6,56416557459206;-6,63772814176908;-6,63772814176908;-6,7338019718587;-6,80339526365789;-6,81244509917781;-6,82157758274108;-6,85896511481271;-6,85896511481271
"21";-6,4956456281553;-6,52931884326189;-6,58567177981302;-6,62257633674847;-6,66873837851164;-6,70074110959781;-6,71713491937349;-6,7338019718587;-6,74224084050456
