"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-4,24318404951098;-4,24958829369858;-4,25301633142044;-4,26192053276571;-4,26739414968635;-4,2694456679232;-4,27240796746305;-4,2726357880533;-4,27423034875129
"2";-6,2616488649178;-6,27106030869303;-6,27609797164924;-6,2891829291545;-6,29722641763632;-6,30024109992382;-6,30459413864463;-6,3049289150714;-6,30727207530541
"3";-6,93353260125197;-6,94456513596958;-6,95047140011194;-6,96581539085115;-6,97524964862687;-6,97878600895787;-6,98389273124814;-6,98428549077297;-6,98703456641717
"4";-7,46605789416242;-7,47826825807576;-7,4848055221316;-7,50179028284698;-7,51223444742267;-7,51614957843205;-7,52180347746785;-7,522238330739;-7,52528207826938
"5";-7,84763228884006;-7,86055570329279;-7,86747484274198;-7,88545215993275;-7,89650694387209;-7,90065102974858;-7,90663562054598;-7,90709591069346;-7,91031771404387
"6";-8,10363834384554;-8,11699316602302;-8,12414329217867;-8,14272080192829;-8,15414469298552;-8,15842715150951;-8,16461157611769;-8,16508723628671;-8,16841662337578
"7";-8,26592296677935;-8,27964069317106;-8,28698524233706;-8,30606831715804;-8,31780339678475;-8,32220257001243;-8,32855560390092;-8,32904423509701;-8,33246442455865
"8";-8,36270863833287;-8,37690120267905;-8,38450039248807;-8,40424644338762;-8,41639020141551;-8,42094277312404;-8,42751752632496;-8,42802321994133;-8,43156287615669
"9";-8,41068482948378;-8,42553636493573;-8,43348912702166;-8,45415634575004;-8,46686838608357;-8,47163435269898;-8,47851762894794;-8,47904706918208;-8,48275301030213
"10";-8,42081377631917;-8,43654408037915;-8,44496846405389;-8,46686479033728;-8,48033536392282;-8,4853862215231;-8,49268144225995;-8,49324259194545;-8,49717058807685
"11";-8,39275165332349;-8,40957835024304;-8,41859123915802;-8,44202157713069;-8,45643906317145;-8,46184560516919;-8,46965517611548;-8,47025591991644;-8,47446119382322
"12";-8,32359012550398;-8,34171944987801;-8,35143162104012;-8,37668497991285;-8,39222796253914;-8,39805730634407;-8,4064783205798;-8,40712613435436;-8,41166104656071
"13";-8,21134398069551;-8,23097381914073;-8,24149157341281;-8,26884531044145;-8,28568519263567;-8,29200176048673;-8,30112741582468;-8,30182947568433;-8,30674428802042
"14";-8,05900922990661;-8,08032937054763;-8,09175465577176;-8,12147476165403;-8,13977591566737;-8,1466414860273;-8,15656115438601;-8,15732434179372;-8,16266725211531
