"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";-5,08203489940377;-5,1392882173019;-5,17032572953132;-5,25224499033213;-5,30355262629339;-5,3229724751749;-5,35119835732779;-5,35337819930714;-5,36867181523195
"2";-7,03371323711989;-7,09026308190261;-7,12090440364689;-7,20172933391695;-7,25231662428121;-7,27145697818518;-7,29927003499564;-7,30141767289137;-7,31648405667455
"3";-7,65108131936805;-7,70617595774077;-7,73602290227068;-7,81473315420545;-7,86398302772759;-7,88261463445753;-7,90968580669877;-7,91177603054907;-7,92643912312401
"4";-8,1455932506143;-8,19972464850697;-8,22904514101833;-8,30635188795788;-8,35471265562277;-8,37300576606174;-8,39958305078993;-8,40163503967042;-8,41602950676859
"5";-8,5068550076894;-8,56056328167981;-8,58965145825915;-8,66633540782473;-8,71429918578884;-8,73244068085216;-8,75879629413808;-8,76083109986862;-8,77510475566021
"6";-8,75219193177917;-8,80574074476474;-8,83474056531504;-8,91118504466206;-8,95899433557247;-8,97707647562049;-9,00334496977284;-9,00537300591288;-9,0195990004661
"7";-8,904016739969;-8,95734325480459;-8,98622130231002;-9,06234023537685;-9,10994265377293;-9,12794590986729;-9,15409918824219;-9,15611829899797;-9,17028156376316
"8";-8,98257681208403;-9,0353422264453;-9,06391515132898;-9,13922565507773;-9,18631951123218;-9,20412984114353;-9,230002289817;-9,23199969198642;-9,24601056860463
"9";-9,00142347511026;-9,05318198257903;-9,08120825769883;-9,155073340747;-9,20126002395341;-9,21872662269555;-9,24409911928307;-9,24605789359961;-9,25979769060935
"10";-8,96976611434861;-9,02000804356884;-9,04721141049314;-9,11890205367505;-9,16372505628754;-9,18067515441848;-9,20529660348674;-9,20719735907375;-9,22053003483957
"11";-8,88629831517067;-8,93445904821218;-8,96053343520725;-9,02924184499671;-9,07219525949164;-9,08843737766714;-9,1120294780896;-9,11385072244484;-9,12662548818786
"12";-8,74766939036028;-8,79315155290418;-8,81777313398134;-8,88264466762953;-8,92319325158611;-8,93852480876162;-8,96079312503672;-8,96251211969558;-8,97456944533767
"13";-8,55162204792994;-8,59380812352433;-8,61664215692927;-8,67679337235526;-8,71438385391153;-8,72859544652638;-8,74923562846679;-8,75082886934363;-8,76200385356489
"14";-8,30202268906474;-8,34033784069226;-8,36107272098197;-8,41568123934469;-8,44979859038725;-8,46269528980648;-8,48142402562685;-8,48286963338737;-8,49300877395746
"15";-8,01317026878775;-8,0472242536789;-8,06564846089119;-8,11415611564747;-8,14445082559353;-8,15590035836387;-8,17252540961276;-8,17380853871159;-8,1828076832987
"16";-7,70390447408292;-7,73356479225238;-7,74960656072763;-7,79182414519707;-7,81817786031501;-7,82813545916599;-7,8425917869342;-7,84370741589935;-7,85153133975811
"17";-7,40173284719646;-7,42728271220573;-7,44109570731343;-7,47742923596169;-7,50009656413644;-7,50865865902938;-7,52108647901296;-7,5220454393763;-7,52877014732469
"18";-7,13521939448003;-7,15737606958462;-7,169349332111;-7,20082630119075;-7,22045126938611;-7,22786171857538;-7,23861555951384;-7,23944523547182;-7,24526287102733
"19";-6,92475242919383;-6,94450944843554;-6,95518181836428;-6,98322519843291;-7,00069959864317;-7,00729605305852;-7,01686678068366;-7,0176050861929;-7,02278167156879
